<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFBW.US,60,20200914,160000,9.1999,9.2,8.8777,9.07,400,0
FFBW.US,60,20200914,170000,9.2,9.3,9.2,9.27,2357,0
FFBW.US,60,20200914,180000,9.25,9.25,9.235,9.25,500,0
FFBW.US,60,20200914,190000,9.29,9.29,9.28,9.29,614,0
FFBW.US,60,20200914,200000,9.28,9.3,9.24,9.3,3161,0
FFBW.US,60,20200914,210000,9.3,9.3,9.29,9.3,1000,0
FFBW.US,60,20200914,220000,9.3,9.47,9.24,9.47,4202,0
FFBW.US,60,20200915,200000,9.215,9.45,9.2028,9.45,1782,0
FFBW.US,60,20200915,210000,9.45,9.45,9.35,9.35,1566,0
FFBW.US,60,20200915,220000,9.34,9.35,9.27,9.3,1600,0
FFBW.US,60,20200916,160000,9.3,9.3,8.9416,9.25,3151,0
FFBW.US,60,20200916,170000,9.26,9.44,9.11,9.39,1500,0
FFBW.US,60,20200916,180000,9.4,9.4,9.4,9.4,900,0
FFBW.US,60,20200916,190000,9.4,9.4,9.205,9.4,2500,0
FFBW.US,60,20200916,200000,9.4,9.4,9.3548,9.4,2566,0
FFBW.US,60,20200916,210000,9.45,9.45,9.42,9.45,800,0
FFBW.US,60,20200916,220000,9.4263,9.4263,9.37,9.39,4969,0
FFBW.US,60,20200917,160000,9.02,9.3999,8.89,9.065,4100,0
FFBW.US,60,20200917,170000,9.39,9.4,9.39,9.4,1200,0
FFBW.US,60,20200917,180000,9.45,9.45,9.45,9.45,100,0
FFBW.US,60,20200917,190000,9.45,9.61,9.45,9.61,200,0
FFBW.US,60,20200917,200000,9.63,9.74,9.63,9.69,400,0
FFBW.US,60,20200917,210000,9.69,9.7,9.68,9.69,1423,0
FFBW.US,60,20200917,220000,9.7,9.7,9.66,9.66,717,0
FFBW.US,60,20200918,160000,9.285,9.6499,9.285,9.5753,1500,0
FFBW.US,60,20200918,170000,9.6,9.6,9.6,9.6,1470,0
