<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOODO.US,60,20210629,160000,25.35,25.4,25.33,25.365,6618,0
GOODO.US,60,20210629,170000,25.3777,25.4,25.325,25.35,53124,0
GOODO.US,60,20210629,180000,25.37,25.4,25.35,25.4,14822,0
GOODO.US,60,20210629,190000,25.37,25.42,25.37,25.395,25950,0
GOODO.US,60,20210629,200000,25.35,25.39,25.35,25.37,10200,0
GOODO.US,60,20210629,210000,25.35,25.39,25.35,25.365,8076,0
GOODO.US,60,20210629,220000,25.35,25.38,25.31,25.35,47128,0
GOODO.US,60,20210630,160000,25.395,25.4,25.35,25.375,5441,0
GOODO.US,60,20210630,170000,25.3999,25.4,25.32,25.35,23619,0
GOODO.US,60,20210630,180000,25.35,25.525,25.35,25.45,24989,0
GOODO.US,60,20210630,190000,25.5,25.55,25.5,25.55,12876,0
GOODO.US,60,20210630,200000,25.55,25.59,25.43,25.4999,6782,0
GOODO.US,60,20210630,210000,25.5399,25.55,25.42,25.46,3851,0
GOODO.US,60,20210630,220000,25.52,25.55,25.41,25.43,25464,0
GOODO.US,60,20210701,160000,25.55,25.58,25.55,25.58,1201,0
GOODO.US,60,20210701,170000,25.54,25.55,25.45,25.45,6327,0
GOODO.US,60,20210701,180000,25.52,25.55,25.52,25.55,4500,0
GOODO.US,60,20210701,190000,25.55,25.6,25.547,25.6,2500,0
GOODO.US,60,20210701,200000,25.58,25.69,25.58,25.68,2500,0
GOODO.US,60,20210701,210000,25.65,25.68,25.64,25.6499,5390,0
GOODO.US,60,20210701,220000,25.65,25.65,25.6,25.6,5785,0
GOODO.US,60,20210702,160000,25.6,25.72,25.6,25.72,1065,0
GOODO.US,60,20210702,170000,25.6399,25.6984,25.57,25.6984,1650,0
GOODO.US,60,20210702,180000,25.6999,25.72,25.6,25.6,5353,0
GOODO.US,60,20210702,190000,25.7,25.7,25.68,25.6992,4325,0
GOODO.US,60,20210702,200000,25.7,25.72,25.63,25.63,4682,0
GOODO.US,60,20210702,210000,25.7,25.7,25.686,25.686,4500,0
GOODO.US,60,20210702,220000,25.655,25.6775,25.655,25.6775,600,0
GOODO.US,60,20210706,160000,25.68,25.68,25.64,25.68,700,0
GOODO.US,60,20210706,170000,25.68,25.68,25.6,25.65,6468,0
GOODO.US,60,20210706,180000,25.64,25.72,25.64,25.72,2800,0
GOODO.US,60,20210706,190000,25.7,25.73,25.68,25.68,2365,0
GOODO.US,60,20210706,200000,25.68,25.68,25.65,25.67,2700,0
GOODO.US,60,20210706,210000,25.67,25.74,25.67,25.74,4800,0
GOODO.US,60,20210706,220000,25.74,25.77,25.66,25.66,16289,0
GOODO.US,60,20210707,160000,25.77,25.77,25.65,25.65,7878,0
GOODO.US,60,20210707,170000,25.65,25.74,25.6,25.675,11375,0
GOODO.US,60,20210707,180000,25.675,25.7253,25.61,25.7097,5322,0
GOODO.US,60,20210707,190000,25.67,25.706,25.65,25.66,6140,0
GOODO.US,60,20210707,200000,25.66,25.66,25.63,25.66,3973,0
GOODO.US,60,20210707,210000,25.66,25.69,25.63,25.63,7530,0
GOODO.US,60,20210707,220000,25.665,25.71,25.665,25.71,2909,0
GOODO.US,60,20210708,160000,25.69,25.705,25.65,25.69,2846,0
GOODO.US,60,20210708,170000,25.69,25.7,25.6,25.69,10317,0
GOODO.US,60,20210708,180000,25.695,25.73,25.66,25.7299,4392,0
GOODO.US,60,20210708,190000,25.66,25.7,25.66,25.66,800,0
GOODO.US,60,20210708,200000,25.66,25.75,25.66,25.74,3492,0
GOODO.US,60,20210708,210000,25.68,25.74,25.66,25.695,2569,0
GOODO.US,60,20210708,220000,25.73,25.75,25.67,25.67,3362,0
GOODO.US,60,20210709,160000,25.7499,25.75,25.7499,25.75,400,0
GOODO.US,60,20210709,170000,25.75,25.88,25.73,25.87,16220,0
GOODO.US,60,20210709,180000,25.9184,25.98,25.8627,25.94,4346,0
GOODO.US,60,20210709,190000,25.94,25.98,25.92,25.98,5101,0
GOODO.US,60,20210709,200000,26.01,26.23,26.01,26.23,2500,0
GOODO.US,60,20210709,210000,26.15,26.23,26.15,26.23,3061,0
GOODO.US,60,20210709,220000,26.23,26.38,26.23,26.36,6674,0
