<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTX.US,60,20210518,160000,6.6,6.75,6.55,6.56,128919,0
GTX.US,60,20210518,170000,6.56,6.66,6.53,6.61,130708,0
GTX.US,60,20210518,180000,6.61,6.66,6.6,6.66,109195,0
GTX.US,60,20210518,190000,6.65,6.66,6.51,6.525,68733,0
GTX.US,60,20210518,200000,6.525,6.61,6.51,6.5622,58156,0
GTX.US,60,20210518,210000,6.545,6.55,6.5,6.51,41659,0
GTX.US,60,20210518,220000,6.51,6.52,6.39,6.43,107235,0
GTX.US,60,20210519,160000,6.42,6.42,6.15,6.2,72797,0
GTX.US,60,20210519,170000,6.285,6.2899,6.16,6.18,35375,0
GTX.US,60,20210519,180000,6.18,6.23,6.15,6.16,37727,0
GTX.US,60,20210519,190000,6.18,6.23,6.16,6.18,31786,0
GTX.US,60,20210519,200000,6.18,6.25,6.16,6.18,51795,0
GTX.US,60,20210519,210000,6.18,6.23,6.17,6.21,18503,0
GTX.US,60,20210519,220000,6.18,6.25,6.18,6.2,74338,0
GTX.US,60,20210520,160000,6.41,6.41,6.24,6.29,175946,0
GTX.US,60,20210520,170000,6.2895,6.4,6.25,6.35,83674,0
GTX.US,60,20210520,180000,6.36,6.36,6.25,6.26,84915,0
GTX.US,60,20210520,190000,6.27,6.4,6.26,6.29,125255,0
GTX.US,60,20210520,200000,6.3,6.35,6.29,6.305,112329,0
GTX.US,60,20210520,210000,6.305,6.31,6.23,6.245,139795,0
GTX.US,60,20210520,220000,6.25,6.3,6.235,6.3,101339,0
GTX.US,60,20210521,160000,6.59,6.64,6.3,6.42,260675,0
GTX.US,60,20210521,170000,6.46,6.47,6.33,6.36,128226,0
GTX.US,60,20210521,180000,6.38,6.45,6.34,6.45,68386,0
GTX.US,60,20210521,190000,6.45,6.54,6.41,6.52,101448,0
GTX.US,60,20210521,200000,6.52,6.62,6.5,6.62,100989,0
GTX.US,60,20210521,210000,6.62,6.69,6.57,6.6,145059,0
GTX.US,60,20210521,220000,6.6273,6.665,6.6,6.64,144807,0
GTX.US,60,20210524,160000,7.1,7.2,6.9,6.93,615127,0
GTX.US,60,20210524,170000,6.94,7.2,6.91,6.99,376901,0
GTX.US,60,20210524,180000,7,7.05,6.98,6.995,243339,0
GTX.US,60,20210524,190000,6.9987,7.2831,6.995,7.24,255433,0
GTX.US,60,20210524,200000,7.265,7.31,7.19,7.3,336700,0
GTX.US,60,20210524,210000,7.3,7.355,7.17,7.315,311099,0
GTX.US,60,20210524,220000,7.315,7.64,7.25,7.42,611263,0
GTX.US,60,20210525,160000,7.42,7.92,7.35,7.66,330146,0
GTX.US,60,20210525,170000,7.65,7.77,7.58,7.6661,371914,0
GTX.US,60,20210525,180000,7.665,7.83,7.55,7.82,235741,0
GTX.US,60,20210525,190000,7.82,7.91,7.72,7.87,217443,0
GTX.US,60,20210525,200000,7.88,7.98,7.825,7.9,224531,0
GTX.US,60,20210525,210000,7.9,7.98,7.87,7.9,249713,0
GTX.US,60,20210525,220000,7.89,8.19,7.89,8.13,213513,0
GTX.US,60,20210526,160000,8.2,8.3,8,8.25,146467,0
GTX.US,60,20210526,170000,8.27,8.68,8.0991,8.18,255746,0
GTX.US,60,20210526,180000,8.18,8.54,8.1759,8.53,130059,0
GTX.US,60,20210526,190000,8.52,8.68,8.46,8.57,178351,0
GTX.US,60,20210526,200000,8.54,8.74,8.46,8.69,154389,0
GTX.US,60,20210526,210000,8.7,8.79,8.551,8.76,153624,0
GTX.US,60,20210526,220000,8.76,8.9,8.63,8.67,298728,0
GTX.US,60,20210527,160000,8.67,8.72,7.97,8.25,334801,0
GTX.US,60,20210527,170000,8.23,8.425,8.09,8.4,215714,0
GTX.US,60,20210527,180000,8.39,8.42,8.27,8.36,142803,0
GTX.US,60,20210527,190000,8.35,8.4,8.21,8.22,73979,0
GTX.US,60,20210527,200000,8.23,8.33,8.15,8.24,84759,0
GTX.US,60,20210527,210000,8.215,8.42,8.2,8.4,111278,0
GTX.US,60,20210527,220000,8.385,8.51,8.355,8.48,338263,0
GTX.US,60,20210528,160000,8.36,8.55,8.265,8.49,50680,0
GTX.US,60,20210528,170000,8.49,8.67,8.47,8.6081,119283,0
GTX.US,60,20210528,180000,8.63,8.66,8.285,8.315,114025,0
GTX.US,60,20210528,190000,8.315,8.41,8.31,8.37,54465,0
GTX.US,60,20210528,200000,8.37,8.4,8.35,8.37,135819,0
GTX.US,60,20210528,210000,8.36,8.38,8.33,8.35,87112,0
GTX.US,60,20210528,220000,8.36,8.8,8.36,8.63,147620,0
GTX.US,60,20210601,160000,8.64,8.68,8.51,8.57,41940,0
GTX.US,60,20210601,170000,8.545,8.67,8.22,8.22,131762,0
GTX.US,60,20210601,180000,8.235,8.59,8.221,8.59,121268,0
GTX.US,60,20210601,190000,8.565,8.63,8.36,8.51,165186,0
GTX.US,60,20210601,200000,8.52,8.6,8.45,8.465,48991,0
GTX.US,60,20210601,210000,8.46,8.5,8.31,8.31,78198,0
GTX.US,60,20210601,220000,8.325,8.41,8.29,8.36,64339,0
GTX.US,60,20210602,160000,8.4,8.4,8.22,8.29,140935,0
GTX.US,60,20210602,170000,8.285,8.34,8.22,8.3173,91247,0
GTX.US,60,20210602,180000,8.3,8.34,8.23,8.28,72015,0
