<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCARU.US,60,20201224,160000,10.35,10.35,10.28,10.3,70837,0
HCARU.US,60,20201224,170000,10.3,10.34,10.28,10.32,395259,0
HCARU.US,60,20201224,180000,10.32,10.33,10.28,10.3,507236,0
HCARU.US,60,20201224,190000,10.3,10.3,10.24,10.27,205574,0
HCARU.US,60,20201224,200000,10.3,10.3,10.3,10.3,5331,0
HCARU.US,60,20201228,160000,10.3,10.33,10.27,10.2744,69246,0
HCARU.US,60,20201228,170000,10.28,10.3,10.28,10.28,32066,0
HCARU.US,60,20201228,180000,10.28,10.28,10.241,10.25,34852,0
HCARU.US,60,20201228,190000,10.2498,10.25,10.11,10.2,391252,0
HCARU.US,60,20201228,200000,10.215,10.3,10.18,10.3,19659,0
HCARU.US,60,20201228,210000,10.271,10.29,10.21,10.25,16103,0
HCARU.US,60,20201228,220000,10.2477,10.25,10.2,10.24,39125,0
HCARU.US,60,20201229,160000,10.25,10.25,10.2411,10.2411,36831,0
HCARU.US,60,20201229,170000,10.24,10.28,10.2,10.225,168824,0
HCARU.US,60,20201229,180000,10.24,10.25,10.22,10.23,6460,0
HCARU.US,60,20201229,190000,10.23,10.2399,10.23,10.237,7873,0
HCARU.US,60,20201229,200000,10.235,10.24,10.23,10.23,7339,0
HCARU.US,60,20201229,210000,10.23,10.25,10.23,10.25,3483,0
HCARU.US,60,20201229,220000,10.25,10.27,10.24,10.24,83186,0
HCARU.US,60,20201230,160000,10.29,10.3,10.28,10.29,13756,0
HCARU.US,60,20201230,170000,10.28,10.3,10.28,10.29,7779,0
HCARU.US,60,20201230,180000,10.29,10.3,10.265,10.3,9643,0
HCARU.US,60,20201230,190000,10.3,10.3,10.28,10.29,6915,0
HCARU.US,60,20201230,200000,10.29,10.3,10.28,10.295,8563,0
HCARU.US,60,20201230,210000,10.295,10.3,10.295,10.3,7662,0
HCARU.US,60,20201230,220000,10.3,10.3,10.25,10.26,14422,0
HCARU.US,60,20201231,160000,10.28,10.28,10.28,10.28,400,0
HCARU.US,60,20201231,170000,10.26,10.27,10.25,10.27,6485,0
HCARU.US,60,20201231,180000,10.28,10.28,10.245,10.25,35905,0
HCARU.US,60,20201231,190000,10.25,10.25,10.23,10.23,8536,0
HCARU.US,60,20201231,200000,10.23,10.24,10.22,10.22,28988,0
HCARU.US,60,20201231,210000,10.22,10.24,10.22,10.23,11350,0
HCARU.US,60,20201231,220000,10.23,10.26,10.22,10.22,69663,0
HCARU.US,60,20210104,160000,10.23,10.3,10.22,10.28,200263,0
HCARU.US,60,20210104,170000,10.275,10.3,10.25,10.3,85476,0
HCARU.US,60,20210104,180000,10.29,10.3,10.275,10.28,7264,0
HCARU.US,60,20210104,190000,10.285,10.3,10.25,10.26,9155,0
HCARU.US,60,20210104,200000,10.3,10.3,10.2841,10.29,5673,0
HCARU.US,60,20210104,210000,10.26,10.28,10.26,10.27,7690,0
HCARU.US,60,20210104,220000,10.29,10.35,10.2821,10.31,55182,0
HCARU.US,60,20210105,160000,10.2827,10.29,10.26,10.27,35558,0
