<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCDIW.US,60,20210611,160000,0.85,1.05,0.85,1,9488,0
HCDIW.US,60,20210611,170000,0.96,0.961,0.95,0.95,45062,0
HCDIW.US,60,20210611,180000,0.95,0.95,0.947,0.9488,9100,0
HCDIW.US,60,20210611,190000,0.9,0.95,0.9,0.95,2376,0
HCDIW.US,60,20210611,200000,0.9,0.911,0.9,0.9,11922,0
HCDIW.US,60,20210611,210000,0.91,0.91,0.91,0.91,300,0
HCDIW.US,60,20210611,220000,0.91,0.92,0.9,0.92,7975,0
HCDIW.US,60,20210614,160000,0.9014,0.92,0.86,0.86,21500,0
HCDIW.US,60,20210614,180000,0.8704,0.88,0.8704,0.88,2800,0
HCDIW.US,60,20210614,220000,0.89,0.91,0.87,0.87,3000,0
HCDIW.US,60,20210615,160000,0.89,0.89,0.89,0.89,1000,0
HCDIW.US,60,20210615,220000,0.7892,0.7895,0.71,0.75,2880,0
HCDIW.US,60,20210616,160000,0.76,0.81,0.7299,0.75,2600,0
HCDIW.US,60,20210616,180000,0.6555,0.6555,0.59,0.63,13199,0
HCDIW.US,60,20210616,190000,0.6301,0.64,0.63,0.64,1500,0
HCDIW.US,60,20210616,200000,0.64,0.68998,0.63,0.65,5250,0
HCDIW.US,60,20210616,210000,0.65,0.8596,0.65,0.72,18851,0
HCDIW.US,60,20210616,220000,0.72,0.72,0.72,0.72,400,0
HCDIW.US,60,20210617,170000,0.72,0.72,0.7199,0.7199,1800,0
HCDIW.US,60,20210617,200000,0.6505,0.6505,0.603,0.603,4900,0
HCDIW.US,60,20210617,220000,0.612,0.64,0.603,0.6102,14158,0
HCDIW.US,60,20210618,200000,0.800051,0.800051,0.6101,0.6101,200,0
HCDIW.US,60,20210621,160000,0.6031,0.6031,0.6,0.6,5840,0
HCDIW.US,60,20210621,170000,0.5601,0.6,0.56,0.567,11650,0
HCDIW.US,60,20210621,180000,0.6,0.6164,0.58,0.58,5050,0
HCDIW.US,60,20210621,190000,0.58,0.59,0.58,0.59,1900,0
HCDIW.US,60,20210621,200000,0.58,0.58,0.58,0.58,1700,0
HCDIW.US,60,20210621,210000,0.585,0.585,0.585,0.585,3000,0
HCDIW.US,60,20210621,220000,0.6112,0.6112,0.585,0.59,1725,0
HCDIW.US,60,20210622,160000,0.59,0.619949,0.57,0.619949,3550,0
HCDIW.US,60,20210622,170000,0.6005,0.6005,0.5702,0.5712,2634,0
HCDIW.US,60,20210622,180000,0.5717,0.5717,0.57,0.57,2901,0
HCDIW.US,60,20210622,190000,0.57,0.57,0.57,0.57,2700,0
HCDIW.US,60,20210622,200000,0.57,0.57,0.57,0.57,2001,0
HCDIW.US,60,20210622,210000,0.623499,0.6236,0.58608,0.6236,800,0
HCDIW.US,60,20210622,220000,0.623499,0.623499,0.57,0.57,2000,0
HCDIW.US,60,20210623,160000,0.7394,0.7394,0.7394,0.7394,4400,0
HCDIW.US,60,20210623,190000,0.65995,0.65995,0.6,0.6,2040,0
HCDIW.US,60,20210623,200000,0.6,0.6,0.6,0.6,450,0
HCDIW.US,60,20210623,210000,0.6299,0.63,0.59,0.59,11441,0
HCDIW.US,60,20210623,220000,0.59,0.6373,0.59,0.6372,400,0
HCDIW.US,60,20210624,200000,0.699,0.7098,0.699,0.7098,9984,0
HCDIW.US,60,20210625,180000,0.65,0.65,0.65,0.65,200,0
HCDIW.US,60,20210625,200000,0.6399,0.6399,0.6399,0.6399,1000,0
HCDIW.US,60,20210625,220000,0.639,0.6694,0.639,0.64,4016,0
HCDIW.US,60,20210628,180000,0.62,0.62,0.62,0.62,100,0
HCDIW.US,60,20210628,190000,0.64,0.6401,0.6399,0.6401,30700,0
HCDIW.US,60,20210628,210000,0.64,0.6401,0.64,0.64,14900,0
HCDIW.US,60,20210629,170000,0.6599,0.66,0.6595,0.66,1100,0
HCDIW.US,60,20210629,180000,0.636487,0.636487,0.636487,0.636487,3000,0
HCDIW.US,60,20210629,190000,0.571,0.65,0.5672,0.65,3120,0
HCDIW.US,60,20210630,180000,0.719951,0.719951,0.6301,0.639899,6857,0
HCDIW.US,60,20210630,190000,0.635049,0.649899,0.598,0.649899,15200,0
HCDIW.US,60,20210630,200000,0.65,0.6501,0.65,0.65,10960,0
