<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HELE.US,60,20200914,160000,198.32,198.75,197.621,198.53,754,0
HELE.US,60,20200914,170000,198.22,198.25,196.14,196.14,2433,0
HELE.US,60,20200914,180000,195.75,196.99,195.61,196.49,4252,0
HELE.US,60,20200914,190000,196.6,197.03,196.1,197.03,4238,0
HELE.US,60,20200914,200000,197.08,197.63,196.64,197.2,3100,0
HELE.US,60,20200914,210000,197.345,198.85,197.13,198.85,3600,0
HELE.US,60,20200914,220000,198.675,199.02,197.71,198.64,20246,0
HELE.US,60,20200915,160000,199.52,199.57,197.69,198.905,2724,0
HELE.US,60,20200915,170000,198.85,200.95,198.85,200.95,7827,0
HELE.US,60,20200915,180000,201.21,201.21,199.28,199.295,3500,0
HELE.US,60,20200915,190000,199.275,199.94,199.05,199.81,6700,0
HELE.US,60,20200915,200000,200.02,200.88,200.02,200.58,5568,0
HELE.US,60,20200915,210000,200.49,200.7,199.69,200.07,6243,0
HELE.US,60,20200915,220000,200.12,200.16,199.075,199.99,26975,0
HELE.US,60,20200916,160000,200.28,200.28,199.175,199.38,14195,0
HELE.US,60,20200916,170000,199.64,201.12,198.9,199.47,10290,0
HELE.US,60,20200916,180000,199.44,202.305,199.26,202.01,14632,0
HELE.US,60,20200916,190000,202.2,202.845,201.88,202.41,6300,0
HELE.US,60,20200916,200000,201.94,201.94,200.51,200.77,2100,0
HELE.US,60,20200916,210000,201.93,201.93,199.62,199.82,10458,0
HELE.US,60,20200916,220000,199.83,201.175,199.25,199.83,55183,0
HELE.US,60,20200917,160000,197,197.77,194.11,197.27,3087,0
HELE.US,60,20200917,170000,197.57,199.43,197.56,199.02,35369,0
HELE.US,60,20200917,180000,199.045,199.47,198,198.8,32843,0
HELE.US,60,20200917,190000,197.87,198.01,195.43,195.43,5100,0
HELE.US,60,20200917,200000,195.42,197.3,195.42,197.3,6982,0
HELE.US,60,20200917,210000,196.99,198.09,196.76,197.75,34491,0
HELE.US,60,20200917,220000,197.56,197.56,195.78,196.42,35211,0
HELE.US,60,20200918,160000,197.9,199,196.47,198.31,47787,0
HELE.US,60,20200918,170000,198.475,198.93,195.97,195.97,30858,0
HELE.US,60,20200918,180000,195.905,196.23,195.26,195.59,16970,0
HELE.US,60,20200918,190000,195.525,195.525,194.54,194.7,8825,0
HELE.US,60,20200918,200000,194.62,195.35,193.96,195.17,13471,0
HELE.US,60,20200918,210000,195.15,195.538,194.73,195.11,17050,0
HELE.US,60,20200918,220000,195.53,196.2,193.94,194.8,221272,0
HELE.US,60,20200921,160000,192.31,192.31,191.75,191.75,1367,0
HELE.US,60,20200921,170000,190.8,190.8,188.41,189.63,4901,0
HELE.US,60,20200921,180000,189.47,190.91,188.805,190.585,10096,0
HELE.US,60,20200921,190000,190.37,191.02,189.885,190.46,8744,0
HELE.US,60,20200921,200000,190.41,191.72,190.32,191.14,7300,0
HELE.US,60,20200921,210000,191.15,191.49,190.46,191.345,5235,0
HELE.US,60,20200921,220000,191.27,192.31,191.13,192.06,49302,0
HELE.US,60,20200922,160000,191.89,192.94,191.32,191.72,2269,0
HELE.US,60,20200922,170000,191.905,193.88,191.905,192.28,7700,0
HELE.US,60,20200922,180000,191.29,191.925,190.32,190.98,4246,0
HELE.US,60,20200922,190000,190.99,192.23,190.89,191,8759,0
HELE.US,60,20200922,200000,190.87,191.83,190.592,191.72,8250,0
HELE.US,60,20200922,210000,191.82,192.41,191.61,191.92,8549,0
HELE.US,60,20200922,220000,192,192.17,191.15,191.46,42926,0
HELE.US,60,20200923,160000,191.48,192.76,191.28,191.58,1309,0
HELE.US,60,20200923,170000,191.62,191.88,189.265,190.935,7533,0
HELE.US,60,20200923,180000,191.01,191.72,190.42,190.535,4893,0
HELE.US,60,20200923,190000,190.49,191.08,190.18,190.36,10611,0
HELE.US,60,20200923,200000,190.335,191.315,190.32,190.9,25534,0
HELE.US,60,20200923,210000,190.7,190.7,187.5,187.7,12482,0
HELE.US,60,20200923,220000,187.74,187.74,185.04,185.13,56138,0
HELE.US,60,20200924,160000,182.245,186.76,182.245,186.4,2048,0
HELE.US,60,20200924,170000,186.815,188.54,186.08,187.005,3940,0
HELE.US,60,20200924,180000,187.92,189.41,187.01,188.31,24141,0
HELE.US,60,20200924,190000,188.82,189.4,188.17,189.26,10458,0
HELE.US,60,20200924,200000,189.13,190.13,188.76,189.465,22163,0
HELE.US,60,20200924,210000,188.91,189.1,187.45,187.45,5606,0
HELE.US,60,20200924,220000,187.51,188.7,186.61,188.65,27749,0
HELE.US,60,20200925,160000,187.15,187.87,186.02,186.73,6213,0
HELE.US,60,20200925,170000,186.75,187.045,185.28,185.48,24702,0
HELE.US,60,20200925,180000,185.16,186.12,184.03,184.39,4747,0
HELE.US,60,20200925,190000,184.54,185.41,184.54,185.41,1628,0
HELE.US,60,20200925,200000,185.37,187.2,185.29,186.49,6784,0
HELE.US,60,20200925,210000,186.52,186.7,185.98,186.62,5716,0
HELE.US,60,20200925,220000,186.46,186.855,185.86,185.9,50410,0
HELE.US,60,20200928,160000,187.57,189,187.1,188.872,11987,0
HELE.US,60,20200928,170000,189.08,192.25,188.1,191.86,20898,0
HELE.US,60,20200928,180000,191.87,193.9,191.78,193.485,14008,0
HELE.US,60,20200928,190000,193.41,194.85,193.3,194.48,6703,0
HELE.US,60,20200928,200000,194.54,195.68,194.33,195.665,11829,0
HELE.US,60,20200928,210000,195.57,196.835,195.31,196.45,10307,0
HELE.US,60,20200928,220000,196.515,197.25,196.375,197.23,43516,0
HELE.US,60,20200929,160000,197.8,198.75,196.705,197.18,21367,0
HELE.US,60,20200929,170000,197.73,199.97,197.2,198.15,14295,0
HELE.US,60,20200929,180000,198.23,199.68,197.99,199.31,17160,0
HELE.US,60,20200929,190000,199.13,199.37,196.16,196.67,18572,0
HELE.US,60,20200929,200000,197.31,198.79,196.78,198.5,9002,0
HELE.US,60,20200929,210000,198,199.49,198,199.41,22567,0
HELE.US,60,20200929,220000,199.41,201.39,198,199.4,120758,0
HELE.US,60,20200930,160000,200.03,201.41,199.43,199.44,1768,0
HELE.US,60,20200930,170000,199.16,200.895,199.16,200.2,7553,0
HELE.US,60,20200930,180000,200.55,200.57,199.86,200.1,5752,0
HELE.US,60,20200930,190000,200.45,200.925,199.27,199.27,5768,0
HELE.US,60,20200930,200000,198.87,198.87,196.64,196.64,4860,0
HELE.US,60,20200930,210000,196.695,197.05,193.8,194.41,13514,0
HELE.US,60,20200930,220000,194.29,194.29,192.08,193.52,65866,0
HELE.US,60,20201001,160000,193.29,196.15,192.11,192.505,9908,0
HELE.US,60,20201001,170000,192.15,196.74,190.11,196.74,33886,0
HELE.US,60,20201001,180000,196.315,197.97,196.03,197.97,9128,0
HELE.US,60,20201001,190000,198.15,200.12,198.15,199.75,10659,0
HELE.US,60,20201001,200000,199.915,201.25,199.84,200.52,11501,0
HELE.US,60,20201001,210000,200.68,201.98,199.25,201.89,10513,0
HELE.US,60,20201001,220000,201.705,202.89,198.74,199.69,56805,0
HELE.US,60,20201002,160000,195.37,198.99,193.79,198.99,4399,0
HELE.US,60,20201002,170000,199.2,200.97,198.505,200.315,8139,0
HELE.US,60,20201002,180000,199.63,201.03,198.89,198.89,8279,0
HELE.US,60,20201002,190000,198.38,200.35,198.38,200.02,4373,0
HELE.US,60,20201002,200000,200.03,200.605,199.33,199.745,6856,0
HELE.US,60,20201002,210000,199.73,200.32,199.585,200.32,9160,0
HELE.US,60,20201002,220000,200.375,201.46,199.75,199.83,42827,0
HELE.US,60,20201005,160000,201.5,203.015,201.5,202.68,12427,0
HELE.US,60,20201005,170000,203.33,204.92,203.33,204.655,9124,0
HELE.US,60,20201005,180000,204.41,204.83,203.67,204.15,18712,0
HELE.US,60,20201005,190000,204.05,206.25,203.7,206.22,18162,0
HELE.US,60,20201005,200000,206.415,206.98,204.77,204.77,21926,0
HELE.US,60,20201005,210000,204.64,206.03,204.14,206.03,12745,0
HELE.US,60,20201005,220000,206.03,207.46,205.82,207.19,58619,0
HELE.US,60,20201006,160000,209.88,209.88,207.065,207.065,13721,0
HELE.US,60,20201006,170000,207.025,209.27,204.75,205.14,19490,0
HELE.US,60,20201006,180000,205.205,208.12,204.095,205.17,38857,0
HELE.US,60,20201006,190000,205.325,207.04,204.97,206.755,8424,0
HELE.US,60,20201006,200000,207.29,208.51,206.57,206.83,7380,0
HELE.US,60,20201006,210000,207.03,208,203.014,203.582,18540,0
HELE.US,60,20201006,220000,203.61,204.995,202.58,203.31,54668,0
HELE.US,60,20201007,160000,206.05,206.812,204.5,206.1,22586,0
HELE.US,60,20201007,170000,206,207.9,203.61,206.98,26337,0
HELE.US,60,20201007,180000,207.015,207.4,205.31,206.98,12091,0
HELE.US,60,20201007,190000,207.02,207.03,205.165,206.01,49835,0
HELE.US,60,20201007,200000,206.02,206.87,205.46,205.46,14347,0
