<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEAWW.US,60,20200914,160000,0.37,0.4,0.37,0.391,25405,0
IEAWW.US,60,20200914,170000,0.391,0.391,0.37,0.37,6088,0
IEAWW.US,60,20200914,190000,0.3798,0.3799,0.32,0.32,14725,0
IEAWW.US,60,20200914,200000,0.3344,0.35,0.3272,0.35,4800,0
IEAWW.US,60,20200914,210000,0.33,0.36,0.33,0.36,2400,0
IEAWW.US,60,20200914,220000,0.375,0.375,0.36,0.36,2500,0
IEAWW.US,60,20200915,170000,0.3898,0.405,0.3898,0.4,9600,0
IEAWW.US,60,20200915,180000,0.4,0.42,0.381601,0.381601,39309,0
IEAWW.US,60,20200915,190000,0.4,0.402,0.4,0.402,11877,0
IEAWW.US,60,20200915,200000,0.4,0.402,0.4,0.401001,2103,0
IEAWW.US,60,20200915,210000,0.4,0.402,0.4,0.402,4400,0
IEAWW.US,60,20200915,220000,0.41,0.4211,0.362,0.4,51123,0
IEAWW.US,60,20200916,170000,0.4,0.4844,0.4,0.42,20007,0
IEAWW.US,60,20200916,180000,0.42,0.42,0.42,0.42,3500,0
IEAWW.US,60,20200916,190000,0.4201,0.4201,0.4201,0.4201,1000,0
IEAWW.US,60,20200916,200000,0.42,0.42,0.42,0.42,1500,0
IEAWW.US,60,20200916,210000,0.42,0.42,0.42,0.42,100,0
IEAWW.US,60,20200916,220000,0.42,0.43,0.42,0.43,1100,0
IEAWW.US,60,20200917,170000,0.3625,0.403955,0.3625,0.3644,1300,0
IEAWW.US,60,20200917,200000,0.39,0.3972,0.39,0.39,3310,0
IEAWW.US,60,20200917,210000,0.390001,0.44,0.39,0.44,2376,0
IEAWW.US,60,20200918,170000,0.37,0.389899,0.32,0.38,10056,0
IEAWW.US,60,20200918,180000,0.35,0.35,0.34,0.3497,16765,0
IEAWW.US,60,20200918,190000,0.3498,0.3498,0.3206,0.325,35555,0
IEAWW.US,60,20200918,200000,0.324899,0.35,0.2985,0.35,96558,0
IEAWW.US,60,20200918,210000,0.3499,0.37,0.3499,0.36,16000,0
IEAWW.US,60,20200918,220000,0.369899,0.399,0.369716,0.399,19223,0
IEAWW.US,60,20200921,180000,0.3511,0.395,0.3206,0.395,1896,0
IEAWW.US,60,20200921,190000,0.38,0.38,0.38,0.38,263,0
