<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMACW.US,60,20200914,210000,0.1701,0.1704,0.158309,0.16,11890,0
IMACW.US,60,20200914,220000,0.2,0.2,0.197321,0.197321,1572,0
IMACW.US,60,20200915,160000,0.1987,0.1987,0.1973,0.1983,700,0
IMACW.US,60,20200915,170000,0.1983,0.1983,0.1973,0.1973,620,0
IMACW.US,60,20200916,200000,0.1501,0.1501,0.1501,0.1501,1000,0
IMACW.US,60,20200916,220000,0.1897,0.1897,0.1895,0.1895,400,0
IMACW.US,60,20200917,160000,0.16,0.16,0.16,0.16,100,0
IMACW.US,60,20200917,170000,0.16,0.16,0.16,0.16,460,0
IMACW.US,60,20200917,180000,0.1698,0.1698,0.1698,0.1698,400,0
IMACW.US,60,20200918,220000,0.16,0.1778,0.14,0.1778,5420,0
IMACW.US,60,20200922,170000,0.1403,0.1407,0.14,0.1407,450,0
IMACW.US,60,20200923,200000,0.1405,0.1413,0.1405,0.1413,650,0
IMACW.US,60,20200925,160000,0.1399,0.1399,0.1399,0.1399,9389,0
IMACW.US,60,20200925,170000,0.12,0.1201,0.1101,0.1201,7400,0
IMACW.US,60,20200929,210000,0.1598,0.1699,0.1598,0.1699,1000,0
IMACW.US,60,20200930,180000,0.127,0.1277,0.127,0.1277,200,0
IMACW.US,60,20201008,190000,0.149253,0.15,0.149253,0.149855,1098,0
IMACW.US,60,20201013,220000,0.17,0.17,0.17,0.17,100,0
IMACW.US,60,20201015,200000,0.1795,0.1999,0.1369,0.1369,10175,0
IMACW.US,60,20201015,220000,0.17,0.17,0.1507,0.1507,5492,0
IMACW.US,60,20201019,200000,0.1507,0.1507,0.1507,0.1507,600,0
IMACW.US,60,20201021,170000,0.1206,0.1206,0.1202,0.1202,1900,0
IMACW.US,60,20201021,200000,0.15,0.150101,0.1498,0.1498,622,0
IMACW.US,60,20201021,210000,0.1498,0.1498,0.1299,0.13,2879,0
IMACW.US,60,20201021,220000,0.13,0.1317,0.13,0.1317,300,0
IMACW.US,60,20201026,150000,0.144301,0.144301,0.144301,0.144301,278,0
IMACW.US,60,20201026,160000,0.149,0.149,0.149,0.149,200,0
IMACW.US,60,20201026,170000,0.13505,0.13505,0.13505,0.13505,100,0
IMACW.US,60,20201027,190000,0.120601,0.120601,0.120601,0.120601,100,0
IMACW.US,60,20201027,210000,0.1499,0.1499,0.1499,0.1499,100,0
IMACW.US,60,20201029,170000,0.1601,0.1601,0.1601,0.1601,188,0
IMACW.US,60,20201102,160000,0.1206,0.1206,0.1206,0.1206,100,0
IMACW.US,60,20201104,190000,0.13,0.13,0.13,0.13,1200,0
IMACW.US,60,20201105,220000,0.16,0.16,0.156628,0.156628,2565,0
IMACW.US,60,20201110,190000,0.13,0.13,0.13,0.13,100,0
IMACW.US,60,20201111,220000,0.1207,0.1499,0.1207,0.1499,211,0
IMACW.US,60,20201112,160000,0.28,0.3994,0.250001,0.3494,22332,0
IMACW.US,60,20201112,170000,0.3,0.3699,0.27,0.3698,8989,0
IMACW.US,60,20201112,180000,0.3295,0.3398,0.25,0.25,3775,0
IMACW.US,60,20201112,190000,0.26,0.29,0.2388,0.2899,8900,0
IMACW.US,60,20201112,200000,0.2899,0.29,0.2899,0.2899,1240,0
IMACW.US,60,20201112,210000,0.25,0.2898,0.25,0.2898,1750,0
IMACW.US,60,20201112,220000,0.2899,0.2899,0.2293,0.2362,14497,0
IMACW.US,60,20201113,160000,0.230001,0.230001,0.230001,0.230001,200,0
IMACW.US,60,20201113,170000,0.18,0.2403,0.18,0.205,9300,0
IMACW.US,60,20201113,180000,0.1803,0.18193,0.1802,0.18193,3800,0
IMACW.US,60,20201113,200000,0.198569,0.2,0.1632,0.1632,9548,0
IMACW.US,60,20201113,220000,0.1861,0.19,0.1861,0.19,8164,0
IMACW.US,60,20201116,160000,0.19,0.1901,0.181001,0.19,1840,0
IMACW.US,60,20201116,200000,0.185,0.185,0.1699,0.1699,2698,0
IMACW.US,60,20201118,220000,0.17,0.18,0.1599,0.1599,9832,0
IMACW.US,60,20201119,170000,0.1499,0.15,0.1499,0.1499,1074,0
IMACW.US,60,20201120,160000,0.16,0.16,0.16,0.16,300,0
IMACW.US,60,20201120,170000,0.1985,0.1985,0.16,0.1985,994,0
IMACW.US,60,20201120,180000,0.199,0.199,0.199,0.199,1000,0
IMACW.US,60,20201123,160000,0.22,0.2201,0.22,0.2201,4196,0
IMACW.US,60,20201123,170000,0.22,0.22,0.22,0.22,1000,0
IMACW.US,60,20201123,190000,0.23,0.25,0.23,0.2351,5117,0
IMACW.US,60,20201123,200000,0.25,0.25,0.2499,0.2499,200,0
IMACW.US,60,20201123,220000,0.22,0.2335,0.22,0.2335,576,0
IMACW.US,60,20201124,160000,0.2,0.2,0.2,0.2,100,0
IMACW.US,60,20201124,170000,0.2,0.2001,0.2,0.2001,200,0
IMACW.US,60,20201124,180000,0.2,0.2001,0.2,0.2001,200,0
IMACW.US,60,20201124,190000,0.225,0.225,0.225,0.225,100,0
IMACW.US,60,20201125,160000,0.2125,0.2125,0.2,0.2,305,0
IMACW.US,60,20201125,180000,0.170101,0.2,0.170101,0.2,884,0
IMACW.US,60,20201125,190000,0.2,0.2,0.2,0.2,200,0
IMACW.US,60,20201127,180000,0.2,0.2,0.2,0.2,1000,0
IMACW.US,60,20201130,190000,0.1612,0.1621,0.1511,0.1511,3000,0
IMACW.US,60,20201202,160000,0.1513,0.1513,0.1513,0.1513,150,0
IMACW.US,60,20201204,170000,0.161,0.161,0.161,0.161,1878,0
IMACW.US,60,20201204,220000,0.1779,0.19134,0.1779,0.19134,1313,0
IMACW.US,60,20201207,190000,0.1656,0.1656,0.1656,0.1656,122,0
IMACW.US,60,20201209,160000,0.1675,0.1675,0.1419,0.145,12351,0
IMACW.US,60,20201209,200000,0.17,0.17,0.17,0.17,1000,0
IMACW.US,60,20201209,210000,0.17,0.17,0.169064,0.17,1412,0
IMACW.US,60,20201209,220000,0.18,0.1947,0.18,0.1947,2933,0
IMACW.US,60,20201210,190000,0.1947,0.1947,0.1947,0.1947,200,0
IMACW.US,60,20201210,210000,0.1947,0.2,0.1947,0.2,200,0
IMACW.US,60,20201211,180000,0.193163,0.2126,0.193163,0.2125,4293,0
IMACW.US,60,20201211,190000,0.2531,0.28,0.235888,0.28,2100,0
IMACW.US,60,20201211,220000,0.2401,0.2401,0.16,0.1719,14233,0
IMACW.US,60,20201216,160000,0.275,0.28,0.275,0.28,723,0
IMACW.US,60,20201216,170000,0.28,0.28,0.28,0.28,150,0
IMACW.US,60,20201216,180000,0.27,0.27,0.2699,0.27,900,0
IMACW.US,60,20201216,190000,0.269,0.4534,0.1855,0.1855,8608,0
IMACW.US,60,20201216,210000,0.3585,0.3585,0.3585,0.3585,200,0
IMACW.US,60,20201216,220000,0.25,0.3,0.25,0.3,1092,0
IMACW.US,60,20201217,160000,0.27,0.2714,0.27,0.27,1827,0
IMACW.US,60,20201217,180000,0.27,0.2714,0.27,0.2714,828,0
IMACW.US,60,20201217,190000,0.2714,0.2714,0.27,0.27,300,0
IMACW.US,60,20201218,170000,0.2002,0.2002,0.2002,0.2002,100,0
IMACW.US,60,20201218,190000,0.2596,0.27,0.2,0.2,1760,0
IMACW.US,60,20201218,220000,0.27,0.27,0.27,0.27,367,0
IMACW.US,60,20201221,170000,0.33,0.33,0.33,0.33,300,0
IMACW.US,60,20201221,180000,0.24,0.25,0.24,0.25,2500,0
IMACW.US,60,20201221,210000,0.2001,0.2011,0.2001,0.2011,468,0
IMACW.US,60,20201221,220000,0.2,0.225,0.2,0.2001,1950,0
IMACW.US,60,20201222,170000,0.203,0.203,0.2002,0.2002,1500,0
IMACW.US,60,20201223,190000,0.2002,0.2599,0.2002,0.2599,2820,0
IMACW.US,60,20201223,220000,0.27,0.2898,0.27,0.284001,902,0
IMACW.US,60,20201224,170000,0.25,0.25,0.25,0.25,400,0
IMACW.US,60,20201224,190000,0.29,0.29,0.29,0.29,700,0
IMACW.US,60,20201228,210000,0.3,0.3,0.3,0.3,400,0
IMACW.US,60,20201228,220000,0.366,0.4,0.3309,0.4,1881,0
IMACW.US,60,20201229,160000,0.4,0.4,0.4,0.4,400,0
IMACW.US,60,20201229,180000,0.2964,0.2964,0.25,0.25,3018,0
IMACW.US,60,20201230,160000,0.3899,0.452,0.365499,0.365499,15024,0
IMACW.US,60,20201230,170000,0.4,0.4,0.4,0.4,2000,0
IMACW.US,60,20201230,180000,0.366,0.4,0.3127,0.3439,2290,0
IMACW.US,60,20201230,210000,0.3106,0.3106,0.3106,0.3106,100,0
IMACW.US,60,20201231,160000,0.565,0.565,0.3203,0.5,2020,0
IMACW.US,60,20201231,180000,0.499,0.499,0.4,0.4,1100,0
IMACW.US,60,20201231,190000,0.4754,0.4854,0.4426,0.45,4100,0
IMACW.US,60,20210104,180000,0.4499,0.4499,0.4499,0.4499,100,0
IMACW.US,60,20210105,160000,0.45,0.4889,0.45,0.48,1793,0
IMACW.US,60,20210105,170000,0.45,0.4541,0.45,0.4541,8010,0
IMACW.US,60,20210105,180000,0.45,0.4501,0.43,0.4301,2408,0
IMACW.US,60,20210105,200000,0.4301,0.459899,0.43,0.43,688,0
IMACW.US,60,20210106,170000,0.4942,0.4942,0.4941,0.4941,200,0
IMACW.US,60,20210106,190000,0.5,0.5489,0.5,0.5489,700,0
IMACW.US,60,20210106,200000,0.594999,0.8,0.594999,0.8,1531,0
IMACW.US,60,20210106,210000,0.69,0.8,0.3201,0.3512,8230,0
IMACW.US,60,20210106,220000,0.398999,0.4153,0.398999,0.415299,2200,0
IMACW.US,60,20210107,160000,0.4179,0.4179,0.4179,0.4179,500,0
IMACW.US,60,20210107,170000,0.41,0.42,0.41,0.42,2678,0
IMACW.US,60,20210107,200000,0.5,0.5212,0.5,0.5212,3233,0
IMACW.US,60,20210108,160000,0.8,0.8,0.8,0.8,100,0
IMACW.US,60,20210108,170000,0.46,0.46,0.2903,0.301,4775,0
IMACW.US,60,20210108,200000,0.3999,0.4,0.3999,0.4,1974,0
IMACW.US,60,20210108,210000,0.49,0.49,0.49,0.49,400,0
