<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITHXW.US,60,20210323,200000,0.7001,0.7001,0.7001,0.7001,100,0
ITHXW.US,60,20210323,210000,0.7,0.7,0.65,0.65,100142,0
ITHXW.US,60,20210324,190000,0.95,0.95,0.8018,0.8018,1100,0
ITHXW.US,60,20210324,200000,0.7,0.7,0.7,0.7,300,0
ITHXW.US,60,20210330,220000,0.6,0.6,0.6,0.6,100,0
ITHXW.US,60,20210331,180000,0.69,0.69,0.69,0.69,56600,0
ITHXW.US,60,20210331,190000,0.85,0.85,0.85,0.85,200,0
ITHXW.US,60,20210401,170000,0.72,0.72,0.72,0.72,43500,0
ITHXW.US,60,20210401,180000,0.61,0.61,0.61,0.61,517,0
ITHXW.US,60,20210401,200000,0.6,0.6,0.6,0.6,19915,0
ITHXW.US,60,20210401,220000,0.56,0.56,0.56,0.56,180083,0
ITHXW.US,60,20210405,170000,0.55,0.55,0.55,0.55,200,0
ITHXW.US,60,20210407,190000,0.5501,0.5501,0.5501,0.5501,791,0
ITHXW.US,60,20210407,220000,0.56,0.56,0.56,0.56,2500,0
ITHXW.US,60,20210408,170000,0.615,0.615,0.615,0.615,100,0
ITHXW.US,60,20210408,200000,0.630001,0.630001,0.630001,0.630001,173,0
ITHXW.US,60,20210408,210000,0.63,0.63,0.62,0.62,4550,0
ITHXW.US,60,20210408,220000,0.63,0.63,0.63,0.63,390,0
ITHXW.US,60,20210409,200000,0.6,0.6,0.59,0.59,42618,0
ITHXW.US,60,20210409,210000,0.6001,0.6001,0.6001,0.6001,3400,0
ITHXW.US,60,20210409,220000,0.61,0.61,0.61,0.61,359,0
ITHXW.US,60,20210412,170000,0.65,0.7,0.65,0.68,34809,0
ITHXW.US,60,20210412,180000,0.68,0.6801,0.6795,0.68,21500,0
ITHXW.US,60,20210412,200000,0.69,0.7301,0.6754,0.73,14367,0
ITHXW.US,60,20210412,210000,0.7495,0.7505,0.7495,0.7505,30817,0
