<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JWEL.US,60,20210317,160000,8.6,10.05,8.6,10.05,230840,0
JWEL.US,60,20210317,170000,10,11,8.28,8.85,849358,0
JWEL.US,60,20210317,180000,8.87,8.9665,8.75,8.8736,101510,0
JWEL.US,60,20210317,190000,8.88,8.88,8.6,8.6798,62911,0
JWEL.US,60,20210317,200000,8.6563,8.6563,7.64,7.723,118632,0
JWEL.US,60,20210317,210000,7.74,8.71,7.71,8.71,131155,0
JWEL.US,60,20210318,150000,7.93,8.25,7.9081,8.06,46516,0
JWEL.US,60,20210318,160000,8.1,8.41,7.8,8.3,76220,0
JWEL.US,60,20210318,170000,8.2101,8.34,7.9115,7.92,45572,0
JWEL.US,60,20210318,180000,7.93,8.1,7.8455,7.9922,62219,0
JWEL.US,60,20210318,190000,7.98,8.15,7.95,8,17722,0
JWEL.US,60,20210318,200000,7.96,8.05,7.92,7.95,18239,0
JWEL.US,60,20210318,210000,8,8.05,7.26,7.26,63788,0
JWEL.US,60,20210319,150000,7.51,7.78,7.3593,7.365,10524,0
JWEL.US,60,20210319,160000,7.42,7.7499,7.35,7.545,17458,0
JWEL.US,60,20210319,170000,7.54,7.59,7.42,7.5241,14784,0
JWEL.US,60,20210319,180000,7.47,7.53,7.43,7.53,6392,0
JWEL.US,60,20210319,190000,7.54,7.58,7.47,7.498,5017,0
JWEL.US,60,20210319,200000,7.5,7.5,7.4,7.4,10780,0
JWEL.US,60,20210319,210000,7.3801,7.428,7.2601,7.33,17784,0
JWEL.US,60,20210322,150000,7.34,7.5,7.34,7.4926,9677,0
JWEL.US,60,20210322,160000,7.41,7.5,7.33,7.4,25360,0
JWEL.US,60,20210322,170000,7.4,7.4945,7.3335,7.4249,18147,0
JWEL.US,60,20210322,180000,7.5,7.7,7.45,7.6075,27876,0
JWEL.US,60,20210322,190000,7.5884,7.615,7.58,7.5977,2417,0
JWEL.US,60,20210322,200000,7.55,7.59,7.55,7.5802,2430,0
JWEL.US,60,20210322,210000,7.58,7.63,7.5,7.63,17672,0
JWEL.US,60,20210323,150000,7.48,7.63,7.41,7.4315,7688,0
JWEL.US,60,20210323,160000,7.47,7.61,7.42,7.47,27964,0
JWEL.US,60,20210323,170000,7.48,7.56,7.36,7.41,30113,0
JWEL.US,60,20210323,180000,7.375,7.375,7.302,7.302,2682,0
JWEL.US,60,20210323,190000,7.3,7.36,7.3,7.32,3000,0
JWEL.US,60,20210323,200000,7.32,7.46,7.225,7.36,24738,0
