<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBAL.US,60,20200914,160000,10.665,10.802,10.597,10.734,7006,0
KBAL.US,60,20200914,170000,10.739,10.773,10.587,10.665,21072,0
KBAL.US,60,20200914,180000,10.646,10.744,10.612,10.665,11155,0
KBAL.US,60,20200914,190000,10.684,10.734,10.617,10.734,9831,0
KBAL.US,60,20200914,200000,10.724,10.744,10.656,10.744,15571,0
KBAL.US,60,20200914,210000,10.734,10.734,10.674,10.704,8588,0
KBAL.US,60,20200914,220000,10.704,10.764,10.694,10.724,42642,0
KBAL.US,60,20200915,160000,10.792,10.89,10.724,10.734,4214,0
KBAL.US,60,20200915,170000,10.754,10.812,10.684,10.792,14095,0
KBAL.US,60,20200915,180000,10.797,10.802,10.597,10.622,5159,0
KBAL.US,60,20200915,190000,10.646,10.684,10.587,10.674,10975,0
KBAL.US,60,20200915,200000,10.674,10.764,10.646,10.764,7286,0
KBAL.US,60,20200915,210000,10.764,10.812,10.744,10.754,103827,0
KBAL.US,60,20200915,220000,10.773,10.773,10.665,10.684,55964,0
KBAL.US,60,20200916,160000,10.704,10.939,10.704,10.939,9688,0
KBAL.US,60,20200916,170000,10.988,11.012,10.821,10.881,15039,0
KBAL.US,60,20200916,180000,10.9,10.939,10.821,10.821,7367,0
KBAL.US,60,20200916,190000,10.821,10.861,10.782,10.861,7976,0
KBAL.US,60,20200916,200000,10.802,10.821,10.744,10.773,23144,0
KBAL.US,60,20200916,210000,10.777,10.841,10.764,10.773,21710,0
KBAL.US,60,20200916,220000,10.773,10.831,10.714,10.764,48358,0
KBAL.US,60,20200917,160000,10.646,11.086,10.646,11.056,13606,0
KBAL.US,60,20200917,170000,11.061,11.389,10.988,11.281,20047,0
KBAL.US,60,20200917,180000,11.252,11.428,11.218,11.218,25155,0
KBAL.US,60,20200917,190000,11.218,11.32,11.144,11.32,14406,0
KBAL.US,60,20200917,200000,11.284,11.409,11.262,11.399,36871,0
KBAL.US,60,20200917,210000,11.389,11.526,11.389,11.526,43622,0
KBAL.US,60,20200917,220000,11.526,11.583,11.486,11.526,61926,0
KBAL.US,60,20200918,160000,11.653,11.73,11.574,11.574,56776,0
KBAL.US,60,20200918,170000,11.556,11.75,11.496,11.72,14304,0
KBAL.US,60,20200918,180000,11.75,11.838,11.623,11.653,14825,0
KBAL.US,60,20200918,190000,11.623,11.633,11.466,11.476,10961,0
KBAL.US,60,20200918,200000,11.476,11.516,11.409,11.447,9699,0
KBAL.US,60,20200918,210000,11.466,11.593,11.447,11.583,12788,0
KBAL.US,60,20200918,220000,11.583,11.77,11.583,11.76,226584,0
KBAL.US,60,20200921,160000,11.418,11.476,11.31,11.359,5719,0
KBAL.US,60,20200921,170000,11.399,11.425,11.096,11.233,11958,0
KBAL.US,60,20200921,180000,11.242,11.31,11.076,11.144,10416,0
KBAL.US,60,20200921,190000,11.125,11.164,10.968,10.978,9060,0
KBAL.US,60,20200921,200000,10.978,11.036,10.929,10.929,9620,0
KBAL.US,60,20200921,210000,10.929,10.949,10.881,10.939,16784,0
KBAL.US,60,20200921,220000,10.939,11.096,10.939,11.027,50702,0
KBAL.US,60,20200922,160000,11.124,11.418,10.988,10.988,13151,0
KBAL.US,60,20200922,170000,10.959,11.056,10.881,10.881,14852,0
KBAL.US,60,20200922,180000,10.909,10.929,10.831,10.871,7378,0
KBAL.US,60,20200922,190000,10.881,10.909,10.841,10.881,6170,0
KBAL.US,60,20200922,200000,10.866,10.881,10.826,10.851,12838,0
KBAL.US,60,20200922,210000,10.871,10.998,10.861,10.919,7929,0
KBAL.US,60,20200922,220000,10.919,10.978,10.861,10.919,24557,0
KBAL.US,60,20200923,160000,10.9,11.007,10.665,10.674,13376,0
KBAL.US,60,20200923,170000,10.646,10.656,10.44,10.538,17752,0
KBAL.US,60,20200923,180000,10.546,10.546,10.343,10.343,19981,0
KBAL.US,60,20200923,190000,10.353,10.45,10.333,10.44,15962,0
KBAL.US,60,20200923,200000,10.45,10.538,10.43,10.538,15254,0
KBAL.US,60,20200923,210000,10.519,10.519,10.411,10.43,24996,0
KBAL.US,60,20200923,220000,10.43,10.465,10.372,10.372,77653,0
KBAL.US,60,20200924,160000,10.441,10.441,10.233,10.333,10901,0
KBAL.US,60,20200924,170000,10.343,10.353,10.115,10.145,6419,0
KBAL.US,60,20200924,180000,10.185,10.225,10.105,10.22,5634,0
KBAL.US,60,20200924,190000,10.233,10.372,10.233,10.372,5870,0
KBAL.US,60,20200924,200000,10.363,10.481,10.363,10.391,19701,0
KBAL.US,60,20200924,210000,10.401,10.436,10.303,10.315,6621,0
KBAL.US,60,20200924,220000,10.313,10.431,10.298,10.333,68980,0
KBAL.US,60,20200925,160000,10.225,10.431,10.225,10.333,2737,0
KBAL.US,60,20200925,170000,10.363,10.421,10.323,10.363,5903,0
KBAL.US,60,20200925,180000,10.323,10.401,10.323,10.323,3753,0
KBAL.US,60,20200925,190000,10.333,10.426,10.323,10.417,11249,0
KBAL.US,60,20200925,200000,10.431,10.451,10.372,10.372,5025,0
KBAL.US,60,20200925,210000,10.377,10.391,10.313,10.323,4319,0
KBAL.US,60,20200925,220000,10.323,10.372,10.303,10.313,25695,0
KBAL.US,60,20200928,160000,10.421,10.553,10.391,10.451,11791,0
KBAL.US,60,20200928,170000,10.471,10.539,10.421,10.471,10848,0
KBAL.US,60,20200928,180000,10.481,10.491,10.421,10.451,10904,0
KBAL.US,60,20200928,190000,10.446,10.51,10.421,10.431,7438,0
KBAL.US,60,20200928,200000,10.411,10.421,10.333,10.343,10378,0
KBAL.US,60,20200928,210000,10.323,10.411,10.323,10.405,7404,0
KBAL.US,60,20200928,220000,10.391,10.401,10.313,10.323,36301,0
KBAL.US,60,20200929,160000,10.343,10.471,10.225,10.253,9270,0
KBAL.US,60,20200929,170000,10.233,10.273,10.086,10.086,18265,0
KBAL.US,60,20200929,180000,10.077,10.17,10.077,10.105,7869,0
KBAL.US,60,20200929,190000,10.105,10.205,10.077,10.155,5769,0
KBAL.US,60,20200929,200000,10.135,10.205,10.125,10.205,4527,0
KBAL.US,60,20200929,210000,10.205,10.303,10.185,10.253,8373,0
KBAL.US,60,20200929,220000,10.273,10.293,10.225,10.243,20114,0
KBAL.US,60,20200930,160000,10.283,10.51,10.283,10.51,9052,0
