<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LANC.US,60,20200914,160000,170.04,172.55,170.04,172.01,606,0
LANC.US,60,20200914,170000,174.05,174.87,173.91,174.87,2521,0
LANC.US,60,20200914,180000,174.81,174.97,174.32,174.65,2018,0
LANC.US,60,20200914,190000,174.47,174.47,174.27,174.42,606,0
LANC.US,60,20200914,200000,174.7,175.12,174.63,174.81,2634,0
LANC.US,60,20200914,210000,175.1,175.49,174.89,175.13,2420,0
LANC.US,60,20200914,220000,174.99,175.47,174.29,175.12,27873,0
LANC.US,60,20200915,160000,183.38,183.38,177.96,179.26,7799,0
LANC.US,60,20200915,170000,179.28,180.07,178.84,179.87,1714,0
LANC.US,60,20200915,180000,180.06,180.46,179.57,179.65,2118,0
LANC.US,60,20200915,190000,179.28,179.28,176.86,176.86,6455,0
LANC.US,60,20200915,200000,176.95,178.28,176.4,177.98,7163,0
LANC.US,60,20200915,210000,177.94,177.94,176.18,176.36,13761,0
LANC.US,60,20200915,220000,176.4,176.54,175.41,175.93,53918,0
LANC.US,60,20200916,160000,176.38,179.72,176.38,176.4,1110,0
LANC.US,60,20200916,170000,177.05,177.05,176.11,176.2,2521,0
LANC.US,60,20200916,180000,176.45,177.6,176.29,177.6,2825,0
LANC.US,60,20200916,190000,177.53,177.77,177.53,177.61,1716,0
LANC.US,60,20200916,200000,177.44,177.44,176.82,177,2319,0
LANC.US,60,20200916,210000,177.16,179.19,177.16,178.53,6938,0
LANC.US,60,20200916,220000,178.49,178.56,177.13,177.63,32032,0
LANC.US,60,20200917,160000,175.67,177.58,175.67,177.58,1329,0
LANC.US,60,20200917,170000,175.87,177.24,175.45,176.53,2420,0
LANC.US,60,20200917,180000,176.99,176.99,176.06,176.06,1961,0
LANC.US,60,20200917,190000,176.19,176.51,175.67,176.5,4047,0
LANC.US,60,20200917,200000,176.48,176.79,176.06,176.06,5072,0
LANC.US,60,20200917,210000,176.24,176.67,176.16,176.28,4517,0
LANC.US,60,20200917,220000,176.12,176.53,175.82,176.31,30936,0
LANC.US,60,20200918,160000,177.79,178.42,177,178.42,42829,0
LANC.US,60,20200918,170000,178.17,179.41,178.17,179.23,4629,0
LANC.US,60,20200918,180000,179.34,179.79,178.72,179.18,3944,0
LANC.US,60,20200918,190000,179.14,179.14,176.56,176.95,3864,0
LANC.US,60,20200918,200000,177.02,177.02,175.39,176.14,2422,0
LANC.US,60,20200918,210000,176.21,176.4,175.66,176.13,3580,0
LANC.US,60,20200918,220000,176.26,178.12,175.88,177.88,159697,0
LANC.US,60,20200921,160000,175.68,175.68,174.09,174.66,1378,0
LANC.US,60,20200921,170000,176.18,176.81,175.13,176.81,2275,0
