<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFTR.US,60,20201221,160000,10.64,10.64,10.5,10.5,660,0
LFTR.US,60,20201221,170000,10.5,10.5,9.96,10.0936,9959,0
LFTR.US,60,20201221,180000,10.1,10.1,10.085,10.085,700,0
LFTR.US,60,20201221,190000,10.1,10.11,9.99,9.9964,12835,0
LFTR.US,60,20201221,200000,10,10.4861,9.995,10.1,85861,0
LFTR.US,60,20201221,210000,10.1,10.155,10.01,10.155,5085,0
LFTR.US,60,20201221,220000,10.1,10.15,10.1,10.15,2640,0
LFTR.US,60,20201222,160000,10.25,10.29,10.1805,10.25,2900,0
LFTR.US,60,20201222,170000,10.16,10.2232,10.15,10.19,1211,0
LFTR.US,60,20201222,180000,10.22,10.26,10.1,10.2,13166,0
LFTR.US,60,20201222,190000,10.2,10.2,10.1,10.155,6924,0
LFTR.US,60,20201222,200000,10.15,10.15,10.1,10.14,3200,0
LFTR.US,60,20201222,210000,10.15,10.16,10.1,10.15,21245,0
LFTR.US,60,20201222,220000,10.2256,10.87,10.09,10.5,56599,0
LFTR.US,60,20201223,160000,11.2,11.7,10.75,10.75,61974,0
LFTR.US,60,20201223,170000,10.72,11,10.58,10.63,131648,0
LFTR.US,60,20201223,180000,10.65,10.75,10.4,10.5,133278,0
LFTR.US,60,20201223,190000,10.5,10.65,10.45,10.49,41552,0
LFTR.US,60,20201223,200000,10.4999,10.6999,10.44,10.5874,41802,0
LFTR.US,60,20201223,210000,10.58,10.64,10.4309,10.4772,22775,0
LFTR.US,60,20201223,220000,10.4772,10.6399,10.3871,10.54,57501,0
LFTR.US,60,20201224,160000,10.45,10.65,10.45,10.47,27061,0
LFTR.US,60,20201224,170000,10.48,10.545,10.35,10.45,36051,0
LFTR.US,60,20201224,180000,10.45,10.45,10.37,10.41,3388,0
LFTR.US,60,20201224,190000,10.4137,10.4499,10.25,10.31,18719,0
LFTR.US,60,20201224,200000,10.325,10.325,10.325,10.325,437,0
LFTR.US,60,20201228,160000,10.44,10.58,10.4,10.5403,20094,0
LFTR.US,60,20201228,170000,10.55,10.5792,10.45,10.4769,10801,0
LFTR.US,60,20201228,180000,10.49,10.5,10.25,10.36,30324,0
LFTR.US,60,20201228,190000,10.36,10.4,10.33,10.37,9652,0
LFTR.US,60,20201228,200000,10.3655,10.46,10.3655,10.422,20903,0
LFTR.US,60,20201228,210000,10.45,10.5,10.42,10.4799,17019,0
LFTR.US,60,20201228,220000,10.4588,10.5,10.35,10.43,60955,0
LFTR.US,60,20201229,160000,10.45,10.49,10.3602,10.37,19363,0
LFTR.US,60,20201229,170000,10.4399,10.44,10.35,10.41,13038,0
LFTR.US,60,20201229,180000,10.395,10.395,10.375,10.39,1200,0
LFTR.US,60,20201229,190000,10.35,10.4,10.31,10.4,5488,0
LFTR.US,60,20201229,200000,10.385,10.41,10.3338,10.37,4242,0
LFTR.US,60,20201229,210000,10.38,10.42,10.37,10.42,7070,0
LFTR.US,60,20201229,220000,10.4,10.43,10.3911,10.43,3498,0
LFTR.US,60,20201230,160000,10.5,10.5,10.4,10.4,759,0
LFTR.US,60,20201230,170000,10.412,10.45,10.37,10.37,28129,0
LFTR.US,60,20201230,180000,10.3646,10.4547,10.28,10.4389,64805,0
LFTR.US,60,20201230,190000,10.385,10.5152,10.33,10.5,45209,0
LFTR.US,60,20201230,200000,10.46,10.4794,10.41,10.4507,6479,0
LFTR.US,60,20201230,210000,10.4301,10.4301,10.32,10.35,11524,0
LFTR.US,60,20201230,220000,10.35,10.44,10.35,10.44,12951,0
LFTR.US,60,20201231,160000,10.5,10.6,10.35,10.35,37719,0
LFTR.US,60,20201231,170000,10.35,10.48,10.3,10.4,11882,0
LFTR.US,60,20201231,180000,10.32,10.4,10.3,10.3778,16304,0
LFTR.US,60,20201231,190000,10.37,10.44,10.37,10.42,5494,0
LFTR.US,60,20201231,200000,10.395,10.43,10.35,10.4,3610,0
LFTR.US,60,20201231,210000,10.42,10.49,10.42,10.49,2069,0
LFTR.US,60,20201231,220000,10.49,10.49,10.295,10.35,19592,0
LFTR.US,60,20210104,160000,10.6,10.85,10.513,10.58,36804,0
LFTR.US,60,20210104,170000,10.58,10.78,10.55,10.57,36471,0
LFTR.US,60,20210104,180000,10.567,10.64,10.39,10.4556,39511,0
LFTR.US,60,20210104,190000,10.4501,10.54,10.36,10.4552,14057,0
LFTR.US,60,20210104,200000,10.4725,10.58,10.4,10.51,25836,0
LFTR.US,60,20210104,210000,10.51,10.58,10.5,10.58,25129,0
LFTR.US,60,20210104,220000,10.58,10.64,10.5,10.6,52260,0
LFTR.US,60,20210105,160000,10.62,10.62,10.54,10.55,8222,0
LFTR.US,60,20210105,170000,10.55,10.55,10.4879,10.4879,17772,0
LFTR.US,60,20210105,180000,10.4999,10.53,10.4999,10.5,12356,0
LFTR.US,60,20210105,190000,10.5,10.52,10.47,10.5,4861,0
LFTR.US,60,20210105,200000,10.5,10.5001,10.45,10.45,54089,0
LFTR.US,60,20210105,210000,10.5,10.5,10.4,10.45,36326,0
LFTR.US,60,20210105,220000,10.45,10.49,10.38,10.48,41623,0
LFTR.US,60,20210106,160000,10.49,10.49,10.3999,10.3999,1522,0
LFTR.US,60,20210106,170000,10.42,10.42,10.37,10.4,42806,0
LFTR.US,60,20210106,180000,10.3898,10.42,10.38,10.405,7414,0
LFTR.US,60,20210106,190000,10.4,10.45,10.38,10.4301,10416,0
LFTR.US,60,20210106,200000,10.4301,10.4899,10.4,10.44,6680,0
LFTR.US,60,20210106,210000,10.44,10.49,10.4201,10.4201,7916,0
LFTR.US,60,20210106,220000,10.455,10.455,10.34,10.37,22833,0
LFTR.US,60,20210107,160000,10.45,10.45,10.35,10.39,9007,0
LFTR.US,60,20210107,170000,10.4,10.4,10.31,10.37,15334,0
LFTR.US,60,20210107,180000,10.3697,10.4899,10.35,10.455,12237,0
LFTR.US,60,20210107,190000,10.44,10.485,10.4296,10.44,5847,0
LFTR.US,60,20210107,200000,10.42,10.49,10.41,10.48,22245,0
LFTR.US,60,20210107,210000,10.48,10.49,10.45,10.45,32468,0
LFTR.US,60,20210107,220000,10.47,10.49,10.4,10.49,31708,0
LFTR.US,60,20210108,160000,10.73,10.73,10.55,10.71,12497,0
LFTR.US,60,20210108,170000,10.73,10.8,10.55,10.6,27881,0
LFTR.US,60,20210108,180000,10.5946,10.66,10.53,10.56,49970,0
LFTR.US,60,20210108,190000,10.6,10.65,10.55,10.6,11644,0
LFTR.US,60,20210108,200000,10.66,10.66,10.57,10.6,10167,0
LFTR.US,60,20210108,210000,10.6,10.64,10.51,10.5689,36645,0
LFTR.US,60,20210108,220000,10.5849,10.68,10.54,10.68,43981,0
LFTR.US,60,20210111,160000,10.75,10.75,10.6,10.6464,20700,0
LFTR.US,60,20210111,170000,10.6599,10.74,10.51,10.665,36650,0
