<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMAO.US,60,20210319,150000,9.95,9.9734,9.8,9.8236,13120,0
LMAO.US,60,20210319,160000,9.8396,9.8396,9.8,9.8,4849,0
LMAO.US,60,20210319,170000,9.8082,9.828,9.8082,9.828,1465,0
LMAO.US,60,20210319,180000,9.807,9.84,9.8,9.8166,10037,0
LMAO.US,60,20210319,190000,9.82,9.84,9.82,9.83,2597,0
LMAO.US,60,20210319,200000,9.82,9.82,9.81,9.81,3324,0
LMAO.US,60,20210319,210000,9.8096,9.81,9.8,9.81,5269,0
LMAO.US,60,20210322,150000,9.82,9.82,9.78,9.7815,112818,0
LMAO.US,60,20210322,160000,9.7867,9.792,9.78,9.79,18475,0
LMAO.US,60,20210322,170000,9.79,9.791,9.79,9.79,9015,0
LMAO.US,60,20210322,180000,9.8,9.81,9.79,9.805,75244,0
LMAO.US,60,20210322,190000,9.8001,9.804,9.79,9.79,8070,0
LMAO.US,60,20210322,200000,9.8,9.805,9.79,9.8,31959,0
LMAO.US,60,20210322,210000,9.8089,9.81,9.8,9.8,1555,0
LMAO.US,60,20210323,150000,9.8,9.8,9.79,9.795,22292,0
LMAO.US,60,20210323,160000,9.79,9.8,9.79,9.8,28240,0
LMAO.US,60,20210323,170000,9.8,9.81,9.79,9.8,61685,0
LMAO.US,60,20210323,180000,9.8007,9.8007,9.79,9.79,78681,0
LMAO.US,60,20210323,190000,9.79,9.79,9.77,9.78,72156,0
LMAO.US,60,20210323,200000,9.78,9.78,9.75,9.76,9807,0
LMAO.US,60,20210323,210000,9.76,9.79,9.76,9.79,4959,0
LMAO.US,60,20210324,150000,9.79,9.81,9.79,9.79,28490,0
LMAO.US,60,20210324,160000,9.79,9.79,9.79,9.79,7372,0
LMAO.US,60,20210324,170000,9.79,9.79,9.79,9.79,77411,0
LMAO.US,60,20210324,180000,9.785,9.785,9.77,9.785,1698,0
LMAO.US,60,20210324,200000,9.7883,9.79,9.77,9.77,42404,0
LMAO.US,60,20210324,210000,9.7784,9.78,9.77,9.77,7760,0
LMAO.US,60,20210325,160000,9.7,9.72,9.67,9.72,21070,0
LMAO.US,60,20210325,170000,9.7,9.72,9.7,9.7075,500,0
LMAO.US,60,20210325,180000,9.7,9.71,9.69,9.71,5000,0
LMAO.US,60,20210325,190000,9.71,9.71,9.71,9.71,200,0
LMAO.US,60,20210325,200000,9.72,9.72,9.71,9.71,200,0
LMAO.US,60,20210325,210000,9.72,9.8,9.715,9.8,15512,0
LMAO.US,60,20210326,150000,9.78,9.78,9.78,9.78,3300,0
LMAO.US,60,20210326,160000,9.7826,9.7883,9.78,9.7883,23500,0
LMAO.US,60,20210326,170000,9.7826,9.7826,9.78,9.78,16535,0
LMAO.US,60,20210326,180000,9.78,9.7977,9.78,9.78,7565,0
LMAO.US,60,20210326,190000,9.78,9.78,9.78,9.78,900,0
