<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTRPB.US,60,20200914,190000,37.1601,37.1601,37.1601,37.1601,137,0
LTRPB.US,60,20200914,200000,37.16,39.01,37.16,39.01,200,0
LTRPB.US,60,20200914,220000,37.25,37.25,37.25,37.25,200,0
LTRPB.US,60,20200915,160000,37.09,40.8,37.09,40.8,830,0
LTRPB.US,60,20200915,180000,41.8,41.98,38.18,38.18,916,0
LTRPB.US,60,20200915,190000,38.1566,38.1566,38.1566,38.1566,200,0
LTRPB.US,60,20200916,160000,38.28,38.28,38.28,38.28,218,0
LTRPB.US,60,20200916,210000,38.6296,38.6296,38.6296,38.6296,100,0
LTRPB.US,60,20200917,160000,38.2,38.2,38.2,38.2,207,0
LTRPB.US,60,20200918,210000,38.7215,38.7215,38.53,38.53,392,0
LTRPB.US,60,20200923,160000,39,40.4,38.94,40.295,1051,0
LTRPB.US,60,20200923,170000,38.0123,38.0123,38.0123,38.0123,111,0
LTRPB.US,60,20200924,160000,37.25,37.25,37,37,254,0
LTRPB.US,60,20200924,170000,36.5,36.9,35.225,35.225,840,0
LTRPB.US,60,20200924,180000,33,35.8956,33,35.8956,350,0
LTRPB.US,60,20200924,190000,36.74,36.74,36.74,36.74,375,0
LTRPB.US,60,20200924,220000,36.57,36.57,36.57,36.57,100,0
LTRPB.US,60,20200925,190000,38.418,38.64,37.69,38.64,665,0
LTRPB.US,60,20200925,210000,35.86,36.05,35.7,35.77,500,0
LTRPB.US,60,20201001,160000,34.0001,34.0001,34.0001,34.0001,106,0
LTRPB.US,60,20201001,210000,37.1,37.1,37.1,37.1,100,0
LTRPB.US,60,20201002,220000,33.25,33.25,33.25,33.25,160,0
LTRPB.US,60,20201005,160000,35.9889,35.9889,35.9889,35.9889,180,0
LTRPB.US,60,20201005,170000,36.33,36.33,36,36,300,0
LTRPB.US,60,20201006,160000,34.35,36.06,34.35,36.06,300,0
LTRPB.US,60,20201006,220000,35,36.3299,34.37,34.37,373,0
LTRPB.US,60,20201007,160000,34.69,34.69,34.69,34.69,193,0
LTRPB.US,60,20201007,220000,35.9322,35.9322,35.9322,35.9322,200,0
LTRPB.US,60,20201008,160000,34.5975,34.5975,34.5975,34.5975,219,0
LTRPB.US,60,20201008,190000,34.6,34.96,34.6,34.96,200,0
LTRPB.US,60,20201008,210000,36.1487,36.1487,34.8515,34.8515,408,0
LTRPB.US,60,20201013,160000,35.425,35.425,35.42,35.42,200,0
LTRPB.US,60,20201013,170000,35.3365,35.4199,35.3365,35.4199,220,0
LTRPB.US,60,20201013,220000,35.42,36.2687,35.42,36.2687,250,0
