<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGLN.US,60,20200914,160000,75.33,75.76,74.81,75.76,1825,0
MGLN.US,60,20200914,170000,75.54,75.66,75.1,75.275,4700,0
MGLN.US,60,20200914,180000,75.45,76.088,75.34,76.035,5399,0
MGLN.US,60,20200914,190000,76.03,76.79,76.03,76.535,7344,0
MGLN.US,60,20200914,200000,76.52,76.52,76.05,76.05,2700,0
MGLN.US,60,20200914,210000,76.215,76.34,76,76.21,4700,0
MGLN.US,60,20200914,220000,76.15,76.15,75.51,75.68,36031,0
MGLN.US,60,20200915,160000,76,76.44,75.8,75.84,1243,0
MGLN.US,60,20200915,170000,75.78,76.01,75.24,75.93,2873,0
MGLN.US,60,20200915,180000,75.92,75.92,75.11,75.335,9200,0
MGLN.US,60,20200915,190000,75.37,75.74,75.34,75.62,3800,0
MGLN.US,60,20200915,200000,75.675,76.11,75.675,75.98,2100,0
MGLN.US,60,20200915,210000,75.89,76.135,75.87,75.9,5000,0
MGLN.US,60,20200915,220000,75.99,75.99,75.37,75.46,25463,0
MGLN.US,60,20200916,160000,75.7,76.54,75.41,76.54,2719,0
MGLN.US,60,20200916,170000,77,77.14,76.48,76.48,3692,0
MGLN.US,60,20200916,180000,76.68,76.74,76.4,76.71,7810,0
MGLN.US,60,20200916,190000,76.675,76.73,76.425,76.425,3608,0
MGLN.US,60,20200916,200000,76.29,76.29,76,76.02,2390,0
MGLN.US,60,20200916,210000,75.99,76.37,75.97,76.02,3900,0
MGLN.US,60,20200916,220000,76.07,76.07,75.235,75.37,37815,0
MGLN.US,60,20200917,160000,74.77,75.04,73.77,74.835,2722,0
MGLN.US,60,20200917,170000,74.65,75.16,74.505,74.81,4975,0
MGLN.US,60,20200917,180000,74.735,75.21,74.26,74.33,8054,0
MGLN.US,60,20200917,190000,74.21,74.21,73.61,73.85,5303,0
MGLN.US,60,20200917,200000,73.7,73.9,73.49,73.84,6788,0
MGLN.US,60,20200917,210000,73.92,74.12,73.8537,74.08,9560,0
MGLN.US,60,20200917,220000,74.13,74.48,73.99,74.09,69649,0
MGLN.US,60,20200918,160000,74.32,76.1,74.32,74.67,34633,0
MGLN.US,60,20200918,170000,74.5,76.01,74.5,75.06,3857,0
MGLN.US,60,20200918,180000,75.29,75.585,75.22,75.5,4930,0
MGLN.US,60,20200918,190000,75.37,75.37,73.97,73.97,5800,0
MGLN.US,60,20200918,200000,74.07,74.4325,73.94,74.365,18700,0
MGLN.US,60,20200918,210000,74.38,74.9,74.33,74.9,6320,0
MGLN.US,60,20200918,220000,74.965,74.975,74.5,74.53,136038,0
MGLN.US,60,20200921,160000,73.08,73.08,71.235,71.25,2771,0
MGLN.US,60,20200921,170000,71.01,71.03,69.41,69.59,9642,0
MGLN.US,60,20200921,180000,69.52,70.06,69.35,69.41,10450,0
MGLN.US,60,20200921,190000,69.49,70.24,69.47,70.03,7680,0
MGLN.US,60,20200921,200000,70.01,70.655,69.97,70.42,3976,0
MGLN.US,60,20200921,210000,70.34,70.63,70.11,70.6,7577,0
MGLN.US,60,20200921,220000,70.69,71.45,70.69,71.36,34742,0
MGLN.US,60,20200922,160000,71.77,71.77,69.85,70.23,1200,0
MGLN.US,60,20200922,170000,70.335,71.27,70.11,71.24,8229,0
MGLN.US,60,20200922,180000,71.04,71.51,70.88,71.44,9064,0
MGLN.US,60,20200922,190000,71.45,71.63,71.1,71.1,5460,0
MGLN.US,60,20200922,200000,71.19,71.93,71.19,71.885,10708,0
MGLN.US,60,20200922,210000,72.11,72.605,71.9,72.28,11024,0
MGLN.US,60,20200922,220000,72.26,72.26,71.73,71.74,30949,0
MGLN.US,60,20200923,160000,71.79,72.34,71.79,72.02,1392,0
MGLN.US,60,20200923,170000,72.14,72.14,71.32,71.73,4300,0
MGLN.US,60,20200923,180000,71.66,71.87,71.44,71.58,6919,0
MGLN.US,60,20200923,190000,71.58,71.88,71.4,71.64,3000,0
MGLN.US,60,20200923,200000,71.65,71.66,71.16,71.34,4375,0
MGLN.US,60,20200923,210000,71.26,71.655,70.49,71.475,13001,0
MGLN.US,60,20200923,220000,71.44,71.93,71.16,71.16,54083,0
MGLN.US,60,20200924,160000,71.14,71.37,70.17,71.37,10692,0
MGLN.US,60,20200924,170000,71.175,72.19,70.96,71.73,20933,0
MGLN.US,60,20200924,180000,71.57,71.57,70.51,70.76,4900,0
MGLN.US,60,20200924,190000,70.875,71.14,70.59,71.14,22254,0
MGLN.US,60,20200924,200000,71.17,72.54,71.17,72.14,16001,0
MGLN.US,60,20200924,210000,72.31,72.56,71.9,71.9,9807,0
MGLN.US,60,20200924,220000,71.93,71.95,71.27,71.54,35108,0
MGLN.US,60,20200925,160000,71.14,71.89,70.93,71.89,3106,0
MGLN.US,60,20200925,170000,71.9175,71.945,71.37,71.845,8308,0
MGLN.US,60,20200925,180000,71.845,72.1,71.62,71.99,8978,0
MGLN.US,60,20200925,190000,71.99,72.32,71.79,72.25,7648,0
MGLN.US,60,20200925,200000,72.19,72.49,72.19,72.375,6307,0
MGLN.US,60,20200925,210000,72.31,72.59,72.14,72.475,15354,0
MGLN.US,60,20200925,220000,72.52,73.33,72.52,73.15,49809,0
MGLN.US,60,20200928,160000,73.82,75.17,73.17,74.8,3010,0
MGLN.US,60,20200928,170000,74.8,75.58,74.22,75.14,49700,0
MGLN.US,60,20200928,180000,75.31,75.31,74.6521,74.76,6119,0
MGLN.US,60,20200928,190000,74.68,75.09,74.68,74.8,5624,0
MGLN.US,60,20200928,200000,74.7,74.87,74.44,74.64,5695,0
MGLN.US,60,20200928,210000,74.44,74.71,74.435,74.71,5400,0
MGLN.US,60,20200928,220000,74.65,74.65,73.58,73.78,33315,0
MGLN.US,60,20200929,160000,74.04,74.8,73.62,73.62,1621,0
MGLN.US,60,20200929,170000,74.14,74.35,73.29,73.65,5700,0
MGLN.US,60,20200929,180000,73.595,73.92,73.2,73.2,31403,0
MGLN.US,60,20200929,190000,73.1,73.66,73.1,73.61,6443,0
MGLN.US,60,20200929,200000,73.71,73.775,73.21,73.53,2560,0
MGLN.US,60,20200929,210000,73.6,74.66,73.36,74.55,4300,0
MGLN.US,60,20200929,220000,74.5,74.79,74.35,74.71,20422,0
MGLN.US,60,20200930,160000,74.8,75.93,74.8,75.875,3034,0
MGLN.US,60,20200930,170000,75.94,76.6,75.7875,76.16,4200,0
MGLN.US,60,20200930,180000,76.18,76.5,75.85,76.29,3908,0
MGLN.US,60,20200930,190000,76.38,76.79,76.32,76.79,3100,0
MGLN.US,60,20200930,200000,76.865,76.9,76.43,76.65,4900,0
MGLN.US,60,20200930,210000,76.68,76.935,75.87,76.3,10108,0
MGLN.US,60,20200930,220000,76.43,76.47,75.595,75.78,106983,0
MGLN.US,60,20201001,160000,76.31,76.39,75.79,75.79,2618,0
MGLN.US,60,20201001,170000,75.08,75.72,74.6,74.6,3200,0
MGLN.US,60,20201001,180000,74.62,74.92,74.21,74.92,5091,0
MGLN.US,60,20201001,190000,74.9,75.55,74.84,75.5,4200,0
MGLN.US,60,20201001,200000,75.54,75.76,75.29,75.495,4282,0
MGLN.US,60,20201001,210000,75.43,76.01,75.09,75.92,5000,0
MGLN.US,60,20201001,220000,76,76.07,75.51,76.05,28700,0
MGLN.US,60,20201002,160000,74.95,76.185,74.95,76.185,1501,0
MGLN.US,60,20201002,170000,76.185,76.58,75.91,76.57,2681,0
MGLN.US,60,20201002,180000,76.14,76.48,75.89,76.3,1800,0
MGLN.US,60,20201002,190000,75.975,78.07,75.975,77.999,12614,0
MGLN.US,60,20201002,200000,78.04,78.13,77.33,77.33,2068,0
MGLN.US,60,20201002,210000,77.795,78,77.555,77.555,5726,0
MGLN.US,60,20201002,220000,77.65,78.03,77.61,77.83,45855,0
MGLN.US,60,20201005,160000,78,78.02,77.415,78,12878,0
MGLN.US,60,20201005,170000,78,78.9,77.71,78.35,16152,0
MGLN.US,60,20201005,180000,78.35,78.77,78.07,78.09,10334,0
MGLN.US,60,20201005,190000,78.175,78.37,77.63,78.24,9800,0
MGLN.US,60,20201005,200000,78.3375,78.5,78.22,78.35,14932,0
MGLN.US,60,20201005,210000,78.26,78.5,78.16,78.5,5420,0
MGLN.US,60,20201005,220000,78.49,78.6,78,78.06,68221,0
MGLN.US,60,20201006,160000,78.71,78.71,78.1,78.48,1692,0
MGLN.US,60,20201006,170000,78.26,78.42,77.96,78.2,2514,0
MGLN.US,60,20201006,180000,78.3,78.34,77.86,77.86,6240,0
MGLN.US,60,20201006,190000,77.8,78.5,77.59,78.31,8028,0
MGLN.US,60,20201006,200000,78.38,78.5,78.23,78.29,17540,0
MGLN.US,60,20201006,210000,78.34,78.48,77.27,77.46,9187,0
MGLN.US,60,20201006,220000,77.56,78.05,77.06,77.06,69088,0
MGLN.US,60,20201007,160000,77.77,78.43,77.31,77.32,1648,0
MGLN.US,60,20201007,170000,77.76,78.53,77.76,77.975,9259,0
MGLN.US,60,20201007,180000,78,78.49,78,78.045,4280,0
MGLN.US,60,20201007,190000,77.83,77.91,77.54,77.68,2001,0
MGLN.US,60,20201007,200000,77.77,78.17,77.65,78.17,5700,0
MGLN.US,60,20201007,210000,78.24,78.35,77.96,77.96,10228,0
MGLN.US,60,20201007,220000,77.95,78.09,77.8,77.9,51332,0
MGLN.US,60,20201008,160000,78.31,78.31,77.555,78.195,2282,0
MGLN.US,60,20201008,170000,78.02,78.135,77.56,77.97,5323,0
MGLN.US,60,20201008,180000,77.96,78.03,77.1,77.57,5130,0
MGLN.US,60,20201008,190000,77.455,77.92,77.34,77.75,1500,0
MGLN.US,60,20201008,200000,77.66,78.045,77.66,78.045,1400,0
MGLN.US,60,20201008,210000,77.93,78.17,77.6001,77.83,5130,0
MGLN.US,60,20201008,220000,77.6,78.045,77.41,77.6,21021,0
MGLN.US,60,20201009,160000,78.16,78.16,77.55,77.78,2531,0
MGLN.US,60,20201009,170000,78.08,78.23,77.52,77.82,2500,0
MGLN.US,60,20201009,180000,77.765,78.17,77.53,77.985,2361,0
MGLN.US,60,20201009,190000,78,78.14,77.85,78.01,4700,0
MGLN.US,60,20201009,200000,78,78.04,77.8129,77.88,3132,0
MGLN.US,60,20201009,210000,77.92,77.92,77.69,77.865,2396,0
MGLN.US,60,20201009,220000,77.885,78,77.525,77.73,30206,0
MGLN.US,60,20201012,160000,77.81,79.3,77.81,79.04,4369,0
MGLN.US,60,20201012,170000,79.01,79.01,78.01,78.3,9358,0
MGLN.US,60,20201012,180000,78.3,79.195,78.3,78.54,13168,0
MGLN.US,60,20201012,190000,78.57,78.83,78.33,78.83,4800,0
MGLN.US,60,20201012,200000,78.76,79.02,78.465,79.02,20665,0
MGLN.US,60,20201012,210000,78.89,79.28,78.8,79.27,10761,0
MGLN.US,60,20201012,220000,79.48,79.48,78.69,78.9,42420,0
MGLN.US,60,20201013,160000,78.65,79.36,78.045,79.17,2000,0
MGLN.US,60,20201013,170000,78.865,79.71,78.81,78.81,5498,0
MGLN.US,60,20201013,180000,78.81,78.85,78.49,78.83,4094,0
MGLN.US,60,20201013,190000,78.78,79.13,78.77,79.11,5800,0
