<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MITC.US,60,20210312,170000,9.47,9.83,7.84,9.6,477873,0
MITC.US,60,20210312,180000,9.53,10.49,9.34,9.97,218722,0
MITC.US,60,20210312,190000,9.97,10.225,9.48,9.7499,83525,0
MITC.US,60,20210312,200000,9.75,9.96,9.59,9.59,27006,0
MITC.US,60,20210312,210000,9.59,9.75,9.21,9.425,75368,0
MITC.US,60,20210312,220000,9.36,10,9.34,10,136805,0
MITC.US,60,20210315,150000,10.9,10.9,10.61,10.7,82101,0
MITC.US,60,20210315,160000,10.7,10.7129,10.44,10.53,153150,0
MITC.US,60,20210315,170000,10.555,10.7,10.4,10.455,39240,0
MITC.US,60,20210315,180000,10.46,10.5,10.4,10.43,32954,0
MITC.US,60,20210315,190000,10.43,11.79,10.42,11.13,1185618,0
MITC.US,60,20210315,200000,11.05,11.2,11,11.08,142615,0
MITC.US,60,20210315,210000,11.1,11.18,10.5,11.18,199216,0
MITC.US,60,20210316,150000,11.18,11.2,10.81,10.95,82263,0
MITC.US,60,20210316,160000,10.97,11.15,10.911,11.05,55393,0
MITC.US,60,20210316,170000,11.0648,11.32,11.01,11.3,48088,0
MITC.US,60,20210316,180000,11.282,11.3007,9.65,10.4001,224307,0
MITC.US,60,20210316,190000,10.4699,10.7045,10.3601,10.6003,36651,0
MITC.US,60,20210316,200000,10.6106,10.9,10.4601,10.74,41335,0
MITC.US,60,20210316,210000,10.72,10.98,10.6,10.85,30132,0
MITC.US,60,20210317,150000,10.6,10.75,10.52,10.61,9469,0
MITC.US,60,20210317,160000,10.6,10.8,10.57,10.75,30236,0
MITC.US,60,20210317,170000,10.6784,10.69,10.37,10.61,15181,0
MITC.US,60,20210317,180000,10.6,10.93,10.45,10.56,17269,0
MITC.US,60,20210317,190000,10.65,10.7163,10.5,10.5711,7789,0
MITC.US,60,20210317,200000,10.5276,10.8499,10.5,10.8,16450,0
MITC.US,60,20210317,210000,10.8,10.99,10.71,10.99,21832,0
MITC.US,60,20210318,150000,10.98,10.98,10.71,10.83,20807,0
MITC.US,60,20210318,160000,10.8,10.9,10.8,10.815,19196,0
MITC.US,60,20210318,170000,10.82,10.86,10.8,10.85,6307,0
MITC.US,60,20210318,180000,10.81,10.85,10.81,10.8135,8820,0
MITC.US,60,20210318,190000,10.81,10.81,10.7,10.7301,4596,0
MITC.US,60,20210318,200000,10.7506,10.7774,10.4,10.41,14788,0
MITC.US,60,20210318,210000,10.4135,10.75,10.3,10.36,34614,0
MITC.US,60,20210319,150000,10.21,10.575,10.21,10.3324,12637,0
MITC.US,60,20210319,160000,10.31,10.505,10.3,10.505,8888,0
MITC.US,60,20210319,170000,10.55,10.79,10.4662,10.7478,9775,0
MITC.US,60,20210319,180000,10.75,10.8,10.7,10.7896,8095,0
MITC.US,60,20210319,190000,10.75,10.75,10.6001,10.68,2906,0
MITC.US,60,20210319,200000,10.6773,10.75,10.67,10.7133,4400,0
MITC.US,60,20210319,210000,10.6777,10.85,10.61,10.85,23467,0
MITC.US,60,20210322,150000,10.85,11.14,10.7001,11.1,30812,0
MITC.US,60,20210322,160000,11.12,11.2399,10.84,10.86,32855,0
MITC.US,60,20210322,170000,10.855,10.94,10.8339,10.9099,5615,0
MITC.US,60,20210322,180000,10.8907,10.8907,10.85,10.85,3578,0
MITC.US,60,20210322,190000,10.85,10.85,10.8,10.8,3669,0
MITC.US,60,20210322,200000,10.7965,10.85,10.78,10.815,2666,0
MITC.US,60,20210322,210000,10.7801,10.83,10.7801,10.8,13188,0
MITC.US,60,20210323,150000,10.5,10.89,10.5,10.7161,8245,0
MITC.US,60,20210323,160000,10.77,10.77,10.3,10.3501,16041,0
MITC.US,60,20210323,170000,10.4,10.43,10.187,10.2,19676,0
MITC.US,60,20210323,180000,10.3257,10.3257,10.23,10.32,3683,0
MITC.US,60,20210323,190000,10.34,10.35,10.25,10.31,9509,0
MITC.US,60,20210323,200000,10.34,10.3899,10.25,10.26,12231,0
MITC.US,60,20210323,210000,10.26,10.37,10.22,10.23,21675,0
MITC.US,60,20210324,150000,10.23,10.6171,10.2,10.2,6051,0
MITC.US,60,20210324,160000,10.2,10.24,9.721,10.06,32123,0
MITC.US,60,20210324,170000,10.0464,10.08,9.68,9.9,16066,0
MITC.US,60,20210324,180000,9.81,9.99,9.81,9.8301,4178,0
MITC.US,60,20210324,190000,9.83,9.83,9.7,9.71,19552,0
MITC.US,60,20210324,200000,9.75,9.75,9.45,9.46,17746,0
MITC.US,60,20210324,210000,9.47,9.6342,9.36,9.49,24741,0
MITC.US,60,20210325,150000,9.5,9.599,9.18,9.24,24038,0
MITC.US,60,20210325,160000,9.348,9.4267,9.03,9.12,14328,0
MITC.US,60,20210325,170000,9.05,9.5,9,9.11,10099,0
MITC.US,60,20210325,180000,9.11,9.55,9.11,9.43,6255,0
MITC.US,60,20210325,190000,9.499,9.5599,9.43,9.4693,1523,0
MITC.US,60,20210325,200000,9.4,9.4,9.33,9.3772,1059,0
MITC.US,60,20210325,210000,9.335,9.335,9.12,9.12,16831,0
MITC.US,60,20210326,150000,9.18,9.3,9.1201,9.3,6650,0
MITC.US,60,20210326,160000,9.2899,9.31,9.13,9.1301,11114,0
MITC.US,60,20210326,170000,9.14,9.21,9.1,9.11,10018,0
MITC.US,60,20210326,180000,9.12,9.17,9.09,9.16,4500,0
MITC.US,60,20210326,190000,9.31,9.31,9.07,9.07,2889,0
MITC.US,60,20210326,200000,9.07,9.0805,8.88,8.9,29031,0
MITC.US,60,20210326,210000,8.9,9.04,8.9,9.01,21328,0
MITC.US,60,20210329,160000,9.29,9.81,9.29,9.76,12946,0
MITC.US,60,20210329,170000,9.626,9.8,9.58,9.69,17612,0
MITC.US,60,20210329,180000,9.7,9.7542,9.6709,9.7258,10585,0
MITC.US,60,20210329,190000,9.75,9.92,9.7,9.92,32906,0
MITC.US,60,20210329,200000,9.8323,9.9128,9.76,9.76,4537,0
MITC.US,60,20210329,210000,9.8,9.82,9.8,9.8,2694,0
MITC.US,60,20210329,220000,9.8,9.87,9.75,9.75,5958,0
MITC.US,60,20210330,160000,9.99,9.99,9.51,9.51,7299,0
MITC.US,60,20210330,170000,9.52,9.732,9.52,9.68,6091,0
MITC.US,60,20210330,180000,9.6898,9.9,9.61,9.7,24504,0
MITC.US,60,20210330,190000,9.7,9.8,9.6,9.6,24381,0
MITC.US,60,20210330,200000,9.615,9.7,9.59,9.59,2360,0
MITC.US,60,20210330,210000,9.6,9.61,9.6,9.61,200,0
MITC.US,60,20210330,220000,9.68,9.85,9.61,9.62,26282,0
MITC.US,60,20210331,160000,9.67,9.67,9.524,9.524,3514,0
MITC.US,60,20210331,170000,9.5101,9.55,9.495,9.5,9868,0
MITC.US,60,20210331,180000,9.52,9.52,9.3825,9.48,7598,0
MITC.US,60,20210331,190000,9.485,9.51,9.459,9.485,4699,0
