<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNST.US,60,20200914,160000,82.11,82.75,82.11,82.44,95109,0
MNST.US,60,20200914,170000,82.48,83.225,82.43,83.225,123216,0
MNST.US,60,20200914,180000,83.215,83.32,82.89,82.9892,101197,0
MNST.US,60,20200914,190000,82.98,83.01,82.65,82.74,84430,0
MNST.US,60,20200914,200000,82.755,82.81,82.14,82.71,101270,0
MNST.US,60,20200914,210000,82.71,82.99,82.56,82.88,109389,0
MNST.US,60,20200914,220000,82.87,83.16,82.505,82.89,633075,0
MNST.US,60,20200915,160000,83.24,83.725,82.985,83.635,63083,0
MNST.US,60,20200915,170000,83.66,83.93,82.71,83.04,105330,0
MNST.US,60,20200915,180000,83.07,83.64,83.07,83.29,96853,0
MNST.US,60,20200915,190000,83.28,83.37,82.97,82.97,50311,0
MNST.US,60,20200915,200000,82.9854,83.1,82.81,82.84,52897,0
MNST.US,60,20200915,210000,82.86,82.89,82.68,82.86,58634,0
MNST.US,60,20200915,220000,82.87,83.18,82.42,83.14,654220,0
MNST.US,60,20200916,160000,83.3738,84,83.22,83.51,92553,0
MNST.US,60,20200916,170000,83.52,83.58,83.23,83.29,108858,0
MNST.US,60,20200916,180000,83.3,83.61,83.26,83.36,54075,0
MNST.US,60,20200916,190000,83.36,83.6,83.21,83.46,63145,0
MNST.US,60,20200916,200000,83.45,83.45,82.79,83,97766,0
MNST.US,60,20200916,210000,83.01,83.36,82.71,82.87,106360,0
MNST.US,60,20200916,220000,82.865,83,81.87,81.87,506465,0
MNST.US,60,20200917,160000,80.79,81.19,80,81.08,169816,0
MNST.US,60,20200917,170000,81.05,81.43,80.6,81.2,120241,0
MNST.US,60,20200917,180000,81.22,81.44,80.3,80.39,157147,0
MNST.US,60,20200917,190000,80.37,80.55,79.66,80.14,160235,0
MNST.US,60,20200917,200000,80.17,80.42,79.94,80.21,120693,0
MNST.US,60,20200917,210000,80.23,80.61,80.03,80.51,157997,0
MNST.US,60,20200917,220000,80.53,80.81,80.15,80.71,605807,0
MNST.US,60,20200918,160000,80.81,80.95,80.11,80.23,610266,0
MNST.US,60,20200918,170000,80.22,80.355,79.15,79.2,184923,0
