<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRVL.US,60,20200914,160000,39.384,39.624,39.105,39.484,578688,0
MRVL.US,60,20200914,170000,39.484,39.674,39.369,39.654,635019,0
MRVL.US,60,20200914,180000,39.659,39.723,39.409,39.509,485275,0
MRVL.US,60,20200914,190000,39.504,39.604,39.354,39.444,407373,0
MRVL.US,60,20200914,200000,39.454,39.509,39.095,39.17,403446,0
MRVL.US,60,20200914,210000,39.18,39.329,39.005,39.115,704015,0
MRVL.US,60,20200914,220000,39.115,39.484,39.087,39.115,2101533,0
MRVL.US,60,20200915,160000,39.636,39.636,38.826,39.275,892800,0
MRVL.US,60,20200915,170000,39.265,39.469,39.065,39.165,718739,0
MRVL.US,60,20200915,180000,39.175,39.245,39,39.09,580110,0
MRVL.US,60,20200915,190000,39.088,39.22,39.03,39.17,395262,0
MRVL.US,60,20200915,200000,39.17,39.205,38.886,38.891,396696,0
MRVL.US,60,20200915,210000,38.891,39.145,38.831,39.115,540781,0
MRVL.US,60,20200915,220000,39.12,39.135,38.701,38.901,1508607,0
MRVL.US,60,20200916,160000,38.906,39.185,38.597,39.139,524456,0
MRVL.US,60,20200916,170000,39.145,39.17,38.527,38.626,919562,0
MRVL.US,60,20200916,180000,38.616,38.931,38.607,38.836,706425,0
MRVL.US,60,20200916,190000,38.841,38.906,38.636,38.701,515522,0
MRVL.US,60,20200916,200000,38.696,38.716,38.497,38.537,454324,0
MRVL.US,60,20200916,210000,38.547,38.776,38.447,38.467,1142142,0
MRVL.US,60,20200916,220000,38.467,38.567,37.918,37.978,3157339,0
MRVL.US,60,20200917,160000,37.161,37.948,36.681,37.849,747764,0
MRVL.US,60,20200917,170000,37.859,38.197,37.794,38.088,754539,0
MRVL.US,60,20200917,180000,38.088,38.382,37.958,37.993,339012,0
MRVL.US,60,20200917,190000,37.993,38.527,37.879,38.527,963878,0
MRVL.US,60,20200917,200000,38.512,38.796,38.377,38.666,498057,0
MRVL.US,60,20200917,210000,38.671,38.786,38.452,38.527,482166,0
MRVL.US,60,20200917,220000,38.527,38.686,38.412,38.602,2164011,0
MRVL.US,60,20200918,160000,38.926,39.015,38.417,38.487,530065,0
MRVL.US,60,20200918,170000,38.477,38.686,38.157,38.192,526543,0
MRVL.US,60,20200918,180000,38.192,38.402,38.098,38.317,437528,0
MRVL.US,60,20200918,190000,38.312,38.427,37.928,38.038,366683,0
MRVL.US,60,20200918,200000,38.043,38.177,37.849,38.159,482635,0
MRVL.US,60,20200918,210000,38.157,38.357,38.073,38.357,299080,0
MRVL.US,60,20200918,220000,38.347,38.626,38.332,38.387,4167867,0
MRVL.US,60,20200921,160000,37.809,38.257,37.569,38.147,437833,0
MRVL.US,60,20200921,170000,38.138,38.197,37.21,37.449,739746,0
MRVL.US,60,20200921,180000,37.439,37.968,37.315,37.948,432326,0
MRVL.US,60,20200921,190000,37.968,38.108,37.849,37.859,498966,0
MRVL.US,60,20200921,200000,37.869,38.138,37.779,37.945,423654,0
MRVL.US,60,20200921,210000,37.948,38.018,37.709,37.824,316769,0
MRVL.US,60,20200921,220000,37.819,38.337,37.784,38.277,2164121,0
MRVL.US,60,20200922,160000,38.587,38.756,37.879,38.123,327687,0
MRVL.US,60,20200922,170000,38.118,38.227,37.709,37.769,578178,0
MRVL.US,60,20200922,180000,37.779,38.048,37.594,38.048,541394,0
MRVL.US,60,20200922,190000,38.057,38.147,38.008,38.108,331973,0
MRVL.US,60,20200922,200000,38.108,38.335,38.058,38.222,593527,0
MRVL.US,60,20200922,210000,38.227,38.387,38.157,38.172,489712,0
MRVL.US,60,20200922,220000,38.167,38.766,38.133,38.756,2871651,0
MRVL.US,60,20200923,160000,38.716,38.836,38.537,38.701,404483,0
MRVL.US,60,20200923,170000,38.716,38.756,38.197,38.392,678033,0
MRVL.US,60,20200923,180000,38.397,38.585,38.088,38.108,370224,0
MRVL.US,60,20200923,190000,38.108,38.267,38.088,38.242,219443,0
MRVL.US,60,20200923,200000,38.237,38.44,38.217,38.287,440847,0
MRVL.US,60,20200923,210000,38.287,38.287,37.689,37.699,474039,0
MRVL.US,60,20200923,220000,37.704,37.899,37.419,37.469,1779498,0
MRVL.US,60,20200924,160000,36.961,37.993,36.901,37.993,440029,0
MRVL.US,60,20200924,170000,37.988,38.297,37.769,38.063,582804,0
MRVL.US,60,20200924,180000,38.064,38.467,37.979,38.397,404011,0
MRVL.US,60,20200924,190000,38.397,38.467,38.088,38.167,491441,0
MRVL.US,60,20200924,200000,38.177,38.477,38.167,38.192,395276,0
MRVL.US,60,20200924,210000,38.202,38.292,37.899,37.899,650113,0
MRVL.US,60,20200924,220000,37.908,38.008,37.659,37.799,1629194,0
MRVL.US,60,20200925,160000,37.829,37.913,37.176,37.417,325608,0
MRVL.US,60,20200925,170000,37.429,37.579,37.086,37.379,542747,0
MRVL.US,60,20200925,180000,37.389,37.534,37.265,37.364,888112,0
MRVL.US,60,20200925,190000,37.369,37.749,37.369,37.574,705496,0
MRVL.US,60,20200925,200000,37.574,37.789,37.534,37.694,477088,0
MRVL.US,60,20200925,210000,37.689,37.928,37.604,37.908,603955,0
MRVL.US,60,20200925,220000,37.913,38.068,37.879,37.948,1295837,0
MRVL.US,60,20200928,160000,38.407,39.035,38.397,38.766,617612,0
MRVL.US,60,20200928,170000,38.786,39.474,38.786,39.305,937641,0
MRVL.US,60,20200928,180000,39.312,39.609,39.205,39.275,593815,0
MRVL.US,60,20200928,190000,39.275,39.753,39.26,39.694,715535,0
MRVL.US,60,20200928,200000,39.704,39.933,39.594,39.856,775791,0
MRVL.US,60,20200928,210000,39.853,39.863,39.544,39.813,672890,0
MRVL.US,60,20200928,220000,39.813,39.893,39.574,39.783,1837483,0
MRVL.US,60,20200929,160000,39.853,40.112,39.604,39.993,648982,0
MRVL.US,60,20200929,170000,40.003,40.452,39.933,40.142,779477,0
MRVL.US,60,20200929,180000,40.142,40.422,39.873,39.873,856415,0
MRVL.US,60,20200929,190000,39.883,39.943,39.714,39.878,492680,0
MRVL.US,60,20200929,200000,39.883,39.893,39.604,39.784,537316,0
MRVL.US,60,20200929,210000,39.788,39.848,39.684,39.753,559243,0
MRVL.US,60,20200929,220000,39.748,39.763,39.265,39.295,1715605,0
MRVL.US,60,20200930,160000,39.045,39.235,38.676,39.235,603770,0
MRVL.US,60,20200930,170000,39.235,39.654,39.215,39.602,691112,0
MRVL.US,60,20200930,180000,39.604,39.773,39.424,39.619,586778,0
MRVL.US,60,20200930,190000,39.624,39.773,39.544,39.624,303164,0
MRVL.US,60,20200930,200000,39.629,39.669,39.464,39.664,231208,0
MRVL.US,60,20200930,210000,39.674,39.838,39.564,39.773,647208,0
MRVL.US,60,20200930,220000,39.763,39.873,39.344,39.594,2109198,0
MRVL.US,60,20201001,160000,40.302,40.511,40.147,40.187,625411,0
MRVL.US,60,20201001,170000,40.172,40.242,39.903,39.993,481902,0
MRVL.US,60,20201001,180000,40.003,40.097,39.763,40.003,341340,0
MRVL.US,60,20201001,190000,40.003,40.022,39.733,39.928,643659,0
MRVL.US,60,20201001,200000,39.928,40.382,39.918,40.192,573592,0
MRVL.US,60,20201001,210000,40.202,40.621,40.132,40.546,582438,0
MRVL.US,60,20201001,220000,40.551,40.611,39.823,40.202,1703214,0
MRVL.US,60,20201002,160000,39.344,40.152,39.195,40.032,340646,0
MRVL.US,60,20201002,170000,40.013,40.332,39.988,40.072,446121,0
MRVL.US,60,20201002,180000,40.072,40.072,39.484,39.564,626178,0
MRVL.US,60,20201002,190000,39.559,40.003,39.434,39.888,802794,0
MRVL.US,60,20201002,200000,39.888,39.913,39.514,39.644,604418,0
