<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYPSW.US,60,20201217,170000,3.1324,3.1324,3.1324,3.1324,1200,0
MYPSW.US,60,20201217,180000,2.9,2.9,2.9,2.9,100,0
MYPSW.US,60,20201217,200000,2.8,2.8,2.8,2.8,100,0
MYPSW.US,60,20201218,160000,3,3,3,3,700,0
MYPSW.US,60,20201218,170000,3.0001,3.0001,3,3,723,0
MYPSW.US,60,20201218,180000,3.28,3.368,3.28,3.368,600,0
MYPSW.US,60,20201218,200000,3.09,3.09,2.16,2.16,10269,0
MYPSW.US,60,20201221,160000,1.91,1.91,1.91,1.91,200,0
MYPSW.US,60,20201221,170000,1.89,1.89,1.89,1.89,300,0
MYPSW.US,60,20201221,180000,1.89,1.89,1.89,1.89,300,0
MYPSW.US,60,20201221,190000,1.89,1.94,1.84,1.94,6500,0
MYPSW.US,60,20201221,220000,2.14,2.15,2.14,2.15,400,0
MYPSW.US,60,20201222,180000,2.15,2.15,2.15,2.15,566,0
MYPSW.US,60,20201222,220000,2.2877,2.2877,2.2877,2.2877,300,0
MYPSW.US,60,20201223,180000,2.3,2.3,2.3,2.3,100,0
MYPSW.US,60,20201223,210000,1.9739,2.09,1.89,1.89,355,0
MYPSW.US,60,20201224,160000,2.3,2.3,2.0762,2.0762,400,0
MYPSW.US,60,20201224,170000,2.0417,2.1,2.0417,2.1,503,0
MYPSW.US,60,20201224,180000,2.1,2.1,1.9999,1.9999,4100,0
MYPSW.US,60,20201224,190000,1.92,1.92,1.92,1.92,1502,0
MYPSW.US,60,20201228,170000,2.23,2.23,2,2,7015,0
MYPSW.US,60,20201228,180000,1.99,1.9998,1.96,1.9734,650,0
MYPSW.US,60,20201228,190000,1.9758,2.22,1.9753,2.22,4261,0
MYPSW.US,60,20201228,200000,2.2,2.22,2.03,2.03,6700,0
MYPSW.US,60,20201228,220000,2.04,2.04,2.01,2.02,10280,0
MYPSW.US,60,20201229,160000,2.3,2.3213,2.3,2.3213,300,0
MYPSW.US,60,20201229,170000,2.1434,2.3,2.04,2.3,14901,0
MYPSW.US,60,20201229,180000,2.25,2.25,2.1188,2.25,27650,0
MYPSW.US,60,20201229,200000,2.25,2.25,2.21,2.21,6200,0
MYPSW.US,60,20201229,210000,2.2,2.21,2.05,2.09,18680,0
MYPSW.US,60,20201229,220000,2.1,2.21,2.1,2.2,3900,0
MYPSW.US,60,20201230,170000,2.1,2.1,2.08,2.08,1455,0
MYPSW.US,60,20201230,180000,2.09,2.1,2.08,2.08,1550,0
MYPSW.US,60,20201230,190000,2.08,2.09,2.08,2.09,700,0
MYPSW.US,60,20201230,200000,2.09,2.1,2.08,2.08,7021,0
MYPSW.US,60,20201230,210000,2.13,2.13,2.13,2.13,100,0
MYPSW.US,60,20201231,160000,2.25,2.44,2.25,2.44,700,0
MYPSW.US,60,20201231,170000,2.27,2.27,2.27,2.27,300,0
MYPSW.US,60,20201231,220000,2.25,2.25,2.1,2.13,1100,0
MYPSW.US,60,20210104,160000,2.1,2.17,1.97,1.97,4142,0
MYPSW.US,60,20210104,170000,2.09,2.11,1.97,2,17260,0
MYPSW.US,60,20210104,180000,2,2.0001,2,2.0001,3240,0
MYPSW.US,60,20210104,190000,2.01,2.01,2.01,2.01,500,0
MYPSW.US,60,20210104,210000,2.05,2.05,2.02,2.02,1200,0
MYPSW.US,60,20210104,220000,2.05,2.08,2.05,2.08,2800,0
MYPSW.US,60,20210105,170000,2.05,2.05,2.05,2.05,100,0
MYPSW.US,60,20210105,190000,2.05,2.13,2.05,2.13,1599,0
MYPSW.US,60,20210105,220000,2.13,2.15,2.1112,2.1112,1500,0
MYPSW.US,60,20210106,200000,2.11,2.11,2.11,2.11,100,0
MYPSW.US,60,20210106,210000,2.14,2.35,2.14,2.35,22916,0
MYPSW.US,60,20210106,220000,2.47,2.49,2.3,2.3,5475,0
MYPSW.US,60,20210107,170000,2.2799,2.2799,2.2799,2.2799,1000,0
MYPSW.US,60,20210108,160000,2.25,2.25,2.18,2.229,3061,0
MYPSW.US,60,20210108,170000,2.25,2.27,2.18,2.26,13167,0
MYPSW.US,60,20210108,190000,2.4,2.4,2.2826,2.2826,1250,0
MYPSW.US,60,20210108,210000,2.275,2.275,2.25,2.26,1633,0
MYPSW.US,60,20210108,220000,2.1943,2.25,2.185,2.2,3100,0
MYPSW.US,60,20210111,170000,2.25,2.25,2,2.2,12159,0
MYPSW.US,60,20210111,180000,2.05,2.19,2.05,2.06,2600,0
MYPSW.US,60,20210111,190000,2.164,2.19,2.15,2.19,7645,0
MYPSW.US,60,20210111,200000,2.1999,2.1999,2.155,2.1664,3350,0
MYPSW.US,60,20210111,210000,2.19,2.19,2.19,2.19,400,0
MYPSW.US,60,20210111,220000,2.19,2.2,2.1499,2.15,7265,0
MYPSW.US,60,20210112,160000,2.7174,2.7174,2.09,2.09,5700,0
MYPSW.US,60,20210112,170000,2.29,2.3873,2.1899,2.2007,4460,0
MYPSW.US,60,20210112,180000,2.25,2.26,2.211,2.25,15690,0
MYPSW.US,60,20210112,190000,2.26,2.26,2.26,2.26,400,0
MYPSW.US,60,20210112,200000,2.35,2.35,2.26,2.26,1495,0
MYPSW.US,60,20210112,210000,2.26,2.265,2.2,2.2,15100,0
MYPSW.US,60,20210112,220000,2.29,2.34,2.25,2.25,1300,0
MYPSW.US,60,20210113,160000,2.4821,2.56,2.21,2.21,1164,0
MYPSW.US,60,20210113,170000,2.2706,2.2836,2.2691,2.2836,1466,0
MYPSW.US,60,20210113,180000,2.29,2.7999,2.29,2.7999,9100,0
MYPSW.US,60,20210113,190000,2.21,2.28,2.21,2.28,600,0
MYPSW.US,60,20210113,200000,2.3,2.3,2.2931,2.2999,600,0
MYPSW.US,60,20210113,210000,2.3,2.3,2.2,2.21,12917,0
MYPSW.US,60,20210113,220000,2.21,2.21,2.21,2.21,2200,0
MYPSW.US,60,20210114,160000,2.35,2.3501,2.35,2.3501,2000,0
MYPSW.US,60,20210114,170000,2.2605,2.34,2.2605,2.34,1900,0
MYPSW.US,60,20210114,180000,2.33,2.34,2.33,2.34,2000,0
