<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAKD.US,60,20200914,160000,0.17,0.17,0.1617,0.1617,1042398,0
NAKD.US,60,20200914,170000,0.1622,0.1639,0.1595,0.1619,891248,0
NAKD.US,60,20200914,180000,0.1616,0.168,0.1595,0.164499,1158310,0
NAKD.US,60,20200914,190000,0.1645,0.1655,0.1615,0.1624,694902,0
NAKD.US,60,20200914,200000,0.1625,0.1625,0.1501,0.158399,1798224,0
NAKD.US,60,20200914,210000,0.1585,0.16,0.1548,0.156,750727,0
NAKD.US,60,20200914,220000,0.156,0.159756,0.156,0.159,1657823,0
NAKD.US,60,20200915,160000,0.1517,0.1559,0.15,0.1517,721359,0
NAKD.US,60,20200915,170000,0.1516,0.1517,0.143,0.1492,1789339,0
NAKD.US,60,20200915,180000,0.1491,0.151,0.1488,0.1493,1064938,0
NAKD.US,60,20200915,190000,0.1493,0.151,0.1481,0.1502,850272,0
NAKD.US,60,20200915,200000,0.1502,0.15125,0.149,0.1501,840402,0
NAKD.US,60,20200915,210000,0.1505,0.1519,0.1491,0.1495,1201952,0
NAKD.US,60,20200915,220000,0.1498,0.1501,0.148,0.1487,891745,0
NAKD.US,60,20200916,160000,0.1493,0.165,0.1485,0.156,4454231,0
NAKD.US,60,20200916,170000,0.1561,0.1594,0.15,0.15285,2907805,0
NAKD.US,60,20200916,180000,0.1529,0.1539,0.145,0.14954,2380897,0
NAKD.US,60,20200916,190000,0.1494,0.153,0.1485,0.151,1397940,0
NAKD.US,60,20200916,200000,0.151,0.1514,0.1494,0.15,1057367,0
NAKD.US,60,20200916,210000,0.15,0.152772,0.1496,0.1515,2282735,0
NAKD.US,60,20200916,220000,0.1524,0.1558,0.1501,0.1525,3965263,0
NAKD.US,60,20200917,160000,0.15,0.15,0.143,0.1479,2012054,0
NAKD.US,60,20200917,170000,0.1479,0.1489,0.1462,0.1478,1102829,0
NAKD.US,60,20200917,180000,0.1477,0.15555,0.1475,0.15231,2839414,0
NAKD.US,60,20200917,190000,0.1524,0.156,0.15,0.1501,1900489,0
NAKD.US,60,20200917,200000,0.1514,0.152,0.1478,0.1503,1424615,0
NAKD.US,60,20200917,210000,0.1502,0.151,0.1481,0.14915,1128558,0
NAKD.US,60,20200917,220000,0.14925,0.15,0.1465,0.1469,2102050,0
NAKD.US,60,20200918,160000,0.147,0.1484,0.145,0.1465,1682581,0
NAKD.US,60,20200918,170000,0.147,0.147,0.136,0.1419,7164238,0
NAKD.US,60,20200918,180000,0.1422,0.1433,0.138201,0.141,3868535,0
NAKD.US,60,20200918,190000,0.1415,0.143,0.141,0.141,1282008,0
NAKD.US,60,20200918,200000,0.1411,0.1435,0.1395,0.1427,2659272,0
NAKD.US,60,20200918,210000,0.1426,0.1428,0.1415,0.142402,860867,0
NAKD.US,60,20200918,220000,0.1424,0.143,0.14,0.143,1153522,0
NAKD.US,60,20200921,160000,0.1429,0.1429,0.1361,0.1372,1354650,0
NAKD.US,60,20200921,170000,0.1375,0.1399,0.136,0.1365,1384287,0
NAKD.US,60,20200921,180000,0.1361,0.1364,0.13,0.1339,2427631,0
NAKD.US,60,20200921,190000,0.13395,0.1358,0.133,0.13419,831888,0
NAKD.US,60,20200921,200000,0.13415,0.1342,0.1333,0.1338,621551,0
NAKD.US,60,20200921,210000,0.1336,0.1338,0.128,0.13085,3475135,0
NAKD.US,60,20200921,220000,0.131,0.1323,0.1289,0.1301,2122945,0
NAKD.US,60,20200922,160000,0.1315,0.1421,0.1311,0.1368,3522550,0
NAKD.US,60,20200922,170000,0.1369,0.138,0.131,0.1319,3911353,0
NAKD.US,60,20200922,180000,0.1319,0.1339,0.12895,0.1329,1613322,0
NAKD.US,60,20200922,190000,0.1332,0.1337,0.131,0.1322,1153959,0
NAKD.US,60,20200922,200000,0.1322,0.1329,0.13,0.1323,1150437,0
NAKD.US,60,20200922,210000,0.1327,0.1369,0.132,0.1359,1936174,0
NAKD.US,60,20200922,220000,0.1346,0.1353,0.133,0.1344,2270368,0
NAKD.US,60,20200923,160000,0.14,0.1402,0.1333,0.1364,1910896,0
NAKD.US,60,20200923,170000,0.1365,0.154,0.1351,0.144415,10751326,0
NAKD.US,60,20200923,180000,0.146936,0.1474,0.136,0.1405,8274311,0
NAKD.US,60,20200923,190000,0.1409,0.147,0.1401,0.1402,4947323,0
NAKD.US,60,20200923,200000,0.1421,0.1429,0.1351,0.1352,4342332,0
NAKD.US,60,20200923,210000,0.13669,0.14,0.125,0.1288,7594341,0
NAKD.US,60,20200923,220000,0.1292,0.131,0.121,0.1245,5247716,0
NAKD.US,60,20200924,160000,0.1229,0.1229,0.113,0.115699,3450120,0
NAKD.US,60,20200924,170000,0.1157,0.1193,0.1115,0.114099,2422471,0
NAKD.US,60,20200924,180000,0.1142,0.1169,0.108,0.1125,4335297,0
NAKD.US,60,20200924,190000,0.1124,0.1169,0.1115,0.11425,2292651,0
NAKD.US,60,20200924,200000,0.1145,0.1145,0.1085,0.1098,3622396,0
NAKD.US,60,20200924,210000,0.1099,0.1159,0.1,0.1127,3774568,0
NAKD.US,60,20200924,220000,0.1126,0.13,0.1098,0.125,12878789,0
NAKD.US,60,20200925,160000,0.1398,0.1435,0.1214,0.1271,8835378,0
NAKD.US,60,20200925,170000,0.1271,0.132,0.123,0.1301,4201121,0
