<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NDACW.US,60,20210426,170000,1.5,1.5,1.405,1.4999,4240,0
NDACW.US,60,20210426,180000,1.49,1.49,1.49,1.49,200,0
NDACW.US,60,20210426,190000,1.5,1.5,1.47,1.4999,3600,0
NDACW.US,60,20210426,200000,1.4986,1.4986,1.4986,1.4986,2000,0
NDACW.US,60,20210426,210000,1.405,1.405,1.32,1.32,1400,0
NDACW.US,60,20210426,220000,1.49,1.49,1.392,1.392,1260,0
NDACW.US,60,20210427,160000,1.31,1.31,1.2999,1.3,3160,0
NDACW.US,60,20210427,170000,1.3,1.3,1.286,1.3,12400,0
NDACW.US,60,20210427,180000,1.3,1.3,1.28,1.28,8700,0
NDACW.US,60,20210427,190000,1.335,1.39,1.335,1.39,4400,0
NDACW.US,60,20210427,200000,1.3571,1.3571,1.3571,1.3571,400,0
NDACW.US,60,20210427,210000,1.28,1.29,1.24,1.24,18000,0
NDACW.US,60,20210427,220000,1.25,1.25,1.02,1.02,4100,0
NDACW.US,60,20210428,170000,1.0873,1.09,1.0873,1.09,400,0
NDACW.US,60,20210428,180000,1.09,1.09,1.09,1.09,4200,0
NDACW.US,60,20210429,160000,1.1,1.1,1.1,1.1,7034,0
NDACW.US,60,20210429,190000,1.1,1.1,1.1,1.1,12000,0
NDACW.US,60,20210429,220000,1.142,1.15,1.135,1.1495,3600,0
NDACW.US,60,20210430,170000,1.15,1.15,1.15,1.15,26400,0
NDACW.US,60,20210430,180000,1.135,1.135,1.11,1.11,3000,0
NDACW.US,60,20210430,190000,1.13,1.13,1.13,1.13,200,0
NDACW.US,60,20210430,200000,1.13,1.13,1.13,1.13,200,0
NDACW.US,60,20210430,210000,1.11,1.11,1.1,1.1,9270,0
NDACW.US,60,20210430,220000,1.09,1.1,1.0785,1.0785,4000,0
NDACW.US,60,20210503,170000,1.11,1.11,1.02,1.02,1905,0
NDACW.US,60,20210503,180000,1.02,1.02,1.01,1.01,1520,0
NDACW.US,60,20210503,190000,1,1.02,0.9901,0.9901,18580,0
NDACW.US,60,20210503,200000,0.9951,0.9999,0.9951,0.9951,670,0
NDACW.US,60,20210503,210000,1,1,0.9951,1,3200,0
NDACW.US,60,20210503,220000,1,1,1,1,1400,0
NDACW.US,60,20210504,160000,1,1,1,1,1100,0
NDACW.US,60,20210504,170000,1,1.38,1,1,2500,0
NDACW.US,60,20210504,180000,1.01,1.05,1,1,2600,0
NDACW.US,60,20210504,190000,1,1.05,1,1.05,1620,0
NDACW.US,60,20210504,200000,1.01,1.05,0.96,0.96,46698,0
NDACW.US,60,20210504,210000,0.96,1,0.96,0.96,1600,0
NDACW.US,60,20210504,220000,1,1.01,0.95,0.95,5029,0
NDACW.US,60,20210505,170000,1.1501,1.3,1.1501,1.3,200,0
NDACW.US,60,20210505,180000,1.15,1.15,1.15,1.15,100,0
NDACW.US,60,20210505,200000,1.22,1.22,1.15,1.1707,6413,0
NDACW.US,60,20210506,170000,1.22,1.22,1.2,1.21,101400,0
NDACW.US,60,20210506,210000,1.2,1.2,1.1999,1.1999,1300,0
NDACW.US,60,20210506,220000,1.2,1.2,1.16,1.2,15000,0
NDACW.US,60,20210507,170000,1.21,1.21,1.21,1.21,780,0
NDACW.US,60,20210507,180000,1.2,1.2,1.2,1.2,100,0
NDACW.US,60,20210507,190000,1.1999,1.2,1.17,1.1862,1712,0
NDACW.US,60,20210507,200000,1.16,1.2,1.14,1.14,4500,0
NDACW.US,60,20210507,210000,1.14,1.2,1.14,1.2,7135,0
NDACW.US,60,20210507,220000,1.2,1.2,1.175,1.2,8600,0
NDACW.US,60,20210510,160000,1.21,1.3399,1.21,1.295,925,0
NDACW.US,60,20210510,170000,1.32,1.32,1.32,1.32,200,0
NDACW.US,60,20210510,180000,1.32,1.32,1.2499,1.2499,49561,0
NDACW.US,60,20210510,190000,1.24,1.24,1.23,1.23,328,0
NDACW.US,60,20210510,200000,1.23,1.23,1.23,1.23,200,0
NDACW.US,60,20210510,210000,1.25,1.25,1.25,1.25,200,0
NDACW.US,60,20210510,220000,1.2499,1.25,1.2,1.2,3831,0
NDACW.US,60,20210511,160000,1.14,1.15,1.1,1.1,7757,0
NDACW.US,60,20210511,170000,1.1627,1.1627,1.1627,1.1627,300,0
NDACW.US,60,20210511,180000,1.26,1.27,1.26,1.2699,1300,0
NDACW.US,60,20210511,190000,1.45,1.45,1.4107,1.4107,400,0
NDACW.US,60,20210511,200000,1.4533,1.4533,1.4533,1.4533,100,0
NDACW.US,60,20210511,220000,1.45,1.46,1.3641,1.3641,1492,0
NDACW.US,60,20210512,160000,1.36,1.4,1.36,1.4,1028,0
NDACW.US,60,20210512,180000,1.38,1.39,1.38,1.3899,700,0
NDACW.US,60,20210512,210000,1.39,1.39,1.39,1.39,100,0
NDACW.US,60,20210512,220000,1.31,1.31,1.27,1.3,1962,0
NDACW.US,60,20210513,160000,1.36,1.3672,1.36,1.3672,660,0
NDACW.US,60,20210513,170000,1.53,1.53,1.35,1.35,1949,0
NDACW.US,60,20210513,180000,1.33,1.35,1.33,1.3347,1902,0
NDACW.US,60,20210513,190000,1.35,1.35,1.3499,1.3499,2900,0
NDACW.US,60,20210513,210000,1.3499,1.35,1.3499,1.3499,770,0
NDACW.US,60,20210513,220000,1.3317,1.34,1.29,1.29,3400,0
NDACW.US,60,20210514,160000,1.29,1.3,1.25,1.25,6921,0
NDACW.US,60,20210514,170000,1.245,1.25,1.245,1.25,10345,0
NDACW.US,60,20210514,180000,1.245,1.25,1.245,1.25,1200,0
NDACW.US,60,20210514,190000,1.25,1.3399,1.23,1.23,3291,0
NDACW.US,60,20210514,200000,1.24,1.24,1.2399,1.2399,500,0
NDACW.US,60,20210514,210000,1.24,1.24,1.2399,1.2399,2741,0
NDACW.US,60,20210514,220000,1.24,1.24,1.19,1.2,21588,0
NDACW.US,60,20210517,170000,1.91,1.92,1.35,1.35,1400,0
NDACW.US,60,20210517,180000,1.31,1.31,1.3,1.3,5840,0
NDACW.US,60,20210517,190000,1.3,1.3,1.2999,1.2999,600,0
NDACW.US,60,20210517,210000,1.2999,1.3,1.2999,1.2999,2400,0
NDACW.US,60,20210517,220000,1.27,1.3,1.258,1.258,400,0
NDACW.US,60,20210518,160000,1.5,1.5,1.27,1.27,605,0
NDACW.US,60,20210518,180000,1.2999,1.3466,1.2999,1.3466,950,0
NDACW.US,60,20210518,200000,1.38,1.38,1.36,1.36,743,0
NDACW.US,60,20210518,210000,1.3499,1.35,1.3499,1.35,200,0
NDACW.US,60,20210519,160000,1.37,1.37,1.37,1.37,8000,0
NDACW.US,60,20210519,170000,1.3699,1.37,1.3699,1.37,1588,0
NDACW.US,60,20210519,180000,1.325,1.37,1.325,1.3371,300,0
NDACW.US,60,20210519,210000,1.37,1.37,1.3608,1.3608,600,0
NDACW.US,60,20210519,220000,1.35,1.47,1.35,1.47,4646,0
NDACW.US,60,20210520,160000,1.3,1.33,1.294,1.294,3330,0
NDACW.US,60,20210520,170000,1.29,1.3,1.28,1.28,1076,0
NDACW.US,60,20210520,180000,1.3,1.3,1.25,1.25,11458,0
NDACW.US,60,20210520,190000,1.235,1.24,1.225,1.24,900,0
NDACW.US,60,20210520,200000,1.25,1.25,1.24,1.24,520,0
NDACW.US,60,20210520,210000,1.25,1.25,1.25,1.25,1300,0
NDACW.US,60,20210520,220000,1.25,1.25,1.245,1.245,2494,0
NDACW.US,60,20210521,170000,1.3,1.3,1.3,1.3,410,0
NDACW.US,60,20210521,190000,1.3,1.3,1.27,1.27,2075,0
NDACW.US,60,20210521,200000,1.27,1.3,1.27,1.298,5825,0
NDACW.US,60,20210524,160000,1.25,1.25,1.25,1.25,10025,0
NDACW.US,60,20210524,170000,1.2499,1.25,1.2,1.2,2346,0
NDACW.US,60,20210524,180000,1.21,1.21,1.21,1.21,600,0
NDACW.US,60,20210524,190000,1.23,1.2495,1.21,1.2377,765,0
NDACW.US,60,20210524,210000,1.21,1.2499,1.21,1.23,2800,0
NDACW.US,60,20210524,220000,1.21,1.235,1.21,1.235,3100,0
NDACW.US,60,20210525,170000,1.21,1.21,1.2,1.2,2575,0
NDACW.US,60,20210525,180000,1.2,1.2,1.15,1.15,5500,0
NDACW.US,60,20210525,190000,1.2,1.2,1.18,1.18,600,0
NDACW.US,60,20210525,200000,1.1998,1.2,1.19,1.2,713,0
NDACW.US,60,20210525,210000,1.2,1.2,1.2,1.2,400,0
NDACW.US,60,20210525,220000,1.2,1.2,1.19,1.2,960,0
NDACW.US,60,20210526,160000,1.15,1.15,1.15,1.15,1077,0
NDACW.US,60,20210526,170000,1.15,1.15,1.1497,1.15,1647,0
NDACW.US,60,20210526,180000,1.145,1.15,1.14,1.14,5960,0
NDACW.US,60,20210526,190000,1.1499,1.1499,1.1466,1.148,1600,0
NDACW.US,60,20210526,200000,1.14,1.15,1.125,1.14,6300,0
NDACW.US,60,20210526,210000,1.15,1.15,1.14,1.14,1800,0
NDACW.US,60,20210526,220000,1.145,1.15,1.144,1.1478,4090,0
NDACW.US,60,20210527,160000,1.15,1.15,1.1499,1.1499,1620,0
NDACW.US,60,20210527,170000,1.15,1.15,1.14,1.14,500,0
NDACW.US,60,20210527,180000,1.14,1.15,1.14,1.14,6000,0
NDACW.US,60,20210527,190000,1.14,1.14,1.13,1.13,1400,0
NDACW.US,60,20210527,200000,1.13,1.15,1.1,1.15,13926,0
NDACW.US,60,20210527,210000,1.11,1.15,1.11,1.15,1735,0
NDACW.US,60,20210527,220000,1.13,1.15,1.13,1.14,6700,0
NDACW.US,60,20210528,160000,1.09,1.11,1.077,1.077,9649,0
NDACW.US,60,20210528,170000,1.08,1.09,1.08,1.0897,19699,0
NDACW.US,60,20210528,180000,1.08,1.09,1.07,1.09,2954,0
NDACW.US,60,20210528,190000,1.09,1.09,1.0899,1.0899,5119,0
NDACW.US,60,20210528,200000,1.09,1.09,1.09,1.09,4981,0
NDACW.US,60,20210528,210000,1.09,1.09,1.0899,1.09,1329,0
NDACW.US,60,20210528,220000,1.0899,1.09,1.07,1.08,5658,0
NDACW.US,60,20210601,160000,1.08,1.08,1.025,1.0299,15650,0
NDACW.US,60,20210601,170000,1.03,1.03,1.0297,1.0297,500,0
NDACW.US,60,20210601,180000,1.025,1.05,1.025,1.05,11068,0
NDACW.US,60,20210601,190000,1.06,1.1431,1.06,1.1094,2400,0
NDACW.US,60,20210601,200000,1.09,1.12,1.09,1.12,500,0
NDACW.US,60,20210601,210000,1.13,1.13,1.11,1.11,543,0
NDACW.US,60,20210601,220000,1.07,1.08,1.03,1.0589,7592,0
NDACW.US,60,20210602,160000,1.33,1.33,1.09,1.09,1500,0
NDACW.US,60,20210602,170000,1.09,1.1369,1.04,1.0419,5197,0
NDACW.US,60,20210602,180000,1.05,1.05,1.05,1.05,800,0
NDACW.US,60,20210602,190000,1.075,1.1,1.075,1.1,840,0
NDACW.US,60,20210602,200000,1.07,1.07,1.035,1.04,8265,0
NDACW.US,60,20210602,210000,1.1499,1.1499,1.05,1.05,2100,0
NDACW.US,60,20210603,170000,1.16,1.16,1.16,1.16,250,0
NDACW.US,60,20210603,180000,1.08,1.15,1.08,1.15,2400,0
NDACW.US,60,20210603,190000,1.15,1.15,1.15,1.15,100,0
NDACW.US,60,20210603,200000,1.18,1.1835,1.18,1.18,1150,0
NDACW.US,60,20210603,210000,1.16,1.18,1.16,1.18,450,0
NDACW.US,60,20210603,220000,1.1999,1.2,1.1,1.1,22553,0
NDACW.US,60,20210604,160000,1.15,1.15,1.14,1.14,577,0
NDACW.US,60,20210604,170000,1.134,1.134,1.134,1.134,100,0
NDACW.US,60,20210604,180000,1.14,1.14,1.1399,1.14,700,0
NDACW.US,60,20210604,190000,1.14,1.14,1.1399,1.1399,200,0
NDACW.US,60,20210604,200000,1.15,1.15,1.15,1.15,200,0
NDACW.US,60,20210604,210000,1.15,1.15,1.15,1.15,1786,0
NDACW.US,60,20210604,220000,1.2124,1.2124,1.2,1.2,258,0
NDACW.US,60,20210607,160000,1.2,1.2,1.2,1.2,400,0
NDACW.US,60,20210607,170000,1.35,1.35,1.2344,1.2344,2144,0
NDACW.US,60,20210607,190000,1.245,1.25,1.1,1.1,5100,0
NDACW.US,60,20210607,200000,1.18,1.18,1.18,1.18,100,0
NDACW.US,60,20210607,210000,1.163,1.2,1.11,1.2,2620,0
NDACW.US,60,20210607,220000,1.15,1.15,1.11,1.11,2200,0
NDACW.US,60,20210608,170000,1.2,1.22,1.2,1.22,1120,0
NDACW.US,60,20210608,180000,1.22,1.22,1.22,1.22,1000,0
NDACW.US,60,20210608,190000,1.24,1.24,1.11,1.11,2730,0
NDACW.US,60,20210608,200000,1.2,1.2,1.16,1.16,288,0
NDACW.US,60,20210608,210000,1.21,1.21,1.21,1.21,100,0
NDACW.US,60,20210608,220000,1.21,1.22,1.2,1.2,2554,0
NDACW.US,60,20210609,170000,1.2398,1.2398,1.22,1.23,1600,0
NDACW.US,60,20210609,190000,1.2399,1.24,1.2399,1.24,490,0
NDACW.US,60,20210609,200000,1.24,1.24,1.24,1.24,400,0
NDACW.US,60,20210609,210000,1.2375,1.2375,1.23,1.23,861,0
NDACW.US,60,20210609,220000,1.24,1.24,1.24,1.24,200,0
NDACW.US,60,20210610,160000,1.25,1.25,1.2,1.25,1100,0
NDACW.US,60,20210610,170000,1.29,1.33,1.29,1.33,3150,0
NDACW.US,60,20210610,180000,1.35,1.35,1.35,1.35,150,0
NDACW.US,60,20210610,200000,1.415,1.53,1.4,1.52,9123,0
NDACW.US,60,20210610,210000,1.6099,1.61,1.5,1.51,32404,0
NDACW.US,60,20210610,220000,1.5,1.5,1.4,1.405,2658,0
NDACW.US,60,20210611,170000,1.4676,1.4676,1.4,1.4,1220,0
NDACW.US,60,20210611,180000,1.4,1.4,1.37,1.4,18142,0
NDACW.US,60,20210611,200000,1.37,1.39,1.37,1.39,300,0
NDACW.US,60,20210611,220000,1.38,1.38,1.38,1.38,140,0
NDACW.US,60,20210614,160000,1.36,1.36,1.36,1.36,375,0
NDACW.US,60,20210614,180000,1.36,1.36,1.36,1.36,100,0
NDACW.US,60,20210614,190000,1.375,1.39,1.375,1.39,1496,0
NDACW.US,60,20210614,200000,1.45,1.45,1.45,1.45,1300,0
NDACW.US,60,20210614,210000,1.45,1.45,1.45,1.45,500,0
NDACW.US,60,20210615,160000,1.45,1.45,1.44,1.44,326,0
NDACW.US,60,20210615,200000,1.4,1.4,1.4,1.4,100,0
NDACW.US,60,20210615,210000,1.3899,1.3899,1.3899,1.3899,250,0
NDACW.US,60,20210615,220000,1.35,1.35,1.27,1.27,2159,0
NDACW.US,60,20210616,160000,1.3,1.3,1.3,1.3,500,0
NDACW.US,60,20210616,170000,1.3,1.3,1.28,1.28,1100,0
NDACW.US,60,20210616,180000,1.36,1.36,1.31,1.31,400,0
NDACW.US,60,20210616,190000,1.36,1.42,1.36,1.42,1446,0
NDACW.US,60,20210616,220000,1.3501,1.3501,1.35,1.35,880,0
NDACW.US,60,20210617,170000,1.35,1.35,1.35,1.35,350,0
NDACW.US,60,20210617,190000,1.34,1.34,1.33,1.33,274,0
NDACW.US,60,20210617,200000,1.33,1.33,1.33,1.33,833,0
NDACW.US,60,20210617,220000,1.4299,1.4299,1.4299,1.4299,250,0
NDACW.US,60,20210618,160000,1.35,1.35,1.35,1.35,1080,0
NDACW.US,60,20210618,190000,1.41,1.41,1.41,1.41,140,0
NDACW.US,60,20210618,210000,1.41,1.41,1.35,1.35,2355,0
NDACW.US,60,20210618,220000,1.4,1.4,1.3642,1.3642,1530,0
NDACW.US,60,20210621,160000,1.36,1.36,1.36,1.36,730,0
NDACW.US,60,20210621,170000,1.36,1.36,1.35,1.35,2200,0
NDACW.US,60,20210621,190000,1.375,1.375,1.375,1.375,160,0
NDACW.US,60,20210621,210000,1.38,1.3804,1.38,1.3804,200,0
NDACW.US,60,20210621,220000,1.38,1.39,1.35,1.35,3818,0
NDACW.US,60,20210622,160000,1.36,1.36,1.33,1.33,1520,0
NDACW.US,60,20210622,170000,1.33,1.33,1.33,1.33,100,0
NDACW.US,60,20210622,220000,1.33,1.33,1.33,1.33,600,0
NDACW.US,60,20210623,160000,1.4,1.4,1.4,1.4,250,0
NDACW.US,60,20210623,170000,1.395,1.395,1.34,1.395,9700,0
NDACW.US,60,20210623,180000,1.395,1.395,1.395,1.395,300,0
NDACW.US,60,20210623,190000,1.395,1.395,1.34,1.395,6366,0
NDACW.US,60,20210623,220000,1.37,1.37,1.34,1.34,73214,0
NDACW.US,60,20210624,160000,1.29,1.29,1.29,1.29,320,0
NDACW.US,60,20210624,170000,1.33,1.33,1.31,1.31,3000,0
NDACW.US,60,20210624,200000,1.405,1.405,1.405,1.405,28900,0
