<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NDRAW.US,60,20200914,220000,0.1,0.1,0.1,0.1,1500,0
NDRAW.US,60,20200915,170000,0.085,0.085,0.085,0.085,5970,0
NDRAW.US,60,20200915,190000,0.085,0.0968,0.0849,0.095,21408,0
NDRAW.US,60,20200915,200000,0.09,0.09,0.09,0.09,2500,0
NDRAW.US,60,20200915,220000,0.09,0.09,0.0716,0.09,5500,0
NDRAW.US,60,20200916,210000,0.0704,0.0704,0.07,0.07,4500,0
NDRAW.US,60,20200917,180000,0.09,0.09,0.0607,0.0607,21200,0
NDRAW.US,60,20200917,200000,0.0893,0.0983,0.0893,0.0983,5445,0
NDRAW.US,60,20200917,210000,0.0777,0.0777,0.0777,0.0777,750,0
NDRAW.US,60,20200923,220000,0.07385,0.1245,0.07385,0.1245,2100,0
NDRAW.US,60,20200924,160000,0.1245,0.1245,0.1245,0.1245,300,0
NDRAW.US,60,20200924,200000,0.0804,0.0804,0.0804,0.0804,900,0
NDRAW.US,60,20200928,170000,0.1,0.1,0.1,0.1,200,0
NDRAW.US,60,20200928,180000,0.0802,0.0802,0.0802,0.0802,256,0
NDRAW.US,60,20200929,160000,0.11,0.11,0.1,0.1,2200,0
NDRAW.US,60,20200929,170000,0.0975,0.0975,0.0975,0.0975,500,0
NDRAW.US,60,20200929,180000,0.11,0.11,0.0975,0.0975,3800,0
NDRAW.US,60,20201001,200000,0.1099,0.1099,0.1099,0.1099,500,0
NDRAW.US,60,20201001,210000,0.0802,0.1009,0.0802,0.1009,500,0
NDRAW.US,60,20201002,180000,0.0804,0.0804,0.08,0.08,5542,0
NDRAW.US,60,20201002,190000,0.0711,0.0873,0.0711,0.0873,900,0
NDRAW.US,60,20201002,200000,0.08,0.08,0.08,0.08,21500,0
NDRAW.US,60,20201002,210000,0.08,0.1023,0.0799,0.1023,3258,0
NDRAW.US,60,20201002,220000,0.1,0.1023,0.0992,0.1023,3000,0
NDRAW.US,60,20201005,160000,0.1,0.1,0.1,0.1,100,0
NDRAW.US,60,20201005,170000,0.1,0.1,0.1,0.1,1962,0
NDRAW.US,60,20201005,180000,0.09,0.09,0.09,0.09,3400,0
NDRAW.US,60,20201006,190000,0.0914,0.0914,0.0914,0.0914,700,0
NDRAW.US,60,20201006,220000,0.0914,0.0914,0.0715,0.0715,970,0
NDRAW.US,60,20201007,210000,0.0721,0.0721,0.0721,0.0721,500,0
NDRAW.US,60,20201008,220000,0.0757,0.0757,0.0757,0.0757,6500,0
NDRAW.US,60,20201009,210000,0.0969,0.0969,0.0969,0.0969,7700,0
NDRAW.US,60,20201009,220000,0.0988,0.0988,0.0988,0.0988,1000,0
NDRAW.US,60,20201013,170000,0.095,0.095,0.08575,0.08575,600,0
NDRAW.US,60,20201013,200000,0.095,0.095,0.095,0.095,1958,0
NDRAW.US,60,20201014,160000,0.0706,0.0706,0.0705,0.0705,1062,0
NDRAW.US,60,20201014,170000,0.075,0.075,0.075,0.075,3000,0
NDRAW.US,60,20201014,210000,0.0879,0.0879,0.0879,0.0879,300,0
NDRAW.US,60,20201014,220000,0.088,0.098999,0.0879,0.098999,554,0
NDRAW.US,60,20201016,160000,0.0601,0.071,0.0601,0.071,31000,0
NDRAW.US,60,20201016,220000,0.079,0.079,0.079,0.079,1200,0
NDRAW.US,60,20201019,160000,0.079,0.079,0.0787,0.0787,3700,0
NDRAW.US,60,20201019,180000,0.0787,0.0787,0.0787,0.0787,2000,0
NDRAW.US,60,20201019,190000,0.074,0.074,0.074,0.074,500,0
NDRAW.US,60,20201021,210000,0.08,0.08,0.07045,0.0794,1876,0
NDRAW.US,60,20201021,220000,0.0793,0.0793,0.0793,0.0793,5000,0
NDRAW.US,60,20201022,170000,0.0788,0.0849,0.0788,0.0849,2394,0
NDRAW.US,60,20201022,200000,0.0829,0.083,0.0807,0.081,2954,0
NDRAW.US,60,20201023,170000,0.0652,0.0652,0.0605,0.0605,5000,0
NDRAW.US,60,20201023,220000,0.0792,0.0792,0.0792,0.0792,1834,0
NDRAW.US,60,20201026,150000,0.0704,0.0704,0.0704,0.0704,100,0
NDRAW.US,60,20201026,170000,0.0798,0.0798,0.0798,0.0798,2934,0
NDRAW.US,60,20201027,180000,0.07,0.080899,0.0639,0.080899,1050,0
NDRAW.US,60,20201027,190000,0.0797,0.0797,0.0797,0.0797,300,0
NDRAW.US,60,20201027,200000,0.0763,0.0763,0.0762,0.0762,304,0
NDRAW.US,60,20201027,210000,0.079688,0.081,0.079688,0.081,658,0
NDRAW.US,60,20201028,150000,0.0799,0.0799,0.0799,0.0799,1500,0
NDRAW.US,60,20201028,160000,0.07,0.07,0.067549,0.068212,8478,0
NDRAW.US,60,20201028,170000,0.0699,0.07,0.0699,0.07,14440,0
NDRAW.US,60,20201028,200000,0.08,0.08,0.08,0.08,800,0
NDRAW.US,60,20201102,220000,0.0949,0.0949,0.0949,0.0949,309,0
NDRAW.US,60,20201109,180000,0.077851,0.077851,0.0604,0.066,10298,0
NDRAW.US,60,20201111,170000,0.097,0.097,0.097,0.097,1000,0
NDRAW.US,60,20201111,200000,0.073,0.073,0.073,0.073,1000,0
NDRAW.US,60,20201111,210000,0.0849,0.0849,0.0844,0.0849,2150,0
NDRAW.US,60,20201111,220000,0.085,0.085,0.085,0.085,3500,0
