<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEWTZ.US,60,20210126,160000,25.6998,26.15,25.54,25.99,17350,0
NEWTZ.US,60,20210126,170000,25.99,25.99,25.775,25.95,9350,0
NEWTZ.US,60,20210126,180000,25.95,26.15,25.925,26.09,7100,0
NEWTZ.US,60,20210126,190000,26.09,26.15,25.99,26.15,22000,0
NEWTZ.US,60,20210126,200000,26.15,26.15,26.01,26.11,5800,0
NEWTZ.US,60,20210126,210000,26.08,26.14,26,26.14,9925,0
NEWTZ.US,60,20210126,220000,26.13,26.15,25.905,25.93,30050,0
NEWTZ.US,60,20210127,170000,25.8,25.8,25.755,25.755,909,0
NEWTZ.US,60,20210127,180000,25.735,25.8,25.735,25.8,2396,0
NEWTZ.US,60,20210127,190000,25.8,26.01,25.8,26,17556,0
NEWTZ.US,60,20210127,200000,25.96,26,25.93,26,18619,0
NEWTZ.US,60,20210127,210000,26,26.15,26,26,17788,0
NEWTZ.US,60,20210127,220000,26,26.15,25.95,25.95,11151,0
NEWTZ.US,60,20210128,180000,26.02,26.04,25.97,26.01,5000,0
NEWTZ.US,60,20210128,190000,26.01,26.02,26,26.005,1900,0
NEWTZ.US,60,20210128,200000,26.005,26.01,26,26,2790,0
NEWTZ.US,60,20210128,210000,26.03,26.03,26,26,3200,0
NEWTZ.US,60,20210128,220000,26.025,26.025,25.96,26,12600,0
NEWTZ.US,60,20210129,170000,26,26,26,26,400,0
NEWTZ.US,60,20210129,180000,26,26.06,26,26.06,9453,0
NEWTZ.US,60,20210129,190000,26.05,26.05,26,26.05,7162,0
NEWTZ.US,60,20210129,200000,26.05,26.1,26.05,26.1,34356,0
NEWTZ.US,60,20210129,210000,26.1,26.17,26,26.17,37517,0
NEWTZ.US,60,20210201,220000,26.23,26.29,26.01,26.01,296505,0
NEWTZ.US,60,20210202,170000,26.01,26.01,26.01,26.01,100,0
NEWTZ.US,60,20210202,200000,26.1,26.29,26.1,26.29,9738,0
NEWTZ.US,60,20210203,190000,26.03,26.03,26.03,26.03,200,0
NEWTZ.US,60,20210205,170000,25.77,25.77,25.77,25.77,100,0
NEWTZ.US,60,20210205,190000,25.94,25.94,25.94,25.94,772,0
NEWTZ.US,60,20210205,200000,26.15,26.15,26.15,26.15,1316,0
NEWTZ.US,60,20210205,210000,26.2,26.2,26.2,26.2,1000,0
NEWTZ.US,60,20210208,170000,26.2,26.2,26.2,26.2,600,0
NEWTZ.US,60,20210208,190000,26,26,25.9,25.9,600,0
NEWTZ.US,60,20210208,200000,25.9,26,25.77,25.98,4906,0
NEWTZ.US,60,20210208,210000,26,26,26,26,500,0
NEWTZ.US,60,20210208,220000,26.02,27.67,26.02,27.67,7794,0
NEWTZ.US,60,20210209,160000,26.2,26.2,26.2,26.2,420,0
NEWTZ.US,60,20210209,200000,26.035,26.035,26.035,26.035,400,0
NEWTZ.US,60,20210209,220000,26.115,26.115,26.115,26.115,304,0
NEWTZ.US,60,20210210,180000,26,26,26,26,2828,0
NEWTZ.US,60,20210210,200000,26.08,26.1,26.08,26.1,1500,0
NEWTZ.US,60,20210210,210000,26.15,26.15,26.15,26.15,144,0
NEWTZ.US,60,20210211,190000,26.12,26.12,26.12,26.12,100,0
NEWTZ.US,60,20210211,200000,26,26.1225,26,26.1225,402,0
NEWTZ.US,60,20210211,220000,25.95,25.95,25.95,25.95,2735,0
NEWTZ.US,60,20210212,210000,25.85,26.05,25.8,25.9,7240,0
NEWTZ.US,60,20210212,220000,25.76,25.89,25.76,25.89,4968,0
NEWTZ.US,60,20210216,160000,25.76,25.76,25.76,25.76,668,0
NEWTZ.US,60,20210216,180000,25.99,25.99,25.99,25.99,600,0
NEWTZ.US,60,20210216,190000,25.76,25.76,25.76,25.76,499,0
NEWTZ.US,60,20210216,200000,25.76,25.76,25.76,25.76,1901,0
NEWTZ.US,60,20210216,220000,25.703,25.7051,25.55,25.55,2328,0
NEWTZ.US,60,20210217,160000,25.6,25.6,25.6,25.6,200,0
NEWTZ.US,60,20210217,180000,25.7,25.705,25.7,25.7,3019,0
NEWTZ.US,60,20210217,190000,25.7,25.7,25.7,25.7,4425,0
NEWTZ.US,60,20210217,200000,25.75,25.79,25.75,25.79,2570,0
NEWTZ.US,60,20210217,220000,25.73,25.73,25.705,25.705,328,0
NEWTZ.US,60,20210218,170000,25.63,25.63,25.63,25.63,200,0
NEWTZ.US,60,20210218,180000,25.73,25.75,25.73,25.75,2100,0
NEWTZ.US,60,20210218,210000,25.75,25.75,25.75,25.75,1000,0
NEWTZ.US,60,20210218,220000,25.8,25.8,25.8,25.8,3186,0
NEWTZ.US,60,20210219,170000,25.78,25.78,25.78,25.78,200,0
NEWTZ.US,60,20210219,180000,25.73,25.76,25.73,25.76,1500,0
NEWTZ.US,60,20210219,220000,25.67,25.67,25.67,25.67,100,0
NEWTZ.US,60,20210222,160000,25.84,25.87,25.84,25.87,642,0
NEWTZ.US,60,20210222,170000,25.87,25.87,25.87,25.87,507,0
NEWTZ.US,60,20210222,180000,25.84,25.84,25.84,25.84,300,0
NEWTZ.US,60,20210222,210000,25.77,25.88,25.77,25.85,1572,0
NEWTZ.US,60,20210223,160000,25.65,25.67,25.65,25.67,200,0
NEWTZ.US,60,20210223,170000,25.8,25.8,25.8,25.8,800,0
NEWTZ.US,60,20210223,190000,25.65,25.7,25.64,25.64,2838,0
NEWTZ.US,60,20210223,200000,25.65,25.7,25.65,25.7,862,0
NEWTZ.US,60,20210223,210000,25.78,25.78,25.7,25.7,5700,0
NEWTZ.US,60,20210223,220000,25.7,25.72,25.7,25.72,441,0
NEWTZ.US,60,20210224,160000,25.8,25.8,25.8,25.8,272,0
NEWTZ.US,60,20210224,180000,25.75,25.76,25.75,25.76,718,0
NEWTZ.US,60,20210224,210000,25.67,25.75,25.67,25.75,2330,0
NEWTZ.US,60,20210225,160000,25.75,25.76,25.58,25.58,1691,0
NEWTZ.US,60,20210225,170000,25.61,25.75,25.61,25.75,2399,0
NEWTZ.US,60,20210225,200000,25.64,25.7,25.63,25.65,620,0
NEWTZ.US,60,20210225,210000,25.64,25.64,25.64,25.64,100,0
NEWTZ.US,60,20210225,220000,25.65,25.7,25.65,25.66,2341,0
NEWTZ.US,60,20210226,180000,25.72,25.73,25.64,25.64,300,0
NEWTZ.US,60,20210226,210000,25.67,26,25.67,25.8,5879,0
NEWTZ.US,60,20210301,160000,25.91,25.91,25.91,25.91,400,0
NEWTZ.US,60,20210301,200000,25.85,25.85,25.85,25.85,600,0
NEWTZ.US,60,20210301,220000,25.74,25.74,25.71,25.72,400,0
NEWTZ.US,60,20210302,170000,25.97,26,25.9417,25.98,2137,0
NEWTZ.US,60,20210302,210000,25.84,26,25.7938,25.945,3542,0
NEWTZ.US,60,20210303,170000,26.5,26.5,26.115,26.49,1500,0
NEWTZ.US,60,20210303,210000,26.35,26.35,26.35,26.35,536,0
NEWTZ.US,60,20210303,220000,26.34,26.34,26.34,26.34,200,0
NEWTZ.US,60,20210304,160000,26.15,26.15,26.15,26.15,300,0
NEWTZ.US,60,20210304,200000,26.15,26.15,26.15,26.15,180,0
NEWTZ.US,60,20210304,220000,26.15,26.15,26.15,26.15,115,0
NEWTZ.US,60,20210305,190000,26.02,26.02,26.02,26.02,100,0
