<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOTV.US,60,20200914,170000,4.8973,4.93,4.77,4.93,5074,0
NOTV.US,60,20200914,180000,4.94,4.94,4.94,4.94,100,0
NOTV.US,60,20200914,200000,4.91,4.93,4.89,4.92,752,0
NOTV.US,60,20200914,220000,4.89,4.92,4.89,4.91,433,0
NOTV.US,60,20200915,160000,5.26,5.26,4.9549,5.1,500,0
NOTV.US,60,20200915,170000,5.0282,5.0282,4.99,4.99,300,0
NOTV.US,60,20200915,180000,5,5,5,5,100,0
NOTV.US,60,20200915,190000,5,5,5,5,100,0
NOTV.US,60,20200915,210000,4.94,4.9441,4.87,4.94,3296,0
NOTV.US,60,20200915,220000,4.95,4.95,4.92,4.935,653,0
NOTV.US,60,20200916,160000,4.9,4.9,4.9,4.9,120,0
NOTV.US,60,20200916,170000,4.9,4.9,4.9,4.9,400,0
NOTV.US,60,20200916,180000,4.89,4.89,4.89,4.89,261,0
NOTV.US,60,20200916,190000,4.9,4.9,4.88,4.9,1205,0
NOTV.US,60,20200916,200000,4.9,4.9,4.9,4.9,100,0
NOTV.US,60,20200916,210000,4.89,4.9,4.89,4.89,1902,0
NOTV.US,60,20200916,220000,4.88,4.88,4.73,4.73,1274,0
NOTV.US,60,20200917,160000,4.95,4.95,4.7657,4.7657,410,0
NOTV.US,60,20200917,170000,4.845,4.845,4.8,4.815,798,0
NOTV.US,60,20200917,180000,4.94,4.94,4.8702,4.8702,203,0
NOTV.US,60,20200917,190000,4.8643,4.8643,4.8643,4.8643,500,0
NOTV.US,60,20200917,200000,4.93,4.93,4.93,4.93,100,0
NOTV.US,60,20200917,210000,4.875,4.875,4.875,4.875,605,0
NOTV.US,60,20200917,220000,4.89,4.94,4.82,4.94,800,0
NOTV.US,60,20200918,160000,4.94,4.94,4.9388,4.9388,1043,0
NOTV.US,60,20200918,170000,4.8887,4.8887,4.8887,4.8887,115,0
NOTV.US,60,20200918,180000,4.95,5.025,4.9499,5.025,402,0
NOTV.US,60,20200918,190000,5.0038,5.0038,4.9501,4.9501,700,0
NOTV.US,60,20200918,200000,4.971,4.971,4.95,4.95,400,0
NOTV.US,60,20200918,210000,4.99,4.9901,4.99,4.9901,2495,0
NOTV.US,60,20200918,220000,4.9,4.98,4.81,4.85,4691,0
NOTV.US,60,20200921,180000,4.9322,4.98,4.8001,4.89,2000,0
NOTV.US,60,20200921,190000,4.845,4.89,4.845,4.89,10100,0
NOTV.US,60,20200921,200000,4.849,4.89,4.8,4.89,865,0
NOTV.US,60,20200921,210000,4.855,4.88,4.82,4.88,10100,0
NOTV.US,60,20200921,220000,4.88,4.88,4.82,4.85,400,0
NOTV.US,60,20200922,160000,4.75,4.75,4.72,4.72,1700,0
NOTV.US,60,20200922,170000,4.82,4.82,4.82,4.82,100,0
NOTV.US,60,20200922,200000,4.795,4.85,4.7707,4.85,5203,0
NOTV.US,60,20200922,210000,4.825,4.86,4.82,4.82,15200,0
NOTV.US,60,20200922,220000,4.82,4.87,4.8,4.84,22130,0
NOTV.US,60,20200923,160000,4.78,4.78,4.78,4.78,250,0
NOTV.US,60,20200923,180000,4.89,4.89,4.8865,4.8865,250,0
NOTV.US,60,20200923,190000,4.8,4.97,4.8,4.97,975,0
NOTV.US,60,20200923,200000,4.87,4.92,4.87,4.92,600,0
NOTV.US,60,20200923,210000,4.93,4.95,4.8601,4.95,4916,0
NOTV.US,60,20200923,220000,4.89,4.8901,4.875,4.88,500,0
NOTV.US,60,20200924,170000,4.81,4.81,4.7642,4.7657,2839,0
NOTV.US,60,20200924,180000,4.715,4.76,4.61,4.76,15799,0
