<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRXPU.US,60,20201214,160000,14.41,15.75,14.41,15.75,1200,0
NRXPU.US,60,20201214,170000,19,19,16.49,16.49,410,0
NRXPU.US,60,20201214,180000,18,19,17.5101,18.99,2646,0
NRXPU.US,60,20201214,190000,19,19.385,19,19.385,374,0
NRXPU.US,60,20201215,160000,19.4,19.4,19.4,19.4,100,0
NRXPU.US,60,20201215,170000,17,17,15.3,15.3,200,0
NRXPU.US,60,20201215,180000,15.35,15.35,15.3,15.3,575,0
NRXPU.US,60,20201215,220000,14.41,14.5,14.41,14.5,309,0
NRXPU.US,60,20201221,160000,17.42,17.42,17.42,17.42,100,0
NRXPU.US,60,20201221,180000,19,19,19,19,100,0
NRXPU.US,60,20201221,200000,19.07,19.07,19.07,19.07,100,0
NRXPU.US,60,20201221,210000,20.091,26.9,20.091,26.9,2420,0
NRXPU.US,60,20201221,220000,31,40.85,28.84,28.84,6072,0
NRXPU.US,60,20201222,160000,31.6,40.61,31.6,35.06,2792,0
NRXPU.US,60,20201222,170000,40.4,70.85,40.4,58.76,3009,0
NRXPU.US,60,20201222,180000,55.4749,64.03,54,54,1083,0
NRXPU.US,60,20201222,200000,44.01,48.37,44.01,48.37,200,0
NRXPU.US,60,20201222,210000,50,50,50,50,100,0
NRXPU.US,60,20201222,220000,45.3482,45.3482,44.505,44.505,300,0
NRXPU.US,60,20201224,160000,37.87,37.87,35.48,35.48,223,0
NRXPU.US,60,20201224,170000,39.03,39.03,39.03,39.03,245,0
NRXPU.US,60,20201224,180000,42.93,42.93,42.52,42.52,600,0
NRXPU.US,60,20201224,190000,40.3,40.3,40,40,899,0
NRXPU.US,60,20201228,160000,34,34,34,34,1078,0
NRXPU.US,60,20201228,170000,35.02,36,35.02,36,650,0
NRXPU.US,60,20201228,200000,43,43,43,43,314,0
NRXPU.US,60,20201228,210000,43,43,43,43,100,0
NRXPU.US,60,20201229,160000,48,50,48,50,200,0
NRXPU.US,60,20201229,170000,54.5,60.99,54.5,60.99,300,0
NRXPU.US,60,20201229,200000,61.1,61.1,61.1,61.1,101,0
NRXPU.US,60,20201229,210000,65.99,65.99,63,63,200,0
NRXPU.US,60,20201229,220000,70,89,70,89,216,0
NRXPU.US,60,20210104,170000,60.05,60.05,36.5,36.5,610,0
NRXPU.US,60,20210104,180000,32.85,32.85,32.85,32.85,100,0
NRXPU.US,60,20210104,210000,32.85,32.85,32.85,32.85,140,0
NRXPU.US,60,20210104,220000,33.05,33.05,32.85,32.85,300,0
NRXPU.US,60,20210105,170000,32.19,32.19,32.07,32.07,344,0
NRXPU.US,60,20210106,210000,25.92,25.92,25.92,25.92,100,0
NRXPU.US,60,20210108,220000,34,34,34,34,390,0
NRXPU.US,60,20210121,170000,54.5,54.5,50,50,341,0
NRXPU.US,60,20210127,210000,33.2,33.2,33.2,33.2,221,0
NRXPU.US,60,20210129,160000,58,65,58,65,230,0
NRXPU.US,60,20210203,170000,67,67,67,67,100,0
NRXPU.US,60,20210428,220000,48.47,49,45.64,49,400,0
NRXPU.US,60,20210505,170000,40,40,40,40,102,0
