<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCFC.US,60,20200914,160000,14.667,14.877,14.667,14.755,5938,0
OCFC.US,60,20200914,170000,14.793,14.901,14.755,14.823,15862,0
OCFC.US,60,20200914,180000,14.823,14.882,14.774,14.774,6380,0
OCFC.US,60,20200914,190000,14.803,14.901,14.803,14.882,13742,0
OCFC.US,60,20200914,200000,14.901,14.921,14.803,14.803,5818,0
OCFC.US,60,20200914,210000,14.813,14.833,14.784,14.793,4062,0
OCFC.US,60,20200914,220000,14.823,14.823,14.755,14.793,72628,0
OCFC.US,60,20200915,160000,14.853,14.853,14.49,14.49,2380,0
OCFC.US,60,20200915,170000,14.519,14.774,14.519,14.774,17245,0
OCFC.US,60,20200915,180000,14.745,14.755,14.578,14.607,5871,0
OCFC.US,60,20200915,190000,14.588,14.607,14.519,14.578,8180,0
OCFC.US,60,20200915,200000,14.588,14.598,14.539,14.549,4249,0
OCFC.US,60,20200915,210000,14.539,14.588,14.5,14.51,12983,0
OCFC.US,60,20200915,220000,14.51,14.51,14.352,14.392,39027,0
OCFC.US,60,20200916,160000,14.372,14.372,14.274,14.294,4687,0
OCFC.US,60,20200916,170000,14.339,14.51,14.334,14.5,8826,0
OCFC.US,60,20200916,180000,14.5,14.627,14.49,14.588,14368,0
OCFC.US,60,20200916,190000,14.588,14.647,14.578,14.617,9112,0
OCFC.US,60,20200916,200000,14.598,14.657,14.559,14.637,5932,0
OCFC.US,60,20200916,210000,14.657,14.735,14.627,14.686,11506,0
OCFC.US,60,20200916,220000,14.676,14.705,14.529,14.549,54674,0
OCFC.US,60,20200917,160000,14.344,14.422,14.294,14.412,1942,0
OCFC.US,60,20200917,170000,14.441,14.519,14.422,14.451,2150,0
OCFC.US,60,20200917,180000,14.51,14.51,14.392,14.392,6946,0
OCFC.US,60,20200917,190000,14.392,14.451,14.344,14.441,22437,0
OCFC.US,60,20200917,200000,14.441,14.529,14.412,14.519,9608,0
OCFC.US,60,20200917,210000,14.519,14.539,14.49,14.51,6412,0
OCFC.US,60,20200917,220000,14.519,14.607,14.5,14.598,53881,0
OCFC.US,60,20200918,160000,14.715,14.72,14.5,14.519,81342,0
OCFC.US,60,20200918,170000,14.47,14.657,14.441,14.539,5942,0
OCFC.US,60,20200918,180000,14.519,14.549,14.412,14.422,6525,0
OCFC.US,60,20200918,190000,14.402,14.412,14.176,14.176,13643,0
OCFC.US,60,20200918,200000,14.196,14.211,14.098,14.172,16940,0
OCFC.US,60,20200918,210000,14.206,14.24,14.147,14.157,28106,0
OCFC.US,60,20200918,220000,14.157,14.176,14.098,14.108,273780,0
OCFC.US,60,20200921,160000,13.804,13.991,13.765,13.785,4800,0
OCFC.US,60,20200921,170000,13.833,13.853,13.628,13.686,10194,0
OCFC.US,60,20200921,180000,13.658,13.658,13.461,13.5,26565,0
OCFC.US,60,20200921,190000,13.481,13.49,13.315,13.315,14258,0
OCFC.US,60,20200921,200000,13.344,13.402,13.265,13.344,15786,0
OCFC.US,60,20200921,210000,13.344,13.353,13.285,13.344,13592,0
OCFC.US,60,20200921,220000,13.334,13.578,13.334,13.56,117029,0
OCFC.US,60,20200922,160000,13.667,13.736,13.471,13.53,6036,0
OCFC.US,60,20200922,170000,13.481,13.49,13.197,13.197,32480,0
OCFC.US,60,20200922,180000,13.177,13.217,13.109,13.119,11500,0
OCFC.US,60,20200922,190000,13.109,13.167,13.079,13.133,6434,0
OCFC.US,60,20200922,200000,13.109,13.255,13.069,13.207,14284,0
OCFC.US,60,20200922,210000,13.222,13.232,13.157,13.157,8944,0
OCFC.US,60,20200922,220000,13.149,13.217,13.089,13.187,56529,0
OCFC.US,60,20200923,160000,13.217,13.471,13.217,13.393,12450,0
OCFC.US,60,20200923,170000,13.373,13.471,13.285,13.373,13399,0
OCFC.US,60,20200923,180000,13.344,13.383,13.26,13.324,11100,0
OCFC.US,60,20200923,190000,13.334,13.402,13.324,13.373,13936,0
OCFC.US,60,20200923,200000,13.373,13.373,13.227,13.265,6039,0
OCFC.US,60,20200923,210000,13.232,13.28,13.05,13.05,16794,0
OCFC.US,60,20200923,220000,13.05,13.119,12.991,13.011,103698,0
OCFC.US,60,20200924,160000,13.04,13.342,12.952,13.015,4672,0
OCFC.US,60,20200924,170000,13.011,13.245,13.011,13.069,11422,0
OCFC.US,60,20200924,180000,13.069,13.089,12.972,13.04,9784,0
OCFC.US,60,20200924,190000,13.079,13.339,13.069,13.339,8441,0
OCFC.US,60,20200924,200000,13.339,13.422,13.305,13.334,37817,0
OCFC.US,60,20200924,210000,13.315,13.315,13.138,13.157,23824,0
OCFC.US,60,20200924,220000,13.124,13.147,13.011,13.069,61552,0
OCFC.US,60,20200925,160000,12.874,13.109,12.874,13.109,5028,0
OCFC.US,60,20200925,170000,13.089,13.197,13.079,13.157,5353,0
OCFC.US,60,20200925,180000,13.177,13.207,13.089,13.119,2807,0
OCFC.US,60,20200925,190000,13.128,13.353,13.128,13.353,56106,0
OCFC.US,60,20200925,200000,13.348,13.412,13.315,13.373,22272,0
OCFC.US,60,20200925,210000,13.402,13.422,13.368,13.402,10727,0
OCFC.US,60,20200925,220000,13.388,13.51,13.388,13.422,58896,0
OCFC.US,60,20200928,160000,13.51,13.706,13.51,13.595,8064,0
OCFC.US,60,20200928,170000,13.672,13.824,13.667,13.736,5410,0
OCFC.US,60,20200928,180000,13.696,13.794,13.677,13.794,4435,0
OCFC.US,60,20200928,190000,13.794,13.843,13.765,13.775,6102,0
OCFC.US,60,20200928,200000,13.78,13.824,13.716,13.716,5012,0
OCFC.US,60,20200928,210000,13.696,13.863,13.696,13.833,3139,0
OCFC.US,60,20200928,220000,13.825,13.883,13.765,13.794,46709,0
OCFC.US,60,20200929,160000,13.726,13.726,13.52,13.52,4666,0
OCFC.US,60,20200929,170000,13.618,13.618,13.383,13.393,5995,0
OCFC.US,60,20200929,180000,13.353,13.442,13.285,13.344,7298,0
OCFC.US,60,20200929,190000,13.285,13.412,13.285,13.363,5029,0
OCFC.US,60,20200929,200000,13.373,13.452,13.295,13.452,6386,0
OCFC.US,60,20200929,210000,13.442,13.53,13.432,13.457,9272,0
OCFC.US,60,20200929,220000,13.452,13.53,13.422,13.51,114525,0
OCFC.US,60,20200930,160000,13.608,13.726,13.608,13.628,3134,0
OCFC.US,60,20200930,170000,13.736,13.765,13.52,13.686,17015,0
OCFC.US,60,20200930,180000,13.618,13.618,13.52,13.55,3402,0
OCFC.US,60,20200930,190000,13.578,13.701,13.565,13.648,10171,0
OCFC.US,60,20200930,200000,13.618,13.638,13.55,13.56,2388,0
OCFC.US,60,20200930,210000,13.598,13.608,13.334,13.412,5559,0
OCFC.US,60,20200930,220000,13.412,13.432,13.305,13.412,81122,0
OCFC.US,60,20201001,160000,13.393,13.565,13.393,13.422,5091,0
OCFC.US,60,20201001,170000,13.363,13.437,13.255,13.334,5709,0
OCFC.US,60,20201001,180000,13.383,13.402,13.334,13.393,5027,0
OCFC.US,60,20201001,190000,13.373,13.471,13.353,13.442,7186,0
OCFC.US,60,20201001,200000,13.442,13.471,13.373,13.373,5900,0
OCFC.US,60,20201001,210000,13.373,13.5,13.305,13.481,8143,0
OCFC.US,60,20201001,220000,13.486,13.53,13.442,13.461,89273,0
OCFC.US,60,20201002,160000,13.275,13.638,13.255,13.588,4072,0
OCFC.US,60,20201002,170000,13.648,13.794,13.648,13.731,14768,0
OCFC.US,60,20201002,180000,13.731,13.76,13.686,13.721,9711,0
OCFC.US,60,20201002,190000,13.731,13.976,13.731,13.951,74228,0
