<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODP.US,60,20200914,160000,21.37,21.66,21.15,21.44,16530,0
ODP.US,60,20200914,170000,21.5,21.5,21.23,21.31,32674,0
ODP.US,60,20200914,180000,21.295,21.295,21.02,21.21,50577,0
ODP.US,60,20200914,190000,21.22,21.32,21.18,21.29,19053,0
ODP.US,60,20200914,200000,21.3,21.34,21.23,21.29,11255,0
ODP.US,60,20200914,210000,21.2801,21.34,21.16,21.21,21875,0
ODP.US,60,20200914,220000,21.21,21.28,21.18,21.25,231878,0
ODP.US,60,20200915,160000,21.32,21.51,21.21,21.42,17798,0
ODP.US,60,20200915,170000,21.42,21.62,21.26,21.59,37549,0
ODP.US,60,20200915,180000,21.62,21.62,21.31,21.35,15232,0
ODP.US,60,20200915,190000,21.37,21.45,21.28,21.32,11968,0
ODP.US,60,20200915,200000,21.32,21.35,21.27,21.31,12262,0
ODP.US,60,20200915,210000,21.29,21.34,21.25,21.295,11809,0
ODP.US,60,20200915,220000,21.31,21.31,21.02,21.22,137097,0
ODP.US,60,20200916,160000,21.37,21.37,20.87,20.9513,14052,0
ODP.US,60,20200916,170000,20.92,21.14,20.92,21.015,19065,0
ODP.US,60,20200916,180000,21.03,21.27,21.03,21.09,18602,0
ODP.US,60,20200916,190000,21.09,21.36,21.09,21.35,21494,0
ODP.US,60,20200916,200000,21.31,21.36,21.25,21.315,18283,0
ODP.US,60,20200916,210000,21.33,21.65,21.28,21.535,22213,0
ODP.US,60,20200916,220000,21.56,21.57,21.41,21.53,192375,0
ODP.US,60,20200917,160000,21.16,21.69,21.16,21.63,13265,0
ODP.US,60,20200917,170000,21.67,21.7,21.485,21.515,8709,0
ODP.US,60,20200917,180000,21.515,21.63,21.495,21.53,9758,0
ODP.US,60,20200917,190000,21.525,21.75,21.45,21.75,12621,0
ODP.US,60,20200917,200000,21.72,21.815,21.671,21.775,10120,0
ODP.US,60,20200917,210000,21.79,21.885,21.65,21.66,8522,0
ODP.US,60,20200917,220000,21.665,21.77,21.56,21.72,166773,0
ODP.US,60,20200918,160000,21.75,21.775,21.635,21.69,5758,0
ODP.US,60,20200918,170000,21.67,21.91,21.6,21.61,20120,0
ODP.US,60,20200918,180000,21.65,21.78,21.44,21.58,20516,0
ODP.US,60,20200918,190000,21.53,21.55,21.31,21.395,27507,0
ODP.US,60,20200918,200000,21.41,21.515,21.36,21.49,31710,0
ODP.US,60,20200918,210000,21.47,21.56,21.4,21.51,15478,0
ODP.US,60,20200918,220000,21.49,21.68,21.46,21.62,624527,0
ODP.US,60,20200921,160000,21.22,21.44,20.7,20.7,11482,0
ODP.US,60,20200921,170000,20.7,20.86,20.24,20.38,134988,0
ODP.US,60,20200921,180000,20.38,20.53,20.2,20.52,63740,0
ODP.US,60,20200921,190000,20.5,20.54,20.2,20.27,26805,0
ODP.US,60,20200921,200000,20.26,20.345,20.16,20.235,69209,0
ODP.US,60,20200921,210000,20.235,20.37,20.21,20.34,29390,0
ODP.US,60,20200921,220000,20.38,20.6,20.32,20.58,176196,0
ODP.US,60,20200922,160000,20.71,20.84,20.53,20.575,11387,0
ODP.US,60,20200922,170000,20.46,20.6455,20.43,20.49,27224,0
ODP.US,60,20200922,180000,20.48,20.584,20.4,20.55,28884,0
ODP.US,60,20200922,190000,20.51,20.64,20.5,20.61,11483,0
ODP.US,60,20200922,200000,20.61,20.8724,20.61,20.81,14511,0
ODP.US,60,20200922,210000,20.83,20.87,20.68,20.78,16839,0
ODP.US,60,20200922,220000,20.765,20.82,20.64,20.74,127116,0
ODP.US,60,20200923,160000,20.87,21.56,20.48,20.97,26970,0
ODP.US,60,20200923,170000,21.02,21.02,20.5,20.56,15978,0
ODP.US,60,20200923,180000,20.55,20.62,20.35,20.38,32007,0
ODP.US,60,20200923,190000,20.38,20.455,20.08,20.11,75654,0
ODP.US,60,20200923,200000,20.1,20.235,19.9075,19.9075,132033,0
ODP.US,60,20200923,210000,19.915,19.915,19.31,19.36,103331,0
ODP.US,60,20200923,220000,19.38,19.46,19.14,19.21,324692,0
ODP.US,60,20200924,160000,19.19,19.305,18.865,19.07,27649,0
ODP.US,60,20200924,170000,19.15,19.25,18.75,18.88,34784,0
ODP.US,60,20200924,180000,18.89,19.04,18.68,19.04,28694,0
ODP.US,60,20200924,190000,19.01,19.06,18.76,18.83,31427,0
ODP.US,60,20200924,200000,18.85,19.13,18.83,18.96,28951,0
ODP.US,60,20200924,210000,18.965,18.965,18.69,18.72,40505,0
ODP.US,60,20200924,220000,18.72,18.78,18.47,18.62,205134,0
ODP.US,60,20200925,160000,18.49,18.51,18.27,18.51,16405,0
ODP.US,60,20200925,170000,18.45,18.565,18.34,18.35,15990,0
ODP.US,60,20200925,180000,18.34,18.41,18.14,18.145,33748,0
ODP.US,60,20200925,190000,18.16,18.44,18.14,18.44,16274,0
ODP.US,60,20200925,200000,18.41,18.46,18.34,18.41,23220,0
ODP.US,60,20200925,210000,18.41,18.42,18.35,18.35,27716,0
ODP.US,60,20200925,220000,18.35,18.49,18.28,18.31,161342,0
ODP.US,60,20200928,160000,18.62,18.885,18.4679,18.7,10961,0
ODP.US,60,20200928,170000,18.72,18.75,18.44,18.69,21926,0
ODP.US,60,20200928,180000,18.7,18.81,18.61,18.79,31056,0
ODP.US,60,20200928,190000,18.77,18.86,18.73,18.74,13042,0
ODP.US,60,20200928,200000,18.72,18.77,18.635,18.74,15867,0
ODP.US,60,20200928,210000,18.74,18.79,18.72,18.75,11548,0
ODP.US,60,20200928,220000,18.73,18.74,18.38,18.45,176370,0
ODP.US,60,20200929,160000,18.41,18.41,18.11,18.15,17730,0
ODP.US,60,20200929,170000,18.15,18.24,17.91,17.91,55439,0
ODP.US,60,20200929,180000,17.91,18.06,17.86,18.02,44056,0
ODP.US,60,20200929,190000,18.03,18.16,18.02,18.13,16245,0
ODP.US,60,20200929,200000,18.13,18.31,18.08,18.2544,14076,0
ODP.US,60,20200929,210000,18.29,18.5,18.28,18.42,17721,0
ODP.US,60,20200929,220000,18.45,18.45,18.22,18.3,126838,0
ODP.US,60,20200930,160000,18.37,18.84,18.37,18.84,10414,0
ODP.US,60,20200930,170000,18.79,19.07,18.78,18.975,19702,0
ODP.US,60,20200930,180000,18.97,19.04,18.81,18.9,22696,0
ODP.US,60,20200930,190000,18.91,19.229,18.91,19.2,23360,0
ODP.US,60,20200930,200000,19.15,19.25,19.12,19.16,41300,0
ODP.US,60,20200930,210000,19.17,19.43,19.17,19.3882,71025,0
ODP.US,60,20200930,220000,19.405,19.49,19.24,19.45,311328,0
ODP.US,60,20201001,160000,19.41,19.94,19.4,19.5,28052,0
ODP.US,60,20201001,170000,19.54,19.79,19.45,19.72,18627,0
ODP.US,60,20201001,180000,19.75,20.01,19.7,19.85,29936,0
ODP.US,60,20201001,190000,19.84,20.16,19.81,20.12,19480,0
