<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORPH.US,60,20200929,170000,10.8,11,10.3,10.325,937111,0
ORPH.US,60,20200929,180000,10.32,10.49,10.29,10.3,132738,0
ORPH.US,60,20200929,190000,10.3,10.39,10,10.16,496958,0
ORPH.US,60,20200929,200000,10.1741,10.2296,10.02,10.1001,56273,0
ORPH.US,60,20200929,210000,10.145,10.19,9.6124,9.85,150313,0
ORPH.US,60,20200929,220000,9.82,10.08,9.51,9.71,286924,0
ORPH.US,60,20200930,160000,10,10.3,9.98,10.04,139978,0
ORPH.US,60,20200930,170000,10.04,10.18,9.81,9.965,85135,0
ORPH.US,60,20200930,180000,9.975,10.25,9.87,10.15,29337,0
ORPH.US,60,20200930,190000,10.14,10.3516,10.1101,10.345,52836,0
ORPH.US,60,20200930,200000,10.341,10.345,10.15,10.16,45605,0
ORPH.US,60,20200930,210000,10.16,10.32,10.15,10.27,29808,0
ORPH.US,60,20200930,220000,10.29,10.4,10.27,10.33,84160,0
ORPH.US,60,20201001,160000,10.7,10.825,10.61,10.77,43371,0
ORPH.US,60,20201001,170000,10.77,10.9,10.67,10.67,79084,0
ORPH.US,60,20201001,180000,10.7,10.71,10.61,10.68,36003,0
ORPH.US,60,20201001,190000,10.68,10.76,10.65,10.72,27314,0
ORPH.US,60,20201001,200000,10.72,10.79,10.69,10.76,33186,0
ORPH.US,60,20201001,210000,10.74,10.7501,10.69,10.71,20020,0
ORPH.US,60,20201001,220000,10.72,10.8,10.62,10.62,61874,0
ORPH.US,60,20201002,160000,10.9,10.9,10.74,10.84,42007,0
ORPH.US,60,20201002,170000,10.82,10.89,10.74,10.78,58506,0
ORPH.US,60,20201002,180000,10.78,10.82,10.51,10.645,47576,0
ORPH.US,60,20201002,190000,10.61,10.84,10.61,10.76,22005,0
ORPH.US,60,20201002,200000,10.76,10.795,10.69,10.72,15900,0
ORPH.US,60,20201002,210000,10.75,10.9,10.7,10.89,21745,0
ORPH.US,60,20201002,220000,10.9,10.9,10.78,10.81,115333,0
ORPH.US,60,20201005,160000,10.92,10.93,10.35,10.907,25626,0
ORPH.US,60,20201005,170000,10.88,10.88,10.78,10.8003,18220,0
ORPH.US,60,20201005,180000,10.83,10.8405,10.77,10.77,13515,0
ORPH.US,60,20201005,190000,10.775,10.84,10.74,10.77,29436,0
ORPH.US,60,20201005,200000,10.77,10.79,10.66,10.66,13930,0
ORPH.US,60,20201005,210000,10.72,10.7801,10.66,10.7801,10250,0
ORPH.US,60,20201005,220000,10.815,10.89,10.79,10.8,31366,0
ORPH.US,60,20201006,160000,10.57,10.78,10.57,10.76,11572,0
ORPH.US,60,20201006,170000,10.74,10.81,10.63,10.7,33915,0
ORPH.US,60,20201006,180000,10.7,10.7,10.63,10.63,8760,0
ORPH.US,60,20201006,190000,10.64,10.65,10.32,10.53,40445,0
ORPH.US,60,20201006,200000,10.595,10.64,10.52,10.62,11827,0
ORPH.US,60,20201006,210000,10.62,10.63,10.5635,10.5635,7780,0
ORPH.US,60,20201006,220000,10.59,10.69,10.54,10.54,23416,0
ORPH.US,60,20201007,160000,10.48,10.75,10.48,10.71,10237,0
ORPH.US,60,20201007,170000,10.68,10.71,10.46,10.46,29001,0
ORPH.US,60,20201007,180000,10.46,10.4601,10.33,10.45,7802,0
ORPH.US,60,20201007,190000,10.45,10.49,10.4,10.445,14222,0
ORPH.US,60,20201007,200000,10.485,10.53,10.4,10.53,17633,0
ORPH.US,60,20201007,210000,10.5,10.5,10.47,10.47,3500,0
ORPH.US,60,20201007,220000,10.4718,10.8,10.45,10.65,39109,0
ORPH.US,60,20201008,160000,10.39,10.93,10.39,10.68,11805,0
ORPH.US,60,20201008,170000,10.68,10.68,10.55,10.61,9458,0
ORPH.US,60,20201008,180000,10.66,10.66,10.55,10.6,1750,0
ORPH.US,60,20201008,190000,10.61,10.69,10.55,10.68,5500,0
ORPH.US,60,20201008,200000,10.66,10.75,10.6302,10.73,5600,0
ORPH.US,60,20201008,210000,10.705,10.74,10.659,10.74,4300,0
ORPH.US,60,20201008,220000,10.74,10.75,10.61,10.68,21283,0
ORPH.US,60,20201009,160000,10.61,10.97,10.61,10.945,7995,0
ORPH.US,60,20201009,170000,10.95,10.95,10.89,10.9,5631,0
ORPH.US,60,20201009,180000,10.9,10.94,10.88,10.94,4000,0
ORPH.US,60,20201009,190000,10.94,10.95,10.915,10.95,3933,0
ORPH.US,60,20201009,200000,10.94,10.95,10.91,10.94,2860,0
ORPH.US,60,20201009,210000,10.94,10.94,10.89,10.92,8692,0
ORPH.US,60,20201009,220000,10.92,10.945,10.85,10.94,28965,0
ORPH.US,60,20201012,160000,11,11.07,10.96,10.96,26559,0
ORPH.US,60,20201012,170000,10.96,11.01,10.93,10.93,22954,0
ORPH.US,60,20201012,180000,11,11,10.96,10.96,2440,0
ORPH.US,60,20201012,190000,10.97,10.98,10.96,10.97,12530,0
ORPH.US,60,20201012,200000,10.96,10.97,10.93,10.94,7091,0
ORPH.US,60,20201012,210000,10.955,10.955,10.91,10.92,7753,0
ORPH.US,60,20201012,220000,10.92,10.96,10.91,10.94,24456,0
ORPH.US,60,20201013,160000,10.94,10.95,10.89,10.93,7004,0
ORPH.US,60,20201013,170000,10.92,10.94,10.8,10.94,21696,0
ORPH.US,60,20201013,180000,10.86,10.93,10.82,10.92,5098,0
ORPH.US,60,20201013,190000,10.92,10.92,10.85,10.88,5899,0
ORPH.US,60,20201013,200000,10.885,10.885,10.81,10.83,7300,0
ORPH.US,60,20201013,210000,10.83,10.94,10.81,10.94,5000,0
ORPH.US,60,20201013,220000,10.94,10.94,10.82,10.85,33611,0
ORPH.US,60,20201014,160000,10.919,11,10.91,10.96,6661,0
ORPH.US,60,20201014,170000,10.96,10.9875,10.92,10.975,10780,0
ORPH.US,60,20201014,180000,10.97,10.98,10.95,10.98,2300,0
ORPH.US,60,20201014,190000,10.96,10.98,10.95,10.965,8600,0
ORPH.US,60,20201014,200000,10.98,10.98,10.95,10.95,4200,0
ORPH.US,60,20201014,210000,10.98,10.98,10.95,10.98,6964,0
ORPH.US,60,20201014,220000,10.935,11.02,10.9,11.02,36833,0
