<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFIE.US,60,20200914,160000,0.75,0.75,0.75,0.75,2014,0
PFIE.US,60,20200914,170000,0.7021,0.7041,0.6897,0.690101,47956,0
PFIE.US,60,20200914,180000,0.7,0.702299,0.6901,0.6901,800,0
PFIE.US,60,20200914,190000,0.6901,0.7011,0.6901,0.7,6693,0
PFIE.US,60,20200914,200000,0.7,0.7215,0.695101,0.6996,16978,0
PFIE.US,60,20200914,210000,0.6952,0.6985,0.695,0.695,634,0
PFIE.US,60,20200914,220000,0.7042,0.7042,0.695,0.7006,8403,0
PFIE.US,60,20200915,160000,0.728,0.728,0.70001,0.702,2873,0
PFIE.US,60,20200915,170000,0.7015,0.7015,0.6935,0.6935,7297,0
PFIE.US,60,20200915,180000,0.695,0.699,0.695,0.6963,1544,0
PFIE.US,60,20200915,190000,0.694,0.6981,0.69,0.69,11647,0
PFIE.US,60,20200915,200000,0.6972,0.6972,0.6972,0.6972,100,0
PFIE.US,60,20200915,210000,0.696899,0.696899,0.691,0.696,1622,0
PFIE.US,60,20200915,220000,0.6957,0.706,0.691,0.706,6555,0
PFIE.US,60,20200916,160000,0.71,0.71,0.706,0.706,284,0
PFIE.US,60,20200916,170000,0.7,0.7,0.7,0.7,179,0
PFIE.US,60,20200916,180000,0.7,0.72,0.69,0.695,3360,0
PFIE.US,60,20200916,190000,0.695,0.7,0.695,0.6951,1700,0
PFIE.US,60,20200916,200000,0.6951,0.7,0.6951,0.7,906,0
PFIE.US,60,20200916,210000,0.707899,0.707899,0.6952,0.6952,1700,0
PFIE.US,60,20200916,220000,0.6997,0.7077,0.695,0.695,4369,0
PFIE.US,60,20200917,160000,0.706,0.706,0.6951,0.6951,2617,0
PFIE.US,60,20200917,170000,0.706,0.7099,0.695,0.708,2359,0
PFIE.US,60,20200917,180000,0.7045,0.7045,0.696501,0.696501,500,0
PFIE.US,60,20200917,190000,0.706,0.706,0.6984,0.7,7100,0
PFIE.US,60,20200917,210000,0.7,0.7,0.6997,0.7,6514,0
PFIE.US,60,20200917,220000,0.7001,0.7001,0.695,0.7,28016,0
PFIE.US,60,20200918,160000,0.6999,0.6999,0.6999,0.6999,150,0
PFIE.US,60,20200918,170000,0.6951,0.6999,0.6951,0.69755,1700,0
PFIE.US,60,20200918,180000,0.7,0.7,0.6952,0.6952,1574,0
PFIE.US,60,20200918,190000,0.7,0.7,0.6965,0.6965,1330,0
PFIE.US,60,20200918,200000,0.6999,0.7075,0.6949,0.7001,35110,0
PFIE.US,60,20200918,210000,0.7073,0.7078,0.6996,0.7078,1855,0
PFIE.US,60,20200918,220000,0.7076,0.7076,0.695,0.7075,39230,0
PFIE.US,60,20200921,160000,0.7042,0.7042,0.69,0.69,2217,0
PFIE.US,60,20200921,180000,0.708,0.708,0.708,0.708,1000,0
PFIE.US,60,20200921,190000,0.7,0.7,0.7,0.7,200,0
PFIE.US,60,20200921,200000,0.7,0.7,0.7,0.7,1496,0
PFIE.US,60,20200921,210000,0.7079,0.7079,0.691,0.691,5434,0
PFIE.US,60,20200921,220000,0.6946,0.6979,0.69,0.6979,17584,0
PFIE.US,60,20200922,160000,0.7,0.7,0.7,0.7,411,0
PFIE.US,60,20200922,170000,0.6978,0.6978,0.6939,0.6939,3770,0
PFIE.US,60,20200922,180000,0.6957,0.6957,0.691,0.691,2485,0
PFIE.US,60,20200922,190000,0.6918,0.696,0.6918,0.6958,13400,0
PFIE.US,60,20200922,200000,0.692,0.692,0.69,0.69,70483,0
PFIE.US,60,20200922,210000,0.68,0.6801,0.68,0.68,14084,0
PFIE.US,60,20200922,220000,0.6801,0.6899,0.679,0.688,7020,0
PFIE.US,60,20200923,160000,0.6801,0.69,0.6801,0.6865,12943,0
PFIE.US,60,20200923,170000,0.6825,0.6879,0.67,0.671,3588,0
PFIE.US,60,20200923,180000,0.671,0.671,0.67,0.67,1256,0
PFIE.US,60,20200923,190000,0.66,0.6759,0.66,0.665,950,0
PFIE.US,60,20200923,200000,0.665,0.6737,0.665,0.6718,1800,0
PFIE.US,60,20200923,210000,0.665,0.6698,0.66,0.6649,1400,0
PFIE.US,60,20200923,220000,0.66,0.6802,0.66,0.675,65213,0
PFIE.US,60,20200924,160000,0.6784,0.682,0.665,0.665,11570,0
PFIE.US,60,20200924,170000,0.665,0.665,0.6612,0.6644,13200,0
PFIE.US,60,20200924,180000,0.665,0.665,0.665,0.665,3700,0
PFIE.US,60,20200924,190000,0.665,0.6668,0.6636,0.665,6293,0
PFIE.US,60,20200924,200000,0.665,0.6698,0.665,0.6674,1600,0
PFIE.US,60,20200924,210000,0.666,0.6661,0.665,0.6661,3650,0
PFIE.US,60,20200924,220000,0.6661,0.6672,0.6601,0.6656,18214,0
PFIE.US,60,20200925,160000,0.67,0.67,0.67,0.67,799,0
PFIE.US,60,20200925,170000,0.67345,0.6769,0.655,0.655,21581,0
PFIE.US,60,20200925,180000,0.65509,0.659,0.655,0.6589,8950,0
PFIE.US,60,20200925,190000,0.6589,0.6589,0.63,0.656799,43954,0
PFIE.US,60,20200925,200000,0.6534,0.6534,0.6533,0.6533,500,0
PFIE.US,60,20200925,210000,0.65325,0.6565,0.6531,0.6543,2400,0
PFIE.US,60,20200925,220000,0.6543,0.663,0.6493,0.653,41874,0
PFIE.US,60,20200928,160000,0.6473,0.6473,0.6473,0.6473,314,0
PFIE.US,60,20200928,170000,0.663,0.69,0.6629,0.69,12091,0
PFIE.US,60,20200928,180000,0.69,0.7,0.6801,0.7,2470,0
PFIE.US,60,20200928,190000,0.6677,0.6999,0.6677,0.6999,5503,0
PFIE.US,60,20200928,200000,0.69,0.7,0.6767,0.7,11600,0
PFIE.US,60,20200928,210000,0.682,0.7,0.682,0.7,11721,0
PFIE.US,60,20200928,220000,0.7,0.7,0.6857,0.7,13247,0
PFIE.US,60,20200929,160000,0.7,0.7,0.7,0.7,1128,0
PFIE.US,60,20200929,170000,0.7,0.7,0.7,0.7,9090,0
PFIE.US,60,20200929,180000,0.7,0.7,0.7,0.7,100,0
PFIE.US,60,20200929,190000,0.7,0.7,0.7,0.7,1100,0
PFIE.US,60,20200929,200000,0.7,0.7,0.68,0.68,350,0
PFIE.US,60,20200929,210000,0.7,0.75,0.69,0.75,25806,0
PFIE.US,60,20200929,220000,0.749,0.749,0.7339,0.745,4967,0
PFIE.US,60,20200930,160000,0.74,0.74,0.74,0.74,527,0
PFIE.US,60,20200930,170000,0.74,0.74,0.74,0.74,700,0
PFIE.US,60,20200930,180000,0.74,0.7446,0.7318,0.7446,5921,0
PFIE.US,60,20200930,190000,0.7433,0.7434,0.7425,0.7425,400,0
PFIE.US,60,20200930,200000,0.7425,0.7425,0.73,0.74,15400,0
PFIE.US,60,20200930,210000,0.7407,0.7413,0.7407,0.7407,500,0
PFIE.US,60,20200930,220000,0.7407,0.7413,0.73,0.7398,12943,0
PFIE.US,60,20201001,160000,0.73,0.73,0.722,0.722,1338,0
PFIE.US,60,20201001,180000,0.72505,0.73,0.72505,0.7299,289174,0
PFIE.US,60,20201001,190000,0.7297,0.7297,0.7297,0.7297,100,0
PFIE.US,60,20201001,200000,0.7293,0.7293,0.7293,0.7293,1100,0
PFIE.US,60,20201001,220000,0.725,0.73,0.7203,0.73,6913,0
PFIE.US,60,20201002,160000,0.7396,0.7396,0.72,0.7205,5322,0
PFIE.US,60,20201002,170000,0.7241,0.75,0.7241,0.75,20786,0
PFIE.US,60,20201002,180000,0.75,0.75,0.735225,0.75,256827,0
PFIE.US,60,20201002,190000,0.75,0.75,0.736,0.75,6960,0
PFIE.US,60,20201002,200000,0.75,0.75,0.7364,0.75,2382,0
PFIE.US,60,20201002,210000,0.75,0.75,0.75,0.75,300,0
PFIE.US,60,20201002,220000,0.75,0.75,0.723,0.75,15616,0
PFIE.US,60,20201005,160000,0.747,0.747,0.747,0.747,174,0
PFIE.US,60,20201005,170000,0.7385,0.75,0.7313,0.75,700,0
PFIE.US,60,20201005,180000,0.75,0.75,0.75,0.75,300,0
PFIE.US,60,20201005,190000,0.75,0.75,0.7351,0.75,500,0
PFIE.US,60,20201005,200000,0.75,0.75,0.75,0.75,200,0
PFIE.US,60,20201005,210000,0.75,0.75,0.7499,0.75,2400,0
PFIE.US,60,20201005,220000,0.7425,0.8,0.7404,0.7412,75335,0
PFIE.US,60,20201006,160000,0.7321,0.75,0.73,0.73,9985,0
PFIE.US,60,20201006,170000,0.75,0.75,0.75,0.75,900,0
PFIE.US,60,20201006,180000,0.73,0.75,0.73,0.75,238,0
PFIE.US,60,20201006,190000,0.75,0.75,0.75,0.75,600,0
PFIE.US,60,20201006,200000,0.75,0.75,0.75,0.75,1000,0
PFIE.US,60,20201006,210000,0.75,0.75,0.75,0.75,1200,0
PFIE.US,60,20201006,220000,0.75,0.75,0.7331,0.7331,23872,0
PFIE.US,60,20201007,170000,0.7405,0.75,0.7405,0.7433,4800,0
PFIE.US,60,20201007,180000,0.75,0.75,0.74,0.74,47444,0
PFIE.US,60,20201007,190000,0.75,0.75,0.75,0.75,100,0
PFIE.US,60,20201007,200000,0.7463,0.76,0.7463,0.7563,300,0
PFIE.US,60,20201007,210000,0.76,0.76,0.75,0.75,200,0
PFIE.US,60,20201007,220000,0.7453,0.76,0.740501,0.740501,32150,0
PFIE.US,60,20201008,160000,0.66,0.75,0.65,0.75,3089,0
PFIE.US,60,20201008,170000,0.75,0.75,0.713,0.713,1623,0
PFIE.US,60,20201008,180000,0.7211,0.7211,0.7131,0.7131,600,0
PFIE.US,60,20201008,190000,0.75,0.75,0.715,0.715,600,0
PFIE.US,60,20201008,200000,0.7231,0.7231,0.7231,0.7231,100,0
PFIE.US,60,20201008,210000,0.7231,0.7231,0.7231,0.7231,100,0
PFIE.US,60,20201008,220000,0.7304,0.748,0.7301,0.748,1887,0
PFIE.US,60,20201009,160000,0.75,0.7601,0.7481,0.75,41863,0
PFIE.US,60,20201009,170000,0.755,0.7942,0.7281,0.7461,1354010,0
PFIE.US,60,20201009,180000,0.7461,0.7461,0.7387,0.7388,48096,0
PFIE.US,60,20201009,190000,0.7388,0.7391,0.7387,0.7391,15350,0
PFIE.US,60,20201009,200000,0.7391,0.75,0.7391,0.742401,6469,0
PFIE.US,60,20201009,210000,0.7458,0.75,0.7458,0.75,800,0
PFIE.US,60,20201009,220000,0.75,0.7523,0.7423,0.75,80345,0
PFIE.US,60,20201012,160000,0.76,0.76,0.76,0.76,4064,0
PFIE.US,60,20201012,170000,0.76,0.78,0.736,0.78,1037,0
PFIE.US,60,20201012,180000,0.78,0.78,0.736,0.736,1092,0
PFIE.US,60,20201012,200000,0.7427,0.7427,0.739,0.739,1200,0
PFIE.US,60,20201012,210000,0.74,0.7557,0.739,0.7402,591701,0
PFIE.US,60,20201012,220000,0.745,0.7625,0.745,0.7625,12603,0
PFIE.US,60,20201013,160000,0.75,0.75,0.75,0.75,702,0
PFIE.US,60,20201013,170000,0.75,0.75,0.7403,0.7403,3591,0
PFIE.US,60,20201013,180000,0.75,0.75,0.740301,0.740301,2300,0
PFIE.US,60,20201013,200000,0.745201,0.75,0.745201,0.75,5700,0
PFIE.US,60,20201013,210000,0.75,0.75,0.717,0.7399,9739,0
PFIE.US,60,20201013,220000,0.74,0.74,0.718,0.7371,6724,0
PFIE.US,60,20201014,160000,0.71,0.7365,0.71,0.7365,1004,0
PFIE.US,60,20201014,170000,0.74,0.74,0.719,0.719,7465,0
PFIE.US,60,20201014,180000,0.7362,0.7362,0.7,0.7358,23210,0
PFIE.US,60,20201014,190000,0.734,0.734,0.734,0.734,100,0
PFIE.US,60,20201014,200000,0.734,0.734,0.7003,0.7087,741,0
PFIE.US,60,20201014,210000,0.70685,0.7086,0.7,0.7,2624,0
PFIE.US,60,20201014,220000,0.7,0.7,0.691001,0.695,9397,0
PFIE.US,60,20201015,160000,0.69,0.718,0.69,0.6998,8558,0
PFIE.US,60,20201015,170000,0.6901,0.6996,0.69,0.69,29093,0
PFIE.US,60,20201015,180000,0.69,0.6993,0.68,0.6901,8480,0
PFIE.US,60,20201015,190000,0.6959,0.6959,0.69,0.69,700,0
PFIE.US,60,20201015,200000,0.692851,0.6954,0.6822,0.6954,2779,0
PFIE.US,60,20201015,210000,0.6954,0.6954,0.6954,0.6954,4900,0
PFIE.US,60,20201015,220000,0.6955,0.7072,0.6954,0.6954,7041,0
PFIE.US,60,20201016,160000,0.7041,0.7041,0.7041,0.7041,215,0
PFIE.US,60,20201016,170000,0.7139,0.7139,0.6885,0.7117,524,0
PFIE.US,60,20201016,180000,0.7099,0.7099,0.7098,0.7098,800,0
PFIE.US,60,20201016,190000,0.68701,0.68701,0.68701,0.68701,3705,0
PFIE.US,60,20201016,200000,0.7098,0.7098,0.7098,0.7098,2300,0
PFIE.US,60,20201016,210000,0.7084,0.7098,0.7078,0.7079,7540,0
PFIE.US,60,20201016,220000,0.699,0.708,0.69,0.69,2200,0
PFIE.US,60,20201019,160000,0.6967,0.6967,0.69,0.69,4875,0
PFIE.US,60,20201019,170000,0.7,0.701,0.7,0.7001,10897,0
PFIE.US,60,20201019,180000,0.7,0.7109,0.7,0.7107,4511,0
PFIE.US,60,20201019,190000,0.7106,0.72,0.7078,0.72,10535,0
PFIE.US,60,20201019,200000,0.7253,0.7289,0.72,0.7286,23770,0
PFIE.US,60,20201019,210000,0.7309,0.7309,0.7244,0.7245,1948,0
PFIE.US,60,20201019,220000,0.7218,0.7308,0.72,0.7289,12341,0
PFIE.US,60,20201020,160000,0.73,0.7315,0.73,0.7315,356,0
PFIE.US,60,20201020,170000,0.7294,0.7294,0.683,0.69001,17467,0
PFIE.US,60,20201020,180000,0.7189,0.7189,0.7189,0.7189,150,0
PFIE.US,60,20201020,190000,0.71,0.71,0.7,0.7,11212,0
PFIE.US,60,20201020,200000,0.6993,0.6993,0.6993,0.6993,600,0
PFIE.US,60,20201020,210000,0.72,0.72,0.72,0.72,100,0
PFIE.US,60,20201020,220000,0.7199,0.733,0.7002,0.71665,4115,0
PFIE.US,60,20201021,160000,0.721,0.721,0.7068,0.7068,1016,0
PFIE.US,60,20201021,170000,0.7063,0.7238,0.7063,0.71,8582,0
PFIE.US,60,20201021,180000,0.7238,0.7238,0.7223,0.7223,300,0
PFIE.US,60,20201021,190000,0.7101,0.7238,0.71,0.7238,8072,0
PFIE.US,60,20201021,200000,0.7238,0.7238,0.71,0.7238,1040,0
PFIE.US,60,20201021,210000,0.7169,0.7238,0.71,0.7238,4600,0
PFIE.US,60,20201021,220000,0.7238,0.7238,0.71,0.7144,3530,0
PFIE.US,60,20201022,160000,0.74,0.74,0.74,0.74,300,0
PFIE.US,60,20201022,170000,0.7398,0.7399,0.7,0.7396,2100,0
PFIE.US,60,20201022,180000,0.702,0.702,0.667,0.6915,35426,0
PFIE.US,60,20201022,190000,0.7178,0.7178,0.7177,0.7177,200,0
PFIE.US,60,20201022,200000,0.704499,0.7177,0.691,0.709,1709,0
PFIE.US,60,20201022,210000,0.7159,0.7159,0.7,0.7159,700,0
PFIE.US,60,20201022,220000,0.707,0.726,0.7044,0.7185,13292,0
PFIE.US,60,20201023,160000,0.7015,0.73,0.7015,0.73,1130,0
PFIE.US,60,20201023,170000,0.7155,0.7253,0.7011,0.7253,1700,0
PFIE.US,60,20201023,180000,0.7298,0.7298,0.701,0.701,1184,0
PFIE.US,60,20201023,190000,0.701,0.7298,0.681,0.681,12191,0
PFIE.US,60,20201023,200000,0.6874,0.6874,0.681,0.684,11300,0
PFIE.US,60,20201023,210000,0.681,0.6941,0.681,0.6941,2660,0
PFIE.US,60,20201026,150000,0.705,0.7298,0.69,0.71,3997,0
PFIE.US,60,20201026,160000,0.6902,0.73,0.69,0.6907,10675,0
PFIE.US,60,20201026,180000,0.7001,0.7001,0.7001,0.7001,3400,0
PFIE.US,60,20201026,190000,0.71,0.71,0.7,0.704801,5040,0
PFIE.US,60,20201026,200000,0.7047,0.7047,0.7047,0.7047,300,0
PFIE.US,60,20201026,210000,0.7091,0.71,0.7091,0.71,500,0
PFIE.US,60,20201027,150000,0.7171,0.7255,0.7171,0.7255,309,0
PFIE.US,60,20201027,160000,0.7255,0.7255,0.67,0.67,21601,0
PFIE.US,60,20201027,170000,0.6701,0.6702,0.67,0.6702,2155,0
