<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHIC.US,60,20210113,170000,10.45,10.5,10.45,10.45,5700,0
PHIC.US,60,20210113,190000,10.5,10.5,10.5,10.5,100,0
PHIC.US,60,20210114,160000,10.5,10.5,10.41,10.41,400,0
PHIC.US,60,20210114,170000,10.33,10.33,10.3,10.31,3200,0
PHIC.US,60,20210114,180000,10.3,10.3,10.3,10.3,300,0
PHIC.US,60,20210114,190000,10.3,10.3,10.3,10.3,300,0
PHIC.US,60,20210114,200000,10.3,10.3,10.3,10.3,100,0
PHIC.US,60,20210114,210000,10.3,10.3,10.3,10.3,210,0
PHIC.US,60,20210114,220000,10.2848,10.3,10.2848,10.3,565,0
PHIC.US,60,20210115,160000,10.4,10.4,10.3,10.3,500,0
PHIC.US,60,20210115,170000,10.21,10.3,10.21,10.3,1300,0
PHIC.US,60,20210115,210000,10.3,10.3,10.3,10.3,500,0
PHIC.US,60,20210119,160000,10.34,10.35,10.34,10.35,1500,0
PHIC.US,60,20210119,180000,10.35,10.35,10.35,10.35,300,0
PHIC.US,60,20210119,190000,10.25,10.75,10.2,10.2,23500,0
PHIC.US,60,20210119,200000,10.25,10.25,10.25,10.25,200,0
PHIC.US,60,20210119,210000,10.25,10.25,10.2499,10.25,800,0
PHIC.US,60,20210119,220000,10.29,10.29,10.27,10.27,600,0
PHIC.US,60,20210121,190000,10.22,10.22,10.22,10.22,800,0
PHIC.US,60,20210121,220000,10.455,10.65,10.39,10.45,4600,0
PHIC.US,60,20210122,160000,10.4,10.4,10.4,10.4,100,0
PHIC.US,60,20210122,170000,10.45,10.45,10.45,10.45,1178,0
PHIC.US,60,20210122,180000,10.45,10.45,10.45,10.45,661,0
PHIC.US,60,20210122,190000,10.41,10.41,10.41,10.41,100,0
PHIC.US,60,20210122,210000,10.49,10.4998,10.45,10.4998,1000,0
PHIC.US,60,20210125,160000,10.55,10.55,10.55,10.55,800,0
PHIC.US,60,20210125,180000,10.45,10.45,10.45,10.45,100,0
PHIC.US,60,20210125,200000,10.4,10.51,10.4,10.5,5091,0
PHIC.US,60,20210125,210000,10.5,10.5,10.5,10.5,7109,0
PHIC.US,60,20210125,220000,10.48,10.5,10.39,10.4,5261,0
PHIC.US,60,20210126,160000,10.465,10.465,10.25,10.28,705,0
PHIC.US,60,20210126,170000,10.26,10.375,10.21,10.25,4515,0
PHIC.US,60,20210126,180000,10.25,10.25,10.25,10.25,1100,0
PHIC.US,60,20210126,190000,10.265,10.27,10.265,10.27,2100,0
PHIC.US,60,20210126,200000,10.27,10.27,10.27,10.27,100,0
PHIC.US,60,20210126,210000,10.3,10.3,10.3,10.3,2000,0
PHIC.US,60,20210126,220000,10.26,10.26,10.23,10.23,2000,0
PHIC.US,60,20210127,160000,10.28,10.2899,10.16,10.16,2623,0
PHIC.US,60,20210127,170000,10.16,10.24,10.11,10.15,10316,0
PHIC.US,60,20210127,180000,10.15,10.25,10.15,10.2,3136,0
PHIC.US,60,20210127,190000,10.2,10.28,10.2,10.28,1792,0
PHIC.US,60,20210127,200000,10.28,10.28,10.27,10.27,6200,0
PHIC.US,60,20210127,210000,10.27,10.3,10.27,10.28,1975,0
PHIC.US,60,20210127,220000,10.29,10.2901,10.26,10.26,8825,0
PHIC.US,60,20210128,160000,10.89,10.92,10.89,10.92,651,0
PHIC.US,60,20210128,170000,10.45,10.45,10.43,10.43,1200,0
PHIC.US,60,20210128,210000,10.34,10.34,10.2,10.2,2914,0
PHIC.US,60,20210128,220000,10.21,10.21,10.2,10.2,4994,0
PHIC.US,60,20210129,160000,10.37,10.37,10.2746,10.2746,3141,0
PHIC.US,60,20210129,170000,10.3,10.3,10.2599,10.2599,1600,0
PHIC.US,60,20210129,180000,10.26,10.26,10.25,10.25,1140,0
PHIC.US,60,20210129,190000,10.26,10.26,10.2,10.2,11614,0
PHIC.US,60,20210129,200000,10.2,10.2,10.2,10.2,3125,0
PHIC.US,60,20210129,210000,10.29,10.37,10.29,10.37,6000,0
PHIC.US,60,20210129,220000,10.37,10.37,10.2201,10.2201,7762,0
PHIC.US,60,20210201,160000,10.63,10.71,10.63,10.71,200,0
PHIC.US,60,20210201,170000,10.6,10.62,10.43,10.43,3857,0
PHIC.US,60,20210201,180000,10.51,10.58,10.44,10.44,3614,0
PHIC.US,60,20210201,190000,10.44,10.45,10.355,10.355,1757,0
PHIC.US,60,20210201,220000,10.41,10.43,10.4,10.4,1490,0
PHIC.US,60,20210202,160000,10.695,10.785,10.695,10.785,500,0
PHIC.US,60,20210202,170000,10.8599,10.8599,10.69,10.69,6590,0
PHIC.US,60,20210202,180000,10.64,10.64,10.53,10.6,20706,0
PHIC.US,60,20210202,190000,10.6,10.6,10.565,10.565,3350,0
PHIC.US,60,20210202,200000,10.565,10.565,10.54,10.54,600,0
PHIC.US,60,20210202,210000,10.54,10.54,10.5,10.53,9208,0
PHIC.US,60,20210202,220000,10.54,10.55,10.53,10.55,7754,0
PHIC.US,60,20210203,160000,10.55,10.7,10.53,10.57,4185,0
PHIC.US,60,20210203,170000,10.56,10.58,10.55,10.55,1000,0
PHIC.US,60,20210203,180000,10.6248,10.64,10.55,10.56,1140,0
PHIC.US,60,20210203,190000,10.56,10.6,10.52,10.52,15509,0
PHIC.US,60,20210203,200000,10.52,10.55,10.52,10.55,21942,0
PHIC.US,60,20210203,210000,10.55,10.55,10.52,10.52,300,0
PHIC.US,60,20210203,220000,10.52,10.55,10.5,10.55,40673,0
PHIC.US,60,20210204,160000,10.74,10.74,10.64,10.65,2234,0
PHIC.US,60,20210204,170000,10.61,10.61,10.61,10.61,930,0
PHIC.US,60,20210204,180000,10.56,10.65,10.53,10.53,2379,0
PHIC.US,60,20210204,190000,10.5,10.5,10.5,10.5,100,0
PHIC.US,60,20210204,200000,10.5,10.5,10.42,10.42,7233,0
PHIC.US,60,20210204,210000,10.42,10.43,10.38,10.38,7860,0
PHIC.US,60,20210204,220000,10.37,10.4,10.36,10.4,1000,0
PHIC.US,60,20210205,160000,10.5,10.5,10.5,10.5,275,0
PHIC.US,60,20210205,170000,10.45,10.6,10.41,10.44,1007,0
PHIC.US,60,20210205,180000,10.44,10.5732,10.44,10.5,5065,0
PHIC.US,60,20210205,190000,10.5,10.55,10.5,10.5,43434,0
PHIC.US,60,20210205,200000,10.5,10.5,10.4,10.4,7200,0
PHIC.US,60,20210205,210000,10.36,10.49,10.35,10.49,4323,0
PHIC.US,60,20210205,220000,10.48,10.48,10.4,10.43,886,0
PHIC.US,60,20210208,160000,10.51,10.51,10.35,10.35,2087,0
PHIC.US,60,20210208,170000,10.35,10.4,10.35,10.36,2200,0
PHIC.US,60,20210208,180000,10.37,10.37,10.35,10.36,2070,0
PHIC.US,60,20210208,190000,10.4,10.4,10.34,10.35,8500,0
PHIC.US,60,20210208,200000,10.35,10.49,10.35,10.45,9550,0
PHIC.US,60,20210208,210000,10.45,10.48,10.4,10.46,7980,0
PHIC.US,60,20210208,220000,10.46,10.46,10.35,10.39,8283,0
PHIC.US,60,20210209,160000,10.45,10.45,10.4215,10.43,6325,0
PHIC.US,60,20210209,170000,10.43,10.43,10.37,10.3799,27387,0
PHIC.US,60,20210209,180000,10.38,10.38,10.34,10.35,16883,0
PHIC.US,60,20210209,190000,10.345,10.345,10.29,10.3,10680,0
PHIC.US,60,20210209,200000,10.3,10.305,10.25,10.3,58452,0
PHIC.US,60,20210209,210000,10.3,10.44,10.3,10.38,21330,0
PHIC.US,60,20210209,220000,10.42,10.42,10.32,10.42,4718,0
PHIC.US,60,20210210,160000,10.48,10.48,10.4,10.45,4725,0
PHIC.US,60,20210210,170000,10.45,10.48,10.31,10.32,5686,0
PHIC.US,60,20210210,180000,10.3499,10.4,10.3,10.4,4604,0
