<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLSE.US,60,20200914,160000,11.25,11.54,11.25,11.54,1569,0
PLSE.US,60,20200914,170000,11.4766,11.53,11.32,11.32,4938,0
PLSE.US,60,20200914,180000,11.35,11.49,11.3,11.49,7638,0
PLSE.US,60,20200914,190000,11.52,11.71,11.52,11.685,4705,0
PLSE.US,60,20200914,200000,11.7164,11.7164,11.425,11.54,6578,0
PLSE.US,60,20200914,210000,11.64,11.85,11.64,11.82,5710,0
PLSE.US,60,20200914,220000,11.8929,11.8929,11.7601,11.83,19833,0
PLSE.US,60,20200915,160000,11.85,11.8806,11.67,11.67,2860,0
PLSE.US,60,20200915,170000,11.6593,11.8,11.46,11.8,22816,0
PLSE.US,60,20200915,180000,11.77,11.87,11.75,11.87,2540,0
PLSE.US,60,20200915,190000,11.851,11.99,11.84,11.84,7875,0
PLSE.US,60,20200915,200000,11.835,11.9,11.835,11.9,1750,0
PLSE.US,60,20200915,210000,11.86,11.865,11.73,11.73,4065,0
PLSE.US,60,20200915,220000,11.73,11.73,11.52,11.67,28546,0
PLSE.US,60,20200916,160000,11.66,11.87,11.66,11.87,10431,0
PLSE.US,60,20200916,170000,11.9,12.3,11.9,12.24,24382,0
PLSE.US,60,20200916,180000,12.29,12.49,12,12.16,47792,0
PLSE.US,60,20200916,190000,12.21,12.285,12.04,12.04,11638,0
PLSE.US,60,20200916,200000,12.1085,12.12,11.74,12.05,15049,0
PLSE.US,60,20200916,210000,12.06,12.18,12.03,12.07,10527,0
PLSE.US,60,20200916,220000,12.07,12.27,12.04,12.19,19010,0
PLSE.US,60,20200917,160000,12.01,12.3,12.01,12.295,2856,0
PLSE.US,60,20200917,170000,12.33,12.487,12.32,12.42,3012,0
PLSE.US,60,20200917,180000,12.23,12.46,12.23,12.345,3080,0
PLSE.US,60,20200917,190000,12.377,12.44,12.3201,12.38,1442,0
PLSE.US,60,20200917,200000,12.45,12.45,12.37,12.43,300,0
PLSE.US,60,20200917,210000,12.45,12.64,12.4211,12.64,10670,0
PLSE.US,60,20200917,220000,12.67,12.69,12.4,12.5,20702,0
PLSE.US,60,20200918,160000,12.63,12.74,12.552,12.74,21456,0
PLSE.US,60,20200918,170000,12.74,12.98,12.72,12.72,2962,0
PLSE.US,60,20200918,180000,12.81,12.8286,12.67,12.77,3132,0
PLSE.US,60,20200918,190000,12.78,12.87,12.74,12.78,3128,0
PLSE.US,60,20200918,200000,12.7725,12.7725,12.53,12.6055,5323,0
PLSE.US,60,20200918,210000,12.64,12.91,12.6,12.8381,16864,0
PLSE.US,60,20200918,220000,12.84,13.4,12.84,13.14,55417,0
PLSE.US,60,20200921,160000,12.92,12.92,12.45,12.6224,3941,0
PLSE.US,60,20200921,170000,12.53,12.595,12.1,12.15,23111,0
PLSE.US,60,20200921,180000,12.21,12.25,11.87,11.91,5948,0
PLSE.US,60,20200921,190000,11.895,11.95,11.71,11.76,9728,0
PLSE.US,60,20200921,200000,11.75,11.75,11.5,11.52,5758,0
PLSE.US,60,20200921,210000,11.51,11.702,11.5,11.635,6590,0
PLSE.US,60,20200921,220000,11.61,11.767,11.56,11.56,20152,0
PLSE.US,60,20200922,160000,11.63,11.66,11.38,11.48,5524,0
PLSE.US,60,20200922,170000,11.48,11.57,11.43,11.43,3349,0
PLSE.US,60,20200922,180000,11.4278,11.46,11.36,11.44,4905,0
PLSE.US,60,20200922,190000,11.45,11.6698,11.45,11.655,4112,0
PLSE.US,60,20200922,200000,11.63,11.81,11.63,11.81,1482,0
PLSE.US,60,20200922,210000,11.75,11.75,11.66,11.66,2903,0
PLSE.US,60,20200922,220000,11.69,11.69,11.53,11.59,10315,0
