<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PODD.US,60,20200914,160000,212.6,219.685,212.51,219.48,11149,0
PODD.US,60,20200914,170000,218.94,220.85,218.3,219.35,36615,0
PODD.US,60,20200914,180000,219.51,219.89,218.63,218.99,8868,0
PODD.US,60,20200914,190000,219.15,219.52,216.6,217.395,12458,0
PODD.US,60,20200914,200000,217.435,217.435,215.31,216.58,46416,0
PODD.US,60,20200914,210000,216.62,218.45,216.29,217.735,15611,0
PODD.US,60,20200914,220000,218.02,218.86,216.4,218.11,60448,0
PODD.US,60,20200915,160000,221,222.725,219.405,222.49,10318,0
PODD.US,60,20200915,170000,222.725,223.27,220.24,222.23,47330,0
PODD.US,60,20200915,180000,221.67,222.14,220.74,221.295,26609,0
PODD.US,60,20200915,190000,221.26,223.43,220.785,222.65,17416,0
PODD.US,60,20200915,200000,222.56,224.811,222.425,223.97,29924,0
PODD.US,60,20200915,210000,224,224.76,223.37,224.61,26072,0
PODD.US,60,20200915,220000,224.65,225.78,222.12,225.59,92140,0
PODD.US,60,20200916,160000,226.34,230.7,225.935,228.48,28699,0
PODD.US,60,20200916,170000,228.15,228.15,221.66,222.195,40129,0
PODD.US,60,20200916,180000,222.34,225.2,222.16,224.98,17991,0
PODD.US,60,20200916,190000,224.87,225.79,224.45,225.73,15200,0
PODD.US,60,20200916,200000,225.77,225.78,223.24,224.2,13669,0
PODD.US,60,20200916,210000,224.24,225.24,223.12,223.51,16898,0
PODD.US,60,20200916,220000,223.495,223.73,222.27,222.52,100190,0
PODD.US,60,20200917,160000,220.01,222.45,218.462,221.55,58232,0
PODD.US,60,20200917,170000,221.975,222.49,220.15,220.89,20256,0
PODD.US,60,20200917,180000,220.87,223.345,220.87,221.89,27250,0
PODD.US,60,20200917,190000,221.82,222.37,220.4,221.97,24998,0
PODD.US,60,20200917,200000,221.985,223.235,221.39,222.44,27072,0
PODD.US,60,20200917,210000,222.46,224.34,222.24,223.86,17564,0
PODD.US,60,20200917,220000,223.82,224.27,222.24,223.72,123775,0
PODD.US,60,20200918,160000,226.17,229.75,225.342,229.74,12125,0
PODD.US,60,20200918,170000,229.75,233,228.405,231.75,54907,0
PODD.US,60,20200918,180000,231.71,232.08,227.97,228.115,30605,0
PODD.US,60,20200918,190000,227.805,228.93,224.775,225.63,35401,0
PODD.US,60,20200918,200000,225.63,226.51,223.19,224.42,27179,0
PODD.US,60,20200918,210000,224.315,226.17,224.225,226.09,28818,0
PODD.US,60,20200918,220000,226.14,226.85,224.36,225.02,769225,0
PODD.US,60,20200921,160000,222.09,225.51,218.645,224.24,20446,0
PODD.US,60,20200921,170000,224.115,224.17,221.74,222.3,25085,0
PODD.US,60,20200921,180000,222.11,224.31,222.11,223.75,10920,0
PODD.US,60,20200921,190000,223.785,225.515,223.62,225.24,17211,0
PODD.US,60,20200921,200000,225.378,226.861,224.75,224.75,8600,0
PODD.US,60,20200921,210000,225.15,225.35,222.62,224.33,33120,0
PODD.US,60,20200921,220000,224.4,225.7,223.965,224.57,109908,0
PODD.US,60,20200922,160000,224.87,226.09,221.43,222.66,11559,0
PODD.US,60,20200922,170000,222.66,223.47,220.68,220.68,18766,0
PODD.US,60,20200922,180000,220.95,224.3,220.28,223.735,15393,0
PODD.US,60,20200922,190000,223.75,224.61,223.38,224.17,21236,0
PODD.US,60,20200922,200000,224.48,227.8,224.48,227.8,13630,0
PODD.US,60,20200922,210000,227.86,229.08,227.63,229.027,27805,0
PODD.US,60,20200922,220000,228.89,231.16,227.765,230.56,125268,0
PODD.US,60,20200923,160000,229.11,231.3,225.02,229.705,12819,0
PODD.US,60,20200923,170000,230.372,232.42,229.08,231.49,15769,0
PODD.US,60,20200923,180000,231.68,232.59,229.525,229.885,13570,0
PODD.US,60,20200923,190000,229.79,231.23,228.945,230.52,15067,0
PODD.US,60,20200923,200000,230.37,232.51,229.97,231.04,70530,0
PODD.US,60,20200923,210000,230.83,230.83,227.88,227.88,23728,0
PODD.US,60,20200923,220000,227.88,228.275,227.02,227.65,121051,0
PODD.US,60,20200924,160000,224.24,225.58,220.5,221.375,17935,0
PODD.US,60,20200924,170000,221.26,223.53,217.97,219.88,40527,0
PODD.US,60,20200924,180000,220.28,220.725,218.09,220,23946,0
PODD.US,60,20200924,190000,220.375,220.55,218.12,219.09,17692,0
PODD.US,60,20200924,200000,219.18,219.18,216.5,216.63,19164,0
PODD.US,60,20200924,210000,216.65,216.89,215.23,215.39,18796,0
PODD.US,60,20200924,220000,215.07,217.38,213.51,216.55,95341,0
PODD.US,60,20200925,160000,215.74,220.45,214.21,215.77,7663,0
PODD.US,60,20200925,170000,216.57,220.135,216.01,219.53,15438,0
PODD.US,60,20200925,180000,220.08,222.62,219.825,221.32,26279,0
PODD.US,60,20200925,190000,221.29,222.375,220.81,221.06,12912,0
PODD.US,60,20200925,200000,220.975,222.45,220.77,221.895,27536,0
PODD.US,60,20200925,210000,221.855,224.3,221.855,224.05,33715,0
PODD.US,60,20200925,220000,224.18,224.92,223.84,223.96,56558,0
PODD.US,60,20200928,160000,227.92,227.92,224.51,224.955,9360,0
PODD.US,60,20200928,170000,225.11,227.72,223.54,223.565,52476,0
PODD.US,60,20200928,180000,223.562,224.399,221.755,222,6771,0
PODD.US,60,20200928,190000,221.84,223.5,220.98,223,29100,0
PODD.US,60,20200928,200000,222.74,226.029,222.07,226.02,43053,0
PODD.US,60,20200928,210000,226.06,228,225.2,228,18581,0
PODD.US,60,20200928,220000,228.08,228.19,226.88,227.38,55193,0
PODD.US,60,20200929,160000,229.44,233.39,228.69,233.145,25117,0
PODD.US,60,20200929,170000,232.517,235.46,232.517,234.54,55406,0
PODD.US,60,20200929,180000,234.45,237,232.885,233.71,45281,0
PODD.US,60,20200929,190000,233.97,234.4,232,232,18598,0
PODD.US,60,20200929,200000,231.806,231.835,229.54,230.71,19925,0
PODD.US,60,20200929,210000,230.58,232.305,230.165,231.79,15502,0
PODD.US,60,20200929,220000,231.91,233.53,231.8,231.97,87550,0
PODD.US,60,20200930,160000,232.23,235.77,231.49,235.388,13505,0
PODD.US,60,20200930,170000,236.09,239.87,235.38,239.565,35947,0
PODD.US,60,20200930,180000,239.49,241.94,239.26,241.34,57046,0
PODD.US,60,20200930,190000,241.35,242.125,239.935,239.965,16457,0
PODD.US,60,20200930,200000,239.875,241.32,239.25,240.98,27587,0
PODD.US,60,20200930,210000,241.35,241.56,237.61,238.295,23401,0
PODD.US,60,20200930,220000,238.52,239.82,236.1,236.59,134784,0
PODD.US,60,20201001,160000,239.98,240.14,235.78,236.02,13295,0
PODD.US,60,20201001,170000,236.09,238.452,234.98,238.452,16312,0
PODD.US,60,20201001,180000,238.45,238.915,236.62,236.87,12013,0
PODD.US,60,20201001,190000,237.09,237.53,235.86,237.095,13087,0
PODD.US,60,20201001,200000,236.94,237.87,236,237.255,14409,0
PODD.US,60,20201001,210000,237.22,238.7,236.065,238.533,12411,0
PODD.US,60,20201001,220000,238.515,238.53,236.13,237.56,58375,0
PODD.US,60,20201002,160000,233.47,237.76,231.48,235.91,5343,0
PODD.US,60,20201002,170000,236.04,238.06,234.29,234.97,11279,0
PODD.US,60,20201002,180000,234.6,235.76,230.09,230.09,16858,0
PODD.US,60,20201002,190000,230.01,232.64,228.38,231.08,10955,0
PODD.US,60,20201002,200000,231.105,231.705,229.67,231.06,10425,0
PODD.US,60,20201002,210000,231.402,231.69,230.095,230.975,11326,0
PODD.US,60,20201002,220000,230.81,232.73,230.81,231.76,51559,0
PODD.US,60,20201005,160000,233.9,235.47,233.28,234.19,9538,0
PODD.US,60,20201005,170000,234.03,236.71,233.38,235.64,19863,0
PODD.US,60,20201005,180000,236.035,236.035,232.13,232.36,19960,0
PODD.US,60,20201005,190000,232.41,235.1,232.31,235,23826,0
PODD.US,60,20201005,200000,234.965,234.965,231.13,231.51,14081,0
PODD.US,60,20201005,210000,231.485,233.3,230.85,233.29,16330,0
PODD.US,60,20201005,220000,233.43,235.83,233.19,235.35,97583,0
PODD.US,60,20201006,160000,237.61,238,234.22,235.7,9682,0
PODD.US,60,20201006,170000,237.99,238.09,234.62,235.29,13857,0
PODD.US,60,20201006,180000,235.52,235.52,231.57,232.285,31379,0
PODD.US,60,20201006,190000,232.27,234.23,232.27,232.72,18839,0
PODD.US,60,20201006,200000,232.42,233.07,230.68,231.21,14719,0
PODD.US,60,20201006,210000,231.48,232.295,228.76,229.33,32184,0
PODD.US,60,20201006,220000,229.39,232.11,228.64,230.74,67792,0
PODD.US,60,20201007,160000,234.15,238.75,234.15,237,11167,0
PODD.US,60,20201007,170000,236.95,240.87,236.95,240.86,11090,0
PODD.US,60,20201007,180000,240.82,242.84,239.76,242.84,13040,0
PODD.US,60,20201007,190000,242.72,244.07,240.918,243.09,14662,0
PODD.US,60,20201007,200000,243.12,244.79,242.04,243.88,14411,0
PODD.US,60,20201007,210000,243.61,243.82,241.96,243.82,18096,0
PODD.US,60,20201007,220000,243.76,244.615,243.065,244.35,146142,0
PODD.US,60,20201008,160000,245,246.556,244.25,245.24,14343,0
PODD.US,60,20201008,170000,244.48,246.52,244.33,244.8,14003,0
PODD.US,60,20201008,180000,244.95,247.095,244.93,246.21,8907,0
PODD.US,60,20201008,190000,246.22,247.89,246,246.28,12085,0
PODD.US,60,20201008,200000,246.505,247.23,246.1,246.135,23248,0
PODD.US,60,20201008,210000,245.785,246.21,245.22,246.04,13784,0
PODD.US,60,20201008,220000,246.1,247.74,245.905,247.71,64567,0
PODD.US,60,20201009,160000,249.53,252.74,245.365,246.49,36102,0
PODD.US,60,20201009,170000,246.06,247.87,244.45,244.705,17125,0
PODD.US,60,20201009,180000,244.43,246.24,244.43,245.975,10317,0
