<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POWRW.US,60,20210304,160000,1.5,1.5,1.4665,1.4665,200,0
POWRW.US,60,20210304,170000,1.9,1.9,1.7288,1.7288,500,0
POWRW.US,60,20210304,180000,1.57,1.57,1.35,1.35,8800,0
POWRW.US,60,20210304,190000,1.35,1.35,1.3,1.35,5476,0
POWRW.US,60,20210304,210000,1.2,1.2,1.2,1.2,1300,0
POWRW.US,60,20210304,220000,1.2,1.2,1,1,17966,0
POWRW.US,60,20210305,180000,1.1,1.26,1.1,1.26,2229,0
POWRW.US,60,20210305,190000,1.25,1.26,1.25,1.25,1100,0
POWRW.US,60,20210305,200000,1.35,1.35,1.3255,1.3255,370,0
POWRW.US,60,20210305,220000,1.26,1.26,1.25,1.25,10171,0
POWRW.US,60,20210308,190000,1.24,1.24,1.19,1.19,6850,0
POWRW.US,60,20210308,210000,1.17,1.19,1.17,1.19,3500,0
POWRW.US,60,20210308,220000,1.17,1.17,1.17,1.17,100,0
POWRW.US,60,20210309,160000,1.34,1.35,1.22,1.22,1100,0
POWRW.US,60,20210309,170000,1.17,1.17,1.17,1.17,1000,0
POWRW.US,60,20210309,180000,1.17,1.2,1.17,1.2,22950,0
POWRW.US,60,20210309,190000,1.2,1.24,1.2,1.2,12145,0
POWRW.US,60,20210309,200000,1.17,1.35,1.15,1.35,16930,0
POWRW.US,60,20210309,210000,1.31,1.875,1.26,1.875,6750,0
POWRW.US,60,20210309,220000,1.85,1.85,1.53,1.83,4400,0
POWRW.US,60,20210310,200000,1.63,1.63,1.63,1.63,2000,0
POWRW.US,60,20210310,210000,1.63,1.64,1.63,1.64,1200,0
POWRW.US,60,20210310,220000,1.64,1.64,1.4,1.4,10587,0
POWRW.US,60,20210311,160000,1.65,1.65,1.4998,1.5,1500,0
POWRW.US,60,20210311,170000,1.27,1.27,1.25,1.26,800,0
POWRW.US,60,20210311,180000,1.25,1.26,1.16,1.2,7700,0
POWRW.US,60,20210311,190000,1.12,1.2,1.09,1.1,8520,0
POWRW.US,60,20210311,200000,1.15,1.15,1.1,1.15,733,0
POWRW.US,60,20210311,210000,1.19,1.26,1.19,1.2,19079,0
POWRW.US,60,20210311,220000,1.2,1.2,1.02,1.12,87770,0
POWRW.US,60,20210312,170000,1.15,1.15,1.085,1.085,954,0
POWRW.US,60,20210312,190000,1.15,1.15,1.15,1.15,200,0
POWRW.US,60,20210312,200000,1.085,1.085,1.02,1.05,4900,0
POWRW.US,60,20210312,210000,1.0501,1.15,1.0501,1.1267,1300,0
POWRW.US,60,20210312,220000,1.14,1.14,1.1,1.1,6648,0
POWRW.US,60,20210315,150000,1.11,1.11,1.1,1.1,400,0
POWRW.US,60,20210315,160000,1.09,1.09,1.09,1.09,100,0
POWRW.US,60,20210315,170000,1.1,1.1,1.0501,1.09,2300,0
POWRW.US,60,20210315,180000,1.0501,1.06,1,1,3355,0
POWRW.US,60,20210315,190000,1.05,1.0881,1.05,1.0881,200,0
POWRW.US,60,20210315,200000,1.05,1.05,1.05,1.05,272800,0
POWRW.US,60,20210315,210000,1.09,1.1,1,1,9332,0
POWRW.US,60,20210316,160000,1.1,1.11,1.1,1.1,5150,0
POWRW.US,60,20210316,180000,1.15,1.15,1.15,1.15,2200,0
POWRW.US,60,20210316,190000,1.15,1.15,1.1,1.1,11166,0
POWRW.US,60,20210316,200000,1.11,1.11,1.1,1.1,200,0
POWRW.US,60,20210316,210000,1.13,1.2,1.1204,1.2,1600,0
POWRW.US,60,20210317,160000,1.28,1.28,1.28,1.28,100,0
POWRW.US,60,20210317,170000,1.2,1.2,1.2,1.2,344,0
POWRW.US,60,20210317,190000,1.2,1.23,1.2,1.23,4854,0
POWRW.US,60,20210317,200000,1.2,1.2,1.2,1.2,1000,0
POWRW.US,60,20210318,190000,1.125,1.25,1.125,1.25,8587,0
POWRW.US,60,20210318,200000,1.25,1.25,1.2487,1.2487,700,0
POWRW.US,60,20210318,210000,1.2,1.2,1.2,1.2,1500,0
POWRW.US,60,20210319,160000,1.1,1.1,1.1,1.1,1000,0
POWRW.US,60,20210319,180000,1.06,1.06,0.99,0.99,26200,0
POWRW.US,60,20210319,190000,0.9999,1,0.99,1,106545,0
POWRW.US,60,20210319,200000,1.07,1.09,1.05,1.09,4400,0
POWRW.US,60,20210319,210000,1.1,1.14,1.06,1.06,5000,0
