<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RARE.US,60,20200914,160000,75.28,76.44,75.28,76.35,6705,0
RARE.US,60,20200914,170000,76.4,78.25,76.3,78.25,16630,0
RARE.US,60,20200914,180000,78.14,78.36,77.35,77.51,43817,0
RARE.US,60,20200914,190000,77.64,77.83,77.435,77.631,24450,0
RARE.US,60,20200914,200000,77.665,77.7,77.185,77.235,31490,0
RARE.US,60,20200914,210000,77.08,77.47,76.28,76.61,28401,0
RARE.US,60,20200914,220000,76.61,77.32,76.51,77.24,211772,0
RARE.US,60,20200915,160000,78,80,77.36,80,11726,0
RARE.US,60,20200915,170000,79.7775,81,79.51,80.45,43115,0
RARE.US,60,20200915,180000,80.47,81.09,80.35,80.36,19591,0
RARE.US,60,20200915,190000,80.34,81.18,80.25,81.14,18130,0
RARE.US,60,20200915,200000,81.24,82.02,81.17,82.02,10687,0
RARE.US,60,20200915,210000,81.99,82.48,81.69,82.46,34190,0
RARE.US,60,20200915,220000,82.47,82.47,81.15,81.23,166310,0
RARE.US,60,20200916,160000,81.49,82.9971,81.13,82.52,4317,0
RARE.US,60,20200916,170000,82.5,83.53,82.045,83.16,36423,0
RARE.US,60,20200916,180000,83.08,83.44,82.18,82.54,17943,0
RARE.US,60,20200916,190000,82.62,82.885,82.11,82.79,39995,0
RARE.US,60,20200916,200000,82.72,83.48,82.7,83.48,11763,0
RARE.US,60,20200916,210000,83.48,83.65,82.8,82.81,27320,0
RARE.US,60,20200916,220000,82.96,83.005,81.94,82.4,152580,0
RARE.US,60,20200917,160000,81.02,81.63,80.47,81.63,4453,0
RARE.US,60,20200917,170000,81.735,82.38,81.47,81.925,11443,0
RARE.US,60,20200917,180000,81.91,82.39,81.57,81.57,18089,0
RARE.US,60,20200917,190000,81.51,81.88,81.19,81.72,20821,0
RARE.US,60,20200917,200000,81.7644,82.37,81.635,81.92,20955,0
RARE.US,60,20200917,210000,82.04,82.69,81.915,82.59,30221,0
RARE.US,60,20200917,220000,82.6,82.6,82.115,82.42,121778,0
RARE.US,60,20200918,160000,83.73,84.585,83.08,84.385,90255,0
RARE.US,60,20200918,170000,84.31,84.8,83.73,83.82,21723,0
RARE.US,60,20200918,180000,83.815,84.04,82.87,83.02,27226,0
RARE.US,60,20200918,190000,83.02,83.25,81.1,81.25,14232,0
RARE.US,60,20200918,200000,81.07,81.12,80,80.905,9250,0
RARE.US,60,20200918,210000,80.81,81.66,80.775,81.66,7800,0
RARE.US,60,20200918,220000,81.92,83.16,81.68,82.87,397316,0
RARE.US,60,20200921,160000,81.5,83.62,80.32,83.62,7991,0
RARE.US,60,20200921,170000,83.465,83.84,80.83,81.23,11296,0
RARE.US,60,20200921,180000,81.26,81.46,80.3,80.91,11600,0
RARE.US,60,20200921,190000,80.83,81.11,80.09,80.33,19423,0
RARE.US,60,20200921,200000,80.47,81.02,80.24,80.38,15280,0
RARE.US,60,20200921,210000,80.24,80.51,79.96,80.51,14712,0
RARE.US,60,20200921,220000,80.55,80.77,79.95,80.45,130483,0
RARE.US,60,20200922,160000,80.53,81.155,79.12,79.595,10399,0
RARE.US,60,20200922,170000,79.73,79.73,77.79,77.79,10786,0
RARE.US,60,20200922,180000,77.89,80.16,77.56,80.16,11674,0
RARE.US,60,20200922,190000,80.07,80.6,80.07,80.32,6608,0
RARE.US,60,20200922,200000,80.54,81.365,80.32,81.31,11983,0
RARE.US,60,20200922,210000,81.37,82.045,81.1401,81.5,11519,0
