<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REFR.US,60,20200914,160000,2.54,2.54,2.4774,2.48,16310,0
REFR.US,60,20200914,170000,2.4947,2.4947,2.455,2.46,8100,0
REFR.US,60,20200914,180000,2.4551,2.46,2.45,2.4507,12196,0
REFR.US,60,20200914,190000,2.4501,2.455,2.4201,2.4213,16131,0
REFR.US,60,20200914,200000,2.4213,2.425,2.41,2.415,14338,0
REFR.US,60,20200914,210000,2.415,2.42,2.4101,2.42,7414,0
REFR.US,60,20200914,220000,2.42,2.42,2.37,2.395,50930,0
REFR.US,60,20200915,160000,2.39,2.45,2.3807,2.43,9445,0
REFR.US,60,20200915,170000,2.45,2.499,2.4497,2.4699,20420,0
REFR.US,60,20200915,180000,2.46,2.5,2.45,2.495,8609,0
REFR.US,60,20200915,190000,2.5,2.55,2.4963,2.5299,9092,0
REFR.US,60,20200915,200000,2.53,2.5399,2.48,2.48,20973,0
REFR.US,60,20200915,210000,2.486,2.486,2.46,2.465,4133,0
REFR.US,60,20200915,220000,2.46,2.5,2.45,2.47,27725,0
REFR.US,60,20200916,160000,2.47,2.6083,2.459,2.5955,17327,0
REFR.US,60,20200916,170000,2.62,2.65,2.54,2.65,14679,0
REFR.US,60,20200916,180000,2.645,2.83,2.645,2.7431,74884,0
REFR.US,60,20200916,190000,2.7345,2.77,2.66,2.77,51567,0
REFR.US,60,20200916,200000,2.78,2.975,2.77,2.9,134131,0
REFR.US,60,20200916,210000,2.91,3.08,2.77,2.77,244255,0
REFR.US,60,20200916,220000,2.7712,2.78,2.67,2.71,81282,0
REFR.US,60,20200917,160000,2.77,2.87,2.6801,2.8,19848,0
REFR.US,60,20200917,170000,2.82,2.82,2.7,2.73,21589,0
REFR.US,60,20200917,180000,2.7069,2.78,2.7,2.71,19005,0
REFR.US,60,20200917,190000,2.7,2.76,2.7,2.72,33746,0
REFR.US,60,20200917,200000,2.7,2.74,2.67,2.69,10123,0
REFR.US,60,20200917,210000,2.68,2.7,2.6,2.6357,15765,0
REFR.US,60,20200917,220000,2.61,2.69,2.61,2.69,27792,0
REFR.US,60,20200918,160000,2.75,3.03,2.75,2.8043,65454,0
REFR.US,60,20200918,170000,2.79,2.84,2.74,2.745,26848,0
REFR.US,60,20200918,180000,2.73,2.77,2.7,2.7,5107,0
REFR.US,60,20200918,190000,2.68,2.75,2.66,2.74,22010,0
REFR.US,60,20200918,200000,2.73,2.74,2.68,2.68,2700,0
REFR.US,60,20200918,210000,2.68,2.705,2.67,2.67,5440,0
REFR.US,60,20200918,220000,2.67,2.98,2.61,2.9,209298,0
REFR.US,60,20200921,160000,2.88,2.88,2.7,2.75,58184,0
REFR.US,60,20200921,170000,2.74,2.79,2.62,2.63,40686,0
REFR.US,60,20200921,180000,2.63,2.64,2.53,2.565,46405,0
REFR.US,60,20200921,190000,2.565,2.57,2.49,2.52,16622,0
REFR.US,60,20200921,200000,2.52,2.53,2.48,2.5,18784,0
REFR.US,60,20200921,210000,2.5,2.51,2.49,2.495,6088,0
REFR.US,60,20200921,220000,2.495,2.495,2.4,2.41,69067,0
REFR.US,60,20200922,160000,2.42,2.4395,2.32,2.37,25593,0
REFR.US,60,20200922,170000,2.36,2.41,2.3599,2.38,20445,0
REFR.US,60,20200922,180000,2.38,2.41,2.375,2.375,10656,0
REFR.US,60,20200922,190000,2.37,2.4,2.37,2.39,3386,0
REFR.US,60,20200922,200000,2.3843,2.41,2.3843,2.4,5200,0
REFR.US,60,20200922,210000,2.3999,2.51,2.39,2.49,26878,0
REFR.US,60,20200922,220000,2.4895,2.49,2.43,2.43,33787,0
REFR.US,60,20200923,160000,2.4,2.485,2.4,2.4615,2379,0
REFR.US,60,20200923,170000,2.44,2.47,2.42,2.47,2685,0
REFR.US,60,20200923,180000,2.47,2.5,2.45,2.45,5372,0
REFR.US,60,20200923,190000,2.465,2.465,2.41,2.41,3405,0
REFR.US,60,20200923,200000,2.415,2.42,2.41,2.415,4412,0
REFR.US,60,20200923,210000,2.4101,2.42,2.37,2.39,23857,0
REFR.US,60,20200923,220000,2.37,2.39,2.35,2.38,40477,0
REFR.US,60,20200924,160000,2.37,2.38,2.36,2.38,4621,0
REFR.US,60,20200924,170000,2.38,2.41,2.37,2.3761,7764,0
REFR.US,60,20200924,180000,2.37,2.38,2.3518,2.37,46035,0
REFR.US,60,20200924,190000,2.37,2.4105,2.37,2.4105,16773,0
REFR.US,60,20200924,200000,2.4,2.44,2.375,2.44,6624,0
REFR.US,60,20200924,210000,2.44,2.57,2.4199,2.47,41111,0
REFR.US,60,20200924,220000,2.445,2.46,2.41,2.44,40991,0
REFR.US,60,20200925,160000,2.38,2.49,2.38,2.49,2400,0
REFR.US,60,20200925,170000,2.49,2.5,2.41,2.49,23762,0
REFR.US,60,20200925,180000,2.49,2.5899,2.44,2.54,50171,0
REFR.US,60,20200925,190000,2.51,2.59,2.48,2.59,45612,0
REFR.US,60,20200925,200000,2.58,2.59,2.56,2.57,3700,0
REFR.US,60,20200925,210000,2.57,2.57,2.515,2.52,2511,0
REFR.US,60,20200925,220000,2.52,2.52,2.46,2.48,24015,0
REFR.US,60,20200928,160000,2.53,2.54,2.48,2.51,7168,0
REFR.US,60,20200928,170000,2.48,2.51,2.48,2.51,11700,0
REFR.US,60,20200928,180000,2.51,2.515,2.5,2.505,9019,0
REFR.US,60,20200928,190000,2.505,2.58,2.505,2.56,30560,0
REFR.US,60,20200928,200000,2.53,2.55,2.53,2.54,3475,0
