<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBNYP.US,60,20201218,160000,25.47,25.59,25.34,25.35,115996,0
SBNYP.US,60,20201218,170000,25.43,25.54,25.36,25.45,297301,0
SBNYP.US,60,20201218,180000,25.45,25.49,25.41,25.448,54888,0
SBNYP.US,60,20201218,190000,25.44,25.5,25.42,25.47,72693,0
SBNYP.US,60,20201218,200000,25.47,25.48,25.44,25.45,28895,0
SBNYP.US,60,20201218,210000,25.44,25.46,25.38,25.435,293542,0
SBNYP.US,60,20201218,220000,25.435,25.46,25.41,25.44,102034,0
SBNYP.US,60,20201221,160000,25.41,25.41,25.3,25.32,108521,0
SBNYP.US,60,20201221,170000,25.32,25.37,25.25,25.275,142074,0
SBNYP.US,60,20201221,180000,25.28,25.37,25.265,25.33,292262,0
SBNYP.US,60,20201221,190000,25.325,25.34,25.28,25.32,196076,0
SBNYP.US,60,20201221,200000,25.32,25.34,25.29,25.2999,139681,0
SBNYP.US,60,20201221,210000,25.29,25.31,25.23,25.24,178173,0
SBNYP.US,60,20201221,220000,25.24,25.26,25.18,25.2,237323,0
SBNYP.US,60,20201222,160000,25.28,25.3107,25.1808,25.23,35681,0
SBNYP.US,60,20201222,170000,25.21,25.28,25.2,25.23,49381,0
SBNYP.US,60,20201222,180000,25.23,25.25,25.13,25.18,47652,0
SBNYP.US,60,20201222,190000,25.18,25.25,25.171,25.22,46060,0
SBNYP.US,60,20201222,200000,25.22,25.25,25.18,25.19,77845,0
SBNYP.US,60,20201222,210000,25.19,25.23,25.01,25.13,137004,0
SBNYP.US,60,20201222,220000,25.1,25.25,25.1,25.17,107526,0
SBNYP.US,60,20201223,160000,25.24,25.275,25.17,25.185,29599,0
SBNYP.US,60,20201223,170000,25.185,25.205,25.13,25.2,34874,0
SBNYP.US,60,20201223,180000,25.18,25.28,25.18,25.28,41796,0
SBNYP.US,60,20201223,190000,25.263,25.3,25.24,25.3,56240,0
SBNYP.US,60,20201223,200000,25.3,25.34,25.16,25.16,194449,0
SBNYP.US,60,20201223,210000,25.17,25.18,25.12,25.17,58525,0
SBNYP.US,60,20201223,220000,25.165,25.18,25.12,25.15,133326,0
SBNYP.US,60,20201224,160000,25.22,25.23,25.14,25.22,23983,0
SBNYP.US,60,20201224,170000,25.22,25.23,25.15,25.18,47961,0
SBNYP.US,60,20201224,180000,25.18,25.26,25.18,25.19,60253,0
SBNYP.US,60,20201224,190000,25.19,25.28,25.19,25.25,85130,0
SBNYP.US,60,20201224,200000,25.25,25.25,25.25,25.25,606,0
SBNYP.US,60,20201228,160000,25.29,25.32,25.2704,25.31,38242,0
SBNYP.US,60,20201228,170000,25.32,25.35,25.28,25.29,114686,0
SBNYP.US,60,20201228,180000,25.3,25.37,25.28,25.2965,209286,0
SBNYP.US,60,20201228,190000,25.295,25.33,25.295,25.315,38719,0
SBNYP.US,60,20201228,200000,25.315,25.36,25.3093,25.36,48979,0
SBNYP.US,60,20201228,210000,25.345,25.35,25.32,25.34,33162,0
SBNYP.US,60,20201228,220000,25.35,25.4,25.32,25.38,89292,0
SBNYP.US,60,20201229,160000,25.4,25.4,25.3,25.3,18121,0
SBNYP.US,60,20201229,170000,25.37,25.39,25.27,25.38,178550,0
SBNYP.US,60,20201229,180000,25.37,25.4,25.335,25.4,49880,0
