<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SESN.US,60,20200914,160000,1.02,1.02,0.99,1,51942,0
SESN.US,60,20200914,170000,1,1.02,0.9921,1.02,56700,0
SESN.US,60,20200914,180000,1.02,1.03,1.01,1.03,70223,0
SESN.US,60,20200914,190000,1.025,1.03,1.02,1.02,67953,0
SESN.US,60,20200914,200000,1.03,1.09,1.02,1.09,348850,0
SESN.US,60,20200914,210000,1.09,1.12,1.03,1.12,1214612,0
SESN.US,60,20200914,220000,1.12,1.12,1.03,1.04,1292052,0
SESN.US,60,20200915,160000,1.07,1.09,1.05,1.08,282736,0
SESN.US,60,20200915,170000,1.09,1.11,1.02,1.02,1083799,0
SESN.US,60,20200915,180000,1.03,1.05,1.01,1.045,294326,0
SESN.US,60,20200915,190000,1.045,1.06,1.04,1.055,53735,0
SESN.US,60,20200915,200000,1.055,1.11,1.05,1.0738,441912,0
SESN.US,60,20200915,210000,1.075,1.08,1.07,1.075,137009,0
SESN.US,60,20200915,220000,1.075,1.08,1.06,1.08,80180,0
SESN.US,60,20200916,160000,1.06,1.07,1.05,1.06,41752,0
SESN.US,60,20200916,170000,1.06,1.09,1.0501,1.08,91385,0
SESN.US,60,20200916,180000,1.075,1.1,1.07,1.09,119514,0
SESN.US,60,20200916,190000,1.085,1.18,1.085,1.1553,2648472,0
SESN.US,60,20200916,200000,1.15,1.16,1.03,1.085,1523700,0
SESN.US,60,20200916,210000,1.09,1.105,1.085,1.095,97636,0
SESN.US,60,20200916,220000,1.1,1.1,1.07,1.07,180000,0
SESN.US,60,20200917,160000,1.09,1.1,1.08,1.095,70669,0
SESN.US,60,20200917,170000,1.0927,1.13,1.09,1.115,167221,0
SESN.US,60,20200917,180000,1.1102,1.12,1.11,1.1176,61583,0
SESN.US,60,20200917,190000,1.115,1.12,1.11,1.12,74555,0
SESN.US,60,20200917,200000,1.115,1.12,1.11,1.1102,72547,0
SESN.US,60,20200917,210000,1.115,1.14,1.11,1.13,209501,0
SESN.US,60,20200917,220000,1.13,1.15,1.11,1.13,481705,0
SESN.US,60,20200918,160000,1.15,1.19,1.14,1.17,273196,0
SESN.US,60,20200918,170000,1.175,1.25,1.1701,1.1901,889985,0
SESN.US,60,20200918,180000,1.195,1.22,1.18,1.21,239476,0
SESN.US,60,20200918,190000,1.21,1.3,1.19,1.2463,1743218,0
SESN.US,60,20200918,200000,1.2458,1.28,1.22,1.265,378934,0
SESN.US,60,20200918,210000,1.2627,1.3,1.2,1.27,965144,0
SESN.US,60,20200918,220000,1.29,1.34,1.24,1.26,2279068,0
SESN.US,60,20200921,160000,1.28,1.32,1.22,1.315,385189,0
SESN.US,60,20200921,170000,1.315,1.39,1.275,1.33,1773549,0
SESN.US,60,20200921,180000,1.33,1.35,1.3,1.335,564028,0
SESN.US,60,20200921,190000,1.335,1.36,1.33,1.3399,318908,0
SESN.US,60,20200921,200000,1.3399,1.41,1.335,1.355,2270115,0
SESN.US,60,20200921,210000,1.355,1.44,1.33,1.43,1418669,0
SESN.US,60,20200921,220000,1.42,1.44,1.36,1.39,2083144,0
SESN.US,60,20200922,160000,1.45,1.46,1.37,1.445,990105,0
SESN.US,60,20200922,170000,1.45,1.54,1.39,1.39,2344376,0
SESN.US,60,20200922,180000,1.39,1.43,1.33,1.385,2250887,0
SESN.US,60,20200922,190000,1.385,1.5,1.38,1.46,2679405,0
SESN.US,60,20200922,200000,1.465,1.47,1.405,1.435,673064,0
SESN.US,60,20200922,210000,1.4378,1.44,1.4,1.42,360344,0
SESN.US,60,20200922,220000,1.425,1.44,1.38,1.4,1222548,0
SESN.US,60,20200923,160000,1.4,1.407,1.36,1.395,196470,0
SESN.US,60,20200923,170000,1.3959,1.425,1.37,1.3901,447682,0
SESN.US,60,20200923,180000,1.39,1.4,1.34,1.355,689958,0
SESN.US,60,20200923,190000,1.36,1.36,1.31,1.34,298258,0
SESN.US,60,20200923,200000,1.335,1.34,1.33,1.33,147025,0
