<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFBC.US,60,20200914,170000,28.805,29.978,28.805,29.978,2813,0
SFBC.US,60,20200914,190000,29.061,29.061,29.061,29.061,129,0
SFBC.US,60,20200914,210000,28.488,29.11,28.488,29.11,304,0
SFBC.US,60,20200914,220000,28.982,29.11,28.982,28.982,405,0
SFBC.US,60,20200915,170000,28.568,28.593,28.568,28.578,1052,0
SFBC.US,60,20200916,190000,29.218,29.218,29.218,29.218,102,0
SFBC.US,60,20200917,160000,29.565,29.565,29.328,29.328,203,0
SFBC.US,60,20200918,220000,29.11,29.11,28.785,28.93,664,0
SFBC.US,60,20200921,200000,29.258,29.258,29.258,29.258,897,0
SFBC.US,60,20200921,210000,29.11,29.258,29.11,29.258,3009,0
SFBC.US,60,20200922,220000,29.258,29.258,29.11,29.12,2181,0
SFBC.US,60,20200928,180000,28.6,28.6,28.6,28.6,102,0
SFBC.US,60,20200928,210000,29.238,29.373,29.1,29.12,4356,0
SFBC.US,60,20200929,200000,29.238,29.238,29.238,29.238,103,0
SFBC.US,60,20200930,220000,29.041,29.238,29.041,29.238,556,0
SFBC.US,60,20201002,170000,28.616,28.616,28.616,28.616,131,0
SFBC.US,60,20201002,200000,29.446,29.495,29.18,29.208,1735,0
SFBC.US,60,20201002,210000,29.18,29.475,28.863,28.863,608,0
SFBC.US,60,20201002,220000,29.446,29.446,29.18,29.18,304,0
SFBC.US,60,20201005,170000,29.076,29.535,29.076,29.535,1013,0
SFBC.US,60,20201005,190000,29.036,29.455,29.036,29.455,3040,0
SFBC.US,60,20201005,220000,29.061,29.555,29.061,29.208,5442,0
SFBC.US,60,20201006,210000,29.208,29.308,28.879,29.258,1216,0
SFBC.US,60,20201006,220000,29.208,29.308,28.873,28.873,621,0
SFBC.US,60,20201007,160000,29.11,29.11,29.11,29.11,1177,0
SFBC.US,60,20201007,170000,29.11,29.16,29.11,29.11,912,0
SFBC.US,60,20201007,210000,29.303,29.328,29.11,29.11,5574,0
SFBC.US,60,20201007,220000,28.963,28.963,28.963,28.963,304,0
SFBC.US,60,20201008,170000,29.09,29.11,29.09,29.11,2436,0
SFBC.US,60,20201008,180000,28.745,28.745,28.616,28.616,793,0
SFBC.US,60,20201008,190000,28.616,28.616,28.481,28.481,267,0
SFBC.US,60,20201008,200000,27.151,27.976,27.14,27.433,1419,0
SFBC.US,60,20201008,210000,27.403,28.616,27.384,28.616,507,0
SFBC.US,60,20201008,220000,28.213,28.477,27.531,28.4,2128,0
SFBC.US,60,20201009,200000,28.271,28.616,28.271,28.607,1584,0
SFBC.US,60,20201009,210000,27.867,27.867,27.649,27.649,710,0
SFBC.US,60,20201009,220000,28.084,28.123,27.699,27.699,1115,0
SFBC.US,60,20201012,180000,27.64,28.424,27.64,27.758,1054,0
SFBC.US,60,20201012,190000,27.758,27.798,27.758,27.758,3854,0
SFBC.US,60,20201016,210000,28.632,28.632,28.321,28.321,710,0
SFBC.US,60,20201019,200000,28.626,28.626,28.626,28.626,136,0
SFBC.US,60,20201022,210000,28.609,28.609,28.609,28.609,375,0
SFBC.US,60,20201022,220000,28.95,28.95,28.626,28.626,517,0
SFBC.US,60,20201026,150000,27.896,27.896,27.896,27.896,203,0
SFBC.US,60,20201026,190000,28.626,28.626,28.626,28.626,102,0
SFBC.US,60,20201029,180000,28.716,28.74,28.616,28.74,380,0
SFBC.US,60,20201029,190000,28.616,28.616,28.616,28.616,544,0
SFBC.US,60,20201029,200000,28.616,28.616,28.616,28.616,507,0
SFBC.US,60,20201029,210000,28.616,28.616,28.616,28.616,674,0
SFBC.US,60,20201103,160000,28.166,28.493,28.123,28.123,973,0
SFBC.US,60,20201103,180000,28.123,28.123,28.123,28.123,102,0
SFBC.US,60,20201103,190000,28.863,28.863,28.863,28.863,203,0
SFBC.US,60,20201103,200000,28.853,28.853,28.765,28.765,305,0
SFBC.US,60,20201105,220000,28.765,29.11,28.765,29.1,1445,0
SFBC.US,60,20201109,170000,29.338,29.754,29.338,29.754,907,0
SFBC.US,60,20201110,190000,29.351,29.351,29.351,29.351,101,0
SFBC.US,60,20201110,220000,29.299,29.507,29.299,29.358,1446,0
SFBC.US,60,20201111,160000,29.011,29.358,28.962,29.105,1916,0
SFBC.US,60,20201111,190000,29.358,29.358,29.358,29.358,202,0
SFBC.US,60,20201111,220000,29.358,29.358,29.358,29.358,302,0
SFBC.US,60,20201113,180000,29.358,29.507,29.214,29.408,2017,0
SFBC.US,60,20201113,190000,29.755,29.755,29.299,29.299,3437,0
SFBC.US,60,20201113,200000,29.755,29.755,29.745,29.745,2618,0
SFBC.US,60,20201116,210000,29.457,29.457,29.16,29.358,605,0
SFBC.US,60,20201116,220000,29.358,29.358,29.358,29.358,163,0
SFBC.US,60,20201117,170000,29.755,29.755,29.358,29.358,1109,0
SFBC.US,60,20201117,180000,29.755,29.755,29.755,29.755,101,0
SFBC.US,60,20201117,220000,29.755,30.499,29.755,30.499,202,0
SFBC.US,60,20201118,170000,30.251,30.251,30.251,30.251,509,0
SFBC.US,60,20201120,180000,29.676,29.676,29.438,29.438,655,0
SFBC.US,60,20201120,200000,30.251,30.251,30.251,30.251,202,0
SFBC.US,60,20201124,160000,30.251,30.251,30.251,30.251,403,0
SFBC.US,60,20201124,170000,30.058,30.071,30.058,30.071,736,0
SFBC.US,60,20201124,180000,29.864,29.864,29.864,29.864,101,0
SFBC.US,60,20201124,190000,30.747,30.747,30.747,30.747,101,0
SFBC.US,60,20201124,200000,30.623,30.623,30.623,30.623,101,0
SFBC.US,60,20201124,210000,30.529,30.529,30.529,30.529,101,0
SFBC.US,60,20201124,220000,30.539,30.539,30.499,30.499,608,0
SFBC.US,60,20201125,170000,30.742,30.742,30.742,30.742,151,0
SFBC.US,60,20201130,210000,30.251,31.193,30.251,31.193,221,0
SFBC.US,60,20201201,170000,30.449,30.449,30.449,30.449,101,0
SFBC.US,60,20201201,180000,30.742,30.742,30.742,30.742,480,0
SFBC.US,60,20201201,210000,31.233,31.233,31.233,31.233,383,0
SFBC.US,60,20201202,200000,30.608,30.618,30.608,30.618,202,0
SFBC.US,60,20201202,210000,30.836,30.836,30.836,30.836,101,0
SFBC.US,60,20201202,220000,30.568,30.568,30.568,30.568,101,0
SFBC.US,60,20201203,180000,30.251,30.747,30.251,30.747,267,0
SFBC.US,60,20201203,190000,30.251,30.251,30.251,30.251,136,0
SFBC.US,60,20201207,220000,30.747,30.747,30.747,30.747,202,0
SFBC.US,60,20201210,190000,30.783,30.783,30.783,30.783,101,0
SFBC.US,60,20201211,210000,30.782,30.782,30.782,30.782,202,0
SFBC.US,60,20201211,220000,31.193,31.193,31.003,31.193,2895,0
SFBC.US,60,20201214,160000,31.193,31.193,31.193,31.193,101,0
SFBC.US,60,20201215,200000,31.193,31.243,31.193,31.243,4027,0
SFBC.US,60,20201215,210000,31.243,31.243,31.2,31.2,202,0
SFBC.US,60,20201215,220000,31.242,31.243,31.144,31.144,1202,0
SFBC.US,60,20201216,190000,31.243,31.401,31.243,31.401,4798,0
SFBC.US,60,20201216,200000,31.392,31.392,31.392,31.392,202,0
SFBC.US,60,20201216,220000,31.441,31.441,31.373,31.373,202,0
SFBC.US,60,20201217,160000,31.61,31.61,31.61,31.61,101,0
SFBC.US,60,20201217,210000,31.56,31.689,31.56,31.689,3812,0
SFBC.US,60,20201218,220000,30.786,31.729,30.568,30.568,2875,0
SFBC.US,60,20201221,160000,30.677,30.677,30.677,30.677,101,0
