<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGTX.US,60,20201204,180000,22,24.8,22,22.7,1191144,0
SGTX.US,60,20201204,190000,22.7,25.79,22.25,25.005,501449,0
SGTX.US,60,20201204,200000,25.005,27.78,24.91,27.55,350141,0
SGTX.US,60,20201204,210000,27.55,31.3309,27.12,28.3833,206067,0
SGTX.US,60,20201204,220000,28.79,36.6499,28.51,34.78,327752,0
SGTX.US,60,20201207,160000,32.16,33,28.97,30.422,41405,0
SGTX.US,60,20201207,170000,30.815,30.815,28.31,29.755,78509,0
SGTX.US,60,20201207,180000,29.44,30,28.76,29.89,40831,0
SGTX.US,60,20201207,190000,29.75,30.155,28.95,29.545,18944,0
SGTX.US,60,20201207,200000,29.8127,29.8699,29,29.07,39592,0
SGTX.US,60,20201207,210000,29.29,30.4799,29,30.4385,21722,0
SGTX.US,60,20201207,220000,30.2714,31.9999,30.2,30.6,34168,0
SGTX.US,60,20201208,160000,32.9,32.9,28.7,30.38,17278,0
SGTX.US,60,20201208,170000,30.9799,31.07,29.69,29.84,110886,0
SGTX.US,60,20201208,180000,29.895,30.16,29.22,29.5,54621,0
SGTX.US,60,20201208,190000,29.8,29.95,29.5,29.76,5209,0
SGTX.US,60,20201208,200000,29.9,29.93,29.505,29.83,8486,0
SGTX.US,60,20201208,210000,29.83,30.03,29.5,29.99,15634,0
SGTX.US,60,20201208,220000,29.925,31.94,29.925,31.65,47226,0
SGTX.US,60,20201209,160000,31.63,32.24,30.69,30.85,25091,0
SGTX.US,60,20201209,170000,31.08,31.4195,29.01,29.1,18383,0
SGTX.US,60,20201209,180000,28.4,28.77,27.26,27.9512,16923,0
SGTX.US,60,20201209,190000,28.28,28.63,27.91,28.63,3196,0
SGTX.US,60,20201209,200000,28.03,29.045,28,28.53,15110,0
SGTX.US,60,20201209,210000,28.74,28.74,27.83,28,37562,0
SGTX.US,60,20201209,220000,28.28,29.93,27.73,28.12,73005,0
SGTX.US,60,20201210,160000,28.1214,29.31,27.15,27.885,6660,0
SGTX.US,60,20201210,170000,27.38,29.2826,27.31,28.4,10858,0
SGTX.US,60,20201210,180000,28.98,29.2,28.3501,28.3501,7266,0
SGTX.US,60,20201210,190000,29.1,29.15,28.43,28.83,10145,0
