<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLCRW.US,60,20210310,170000,0.8,0.8,0.685,0.7,8360,0
SLCRW.US,60,20210310,180000,0.71,0.71,0.71,0.71,3500,0
SLCRW.US,60,20210310,190000,0.75,0.75,0.73,0.73,7067,0
SLCRW.US,60,20210310,200000,0.71,0.83,0.71,0.71,54520,0
SLCRW.US,60,20210310,220000,0.75,0.75,0.749601,0.749601,200,0
SLCRW.US,60,20210311,160000,0.8495,0.85,0.8495,0.8499,5176,0
SLCRW.US,60,20210311,180000,0.83,0.83,0.8,0.8,2950,0
SLCRW.US,60,20210311,190000,0.8995,0.8995,0.8495,0.8495,1200,0
SLCRW.US,60,20210311,200000,0.849899,0.849899,0.849899,0.849899,500,0
SLCRW.US,60,20210311,210000,0.85,0.85,0.85,0.85,300,0
SLCRW.US,60,20210311,220000,0.8,0.8,0.7805,0.7805,900,0
SLCRW.US,60,20210312,170000,0.76,0.76,0.76,0.76,800,0
SLCRW.US,60,20210312,180000,0.76,0.76,0.7499,0.75,46660,0
SLCRW.US,60,20210312,190000,0.749899,0.749899,0.71,0.71,8300,0
SLCRW.US,60,20210312,200000,0.73,0.75,0.694,0.6995,40877,0
SLCRW.US,60,20210312,210000,0.7,0.7,0.695,0.7,10723,0
SLCRW.US,60,20210312,220000,0.75,0.7505,0.744,0.75,35610,0
SLCRW.US,60,20210315,150000,0.75,0.75,0.6999,0.6999,5660,0
SLCRW.US,60,20210315,160000,0.699899,0.7,0.68,0.7,92295,0
SLCRW.US,60,20210315,170000,0.7,0.7,0.699751,0.7,71600,0
SLCRW.US,60,20210315,180000,0.7,0.7,0.7,0.7,28195,0
SLCRW.US,60,20210315,190000,0.71,0.71,0.68,0.68,37398,0
SLCRW.US,60,20210315,200000,0.68,0.68,0.66,0.6799,7329,0
SLCRW.US,60,20210316,150000,0.68,0.7,0.65,0.68,8850,0
SLCRW.US,60,20210316,170000,0.65,0.68,0.65,0.6799,6492,0
SLCRW.US,60,20210316,180000,0.68,0.68,0.65,0.65,6800,0
SLCRW.US,60,20210316,190000,0.62,0.644,0.62,0.63,1741,0
SLCRW.US,60,20210316,200000,0.644999,0.65,0.644999,0.65,2051,0
SLCRW.US,60,20210316,210000,0.646999,0.65,0.646999,0.65,7500,0
SLCRW.US,60,20210317,150000,0.64,0.64,0.64,0.64,1000,0
SLCRW.US,60,20210317,160000,0.649899,0.65,0.64,0.65,52100,0
SLCRW.US,60,20210317,170000,0.64,0.64,0.62,0.62,695,0
SLCRW.US,60,20210317,180000,0.649,0.65,0.634999,0.65,21000,0
SLCRW.US,60,20210317,190000,0.634999,0.634999,0.634999,0.634999,100,0
SLCRW.US,60,20210317,200000,0.65,0.65,0.6497,0.6497,2100,0
SLCRW.US,60,20210317,210000,0.64,0.64,0.629,0.629,7700,0
SLCRW.US,60,20210318,150000,0.63,0.63,0.56505,0.56505,33855,0
SLCRW.US,60,20210318,160000,0.57,0.6,0.5698,0.5825,38755,0
SLCRW.US,60,20210318,180000,0.595,0.6,0.595,0.6,1719,0
SLCRW.US,60,20210318,190000,0.63,0.65,0.63,0.65,3041,0
SLCRW.US,60,20210318,200000,0.65,0.67,0.638,0.67,6800,0
SLCRW.US,60,20210318,210000,0.68,0.7,0.68,0.7,2750,0
SLCRW.US,60,20210319,150000,0.69,0.69,0.68,0.68,800,0
SLCRW.US,60,20210319,160000,0.644999,0.65,0.619999,0.62,51450,0
SLCRW.US,60,20210319,170000,0.62,0.62,0.62,0.62,6700,0
SLCRW.US,60,20210319,180000,0.62,0.65,0.62,0.65,6000,0
SLCRW.US,60,20210319,190000,0.64,0.64,0.6,0.6,47900,0
SLCRW.US,60,20210319,200000,0.595001,0.6,0.595001,0.6,9140,0
SLCRW.US,60,20210319,210000,0.599899,0.6125,0.599899,0.6,44750,0
SLCRW.US,60,20210322,150000,0.6,0.602,0.6,0.602,1500,0
SLCRW.US,60,20210322,160000,0.6,0.6,0.5875,0.6,33732,0
SLCRW.US,60,20210322,170000,0.69,0.7,0.63,0.7,33127,0
SLCRW.US,60,20210322,180000,0.7,0.7,0.7,0.7,8418,0
SLCRW.US,60,20210322,190000,0.6101,0.6101,0.6101,0.6101,200,0
SLCRW.US,60,20210323,160000,0.6201,0.6201,0.6201,0.6201,718,0
