<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNRHU.US,60,20201214,160000,10.35,10.3799,10.34,10.3699,12029,0
SNRHU.US,60,20201214,170000,10.37,10.38,10.35,10.37,193124,0
SNRHU.US,60,20201214,180000,10.38,10.4,10.36,10.38,89849,0
SNRHU.US,60,20201214,190000,10.3758,10.377,10.36,10.37,14510,0
SNRHU.US,60,20201214,200000,10.37,10.38,10.364,10.37,28721,0
SNRHU.US,60,20201214,210000,10.365,10.37,10.36,10.37,5415,0
SNRHU.US,60,20201214,220000,10.36,10.4,10.36,10.365,120703,0
SNRHU.US,60,20201215,160000,10.39,10.49,10.35,10.38,26861,0
SNRHU.US,60,20201215,170000,10.38,10.39,10.35,10.37,3175,0
SNRHU.US,60,20201215,180000,10.3789,10.4,10.3688,10.37,23700,0
SNRHU.US,60,20201215,190000,10.4,10.4,10.37,10.39,2125,0
SNRHU.US,60,20201215,200000,10.388,10.39,10.37,10.37,3280,0
SNRHU.US,60,20201215,210000,10.37,10.38,10.37,10.37,2030,0
SNRHU.US,60,20201215,220000,10.37,10.37,10.32,10.35,113094,0
SNRHU.US,60,20201216,160000,10.35,10.35,10.32,10.35,25854,0
SNRHU.US,60,20201216,170000,10.34,10.35,10.34,10.35,2300,0
SNRHU.US,60,20201216,180000,10.3499,10.35,10.34,10.34,2301,0
SNRHU.US,60,20201216,190000,10.34,10.34,10.33,10.33,5795,0
SNRHU.US,60,20201216,200000,10.33,10.33,10.31,10.3101,12565,0
SNRHU.US,60,20201216,210000,10.31,10.32,10.2879,10.2879,30897,0
SNRHU.US,60,20201216,220000,10.3,10.3,10.28,10.28,2800,0
SNRHU.US,60,20201217,160000,10.31,10.31,10.28,10.28,2700,0
SNRHU.US,60,20201217,170000,10.31,10.31,10.28,10.2875,6320,0
SNRHU.US,60,20201217,180000,10.295,10.31,10.2875,10.29,185200,0
SNRHU.US,60,20201217,190000,10.3,10.35,10.29,10.35,33200,0
SNRHU.US,60,20201217,200000,10.35,10.36,10.35,10.35,38485,0
SNRHU.US,60,20201217,210000,10.35,10.35,10.32,10.32,68100,0
SNRHU.US,60,20201217,220000,10.32,10.34,10.28,10.28,19229,0
SNRHU.US,60,20201218,160000,10.21,10.275,10.2,10.25,24847,0
SNRHU.US,60,20201218,170000,10.25,10.28,10.25,10.25,53000,0
SNRHU.US,60,20201218,180000,10.25,10.28,10.25,10.25,26928,0
SNRHU.US,60,20201218,190000,10.25,10.3,10.25,10.25,95616,0
SNRHU.US,60,20201218,200000,10.25,10.27,10.23,10.25,107801,0
SNRHU.US,60,20201218,210000,10.25,10.25,10.23,10.23,76469,0
SNRHU.US,60,20201218,220000,10.23,10.27,10.21,10.22,78139,0
SNRHU.US,60,20201221,160000,10.23,10.33,10.21,10.22,28984,0
SNRHU.US,60,20201221,170000,10.22,10.28,10.18,10.28,48143,0
SNRHU.US,60,20201221,180000,10.2,10.2435,10.2,10.2435,1200,0
SNRHU.US,60,20201221,190000,10.24,10.26,10.23,10.23,13678,0
SNRHU.US,60,20201221,200000,10.23,10.24,10.23,10.24,1200,0
SNRHU.US,60,20201221,210000,10.225,10.3,10.2,10.3,83524,0
SNRHU.US,60,20201221,220000,10.3,10.315,10.285,10.315,26815,0
SNRHU.US,60,20201222,160000,10.32,10.32,10.31,10.32,10000,0
SNRHU.US,60,20201222,170000,10.32,10.36,10.315,10.35,82794,0
SNRHU.US,60,20201222,180000,10.35,10.35,10.34,10.35,24451,0
SNRHU.US,60,20201222,190000,10.35,10.35,10.35,10.35,12700,0
SNRHU.US,60,20201222,200000,10.35,10.35,10.33,10.34,49856,0
SNRHU.US,60,20201222,210000,10.34,10.34,10.295,10.295,8500,0
SNRHU.US,60,20201222,220000,10.3,10.36,10.295,10.35,31053,0
SNRHU.US,60,20201223,160000,10.35,10.36,10.35,10.36,919,0
SNRHU.US,60,20201223,170000,10.37,10.39,10.37,10.39,3692,0
SNRHU.US,60,20201223,180000,10.3881,10.45,10.3811,10.4406,4312,0
SNRHU.US,60,20201223,190000,10.45,10.45,10.4,10.4,27996,0
SNRHU.US,60,20201223,200000,10.4,10.4,10.375,10.3799,13176,0
SNRHU.US,60,20201223,210000,10.36,10.365,10.34,10.34,8030,0
SNRHU.US,60,20201223,220000,10.345,10.3899,10.34,10.34,4710,0
SNRHU.US,60,20201224,160000,10.35,10.39,10.35,10.35,12700,0
SNRHU.US,60,20201224,170000,10.35,10.39,10.3,10.3,51686,0
SNRHU.US,60,20201224,180000,10.3,10.3,10.2699,10.2699,7628,0
SNRHU.US,60,20201224,190000,10.27,10.32,10.265,10.27,68910,0
SNRHU.US,60,20201228,160000,10.34,10.34,10.27,10.28,25409,0
SNRHU.US,60,20201228,170000,10.28,10.28,10.26,10.26,13341,0
SNRHU.US,60,20201228,180000,10.26,10.26,10.25,10.25,7397,0
SNRHU.US,60,20201228,190000,10.26,10.28,10.25,10.28,138416,0
SNRHU.US,60,20201228,200000,10.28,10.3,10.28,10.28,13211,0
SNRHU.US,60,20201228,210000,10.28,10.28,10.28,10.28,150,0
SNRHU.US,60,20201228,220000,10.28,10.335,10.26,10.33,11771,0
SNRHU.US,60,20201229,160000,10.33,10.36,10.33,10.33,11044,0
SNRHU.US,60,20201229,170000,10.33,10.37,10.3,10.3,20716,0
SNRHU.US,60,20201229,180000,10.3,10.35,10.3,10.35,71448,0
SNRHU.US,60,20201229,190000,10.35,10.39,10.321,10.39,6720,0
SNRHU.US,60,20201229,200000,10.35,10.35,10.33,10.33,9345,0
SNRHU.US,60,20201229,210000,10.3398,10.3398,10.32,10.33,5297,0
SNRHU.US,60,20201229,220000,10.33,10.4,10.33,10.35,63334,0
SNRHU.US,60,20201230,160000,10.38,10.39,10.3647,10.38,1600,0
SNRHU.US,60,20201230,170000,10.35,10.35,10.31,10.31,8490,0
SNRHU.US,60,20201230,180000,10.315,10.34,10.315,10.34,2560,0
