<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSKN.US,60,20200914,160000,1.5,1.5,1.35,1.47,6974,0
SSKN.US,60,20200914,170000,1.425,1.425,1.38,1.3946,5700,0
SSKN.US,60,20200914,180000,1.38,1.3899,1.36,1.375,14048,0
SSKN.US,60,20200914,190000,1.38,1.38,1.36,1.36,2076,0
SSKN.US,60,20200914,200000,1.38,1.385,1.37,1.375,2600,0
SSKN.US,60,20200914,210000,1.38,1.39,1.375,1.39,3213,0
SSKN.US,60,20200914,220000,1.37,1.41,1.37,1.38,7969,0
SSKN.US,60,20200915,160000,1.36,1.4792,1.36,1.42,2057,0
SSKN.US,60,20200915,170000,1.44,1.44,1.383,1.391,1900,0
SSKN.US,60,20200915,180000,1.41,1.42,1.4,1.41,6132,0
SSKN.US,60,20200915,190000,1.45,1.45,1.4107,1.4107,532,0
SSKN.US,60,20200915,200000,1.46,1.46,1.4446,1.4446,900,0
SSKN.US,60,20200915,210000,1.47,1.47,1.43,1.445,1200,0
SSKN.US,60,20200915,220000,1.48,1.48,1.42,1.46,6867,0
SSKN.US,60,20200916,160000,1.42,1.45,1.4,1.43,3646,0
SSKN.US,60,20200916,170000,1.425,1.44,1.41,1.44,6311,0
SSKN.US,60,20200916,180000,1.43,1.43,1.4,1.43,2200,0
SSKN.US,60,20200916,190000,1.43,1.43,1.43,1.43,500,0
SSKN.US,60,20200916,200000,1.43,1.43,1.43,1.43,300,0
SSKN.US,60,20200916,210000,1.42,1.42,1.4,1.42,1400,0
SSKN.US,60,20200916,220000,1.42,1.42,1.4,1.4,8515,0
SSKN.US,60,20200917,160000,1.4,1.41,1.4,1.41,2201,0
SSKN.US,60,20200917,170000,1.4,1.44,1.4,1.415,1291,0
SSKN.US,60,20200917,180000,1.39,1.42,1.39,1.41,1300,0
SSKN.US,60,20200917,190000,1.43,1.43,1.42,1.42,2400,0
SSKN.US,60,20200917,210000,1.42,1.44,1.42,1.4243,1448,0
SSKN.US,60,20200917,220000,1.44,1.44,1.4158,1.42,3043,0
SSKN.US,60,20200918,160000,1.44,1.44,1.43,1.44,2214,0
SSKN.US,60,20200918,170000,1.45,1.45,1.438,1.44,3900,0
SSKN.US,60,20200918,180000,1.44,1.44,1.44,1.44,400,0
SSKN.US,60,20200918,190000,1.44,1.44,1.43,1.43,300,0
SSKN.US,60,20200918,200000,1.44,1.45,1.4301,1.45,9315,0
SSKN.US,60,20200918,210000,1.46,1.46,1.45,1.45,337,0
SSKN.US,60,20200918,220000,1.46,1.46,1.38,1.39,28225,0
SSKN.US,60,20200921,160000,1.35,1.4199,1.35,1.4199,635,0
SSKN.US,60,20200921,170000,1.4271,1.44,1.42,1.42,19802,0
SSKN.US,60,20200921,180000,1.4268,1.44,1.42,1.435,720,0
SSKN.US,60,20200921,190000,1.435,1.45,1.435,1.45,300,0
SSKN.US,60,20200921,220000,1.42,1.4569,1.42,1.44,3768,0
SSKN.US,60,20200922,160000,1.48,1.48,1.48,1.48,3023,0
SSKN.US,60,20200922,170000,1.4999,1.4999,1.48,1.48,2300,0
SSKN.US,60,20200922,180000,1.44,1.4427,1.41,1.44,2431,0
SSKN.US,60,20200922,190000,1.442,1.46,1.4006,1.46,820,0
SSKN.US,60,20200922,200000,1.4219,1.4219,1.4219,1.4219,100,0
SSKN.US,60,20200922,220000,1.46,1.46,1.46,1.46,100,0
SSKN.US,60,20200923,160000,1.46,1.46,1.46,1.46,121,0
SSKN.US,60,20200923,170000,1.45,1.45,1.4241,1.4241,442,0
SSKN.US,60,20200923,180000,1.415,1.45,1.415,1.4473,2460,0
SSKN.US,60,20200923,190000,1.415,1.4186,1.415,1.4186,1340,0
SSKN.US,60,20200923,200000,1.3981,1.44,1.3981,1.44,303,0
SSKN.US,60,20200923,210000,1.44,1.45,1.37,1.37,11271,0
SSKN.US,60,20200923,220000,1.4,1.46,1.4,1.43,2298,0
SSKN.US,60,20200924,160000,1.45,1.45,1.415,1.45,3810,0
SSKN.US,60,20200924,170000,1.3924,1.3924,1.33,1.33,400,0
SSKN.US,60,20200924,180000,1.41,1.41,1.3801,1.3801,772,0
SSKN.US,60,20200924,200000,1.41,1.41,1.41,1.41,100,0
SSKN.US,60,20200924,210000,1.42,1.42,1.41,1.41,600,0
SSKN.US,60,20200924,220000,1.38,1.4049,1.38,1.395,682,0
SSKN.US,60,20200925,170000,1.38,1.38,1.38,1.38,300,0
SSKN.US,60,20200925,180000,1.41,1.41,1.41,1.41,100,0
SSKN.US,60,20200925,190000,1.38,1.43,1.38,1.43,3187,0
SSKN.US,60,20200925,200000,1.39,1.42,1.38,1.42,3340,0
SSKN.US,60,20200925,210000,1.42,1.45,1.38,1.45,8492,0
SSKN.US,60,20200925,220000,1.4,1.46,1.4,1.41,4014,0
SSKN.US,60,20200928,160000,1.42,1.42,1.3801,1.3801,2133,0
SSKN.US,60,20200928,170000,1.44,1.44,1.42,1.42,700,0
SSKN.US,60,20200928,180000,1.42,1.44,1.42,1.4233,2774,0
SSKN.US,60,20200928,190000,1.425,1.44,1.425,1.44,300,0
SSKN.US,60,20200928,200000,1.44,1.44,1.425,1.425,350,0
SSKN.US,60,20200928,210000,1.44,1.44,1.44,1.44,1256,0
SSKN.US,60,20200928,220000,1.44,1.44,1.44,1.44,687,0
SSKN.US,60,20200929,160000,1.3469,1.4461,1.3469,1.4461,400,0
SSKN.US,60,20200929,170000,1.4301,1.4302,1.4301,1.4302,2008,0
SSKN.US,60,20200929,180000,1.45,1.45,1.45,1.45,100,0
SSKN.US,60,20200929,190000,1.4404,1.4404,1.44,1.44,2800,0
SSKN.US,60,20200929,200000,1.4322,1.4322,1.4322,1.4322,1000,0
SSKN.US,60,20200929,210000,1.425,1.44,1.37,1.37,13602,0
SSKN.US,60,20200930,160000,1.38,1.38,1.37,1.37,6910,0
SSKN.US,60,20200930,170000,1.4151,1.4151,1.38,1.38,1700,0
SSKN.US,60,20200930,180000,1.38,1.38,1.32,1.35,14173,0
SSKN.US,60,20200930,190000,1.359,1.359,1.3589,1.3589,200,0
SSKN.US,60,20200930,200000,1.3599,1.3599,1.3599,1.3599,401,0
SSKN.US,60,20200930,210000,1.355,1.355,1.355,1.355,250,0
SSKN.US,60,20200930,220000,1.35,1.35,1.35,1.35,556,0
SSKN.US,60,20201001,160000,1.3323,1.34,1.315,1.315,2991,0
SSKN.US,60,20201001,170000,1.3199,1.3199,1.3199,1.3199,500,0
SSKN.US,60,20201001,180000,1.315,1.32,1.315,1.32,1200,0
