<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSYS.US,60,20200914,160000,14.41,14.67,14.4,14.5901,32666,0
SSYS.US,60,20200914,170000,14.61,14.68,14.41,14.43,47131,0
SSYS.US,60,20200914,180000,14.422,14.44,14.29,14.31,35050,0
SSYS.US,60,20200914,190000,14.32,14.38,14.27,14.33,34714,0
SSYS.US,60,20200914,200000,14.33,14.38,14.15,14.35,56201,0
SSYS.US,60,20200914,210000,14.35,14.35,14.2,14.24,35668,0
SSYS.US,60,20200914,220000,14.22,14.31,14.16,14.21,267270,0
SSYS.US,60,20200915,160000,14.27,14.41,14.23,14.28,38983,0
SSYS.US,60,20200915,170000,14.29,14.47,14.26,14.47,30323,0
SSYS.US,60,20200915,180000,14.47,14.47,14.35,14.3884,28205,0
SSYS.US,60,20200915,190000,14.39,14.47,14.39,14.43,27027,0
SSYS.US,60,20200915,200000,14.427,14.45,14.38,14.395,20465,0
SSYS.US,60,20200915,210000,14.39,14.4,14.27,14.3,56890,0
SSYS.US,60,20200915,220000,14.295,14.3,14.2,14.28,96202,0
SSYS.US,60,20200916,160000,14.37,14.69,14.32,14.67,141230,0
SSYS.US,60,20200916,170000,14.67,14.78,14.61,14.61,47566,0
SSYS.US,60,20200916,180000,14.61,14.66,14.54,14.61,30991,0
SSYS.US,60,20200916,190000,14.63,14.63,14.41,14.5299,36899,0
SSYS.US,60,20200916,200000,14.53,14.61,14.4821,14.61,30496,0
SSYS.US,60,20200916,210000,14.59,14.66,14.56,14.62,42377,0
SSYS.US,60,20200916,220000,14.62,14.62,14.41,14.41,111555,0
SSYS.US,60,20200917,160000,14.18,14.18,13.92,14.1,70786,0
SSYS.US,60,20200917,170000,14.09,14.11,13.87,13.91,85581,0
SSYS.US,60,20200917,180000,13.915,14.07,13.915,13.9252,45422,0
SSYS.US,60,20200917,190000,13.925,13.979,13.89,13.9,53321,0
SSYS.US,60,20200917,200000,13.9103,13.916,13.8,13.87,50294,0
SSYS.US,60,20200917,210000,13.87,13.99,13.85,13.9657,40185,0
SSYS.US,60,20200917,220000,13.95,13.97,13.85,13.89,172175,0
SSYS.US,60,20200918,160000,14.06,14.07,13.83,13.8324,44276,0
SSYS.US,60,20200918,170000,13.855,14.14,13.8,13.815,73215,0
SSYS.US,60,20200918,180000,13.82,13.88,13.74,13.8,43425,0
SSYS.US,60,20200918,190000,13.7872,13.81,13.66,13.68,44945,0
SSYS.US,60,20200918,200000,13.68,13.71,13.615,13.68,34325,0
SSYS.US,60,20200918,210000,13.6889,13.82,13.665,13.8,62479,0
SSYS.US,60,20200918,220000,13.81,14.11,13.8,14.04,596526,0
SSYS.US,60,20200921,160000,13.74,13.8088,13.41,13.68,72068,0
SSYS.US,60,20200921,170000,13.68,13.78,13.4,13.53,85533,0
SSYS.US,60,20200921,180000,13.52,13.62,13.47,13.5644,119977,0
SSYS.US,60,20200921,190000,13.58,13.58,13.29,13.3,186360,0
SSYS.US,60,20200921,200000,13.3,13.32,13.21,13.22,70589,0
SSYS.US,60,20200921,210000,13.21,13.21,13.11,13.17,66333,0
SSYS.US,60,20200921,220000,13.18,13.33,13.14,13.32,187414,0
SSYS.US,60,20200922,160000,13.33,13.385,13.14,13.19,26571,0
SSYS.US,60,20200922,170000,13.185,13.33,13.13,13.25,91937,0
SSYS.US,60,20200922,180000,13.225,13.24,13.07,13.075,49842,0
SSYS.US,60,20200922,190000,13.075,13.12,13.03,13.07,57577,0
SSYS.US,60,20200922,200000,13.05,13.24,13.03,13.18,45508,0
SSYS.US,60,20200922,210000,13.19,13.26,13.165,13.165,49185,0
SSYS.US,60,20200922,220000,13.17,13.24,13.12,13.17,137815,0
SSYS.US,60,20200923,160000,13.23,13.43,13.15,13.15,44019,0
SSYS.US,60,20200923,170000,13.1899,13.2,12.91,12.93,103411,0
SSYS.US,60,20200923,180000,12.94,12.9956,12.86,12.8636,59994,0
SSYS.US,60,20200923,190000,12.8562,12.9099,12.85,12.898,37879,0
SSYS.US,60,20200923,200000,12.88,12.96,12.83,12.91,70858,0
SSYS.US,60,20200923,210000,12.92,12.92,12.77,12.77,46969,0
SSYS.US,60,20200923,220000,12.77,12.8,12.68,12.7,173518,0
SSYS.US,60,20200924,160000,12.14,12.28,11.89,12.22,208896,0
SSYS.US,60,20200924,170000,12.23,12.31,12.05,12.29,133681,0
SSYS.US,60,20200924,180000,12.28,12.3578,12.25,12.32,163593,0
SSYS.US,60,20200924,190000,12.33,12.37,12.15,12.21,64407,0
SSYS.US,60,20200924,200000,12.19,12.2864,12.17,12.22,80317,0
SSYS.US,60,20200924,210000,12.22,12.22,12.03,12.035,72829,0
SSYS.US,60,20200924,220000,12.03,12.09,11.985,12.065,273655,0
SSYS.US,60,20200925,160000,12.01,12.2584,12.01,12.085,70229,0
SSYS.US,60,20200925,170000,12.085,12.33,12,12.28,114031,0
SSYS.US,60,20200925,180000,12.27,12.27,12.17,12.19,41452,0
SSYS.US,60,20200925,190000,12.18,12.2478,12.16,12.23,39045,0
SSYS.US,60,20200925,200000,12.235,12.24,12.085,12.1,56171,0
SSYS.US,60,20200925,210000,12.1,12.125,12.06,12.08,105205,0
SSYS.US,60,20200925,220000,12.09,12.18,12.065,12.08,241368,0
SSYS.US,60,20200928,160000,12.27,12.49,12.2681,12.3536,31602,0
SSYS.US,60,20200928,170000,12.35,12.45,12.2601,12.44,63000,0
SSYS.US,60,20200928,180000,12.43,12.47,12.33,12.35,25234,0
SSYS.US,60,20200928,190000,12.34,12.41,12.23,12.24,37449,0
SSYS.US,60,20200928,200000,12.23,12.25,12.1835,12.19,23184,0
SSYS.US,60,20200928,210000,12.18,12.21,12.16,12.195,55515,0
SSYS.US,60,20200928,220000,12.19,12.21,12.11,12.14,228751,0
SSYS.US,60,20200929,160000,12.16,12.375,12.08,12.335,105018,0
SSYS.US,60,20200929,170000,12.33,12.49,12.2,12.2,92436,0
SSYS.US,60,20200929,180000,12.19,12.2649,12.11,12.175,144054,0
SSYS.US,60,20200929,190000,12.17,12.24,12.135,12.24,163158,0
SSYS.US,60,20200929,200000,12.24,12.25,12.15,12.23,61285,0
SSYS.US,60,20200929,210000,12.23,12.4,12.18,12.39,127252,0
SSYS.US,60,20200929,220000,12.38,12.65,12.38,12.63,244993,0
SSYS.US,60,20200930,160000,12.65,12.95,12.61,12.61,106655,0
SSYS.US,60,20200930,170000,12.5848,12.6601,12.44,12.52,117973,0
SSYS.US,60,20200930,180000,12.52,12.55,12.38,12.53,122766,0
SSYS.US,60,20200930,190000,12.53,12.55,12.4,12.45,92974,0
SSYS.US,60,20200930,200000,12.44,12.56,12.44,12.505,73981,0
SSYS.US,60,20200930,210000,12.505,12.57,12.4284,12.53,125592,0
