<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWBI.US,60,20200914,160000,17.185,17.185,16.061,16.318,599008,0
SWBI.US,60,20200914,170000,16.363,16.516,16.101,16.298,456220,0
SWBI.US,60,20200914,180000,16.298,16.328,16.131,16.189,228428,0
SWBI.US,60,20200914,190000,16.18,16.338,16.131,16.308,285767,0
SWBI.US,60,20200914,200000,16.313,16.448,16.209,16.288,286895,0
SWBI.US,60,20200914,210000,16.269,16.358,16.15,16.229,256443,0
SWBI.US,60,20200914,220000,16.233,16.596,16.189,16.566,759662,0
SWBI.US,60,20200915,160000,16.488,17.142,16.488,16.951,337806,0
SWBI.US,60,20200915,170000,16.962,17.022,16.418,16.586,371343,0
SWBI.US,60,20200915,180000,16.576,16.632,16.279,16.393,185144,0
SWBI.US,60,20200915,190000,16.408,16.566,16.408,16.508,96376,0
SWBI.US,60,20200915,200000,16.526,16.546,16.288,16.418,185431,0
SWBI.US,60,20200915,210000,16.42,16.488,16.378,16.463,143215,0
SWBI.US,60,20200915,220000,16.468,16.468,16.18,16.348,432528,0
SWBI.US,60,20200916,160000,16.368,16.434,16.03,16.249,353324,0
SWBI.US,60,20200916,170000,16.278,16.308,15.96,16.03,381502,0
SWBI.US,60,20200916,180000,16.04,16.219,16.02,16.07,238303,0
SWBI.US,60,20200916,190000,16.07,16.378,16.07,16.319,204068,0
SWBI.US,60,20200916,200000,16.328,16.348,16.199,16.239,97508,0
SWBI.US,60,20200916,210000,16.259,16.348,16.152,16.219,134473,0
SWBI.US,60,20200916,220000,16.229,16.269,16.02,16.08,323781,0
SWBI.US,60,20200917,160000,15.632,15.99,15.394,15.712,305400,0
SWBI.US,60,20200917,170000,15.732,15.821,15.344,15.413,408704,0
SWBI.US,60,20200917,180000,15.419,15.692,15.419,15.473,183925,0
SWBI.US,60,20200917,190000,15.481,15.543,15.334,15.533,219151,0
SWBI.US,60,20200917,200000,15.543,15.601,15.423,15.513,186834,0
