<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYKE.US,60,20200914,160000,32.48,32.89,32.22,32.68,4640,0
SYKE.US,60,20200914,170000,32.6725,32.77,32.65,32.73,14136,0
SYKE.US,60,20200914,180000,32.715,32.8,32.66,32.735,10434,0
SYKE.US,60,20200914,190000,32.695,32.7,32.5,32.555,11767,0
SYKE.US,60,20200914,200000,32.595,32.69,32.565,32.59,8419,0
SYKE.US,60,20200914,210000,32.575,32.595,32.4599,32.51,14827,0
SYKE.US,60,20200914,220000,32.56,32.56,32.29,32.33,63354,0
SYKE.US,60,20200915,160000,32.54,32.77,32.43,32.43,2364,0
SYKE.US,60,20200915,170000,32.43,32.86,32.43,32.85,6598,0
SYKE.US,60,20200915,180000,32.925,32.93,32.83,32.9,4788,0
SYKE.US,60,20200915,190000,32.87,32.87,32.62,32.64,2600,0
SYKE.US,60,20200915,200000,32.69,32.99,32.69,32.75,8965,0
SYKE.US,60,20200915,210000,32.76,32.805,32.72,32.76,3553,0
SYKE.US,60,20200915,220000,32.78,32.78,32.59,32.68,27468,0
SYKE.US,60,20200916,160000,32.86,33.05,32.76,32.92,2215,0
SYKE.US,60,20200916,170000,32.92,33.19,32.92,33.11,5500,0
SYKE.US,60,20200916,180000,33.14,33.22,32.92,32.92,14106,0
SYKE.US,60,20200916,190000,32.9,33.05,32.86,33.05,11279,0
SYKE.US,60,20200916,200000,33.05,33.18,33.03,33.17,14117,0
SYKE.US,60,20200916,210000,33.19,33.65,33.19,33.54,23722,0
SYKE.US,60,20200916,220000,33.5475,33.61,33.19,33.27,108271,0
SYKE.US,60,20200917,160000,32.81,32.85,32.36,32.52,5851,0
SYKE.US,60,20200917,170000,32.61,32.91,32.55,32.85,7976,0
SYKE.US,60,20200917,180000,32.98,33.003,32.83,32.94,7513,0
SYKE.US,60,20200917,190000,32.91,33.09,32.86,33.08,10889,0
SYKE.US,60,20200917,200000,33.07,33.22,32.915,33.07,8800,0
SYKE.US,60,20200917,210000,33.11,33.15,33.01,33.05,5829,0
SYKE.US,60,20200917,220000,33.07,33.13,32.92,33.05,80363,0
SYKE.US,60,20200918,160000,33.37,33.41,33.18,33.37,59983,0
SYKE.US,60,20200918,170000,33.41,33.64,33.29,33.33,9500,0
SYKE.US,60,20200918,180000,33.31,33.37,33.03,33.15,7832,0
SYKE.US,60,20200918,190000,33.14,33.165,32.88,32.92,11333,0
SYKE.US,60,20200918,200000,32.95,33.0376,32.77,33.02,16415,0
SYKE.US,60,20200918,210000,33.02,33.2,33.005,33.13,10726,0
SYKE.US,60,20200918,220000,33.1275,33.25,32.99,33.04,382485,0
SYKE.US,60,20200921,160000,32.33,32.33,31.72,32.02,6356,0
SYKE.US,60,20200921,170000,32,32,31.4,31.43,13992,0
