<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYNL.US,60,20200914,170000,5.99,5.99,5.99,5.99,254,0
SYNL.US,60,20200914,190000,5.8554,5.8554,5.8554,5.8554,500,0
SYNL.US,60,20200914,200000,5.835,5.835,5.835,5.835,106,0
SYNL.US,60,20200914,220000,5.82,5.98,5.815,5.88,2898,0
SYNL.US,60,20200915,160000,5.88,5.88,5.88,5.88,110,0
SYNL.US,60,20200915,170000,5.85,5.85,5.85,5.85,100,0
SYNL.US,60,20200915,190000,5.87,5.895,5.85,5.895,1081,0
SYNL.US,60,20200915,200000,5.85,5.85,5.85,5.85,200,0
SYNL.US,60,20200915,210000,5.89,5.89,5.89,5.89,478,0
SYNL.US,60,20200915,220000,5.915,6,5.85,5.85,4500,0
SYNL.US,60,20200916,160000,5.9,5.958,5.9,5.958,1205,0
SYNL.US,60,20200916,170000,5.95,5.95,5.95,5.95,1000,0
SYNL.US,60,20200916,190000,6,6,5.965,5.965,1256,0
SYNL.US,60,20200916,200000,5.975,6.005,5.96,5.98,885,0
SYNL.US,60,20200916,210000,6.04,6.19,6.03,6.17,3616,0
SYNL.US,60,20200916,220000,6.13,6.1768,6.11,6.12,2950,0
SYNL.US,60,20200917,170000,6.07,6.07,6.07,6.07,200,0
SYNL.US,60,20200917,180000,6.0011,6.0011,6.0011,6.0011,251,0
SYNL.US,60,20200917,210000,6,6.1,6,6.1,693,0
SYNL.US,60,20200917,220000,6.04,6.17,6.04,6.11,536,0
SYNL.US,60,20200918,200000,5.94,5.94,5.94,5.94,100,0
SYNL.US,60,20200918,210000,5.94,5.94,5.94,5.94,100,0
SYNL.US,60,20200918,220000,6.1423,6.22,5.98,6.22,4269,0
SYNL.US,60,20200921,160000,5.99,5.99,5.99,5.99,100,0
SYNL.US,60,20200921,190000,6.01,6.01,6.01,6.01,100,0
SYNL.US,60,20200921,210000,6.02,6.02,6.02,6.02,100,0
SYNL.US,60,20200921,220000,6.04,6.04,6.04,6.04,111,0
SYNL.US,60,20200922,160000,6.0578,6.0578,6.0578,6.0578,700,0
SYNL.US,60,20200922,170000,6.06,6.22,6.03,6.03,1600,0
SYNL.US,60,20200922,190000,6.0542,6.0542,5.999,5.999,1500,0
SYNL.US,60,20200922,220000,6.195,6.195,6.07,6.07,208,0
SYNL.US,60,20200923,170000,6.22,6.26,6.1701,6.26,3897,0
SYNL.US,60,20200923,180000,6.26,6.3307,6.22,6.28,3900,0
SYNL.US,60,20200923,190000,6.2107,6.245,6.04,6.155,1900,0
SYNL.US,60,20200923,210000,6,6.0805,6,6.07,1300,0
SYNL.US,60,20200923,220000,6.015,6.055,5.91,5.95,1941,0
SYNL.US,60,20200924,170000,5.98,6.025,5.98,6.025,300,0
SYNL.US,60,20200924,180000,5.92,5.92,5.91,5.91,200,0
SYNL.US,60,20200924,200000,5.92,6,5.85,6,4612,0
SYNL.US,60,20200924,210000,6,6,5.9,5.9,1099,0
SYNL.US,60,20200924,220000,5.96,5.96,5.69,5.69,3934,0
SYNL.US,60,20200925,160000,5.81,5.81,5.81,5.81,177,0
SYNL.US,60,20200925,170000,5.81,5.81,5.75,5.75,2800,0
SYNL.US,60,20200925,180000,5.8435,5.8435,5.68,5.68,500,0
SYNL.US,60,20200925,200000,5.75,5.8511,5.75,5.84,1700,0
SYNL.US,60,20200925,220000,5.785,5.79,5.65,5.65,1204,0
SYNL.US,60,20200928,160000,5.71,5.71,5.71,5.71,100,0
SYNL.US,60,20200928,170000,5.85,5.85,5.85,5.85,100,0
SYNL.US,60,20200928,180000,5.835,5.835,5.835,5.835,100,0
SYNL.US,60,20200928,190000,5.84,5.84,5.84,5.84,280,0
SYNL.US,60,20200928,220000,5.84,5.84,5.82,5.82,712,0
SYNL.US,60,20200929,170000,5.8339,5.8339,5.8101,5.8101,529,0
SYNL.US,60,20200929,200000,5.83,5.83,5.83,5.83,100,0
SYNL.US,60,20200929,210000,5.895,5.895,5.895,5.895,100,0
SYNL.US,60,20200929,220000,5.82,5.84,5.79,5.79,477,0
SYNL.US,60,20200930,160000,5.815,5.815,5.7425,5.7425,201,0
SYNL.US,60,20200930,170000,5.7852,5.7852,5.7852,5.7852,286,0
SYNL.US,60,20200930,180000,5.81,5.81,5.8,5.8,600,0
SYNL.US,60,20200930,200000,5.65,5.65,5.571,5.6,2168,0
SYNL.US,60,20200930,210000,5.78,5.79,5.585,5.585,2279,0
SYNL.US,60,20200930,220000,5.52,5.62,5.52,5.52,6936,0
SYNL.US,60,20201001,160000,5.5595,5.5595,5.5595,5.5595,100,0
SYNL.US,60,20201001,170000,5.6812,5.6812,5.6,5.6469,2900,0
SYNL.US,60,20201001,180000,5.56,5.5969,5.53,5.53,2880,0
SYNL.US,60,20201001,210000,5.45,5.45,5.45,5.45,200,0
SYNL.US,60,20201001,220000,5.45,5.47,5.45,5.47,264,0
SYNL.US,60,20201002,160000,5.435,5.54,5.435,5.54,1000,0
SYNL.US,60,20201002,180000,5.645,5.645,5.645,5.645,100,0
SYNL.US,60,20201002,190000,5.76,5.78,5.59,5.59,400,0
SYNL.US,60,20201002,200000,5.82,5.82,5.71,5.72,5100,0
SYNL.US,60,20201002,210000,5.72,5.72,5.72,5.72,175,0
SYNL.US,60,20201002,220000,5.67,5.71,5.58,5.67,3686,0
SYNL.US,60,20201005,160000,5.555,5.6,5.435,5.4405,5818,0
SYNL.US,60,20201005,170000,5.41,5.44,5.38,5.42,2700,0
SYNL.US,60,20201005,180000,5.41,5.45,5.29,5.29,10070,0
SYNL.US,60,20201005,190000,5.2916,5.3,5.17,5.1959,30407,0
SYNL.US,60,20201005,200000,5.2084,5.2144,4.74,4.76,39624,0
SYNL.US,60,20201005,210000,4.79,4.8881,4.66,4.8266,15812,0
SYNL.US,60,20201005,220000,4.88,4.98,4.67,4.69,45055,0
SYNL.US,60,20201006,160000,4.95,4.95,4.8501,4.885,14845,0
SYNL.US,60,20201006,170000,4.883,4.883,4.64,4.6865,9376,0
SYNL.US,60,20201006,180000,4.7671,4.7673,4.47,4.47,32183,0
SYNL.US,60,20201006,190000,4.48,4.5,4.3,4.45,31769,0
SYNL.US,60,20201006,200000,4.4644,4.4899,4.31,4.31,46008,0
SYNL.US,60,20201006,210000,4.3541,4.45,3.8801,4.02,98112,0
SYNL.US,60,20201006,220000,4.05,4.16,3.81,3.98,81513,0
SYNL.US,60,20201007,160000,4.01,4.2,4.01,4.145,18127,0
SYNL.US,60,20201007,170000,4.145,4.2,4.1244,4.1699,2841,0
SYNL.US,60,20201007,180000,4.15,4.156,4.06,4.09,6380,0
SYNL.US,60,20201007,190000,4.18,4.18,4.01,4.11,2317,0
SYNL.US,60,20201007,200000,4.1,4.1,4.09,4.09,300,0
SYNL.US,60,20201007,210000,4.09,4.09,4.0766,4.09,2344,0
SYNL.US,60,20201007,220000,4.09,4.12,4.02,4.12,20305,0
SYNL.US,60,20201008,160000,4.1,4.37,4.1,4.2182,24258,0
SYNL.US,60,20201008,170000,4.1319,4.3,4.0601,4.2898,4661,0
SYNL.US,60,20201008,180000,4.185,4.19,4.1663,4.1775,3440,0
SYNL.US,60,20201008,190000,4.19,4.28,4.19,4.2213,3800,0
SYNL.US,60,20201008,200000,4.21,4.3,4.21,4.3,500,0
SYNL.US,60,20201008,210000,4.35,4.35,4.3,4.34,13651,0
SYNL.US,60,20201008,220000,4.35,4.4,4.3135,4.4,11860,0
SYNL.US,60,20201009,160000,4.41,4.5693,4.41,4.55,14834,0
SYNL.US,60,20201009,170000,4.55,4.695,4.51,4.635,20755,0
SYNL.US,60,20201009,180000,4.6422,4.6999,4.64,4.65,6142,0
SYNL.US,60,20201009,190000,4.65,4.69,4.65,4.69,1774,0
SYNL.US,60,20201009,200000,4.675,4.675,4.6,4.675,6385,0
SYNL.US,60,20201009,210000,4.69,4.85,4.679,4.8499,14397,0
SYNL.US,60,20201009,220000,4.8,4.81,4.75,4.755,15262,0
SYNL.US,60,20201012,160000,4.84,4.84,4.6451,4.73,5009,0
SYNL.US,60,20201012,170000,4.7395,4.7395,4.55,4.644,8406,0
SYNL.US,60,20201012,180000,4.6,4.6,4.6,4.6,100,0
SYNL.US,60,20201012,190000,4.6256,4.6256,4.51,4.51,3647,0
SYNL.US,60,20201012,200000,4.5,4.5,4.3275,4.4465,4015,0
SYNL.US,60,20201012,210000,4.32,4.4,4.27,4.37,6540,0
SYNL.US,60,20201012,220000,4.35,4.44,4.3,4.3629,8571,0
SYNL.US,60,20201013,160000,4.31,4.31,4.1,4.1205,9638,0
SYNL.US,60,20201013,170000,4.15,4.215,4.12,4.12,4763,0
SYNL.US,60,20201013,180000,4.1201,4.1201,4.1,4.1,3081,0
SYNL.US,60,20201013,190000,4.1,4.18,4.0533,4.1362,13345,0
SYNL.US,60,20201013,200000,4.105,4.105,4.07,4.1,800,0
SYNL.US,60,20201013,210000,4.11,4.11,4.07,4.07,3343,0
SYNL.US,60,20201013,220000,4.1,4.11,4.06,4.0999,7792,0
SYNL.US,60,20201014,160000,4.185,4.2205,4.12,4.12,439,0
SYNL.US,60,20201014,170000,4.1596,4.1596,4.12,4.12,338,0
SYNL.US,60,20201014,180000,4.1,4.15,4.1,4.1,7985,0
SYNL.US,60,20201014,190000,4.1167,4.1499,4.1,4.1499,4250,0
SYNL.US,60,20201014,200000,4.1439,4.1495,4.11,4.11,1600,0
