<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYTA.US,60,20200925,180000,5,5.4,4.4,4.5,177387,0
SYTA.US,60,20200925,190000,4.4,4.47,3.9,4.05,172432,0
SYTA.US,60,20200925,200000,4.05,4.18,3.9,3.94,71722,0
SYTA.US,60,20200925,210000,3.94,4.38,3.94,4.36,79140,0
SYTA.US,60,20200925,220000,4.36,4.49,4.15,4.49,62430,0
SYTA.US,60,20200928,160000,4.55,4.55,4.2,4.2,20532,0
SYTA.US,60,20200928,170000,4.12,4.3685,4.05,4.12,7958,0
SYTA.US,60,20200928,190000,4.22,4.2801,4.2,4.28,3618,0
SYTA.US,60,20200928,200000,4.28,4.3999,4.28,4.3501,5234,0
SYTA.US,60,20200928,210000,4.4,4.44,4.3,4.4,8612,0
SYTA.US,60,20200928,220000,4.435,4.53,4.435,4.52,750,0
SYTA.US,60,20200929,160000,4.2501,4.6699,4.2501,4.585,4070,0
SYTA.US,60,20200929,170000,4.6,4.655,4.6,4.62,797,0
SYTA.US,60,20200929,180000,4.6861,4.97,4.5,4.545,16790,0
SYTA.US,60,20200929,190000,4.59,4.74,4.5,4.695,3653,0
SYTA.US,60,20200929,200000,4.67,4.7,4.665,4.7,17188,0
SYTA.US,60,20200929,210000,4.705,4.75,4.6501,4.6501,9789,0
SYTA.US,60,20200929,220000,4.73,4.75,4.7001,4.73,18084,0
SYTA.US,60,20200930,160000,4.62,4.9,4.62,4.62,1739,0
SYTA.US,60,20200930,170000,4.56,4.65,4.56,4.6499,425,0
SYTA.US,60,20200930,180000,4.605,4.65,4.605,4.65,2067,0
SYTA.US,60,20200930,190000,4.65,4.66,4.61,4.6101,5785,0
SYTA.US,60,20200930,200000,4.65,4.65,4.635,4.635,2929,0
SYTA.US,60,20200930,210000,4.635,4.68,4.6,4.6,6129,0
SYTA.US,60,20200930,220000,4.7,4.71,4.57,4.71,61760,0
SYTA.US,60,20201001,160000,4.79,4.79,4.715,4.75,7557,0
SYTA.US,60,20201001,170000,4.7893,4.79,4.5,4.5,7899,0
SYTA.US,60,20201001,180000,4.5,4.55,4.5,4.5,1700,0
SYTA.US,60,20201001,190000,4.51,4.58,4.5,4.5,2000,0
SYTA.US,60,20201001,200000,4.5,4.59,4.5,4.53,10400,0
SYTA.US,60,20201001,210000,4.51,4.51,4.43,4.43,3000,0
SYTA.US,60,20201001,220000,4.4464,4.54,4.42,4.53,20818,0
SYTA.US,60,20201002,170000,4.4,4.49,4.4,4.4,2800,0
SYTA.US,60,20201002,180000,4.395,4.395,4.39,4.39,202,0
SYTA.US,60,20201002,190000,4.39,4.46,4.39,4.46,800,0
SYTA.US,60,20201002,200000,4.41,4.43,4.4,4.4,3274,0
SYTA.US,60,20201002,210000,4.4,4.42,4.4,4.42,900,0
SYTA.US,60,20201002,220000,4.48,4.49,4.42,4.49,8054,0
SYTA.US,60,20201005,160000,4.35,4.445,4.35,4.445,600,0
SYTA.US,60,20201005,170000,4.41,4.485,4.34,4.34,4433,0
SYTA.US,60,20201005,180000,4.34,4.59,4.34,4.59,15297,0
SYTA.US,60,20201005,190000,4.56,4.58,4.55,4.55,1987,0
SYTA.US,60,20201005,200000,4.55,4.55,4.5,4.5,1900,0
SYTA.US,60,20201005,210000,4.5,4.6,4.5,4.5994,4736,0
SYTA.US,60,20201005,220000,4.51,4.6,4.47,4.53,7844,0
SYTA.US,60,20201006,160000,4.75,4.75,4.52,4.64,2721,0
SYTA.US,60,20201006,170000,4.65,4.9799,4.64,4.8,11656,0
SYTA.US,60,20201006,180000,4.9,5.05,4.88,5,41535,0
SYTA.US,60,20201006,190000,4.99,5,4.925,4.925,3600,0
SYTA.US,60,20201006,200000,4.95,5.025,4.94,5,24699,0
SYTA.US,60,20201006,210000,5,5.01,4.86,4.86,6552,0
SYTA.US,60,20201006,220000,4.86,4.86,4.6301,4.7,4736,0
SYTA.US,60,20201007,160000,4.79,4.85,4.79,4.85,582,0
SYTA.US,60,20201007,170000,4.82,4.85,4.76,4.76,2076,0
SYTA.US,60,20201007,180000,4.78,4.82,4.78,4.8047,1300,0
SYTA.US,60,20201007,190000,4.83,4.95,4.83,4.95,15343,0
SYTA.US,60,20201007,200000,4.95,5.05,4.84,4.84,11078,0
SYTA.US,60,20201007,210000,4.89,5.05,4.89,5.05,4570,0
SYTA.US,60,20201007,220000,4.99,5.05,4.99,5.05,8353,0
SYTA.US,60,20201008,160000,5.19,5.2,5,5.19,5404,0
SYTA.US,60,20201008,170000,5.18,5.25,5.1,5.15,21982,0
SYTA.US,60,20201008,180000,5.17,5.25,5.07,5.175,10660,0
SYTA.US,60,20201008,190000,5.1056,5.12,5.1056,5.12,1429,0
SYTA.US,60,20201008,200000,5.1069,5.115,4.93,5.1,7498,0
SYTA.US,60,20201008,210000,4.9301,5.0867,4.9301,4.9607,1534,0
SYTA.US,60,20201008,220000,5.0684,5.09,4.85,4.88,8300,0
SYTA.US,60,20201009,160000,5.08,5.08,4.69,4.8001,4774,0
SYTA.US,60,20201009,170000,4.6,5,4.6,5,4231,0
SYTA.US,60,20201009,180000,5.1,5.1,4.9001,4.9001,784,0
SYTA.US,60,20201009,190000,5,5,5,5,190,0
SYTA.US,60,20201009,220000,4.92,4.92,4.9,4.9028,3301,0
SYTA.US,60,20201012,160000,5.16,5.16,5.16,5.16,500,0
SYTA.US,60,20201012,170000,4.99,4.99,4.65,4.96,4702,0
SYTA.US,60,20201012,180000,4.65,4.88,4.65,4.88,200,0
SYTA.US,60,20201012,210000,4.8,4.8,4.75,4.75,1300,0
SYTA.US,60,20201012,220000,4.69,4.75,4.69,4.72,2837,0
SYTA.US,60,20201013,160000,4.8,4.9,4.8,4.9,2740,0
SYTA.US,60,20201013,170000,4.7872,4.85,4.7872,4.8438,7696,0
SYTA.US,60,20201013,180000,4.825,4.825,4.8,4.8,4474,0
SYTA.US,60,20201013,190000,4.8,4.85,4.7612,4.85,16337,0
SYTA.US,60,20201013,200000,4.9,5,4.9,4.95,21218,0
SYTA.US,60,20201013,210000,4.99,5,4.91,5,11300,0
SYTA.US,60,20201013,220000,4.98,5,4.85,5,5300,0
SYTA.US,60,20201014,160000,5.05,5.3,5,5.25,41534,0
SYTA.US,60,20201014,170000,5.25,5.5,5.05,5.3237,47545,0
SYTA.US,60,20201014,180000,5.275,5.4,5.25,5.4,16476,0
SYTA.US,60,20201014,190000,5.35,5.35,5.26,5.3,9458,0
SYTA.US,60,20201014,200000,5.275,5.275,5.25,5.25,7848,0
SYTA.US,60,20201014,210000,5.25,5.3,5.21,5.25,22898,0
SYTA.US,60,20201014,220000,5.21,5.26,5.2,5.26,4000,0
SYTA.US,60,20201015,160000,5.45,5.45,5.2,5.2,6609,0
SYTA.US,60,20201015,170000,5.2,5.38,5.2,5.25,13984,0
SYTA.US,60,20201015,180000,5.25,5.41,5.25,5.41,7003,0
SYTA.US,60,20201015,190000,5.32,5.333,5.28,5.3,3000,0
SYTA.US,60,20201015,200000,5.27,5.27,5.25,5.25,4703,0
SYTA.US,60,20201015,210000,5.25,5.31,5.22,5.31,7794,0
SYTA.US,60,20201015,220000,5.31,5.3102,5.25,5.25,4956,0
SYTA.US,60,20201016,160000,5.37,5.37,5.13,5.285,1150,0
SYTA.US,60,20201016,170000,5.145,5.35,5.08,5.08,7113,0
SYTA.US,60,20201016,180000,5.1,5.14,5.02,5.02,5038,0
SYTA.US,60,20201016,190000,5.02,5.02,4.93,4.93,1533,0
SYTA.US,60,20201016,200000,4.93,5,4.9201,5,1571,0
SYTA.US,60,20201016,210000,5,5,5,5,900,0
SYTA.US,60,20201016,220000,5,5.1,5,5.09,1800,0
SYTA.US,60,20201019,160000,5.1,5.1,5.1,5.1,2713,0
SYTA.US,60,20201019,170000,5.1,5.1,5.085,5.085,1338,0
SYTA.US,60,20201019,180000,5.09,5.09,5.08,5.08,800,0
SYTA.US,60,20201019,190000,5.08,5.08,5.04,5.045,902,0
SYTA.US,60,20201019,200000,5.045,5.07,5.045,5.07,400,0
SYTA.US,60,20201019,210000,5.07,5.07,4.9547,5.005,4330,0
SYTA.US,60,20201019,220000,5.005,5.08,5.005,5.08,3900,0
SYTA.US,60,20201020,160000,5.01,5.1263,5.01,5.01,2748,0
SYTA.US,60,20201020,170000,5.1,5.15,5.01,5.03,6360,0
SYTA.US,60,20201020,180000,5.1,5.1,5.01,5.05,3179,0
SYTA.US,60,20201020,190000,5.2,5.2,5.05,5.15,920,0
SYTA.US,60,20201020,200000,5.15,5.2,5.15,5.15,3643,0
SYTA.US,60,20201020,210000,5.11,5.1965,5.1,5.11,4017,0
SYTA.US,60,20201020,220000,5.12,5.19,5.07,5.1,10332,0
SYTA.US,60,20201021,160000,5.1,5.15,5.1,5.1,1589,0
SYTA.US,60,20201021,170000,5.08,5.15,5.08,5.15,2525,0
SYTA.US,60,20201021,180000,5.15,5.165,5.15,5.15,1203,0
