<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRMK.US,60,20200914,160000,22.137,22.478,22.019,22.412,12500,0
TRMK.US,60,20200914,170000,22.49,22.58,22.382,22.412,24090,0
TRMK.US,60,20200914,180000,22.422,22.48,22.363,22.402,10135,0
TRMK.US,60,20200914,190000,22.422,22.598,22.422,22.57,9614,0
TRMK.US,60,20200914,200000,22.58,22.598,22.422,22.442,10435,0
TRMK.US,60,20200914,210000,22.442,22.51,22.432,22.471,12128,0
TRMK.US,60,20200914,220000,22.471,22.53,22.412,22.461,60435,0
TRMK.US,60,20200915,160000,22.678,22.839,22.146,22.176,24374,0
TRMK.US,60,20200915,170000,22.245,22.53,22.245,22.48,12484,0
TRMK.US,60,20200915,180000,22.48,22.49,22.264,22.333,8911,0
TRMK.US,60,20200915,190000,22.299,22.422,22.284,22.323,10205,0
TRMK.US,60,20200915,200000,22.353,22.372,22.264,22.264,4980,0
TRMK.US,60,20200915,210000,22.255,22.323,22.225,22.255,10571,0
TRMK.US,60,20200915,220000,22.23,22.343,22.205,22.225,68567,0
TRMK.US,60,20200916,160000,22.127,22.274,22.097,22.176,6523,0
TRMK.US,60,20200916,170000,22.21,22.452,22.21,22.412,7392,0
TRMK.US,60,20200916,180000,22.393,22.608,22.393,22.52,8124,0
TRMK.US,60,20200916,190000,22.52,22.55,22.442,22.452,5514,0
TRMK.US,60,20200916,200000,22.442,22.49,22.402,22.422,5960,0
TRMK.US,60,20200916,210000,22.461,22.648,22.402,22.55,10235,0
TRMK.US,60,20200916,220000,22.56,22.56,22.314,22.363,98377,0
TRMK.US,60,20200917,160000,22.038,22.274,21.989,22.146,17077,0
TRMK.US,60,20200917,170000,22.186,22.314,22.186,22.205,16121,0
TRMK.US,60,20200917,180000,22.215,22.323,22.176,22.205,24767,0
TRMK.US,60,20200917,190000,22.205,22.284,22.127,22.274,12431,0
TRMK.US,60,20200917,200000,22.274,22.284,22.176,22.255,9312,0
TRMK.US,60,20200917,210000,22.264,22.314,22.205,22.205,6238,0
TRMK.US,60,20200917,220000,22.205,22.255,22.146,22.176,65272,0
TRMK.US,60,20200918,160000,22.461,22.54,21.979,21.999,125967,0
TRMK.US,60,20200918,170000,21.979,22.294,21.939,22.215,9517,0
TRMK.US,60,20200918,180000,22.195,22.215,22.029,22.048,8218,0
TRMK.US,60,20200918,190000,22.019,22.019,21.949,21.979,18600,0
TRMK.US,60,20200918,200000,21.979,22.048,21.901,22.019,9891,0
TRMK.US,60,20200918,210000,22.009,22.067,21.999,22.043,5706,0
TRMK.US,60,20200918,220000,22.057,22.137,21.901,22.029,51628,0
TRMK.US,60,20200921,160000,21.458,22.333,21.458,21.6,10050,0
TRMK.US,60,20200921,170000,21.625,21.733,21.418,21.428,13343,0
TRMK.US,60,20200921,180000,21.408,21.428,21.054,21.054,26162,0
TRMK.US,60,20200921,190000,21.025,21.064,20.729,20.749,26875,0
TRMK.US,60,20200921,200000,20.769,20.837,20.701,20.719,9492,0
TRMK.US,60,20200921,210000,20.691,20.813,20.641,20.729,32775,0
TRMK.US,60,20200921,220000,20.739,20.897,20.709,20.867,129475,0
TRMK.US,60,20200922,160000,20.877,21.172,20.739,20.789,13063,0
TRMK.US,60,20200922,170000,20.691,20.828,20.474,20.474,11864,0
TRMK.US,60,20200922,180000,20.493,20.553,20.336,20.336,15322,0
TRMK.US,60,20200922,190000,20.336,20.444,20.336,20.375,7041,0
TRMK.US,60,20200922,200000,20.366,20.523,20.316,20.503,10778,0
TRMK.US,60,20200922,210000,20.543,20.543,20.395,20.395,9463,0
TRMK.US,60,20200922,220000,20.385,20.483,20.366,20.425,88805,0
TRMK.US,60,20200923,160000,20.425,20.809,20.425,20.754,7503,0
TRMK.US,60,20200923,170000,20.759,20.779,20.483,20.621,27393,0
TRMK.US,60,20200923,180000,20.616,20.661,20.395,20.395,22155,0
TRMK.US,60,20200923,190000,20.38,20.454,20.336,20.395,20948,0
TRMK.US,60,20200923,200000,20.375,20.385,20.178,20.218,11181,0
TRMK.US,60,20200923,210000,20.208,20.208,19.942,19.987,29346,0
TRMK.US,60,20200923,220000,19.972,20.06,19.893,19.903,96015,0
TRMK.US,60,20200924,160000,19.932,20.07,19.775,19.884,5157,0
TRMK.US,60,20200924,170000,20.022,20.277,19.982,20.149,12958,0
TRMK.US,60,20200924,180000,20.168,20.198,19.952,20.159,10266,0
TRMK.US,60,20200924,190000,20.178,20.454,20.159,20.454,15374,0
TRMK.US,60,20200924,200000,20.444,20.611,20.439,20.553,29132,0
TRMK.US,60,20200924,210000,20.563,20.563,20.277,20.277,22110,0
TRMK.US,60,20200924,220000,20.248,20.336,20.168,20.258,70694,0
TRMK.US,60,20200925,160000,20.11,20.375,20.11,20.351,4660,0
TRMK.US,60,20200925,170000,20.351,20.548,20.336,20.434,12670,0
TRMK.US,60,20200925,180000,20.434,20.434,20.316,20.395,20206,0
TRMK.US,60,20200925,190000,20.405,20.553,20.405,20.538,8496,0
TRMK.US,60,20200925,200000,20.533,20.611,20.479,20.563,21004,0
TRMK.US,60,20200925,210000,20.582,20.611,20.523,20.591,12349,0
TRMK.US,60,20200925,220000,20.601,20.709,20.523,20.641,65136,0
TRMK.US,60,20200928,160000,20.946,21.28,20.936,21.035,9611,0
TRMK.US,60,20200928,170000,21.105,21.232,21.015,21.113,18317,0
TRMK.US,60,20200928,180000,21.128,21.172,21.044,21.162,6291,0
TRMK.US,60,20200928,190000,21.212,21.3,21.162,21.162,11566,0
TRMK.US,60,20200928,200000,21.152,21.192,21.064,21.094,6506,0
TRMK.US,60,20200928,210000,21.064,21.186,21.064,21.172,8402,0
TRMK.US,60,20200928,220000,21.192,21.202,21.044,21.074,62514,0
TRMK.US,60,20200929,160000,21.104,21.104,20.191,20.926,41723,0
TRMK.US,60,20200929,170000,20.917,21.035,20.739,20.759,15889,0
TRMK.US,60,20200929,180000,20.719,20.779,20.701,20.759,24882,0
TRMK.US,60,20200929,190000,20.749,20.917,20.724,20.847,17645,0
TRMK.US,60,20200929,200000,20.818,20.917,20.789,20.897,3670,0
TRMK.US,60,20200929,210000,20.902,21.005,20.887,20.936,6723,0
TRMK.US,60,20200929,220000,20.956,21.025,20.936,20.966,40834,0
TRMK.US,60,20200930,160000,20.897,21.28,20.828,21.123,7080,0
TRMK.US,60,20200930,170000,21.242,21.36,21.104,21.251,10099,0
TRMK.US,60,20200930,180000,21.242,21.27,21.074,21.128,13550,0
TRMK.US,60,20200930,190000,21.152,21.36,21.152,21.36,7404,0
TRMK.US,60,20200930,200000,21.32,21.33,21.222,21.222,5392,0
TRMK.US,60,20200930,210000,21.232,21.33,20.892,21.005,13862,0
TRMK.US,60,20200930,220000,21.025,21.104,20.867,21.064,77653,0
TRMK.US,60,20201001,160000,20.917,21.202,20.917,20.956,10824,0
TRMK.US,60,20201001,170000,20.985,20.985,20.709,20.709,14470,0
TRMK.US,60,20201001,180000,20.729,20.877,20.729,20.877,6634,0
TRMK.US,60,20201001,190000,20.857,21.084,20.809,21.025,9896,0
TRMK.US,60,20201001,200000,21.015,21.064,20.926,20.926,6255,0
TRMK.US,60,20201001,210000,20.941,21.015,20.789,21.005,8093,0
TRMK.US,60,20201001,220000,21.005,21.104,20.926,21.094,108476,0
TRMK.US,60,20201002,160000,21.054,21.378,21.025,21.084,6019,0
TRMK.US,60,20201002,170000,21.104,21.438,21.064,21.408,12763,0
TRMK.US,60,20201002,180000,21.388,21.645,21.388,21.595,10558,0
TRMK.US,60,20201002,190000,21.605,21.821,21.546,21.782,13509,0
TRMK.US,60,20201002,200000,21.812,21.812,21.546,21.595,5811,0
TRMK.US,60,20201002,210000,21.574,21.792,21.556,21.713,8723,0
TRMK.US,60,20201002,220000,21.718,21.851,21.694,21.743,64079,0
TRMK.US,60,20201005,160000,22.009,22.299,22.009,22.038,6564,0
TRMK.US,60,20201005,170000,22.038,22.372,21.949,22.372,10156,0
TRMK.US,60,20201005,180000,22.372,22.48,22.304,22.304,6833,0
TRMK.US,60,20201005,190000,22.323,22.323,22.205,22.23,3428,0
TRMK.US,60,20201005,200000,22.166,22.333,22.166,22.225,7406,0
TRMK.US,60,20201005,210000,22.225,22.348,22.225,22.323,12290,0
TRMK.US,60,20201005,220000,22.304,22.442,22.304,22.402,84615,0
TRMK.US,60,20201006,160000,22.717,22.717,22.452,22.51,11030,0
TRMK.US,60,20201006,170000,22.52,22.923,22.48,22.894,14969,0
TRMK.US,60,20201006,180000,22.845,23.101,22.845,23.002,23043,0
TRMK.US,60,20201006,190000,23.012,23.032,22.884,23.032,13372,0
TRMK.US,60,20201006,200000,23.081,23.121,22.983,23.041,37328,0
TRMK.US,60,20201006,210000,23.066,23.249,22.55,22.638,42838,0
TRMK.US,60,20201006,220000,22.698,22.698,22.294,22.343,97676,0
TRMK.US,60,20201007,160000,22.56,23.121,21.969,22.973,5371,0
TRMK.US,60,20201007,170000,22.864,23.101,22.746,22.855,11415,0
TRMK.US,60,20201007,180000,22.806,22.815,22.55,22.598,10578,0
TRMK.US,60,20201007,190000,22.575,22.707,22.57,22.628,5490,0
TRMK.US,60,20201007,200000,22.628,22.678,22.5,22.618,6920,0
TRMK.US,60,20201007,210000,22.648,22.825,22.638,22.736,7578,0
TRMK.US,60,20201007,220000,22.736,22.894,22.683,22.776,96099,0
TRMK.US,60,20201008,160000,22.943,22.993,22.746,22.914,12839,0
TRMK.US,60,20201008,170000,22.825,23.149,22.825,23.017,12952,0
TRMK.US,60,20201008,180000,22.973,23.04,22.766,22.83,16986,0
TRMK.US,60,20201008,190000,22.894,22.963,22.796,22.796,2706,0
TRMK.US,60,20201008,200000,22.835,22.953,22.825,22.953,7018,0
TRMK.US,60,20201008,210000,22.953,23.086,22.923,23.012,8017,0
TRMK.US,60,20201008,220000,22.973,23.051,22.923,22.973,51812,0
TRMK.US,60,20201009,160000,23.149,23.149,23.051,23.061,3559,0
TRMK.US,60,20201009,170000,23.012,23.061,22.598,22.653,22409,0
TRMK.US,60,20201009,180000,22.688,22.963,22.658,22.914,13137,0
TRMK.US,60,20201009,190000,22.831,22.943,22.776,22.933,10815,0
TRMK.US,60,20201009,200000,22.904,22.904,22.825,22.864,14857,0
TRMK.US,60,20201009,210000,22.84,22.884,22.761,22.801,11631,0
TRMK.US,60,20201009,220000,22.756,22.806,22.618,22.688,56836,0
TRMK.US,60,20201012,160000,22.58,22.923,22.57,22.923,8520,0
TRMK.US,60,20201012,170000,22.973,23.169,22.914,23.091,12394,0
TRMK.US,60,20201012,180000,23.13,23.267,23.13,23.209,8748,0
TRMK.US,60,20201012,190000,23.209,23.209,23.051,23.071,7067,0
TRMK.US,60,20201012,200000,23.061,23.081,23.032,23.081,3850,0
TRMK.US,60,20201012,210000,23.121,23.189,23.012,23.189,10372,0
TRMK.US,60,20201012,220000,23.209,23.327,23.169,23.267,64068,0
TRMK.US,60,20201013,160000,23.002,23.14,22.726,22.909,5901,0
TRMK.US,60,20201013,170000,23.002,23.061,22.628,22.648,7408,0
TRMK.US,60,20201013,180000,22.618,22.698,22.57,22.678,10619,0
TRMK.US,60,20201013,190000,22.717,22.825,22.608,22.806,5284,0
TRMK.US,60,20201013,200000,22.815,22.864,22.717,22.776,12089,0
TRMK.US,60,20201013,210000,22.756,22.835,22.58,22.608,12937,0
TRMK.US,60,20201013,220000,22.598,22.707,22.57,22.58,68464,0
TRMK.US,60,20201014,160000,22.751,22.811,22.56,22.736,5082,0
TRMK.US,60,20201014,170000,22.54,22.608,22.427,22.51,4621,0
TRMK.US,60,20201014,180000,22.442,22.5,22.343,22.432,6676,0
TRMK.US,60,20201014,190000,22.471,22.51,22.397,22.466,4473,0
TRMK.US,60,20201014,200000,22.478,22.58,22.422,22.442,7453,0
TRMK.US,60,20201014,210000,22.412,22.412,22.323,22.323,4046,0
TRMK.US,60,20201014,220000,22.333,22.372,22.156,22.176,41934,0
TRMK.US,60,20201015,160000,21.959,22.215,21.959,22.215,7600,0
TRMK.US,60,20201015,170000,22.235,22.402,22.195,22.333,14857,0
TRMK.US,60,20201015,180000,22.353,22.598,22.333,22.54,8288,0
TRMK.US,60,20201015,190000,22.5,22.668,22.432,22.668,4515,0
TRMK.US,60,20201015,200000,22.608,22.756,22.58,22.698,10564,0
TRMK.US,60,20201015,210000,22.717,22.746,22.658,22.726,8353,0
TRMK.US,60,20201015,220000,22.736,22.736,22.58,22.698,54959,0
TRMK.US,60,20201016,160000,22.52,23.051,22.422,22.513,3350,0
TRMK.US,60,20201016,170000,22.382,22.55,22.294,22.52,7265,0
TRMK.US,60,20201016,180000,22.55,22.756,22.54,22.702,6531,0
TRMK.US,60,20201016,190000,22.663,22.668,22.422,22.56,7414,0
TRMK.US,60,20201016,200000,22.565,22.575,22.49,22.55,10266,0
TRMK.US,60,20201016,210000,22.557,22.618,22.52,22.56,5419,0
TRMK.US,60,20201016,220000,22.55,22.608,22.48,22.57,22969,0
TRMK.US,60,20201019,160000,22.59,22.884,22.56,22.884,14929,0
TRMK.US,60,20201019,170000,22.815,22.815,22.663,22.815,3823,0
TRMK.US,60,20201019,180000,22.829,22.829,22.648,22.731,5410,0
TRMK.US,60,20201019,190000,22.707,22.726,22.648,22.653,4632,0
TRMK.US,60,20201019,200000,22.658,22.756,22.638,22.726,2692,0
TRMK.US,60,20201019,210000,22.707,22.717,22.55,22.55,4509,0
TRMK.US,60,20201019,220000,22.52,22.56,22.412,22.452,47050,0
TRMK.US,60,20201020,160000,22.688,23.101,22.678,23.032,4869,0
TRMK.US,60,20201020,170000,23.022,23.121,22.943,23.071,12420,0
TRMK.US,60,20201020,180000,23.022,23.071,22.914,22.993,4895,0
TRMK.US,60,20201020,190000,22.983,23.159,22.825,23.159,19259,0
TRMK.US,60,20201020,200000,23.209,23.249,23.071,23.091,22590,0
TRMK.US,60,20201020,210000,23.076,23.14,22.983,22.983,8657,0
TRMK.US,60,20201020,220000,22.973,23.002,22.806,22.914,22274,0
TRMK.US,60,20201021,160000,22.894,23.386,22.874,23.277,7754,0
TRMK.US,60,20201021,170000,23.195,23.297,23.121,23.13,6044,0
TRMK.US,60,20201021,180000,23.091,23.327,23.091,23.214,7294,0
TRMK.US,60,20201021,190000,23.239,23.327,23.14,23.14,7203,0
TRMK.US,60,20201021,200000,23.209,23.229,23.086,23.174,4119,0
TRMK.US,60,20201021,210000,23.199,23.317,23.189,23.239,7159,0
TRMK.US,60,20201021,220000,23.199,23.249,22.983,23.14,73544,0
TRMK.US,60,20201022,160000,23.189,23.543,23.189,23.543,3857,0
TRMK.US,60,20201022,170000,23.484,23.818,23.484,23.818,16673,0
TRMK.US,60,20201022,180000,23.828,23.838,23.699,23.699,11886,0
TRMK.US,60,20201022,190000,23.75,23.868,23.642,23.785,7709,0
TRMK.US,60,20201022,200000,23.809,23.927,23.76,23.927,5892,0
TRMK.US,60,20201022,210000,23.927,24.026,23.894,23.946,12288,0
TRMK.US,60,20201022,220000,23.946,24.065,23.878,24.006,76929,0
TRMK.US,60,20201023,160000,24.193,24.577,24.193,24.276,3953,0
TRMK.US,60,20201023,170000,24.409,24.409,24.031,24.031,8843,0
TRMK.US,60,20201023,180000,23.927,24.114,23.848,24.055,2743,0
TRMK.US,60,20201023,190000,24.055,24.055,23.823,23.833,4644,0
TRMK.US,60,20201023,200000,23.858,24.153,23.8,24.045,18614,0
TRMK.US,60,20201023,210000,24.016,24.124,24.006,24.124,14757,0
TRMK.US,60,20201023,220000,24.124,24.134,23.986,24.055,34635,0
TRMK.US,60,20201026,150000,23.671,23.765,23.455,23.765,5288,0
TRMK.US,60,20201026,160000,23.676,23.79,23.514,23.514,7869,0
TRMK.US,60,20201026,170000,23.632,23.71,23.514,23.558,9436,0
TRMK.US,60,20201026,180000,23.558,23.79,23.509,23.755,25801,0
TRMK.US,60,20201026,190000,23.76,23.76,23.553,23.632,14932,0
TRMK.US,60,20201026,200000,23.671,23.868,23.671,23.78,16955,0
TRMK.US,60,20201026,210000,23.75,23.927,23.74,23.908,33355,0
TRMK.US,60,20201027,150000,23.888,23.986,23.691,23.986,16312,0
TRMK.US,60,20201027,160000,23.946,23.986,23.524,23.563,20577,0
TRMK.US,60,20201027,170000,23.553,23.642,23.362,23.504,21372,0
TRMK.US,60,20201027,180000,23.494,23.592,23.484,23.534,7082,0
TRMK.US,60,20201027,190000,23.543,23.56,23.425,23.46,7339,0
TRMK.US,60,20201027,200000,23.435,23.494,23.376,23.405,7643,0
TRMK.US,60,20201027,210000,23.415,23.445,23.169,23.199,68714,0
TRMK.US,60,20201028,150000,22.776,23.735,22.776,23.445,20458,0
TRMK.US,60,20201028,160000,23.391,23.391,22.973,23.051,30178,0
TRMK.US,60,20201028,170000,23.101,23.267,23.027,23.224,22769,0
TRMK.US,60,20201028,180000,23.239,23.258,22.855,22.943,31292,0
TRMK.US,60,20201028,190000,22.919,22.92,22.678,22.796,27259,0
TRMK.US,60,20201028,200000,22.776,22.904,22.56,22.845,25895,0
TRMK.US,60,20201028,210000,22.825,22.874,22.53,22.58,157515,0
TRMK.US,60,20201029,150000,22.52,22.943,22.245,22.766,8108,0
TRMK.US,60,20201029,160000,22.835,22.973,22.52,22.815,8630,0
TRMK.US,60,20201029,170000,22.766,22.766,22.461,22.608,11125,0
TRMK.US,60,20201029,180000,22.58,22.598,22.363,22.422,7042,0
TRMK.US,60,20201029,190000,22.422,22.756,22.314,22.751,12824,0
TRMK.US,60,20201029,200000,22.736,22.884,22.688,22.825,12959,0
TRMK.US,60,20201029,210000,22.823,22.894,22.678,22.766,69341,0
TRMK.US,60,20201030,150000,22.688,23.239,22.628,23.14,8720,0
TRMK.US,60,20201030,160000,23.14,23.169,22.796,22.806,8689,0
TRMK.US,60,20201030,170000,22.825,23.091,22.781,23.061,13186,0
TRMK.US,60,20201030,180000,23.022,23.101,22.919,22.993,14750,0
TRMK.US,60,20201030,190000,22.978,23.022,22.835,22.983,23982,0
TRMK.US,60,20201030,200000,23.022,23.149,22.874,22.953,14624,0
TRMK.US,60,20201030,210000,22.953,23.032,22.825,23.032,55229,0
TRMK.US,60,20201102,160000,23.337,23.893,23.046,23.046,19292,0
TRMK.US,60,20201102,170000,23.13,23.209,22.825,23.081,17454,0
TRMK.US,60,20201102,180000,23.13,23.405,23.086,23.282,9799,0
TRMK.US,60,20201102,190000,23.267,23.415,23.121,23.209,8648,0
TRMK.US,60,20201102,200000,23.209,23.277,23.14,23.199,10100,0
TRMK.US,60,20201102,210000,23.199,23.563,23.189,23.396,31740,0
TRMK.US,60,20201102,220000,23.391,23.475,23.258,23.391,119322,0
TRMK.US,60,20201103,160000,23.898,24.252,23.731,24.045,14085,0
TRMK.US,60,20201103,170000,24.045,24.153,23.809,24.114,10436,0
TRMK.US,60,20201103,180000,24.168,24.261,23.966,24.079,12614,0
TRMK.US,60,20201103,190000,24.079,24.099,23.696,23.696,11714,0
TRMK.US,60,20201103,200000,23.73,23.775,23.662,23.681,15073,0
