<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TUGCW.US,60,20210629,170000,0.9,0.9,0.8999,0.8999,200,0
TUGCW.US,60,20210629,190000,0.899899,0.899899,0.899899,0.899899,100,0
TUGCW.US,60,20210630,220000,0.877762,0.899,0.877762,0.899,810,0
TUGCW.US,60,20210701,170000,1.1,1.1,1.1,1.1,100,0
TUGCW.US,60,20210702,160000,1.01,1.02,0.9386,0.9386,310,0
TUGCW.US,60,20210702,210000,0.700001,0.7001,0.7,0.7,2600,0
TUGCW.US,60,20210706,170000,0.85,0.85,0.7995,0.8,1200,0
TUGCW.US,60,20210706,180000,0.8,0.8,0.8,0.8,100,0
TUGCW.US,60,20210706,200000,0.9585,2.35,0.9585,2.3,34790,0
TUGCW.US,60,20210706,210000,2.3,2.3,0.760001,0.9,6436,0
TUGCW.US,60,20210706,220000,0.9,0.92,0.86,0.9,6868,0
TUGCW.US,60,20210707,210000,0.8,0.8,0.8,0.8,2000,0
TUGCW.US,60,20210707,220000,0.85,0.85,0.85,0.85,100,0
TUGCW.US,60,20210709,160000,0.95,0.95,0.95,0.95,100,0
TUGCW.US,60,20210709,170000,0.8601,0.8601,0.8601,0.8601,100,0
