<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USAU.US,60,20200914,160000,12.1,12.1,11.9,11.9,7593,0
USAU.US,60,20200914,170000,11.9,11.92,11.73,11.75,7286,0
USAU.US,60,20200914,180000,11.7493,11.9364,11.54,11.62,23870,0
USAU.US,60,20200914,190000,11.59,11.64,11.4,11.42,11927,0
USAU.US,60,20200914,200000,11.5,11.64,11.5,11.6026,5904,0
USAU.US,60,20200914,210000,11.65,11.73,11.63,11.705,4442,0
USAU.US,60,20200914,220000,11.69,11.69,11.46,11.57,9443,0
USAU.US,60,20200915,160000,11.86,11.86,11.46,11.53,10714,0
USAU.US,60,20200915,170000,11.49,11.57,11.31,11.35,11779,0
USAU.US,60,20200915,180000,11.35,11.55,11.33,11.38,15456,0
USAU.US,60,20200915,190000,11.4178,11.54,11.4178,11.54,1396,0
USAU.US,60,20200915,200000,11.53,11.68,11.53,11.68,600,0
USAU.US,60,20200915,210000,11.63,11.63,11.54,11.54,1050,0
USAU.US,60,20200915,220000,11.46,11.5399,11.23,11.4,13011,0
USAU.US,60,20200916,160000,11.38,11.4792,11.29,11.29,7329,0
USAU.US,60,20200916,170000,11.32,11.46,11.32,11.46,2992,0
USAU.US,60,20200916,180000,11.48,11.73,11.48,11.65,7989,0
USAU.US,60,20200916,190000,11.66,11.89,11.63,11.89,16556,0
USAU.US,60,20200916,200000,11.9,11.959,11.7,11.74,8918,0
USAU.US,60,20200916,210000,11.8499,11.98,11.8,11.81,5106,0
USAU.US,60,20200916,220000,11.86,11.8702,11.6,11.6,20185,0
USAU.US,60,20200917,160000,11.46,11.485,11.06,11.34,15885,0
USAU.US,60,20200917,170000,11.35,11.5,11.23,11.23,4242,0
USAU.US,60,20200917,180000,11.34,11.45,11.27,11.27,1214,0
USAU.US,60,20200917,190000,11.32,11.37,11.27,11.33,1339,0
USAU.US,60,20200917,200000,11.35,11.43,11.33,11.37,2649,0
USAU.US,60,20200917,210000,11.32,11.32,11.2,11.29,7761,0
USAU.US,60,20200917,220000,11.33,11.37,11.2,11.21,7567,0
USAU.US,60,20200918,160000,11.17,11.1929,11.1,11.1,1801,0
USAU.US,60,20200918,170000,11.14,11.19,11.08,11.08,4291,0
USAU.US,60,20200918,180000,11.057,11.146,11.01,11.1,5049,0
USAU.US,60,20200918,190000,11.11,11.12,11.0401,11.1,1734,0
USAU.US,60,20200918,200000,11.075,11.075,10.7599,11.0678,9989,0
USAU.US,60,20200918,210000,11.01,11.01,10.79,10.79,4161,0
USAU.US,60,20200918,220000,10.84,10.84,10.6,10.6,12569,0
USAU.US,60,20200921,160000,10.65,10.7,10.41,10.53,18167,0
USAU.US,60,20200921,170000,10.505,10.59,10.27,10.41,22995,0
USAU.US,60,20200921,180000,10.4,10.46,10.26,10.3,12106,0
USAU.US,60,20200921,190000,10.335,10.4,10.335,10.4,802,0
USAU.US,60,20200921,200000,10.42,10.43,10.21,10.21,13977,0
USAU.US,60,20200921,210000,10.2719,10.32,10.2,10.2,6049,0
USAU.US,60,20200921,220000,10.22,10.27,10.2,10.2,11776,0
USAU.US,60,20200922,160000,10.2,10.275,9.76,9.76,21356,0
USAU.US,60,20200922,170000,9.8,10.13,9.78,9.9805,14748,0
USAU.US,60,20200922,180000,9.92,9.92,9.8,9.855,12607,0
USAU.US,60,20200922,190000,9.88,9.94,9.85,9.85,6398,0
USAU.US,60,20200922,200000,9.8,9.8309,9.69,9.8,15215,0
USAU.US,60,20200922,210000,9.85,9.8667,9.7199,9.7199,2412,0
USAU.US,60,20200922,220000,9.76,9.83,9.74,9.74,3758,0
USAU.US,60,20200923,160000,9.57,9.61,9.38,9.41,12640,0
USAU.US,60,20200923,170000,9.3286,9.3286,9.11,9.155,16754,0
USAU.US,60,20200923,180000,9.1659,9.32,9.1659,9.23,7163,0
USAU.US,60,20200923,190000,9.255,9.3,9.2,9.2,4869,0
USAU.US,60,20200923,200000,9.2266,9.32,9.2,9.22,3830,0
USAU.US,60,20200923,210000,9.23,9.23,9.02,9.07,6330,0
USAU.US,60,20200923,220000,9.054,9.2,8.98,9.06,12129,0
USAU.US,60,20200924,160000,8.77,8.8825,8.12,8.8825,42559,0
USAU.US,60,20200924,170000,9,9.45,9,9.1894,16027,0
USAU.US,60,20200924,180000,9.24,9.48,9.2334,9.42,4411,0
USAU.US,60,20200924,190000,9.428,9.5,9.39,9.48,2316,0
USAU.US,60,20200924,200000,9.56,9.68,9.52,9.58,3413,0
USAU.US,60,20200924,210000,9.5531,9.61,9.4401,9.4401,1120,0
USAU.US,60,20200924,220000,9.51,9.63,9.505,9.51,1812,0
USAU.US,60,20200925,160000,9.53,9.54,9.1103,9.2,13245,0
USAU.US,60,20200925,170000,9.1887,9.2393,8.8,9.2393,13338,0
USAU.US,60,20200925,180000,9.25,9.29,9.06,9.06,1865,0
USAU.US,60,20200925,190000,9.0601,9.08,9.01,9.08,3664,0
USAU.US,60,20200925,200000,9.1344,9.1999,9.098,9.15,2850,0
USAU.US,60,20200925,210000,9.13,9.375,9.13,9.2438,5825,0
USAU.US,60,20200925,220000,9.25,9.32,9.2,9.2,8199,0
USAU.US,60,20200928,160000,9.35,9.4894,9.35,9.415,7940,0
USAU.US,60,20200928,170000,9.4059,9.49,9.4001,9.49,1150,0
USAU.US,60,20200928,180000,9.39,9.4506,9.39,9.41,2800,0
USAU.US,60,20200928,190000,9.44,9.62,9.44,9.62,3080,0
USAU.US,60,20200928,200000,9.77,9.77,9.64,9.695,1800,0
USAU.US,60,20200928,210000,9.62,9.7599,9.5,9.51,3582,0
USAU.US,60,20200928,220000,9.52,9.54,9.48,9.54,1173,0
USAU.US,60,20200929,160000,9.47,9.6101,9.4,9.6101,1857,0
USAU.US,60,20200929,170000,9.595,9.7469,9.55,9.55,3803,0
USAU.US,60,20200929,180000,9.451,9.57,9.425,9.425,5025,0
USAU.US,60,20200929,190000,9.3863,9.41,9.27,9.4,4175,0
USAU.US,60,20200929,200000,9.445,9.56,9.445,9.46,3575,0
USAU.US,60,20200929,210000,9.46,9.46,9.35,9.35,9310,0
USAU.US,60,20200929,220000,9.36,9.38,9.18,9.27,6461,0
USAU.US,60,20200930,160000,9.21,9.32,9.21,9.29,2297,0
USAU.US,60,20200930,170000,9.3,9.45,9.29,9.45,3112,0
USAU.US,60,20200930,180000,9.41,9.5029,9.395,9.395,1779,0
USAU.US,60,20200930,190000,9.32,9.32,9.3,9.31,1017,0
USAU.US,60,20200930,200000,9.28,9.28,9.15,9.225,5150,0
USAU.US,60,20200930,210000,9.25,9.25,9.23,9.23,650,0
USAU.US,60,20200930,220000,9.169,9.26,9.14,9.2,4723,0
USAU.US,60,20201001,160000,9.19,9.23,9.15,9.15,3592,0
USAU.US,60,20201001,170000,9.064,9.1096,9.05,9.0827,5095,0
USAU.US,60,20201001,180000,9.065,9.09,8.9,9.08,7025,0
USAU.US,60,20201001,190000,9.06,9.065,8.96,9.05,4735,0
USAU.US,60,20201001,200000,9.01,9.06,8.95,9.0173,2848,0
USAU.US,60,20201001,210000,9.0396,9.07,8.92,8.97,5605,0
USAU.US,60,20201001,220000,8.9105,8.925,8.75,8.84,14354,0
USAU.US,60,20201002,160000,8.72,8.84,8.65,8.84,5286,0
USAU.US,60,20201002,170000,8.95,9.05,8.91,8.91,1504,0
USAU.US,60,20201002,180000,8.9,8.97,8.85,8.9,1105,0
USAU.US,60,20201002,190000,8.86,8.87,8.75,8.75,2182,0
USAU.US,60,20201002,200000,8.83,8.83,8.65,8.73,5661,0
USAU.US,60,20201002,210000,8.88,8.89,8.7814,8.8027,4300,0
USAU.US,60,20201002,220000,8.88,8.93,8.8,8.8,5335,0
