<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTSI.US,60,20200914,160000,3.86,3.875,3.8101,3.8101,1875,0
VTSI.US,60,20200914,170000,3.8,3.88,3.8,3.88,200,0
VTSI.US,60,20200914,180000,3.8366,3.86,3.83,3.86,2798,0
VTSI.US,60,20200914,190000,3.861,4,3.86,3.95,3097,0
VTSI.US,60,20200914,200000,3.95,3.96,3.95,3.96,400,0
VTSI.US,60,20200914,210000,3.93,3.95,3.91,3.95,900,0
VTSI.US,60,20200914,220000,3.96,3.97,3.9,3.97,3680,0
VTSI.US,60,20200915,160000,3.83,3.85,3.83,3.85,200,0
VTSI.US,60,20200915,170000,3.84,4.01,3.83,4.01,3050,0
VTSI.US,60,20200915,180000,3.985,3.985,3.985,3.985,200,0
VTSI.US,60,20200915,190000,4,4.18,3.98,4.04,42085,0
VTSI.US,60,20200915,200000,4.03,4.05,4,4.05,1600,0
VTSI.US,60,20200915,210000,4.05,4.05,4.04,4.04,500,0
VTSI.US,60,20200915,220000,4.01,4.05,4,4.05,5218,0
VTSI.US,60,20200916,160000,4.17,4.17,4.13,4.1454,1268,0
VTSI.US,60,20200916,170000,4.14,4.2,4.11,4.12,47458,0
VTSI.US,60,20200916,180000,4.12,4.12,4,4,4542,0
VTSI.US,60,20200916,190000,4.01,4.01,4.01,4.01,300,0
VTSI.US,60,20200916,200000,4,4.0584,4,4,600,0
VTSI.US,60,20200916,210000,4.12,4.12,4.12,4.12,100,0
VTSI.US,60,20200916,220000,4.04,4.09,3.95,3.95,11577,0
VTSI.US,60,20200917,170000,3.91,3.91,3.91,3.91,100,0
VTSI.US,60,20200917,180000,4.025,4.035,3.81,3.865,2363,0
VTSI.US,60,20200917,190000,3.865,3.8729,3.75,3.75,5147,0
VTSI.US,60,20200917,200000,3.795,3.865,3.71,3.76,12809,0
VTSI.US,60,20200917,210000,3.75,3.83,3.72,3.72,7525,0
VTSI.US,60,20200917,220000,3.73,3.785,3.51,3.53,41949,0
VTSI.US,60,20200918,160000,3.6,3.8281,3.6,3.64,2451,0
