<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAFU.US,60,20200914,160000,3.281,3.281,3.1202,3.2002,1750,0
WAFU.US,60,20200914,170000,3.24,3.29,3.1765,3.29,6566,0
WAFU.US,60,20200914,180000,3.3101,3.7089,3.25,3.56,48634,0
WAFU.US,60,20200914,190000,3.56,3.57,3.4001,3.4673,5355,0
WAFU.US,60,20200914,200000,3.4662,3.4662,3.32,3.32,2619,0
WAFU.US,60,20200914,210000,3.3465,3.5,3.3,3.36,4361,0
WAFU.US,60,20200914,220000,3.38,3.4452,3.23,3.23,9174,0
WAFU.US,60,20200915,160000,3.26,3.35,3.2502,3.34,3268,0
WAFU.US,60,20200915,170000,3.3988,3.49,3.31,3.34,2982,0
WAFU.US,60,20200915,180000,3.3799,3.3799,3.295,3.3236,4090,0
WAFU.US,60,20200915,190000,3.29,3.35,3.2194,3.3431,12116,0
WAFU.US,60,20200915,200000,3.3147,3.34,3.3147,3.33,1770,0
WAFU.US,60,20200915,210000,3.31,3.3492,3.25,3.25,4577,0
WAFU.US,60,20200915,220000,3.3299,3.3299,3.26,3.27,933,0
WAFU.US,60,20200916,160000,3.26,3.37,3.03,3.37,6985,0
WAFU.US,60,20200916,170000,3.26,3.32,3.22,3.22,1100,0
WAFU.US,60,20200916,180000,3.2825,3.2825,3.2825,3.2825,100,0
WAFU.US,60,20200916,200000,3.26,3.2953,3.2066,3.2927,1891,0
WAFU.US,60,20200916,210000,3.235,3.2949,3.2,3.245,4199,0
WAFU.US,60,20200916,220000,3.2001,3.2895,3.2001,3.24,2827,0
WAFU.US,60,20200917,160000,3.19,3.25,3.1636,3.2275,4561,0
WAFU.US,60,20200917,170000,3.206,3.21,3.14,3.2026,3268,0
WAFU.US,60,20200917,180000,3.185,3.27,3.185,3.27,5800,0
WAFU.US,60,20200917,190000,3.2513,3.2887,3.24,3.2625,3580,0
WAFU.US,60,20200917,200000,3.27,3.27,3.26,3.26,300,0
WAFU.US,60,20200917,210000,3.2741,3.2741,3.2741,3.2741,100,0
WAFU.US,60,20200917,220000,3.265,3.3,3.2615,3.29,1232,0
WAFU.US,60,20200918,160000,3.24,3.315,3.24,3.315,205,0
WAFU.US,60,20200918,170000,3.35,3.48,3.2738,3.36,6059,0
WAFU.US,60,20200918,180000,3.37,3.39,3.34,3.359,4605,0
WAFU.US,60,20200918,190000,3.2763,3.2911,3.2763,3.2911,1500,0
WAFU.US,60,20200918,200000,3.3101,3.35,3.3,3.3,1401,0
WAFU.US,60,20200918,210000,3.3,3.31,3.21,3.245,7839,0
WAFU.US,60,20200918,220000,3.23,3.3,3.23,3.3,1288,0
WAFU.US,60,20200921,160000,3.27,3.3557,3.1016,3.14,3089,0
WAFU.US,60,20200921,170000,3.14,3.2806,3.14,3.2,724,0
WAFU.US,60,20200921,190000,3.13,3.1787,3.12,3.1448,2743,0
WAFU.US,60,20200921,200000,3.12,3.1337,3.08,3.12,8103,0
WAFU.US,60,20200921,210000,3.11,3.11,3.05,3.08,3790,0
WAFU.US,60,20200921,220000,3.0501,3.109,3.03,3.07,4547,0
WAFU.US,60,20200922,160000,3.22,3.22,3.21,3.21,400,0
WAFU.US,60,20200922,170000,3.171,3.171,3.1095,3.15,2825,0
WAFU.US,60,20200922,180000,3.11,3.1299,2.85,3.0742,22529,0
WAFU.US,60,20200922,190000,3.05,3.0788,3.01,3.05,4187,0
WAFU.US,60,20200922,200000,3.0851,3.0851,3.0851,3.0851,200,0
WAFU.US,60,20200922,210000,3.0448,3.0473,2.9544,2.98,9751,0
WAFU.US,60,20200922,220000,2.98,3,2.96,3,8006,0
WAFU.US,60,20200923,160000,3.25,3.25,2.9341,2.99,1810,0
