<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WEYS.US,60,20200914,160000,17.292,17.292,17.076,17.076,1114,0
WEYS.US,60,20200914,180000,17.068,17.068,17.008,17.028,3154,0
WEYS.US,60,20200914,190000,17.008,17.008,16.862,16.882,5161,0
WEYS.US,60,20200914,200000,16.833,16.833,16.833,16.833,307,0
WEYS.US,60,20200914,210000,16.867,16.921,16.867,16.921,205,0
WEYS.US,60,20200914,220000,16.774,16.999,16.774,16.97,4933,0
WEYS.US,60,20200915,160000,17.106,17.106,16.758,16.758,1038,0
WEYS.US,60,20200915,180000,16.94,16.94,16.823,16.823,1638,0
WEYS.US,60,20200915,190000,16.793,16.793,16.793,16.793,102,0
WEYS.US,60,20200915,200000,16.843,16.843,16.843,16.843,205,0
WEYS.US,60,20200915,210000,16.803,16.803,16.784,16.784,409,0
WEYS.US,60,20200915,220000,16.755,16.833,16.755,16.755,1498,0
WEYS.US,60,20200916,160000,16.901,16.901,16.774,16.859,2454,0
WEYS.US,60,20200916,170000,16.803,16.803,16.803,16.803,1550,0
WEYS.US,60,20200916,180000,16.911,16.911,16.911,16.911,102,0
WEYS.US,60,20200916,190000,16.886,16.886,16.886,16.886,102,0
WEYS.US,60,20200916,200000,16.93,16.95,16.93,16.95,715,0
WEYS.US,60,20200916,210000,16.97,17.038,16.902,16.921,1961,0
WEYS.US,60,20200916,220000,16.862,16.862,16.774,16.774,4707,0
WEYS.US,60,20200917,160000,16.755,16.755,16.755,16.755,326,0
WEYS.US,60,20200917,180000,16.852,16.852,16.852,16.852,205,0
WEYS.US,60,20200917,190000,16.93,16.989,16.921,16.989,818,0
WEYS.US,60,20200917,200000,16.996,17.096,16.996,17.068,880,0
WEYS.US,60,20200917,210000,17.096,17.096,17.063,17.096,1181,0
WEYS.US,60,20200917,220000,17.119,17.214,17.058,17.214,1034,0
WEYS.US,60,20200918,160000,17.263,17.263,17.263,17.263,8099,0
WEYS.US,60,20200918,180000,17.179,17.179,17.179,17.179,102,0
WEYS.US,60,20200918,200000,17.068,17.068,16.813,16.889,3201,0
WEYS.US,60,20200918,210000,16.682,16.687,16.627,16.662,511,0
WEYS.US,60,20200918,220000,16.662,16.765,16.627,16.637,12290,0
WEYS.US,60,20200921,160000,16.618,16.618,16.227,16.227,3248,0
WEYS.US,60,20200921,170000,16.207,16.207,15.733,15.758,2494,0
WEYS.US,60,20200921,180000,15.728,15.765,15.347,15.765,4635,0
WEYS.US,60,20200921,190000,15.631,15.631,15.582,15.582,1023,0
WEYS.US,60,20200921,200000,15.445,15.592,15.397,15.592,2867,0
WEYS.US,60,20200921,210000,15.531,15.533,15.504,15.533,1161,0
WEYS.US,60,20200921,220000,15.514,15.514,15.299,15.407,4984,0
WEYS.US,60,20200922,160000,15.485,15.485,15.485,15.485,154,0
WEYS.US,60,20200922,170000,15.582,15.68,15.582,15.68,1119,0
WEYS.US,60,20200922,180000,15.553,15.553,14.966,15.064,2745,0
WEYS.US,60,20200922,190000,15.133,15.191,15.123,15.191,851,0
WEYS.US,60,20200922,200000,15.162,15.445,15.162,15.445,614,0
WEYS.US,60,20200922,210000,15.509,15.572,15.45,15.45,1075,0
WEYS.US,60,20200922,220000,15.407,15.445,15.201,15.201,4363,0
WEYS.US,60,20200923,160000,15.319,15.319,15.162,15.162,2448,0
WEYS.US,60,20200923,170000,15.26,15.26,15.045,15.045,443,0
WEYS.US,60,20200923,180000,15.026,15.104,14.898,14.898,2746,0
WEYS.US,60,20200923,190000,14.82,14.948,14.82,14.948,2847,0
WEYS.US,60,20200923,200000,14.874,14.928,14.874,14.879,309,0
WEYS.US,60,20200923,210000,14.82,14.83,14.82,14.83,717,0
WEYS.US,60,20200923,220000,14.801,14.966,14.781,14.879,3825,0
WEYS.US,60,20200924,160000,14.903,14.903,14.903,14.903,102,0
WEYS.US,60,20200924,170000,14.941,14.962,14.859,14.859,512,0
WEYS.US,60,20200924,190000,14.938,14.976,14.938,14.976,205,0
WEYS.US,60,20200924,200000,15.309,15.319,15.221,15.269,725,0
WEYS.US,60,20200924,210000,15.114,15.114,15.114,15.114,102,0
WEYS.US,60,20200924,220000,14.943,14.966,14.898,14.898,1452,0
WEYS.US,60,20200925,160000,14.791,15.216,14.791,15.094,937,0
WEYS.US,60,20200925,180000,14.948,14.986,14.948,14.986,205,0
WEYS.US,60,20200925,200000,15.045,15.045,15.045,15.045,205,0
