<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WILC.US,60,20200914,170000,19.36,19.36,19.36,19.36,200,0
WILC.US,60,20200914,180000,19.7,19.7,19.42,19.42,403,0
WILC.US,60,20200915,160000,19.42,19.7,19.12,19.12,1062,0
WILC.US,60,20200916,190000,19.01,19.0101,18.84,18.84,400,0
WILC.US,60,20200916,200000,18.84,18.9305,18.3,18.77,530,0
WILC.US,60,20200916,210000,18.75,18.75,18.75,18.75,100,0
WILC.US,60,20200917,170000,18.31,19.74,18.31,19.62,950,0
WILC.US,60,20200917,180000,19.446,19.7,19.446,19.642,600,0
WILC.US,60,20200917,190000,18.9775,19.7,18.9775,19.655,2870,0
WILC.US,60,20200918,160000,19.5071,19.5071,19.5071,19.5071,250,0
WILC.US,60,20200918,170000,19.49,19.5293,19.32,19.5293,1100,0
WILC.US,60,20200918,190000,19.43,19.43,19.43,19.43,100,0
WILC.US,60,20200918,220000,19.61,19.62,19.61,19.62,200,0
WILC.US,60,20200921,160000,19.36,19.36,19.32,19.32,300,0
WILC.US,60,20200922,210000,19.375,19.375,19.375,19.375,100,0
WILC.US,60,20200923,190000,19.01,19.1,18.9,19.01,528,0
WILC.US,60,20200923,200000,19.0999,19.0999,18.7,18.7,250,0
WILC.US,60,20200923,210000,18.5,18.63,18.5,18.5,500,0
WILC.US,60,20200923,220000,18.5,18.5,18.496,18.5,400,0
WILC.US,60,20200924,160000,18.6,19.155,18.6,19.155,211,0
WILC.US,60,20200924,170000,18.66,18.66,18.66,18.66,100,0
WILC.US,60,20200924,200000,18.9,18.9,18.9,18.9,100,0
WILC.US,60,20200924,220000,18.85,18.9439,18.85,18.9439,200,0
WILC.US,60,20200929,170000,18.99,19.06,18.99,19.06,200,0
WILC.US,60,20200929,200000,19.17,19.4899,19.17,19.45,1307,0
WILC.US,60,20200929,210000,19.0952,19.0952,19.0002,19.0002,600,0
WILC.US,60,20200929,220000,19.06,19.06,19.06,19.06,400,0
WILC.US,60,20200930,160000,19.49,19.73,19.49,19.73,959,0
WILC.US,60,20200930,170000,19.73,19.73,19.73,19.73,100,0
WILC.US,60,20200930,180000,19.529,19.529,19.4302,19.4302,670,0
WILC.US,60,20200930,190000,19.0101,19.0101,19.0101,19.0101,151,0
WILC.US,60,20200930,200000,19.435,19.435,19.17,19.17,400,0
WILC.US,60,20200930,220000,19.73,19.73,19.73,19.73,276,0
WILC.US,60,20201001,160000,20,20,20,20,1265,0
WILC.US,60,20201001,200000,19.3763,19.3763,19.3763,19.3763,520,0
WILC.US,60,20201002,160000,18.9577,18.9577,18.9577,18.9577,520,0
WILC.US,60,20201002,170000,19.15,19.15,19.15,19.15,400,0
WILC.US,60,20201002,180000,19.3,19.3,19.3,19.3,100,0
WILC.US,60,20201002,190000,19.4,19.4,19.4,19.4,100,0
WILC.US,60,20201002,200000,19.45,19.45,19.45,19.45,100,0
WILC.US,60,20201005,160000,19.95,19.95,19.72,19.95,1812,0
WILC.US,60,20201005,180000,19.3284,19.3284,19.3284,19.3284,200,0
WILC.US,60,20201005,200000,19.69,19.78,19.69,19.78,397,0
WILC.US,60,20201005,210000,19.78,19.78,19.71,19.71,400,0
WILC.US,60,20201006,160000,19.71,19.71,19.71,19.71,364,0
WILC.US,60,20201006,170000,19.5,19.5,19.5,19.5,400,0
WILC.US,60,20201006,200000,19.21,19.21,19.01,19.01,200,0
WILC.US,60,20201006,220000,19.51,19.69,19.51,19.69,200,0
WILC.US,60,20201007,160000,19.6,19.6,19.55,19.6,336,0
WILC.US,60,20201007,190000,19.4628,19.4628,19.4628,19.4628,100,0
WILC.US,60,20201007,210000,19.46,19.46,19.46,19.46,110,0
WILC.US,60,20201007,220000,19.51,19.51,19.51,19.51,965,0
WILC.US,60,20201008,170000,19.5,19.5,19.5,19.5,475,0
WILC.US,60,20201008,180000,18.9,18.9,18.9,18.9,106,0
WILC.US,60,20201008,190000,19.4,19.4,19.4,19.4,100,0
WILC.US,60,20201009,160000,19.49,19.5,19.49,19.5,299,0
WILC.US,60,20201009,190000,19.1894,19.1894,19.1894,19.1894,100,0
WILC.US,60,20201009,220000,19.0783,19.08,19.0783,19.08,700,0
WILC.US,60,20201012,160000,19.37,19.37,19.21,19.21,688,0
