<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WOOF.US,60,20210114,190000,26,31.08,26,30.2,29244802,0
WOOF.US,60,20210114,200000,30.1334,30.25,28.49,29.4,6954892,0
WOOF.US,60,20210114,210000,29.3812,30.3239,28.77,28.99,4137229,0
WOOF.US,60,20210114,220000,28.9,29.4,27.3,29.4,7434231,0
WOOF.US,60,20210115,160000,29.1397,30.39,28.51,29.55,2780921,0
WOOF.US,60,20210115,170000,29.5523,29.6364,27.12,28.58,2199104,0
WOOF.US,60,20210115,180000,28.55,28.635,27.77,27.95,901649,0
WOOF.US,60,20210115,190000,27.94,27.98,27.3,27.475,1346460,0
WOOF.US,60,20210115,200000,27.466,28.2,27.46,27.7,659927,0
WOOF.US,60,20210115,210000,27.716,27.96,27.48,27.545,610168,0
WOOF.US,60,20210115,220000,27.533,27.8,27.3,27.71,1948608,0
WOOF.US,60,20210119,160000,27.89,28.1,26.52,26.8,984153,0
WOOF.US,60,20210119,170000,26.85,27.02,25.51,25.95,1805334,0
WOOF.US,60,20210119,180000,25.95,26.23,25.6,25.96,1169604,0
WOOF.US,60,20210119,190000,25.96,26.11,25.83,26.02,682216,0
WOOF.US,60,20210119,200000,26.03,26.43,25.98,26.25,619832,0
WOOF.US,60,20210119,210000,26.2511,26.33,26,26.13,514628,0
WOOF.US,60,20210119,220000,26.15,27.27,26.06,26.85,1424037,0
WOOF.US,60,20210120,160000,26.77,26.8,25.87,25.9799,525753,0
WOOF.US,60,20210120,170000,25.971,26.12,25.68,25.75,811605,0
WOOF.US,60,20210120,180000,25.735,26.1499,25.56,25.81,601495,0
WOOF.US,60,20210120,190000,25.81,26.09,25.7001,25.9299,272991,0
WOOF.US,60,20210120,200000,25.93,26.1,25.83,26.02,313528,0
WOOF.US,60,20210120,210000,26.01,26.44,25.9,26.395,421342,0
WOOF.US,60,20210120,220000,26.3999,26.4,25.76,26.04,643654,0
WOOF.US,60,20210121,160000,25.7,26.85,25.7,26.38,479116,0
WOOF.US,60,20210121,170000,26.4298,26.7,26.07,26.42,559548,0
WOOF.US,60,20210121,180000,26.4178,26.6,26.19,26.5217,331384,0
WOOF.US,60,20210121,190000,26.52,27.02,26.51,26.88,421622,0
WOOF.US,60,20210121,200000,26.92,27.2498,26.57,26.98,497606,0
WOOF.US,60,20210121,210000,26.98,27.36,26.9217,27.25,371944,0
WOOF.US,60,20210121,220000,27.27,27.37,26.69,27.24,3598099,0
WOOF.US,60,20210122,160000,26.65,27,26.15,26.46,300046,0
WOOF.US,60,20210122,170000,26.4749,26.66,26.11,26.309,369704,0
WOOF.US,60,20210122,180000,26.3199,26.325,25.82,26.18,458189,0
WOOF.US,60,20210122,190000,26.2,26.2,25.98,26.06,230120,0
WOOF.US,60,20210122,200000,26.06,26.25,25.98,26.12,250482,0
WOOF.US,60,20210122,210000,26.1148,26.24,26.04,26.17,226432,0
WOOF.US,60,20210122,220000,26.2,26.3,26.03,26.07,291519,0
WOOF.US,60,20210125,160000,26.28,26.5367,26,26.24,210447,0
WOOF.US,60,20210125,170000,26.2,26.6,26,26.44,528851,0
WOOF.US,60,20210125,180000,26.4,26.43,26.01,26.18,276443,0
WOOF.US,60,20210125,190000,26.2237,26.7,26.05,26.65,276430,0
WOOF.US,60,20210125,200000,26.6978,27.54,26.5,27.4295,814601,0
WOOF.US,60,20210125,210000,27.41,27.47,26.71,26.9299,363931,0
WOOF.US,60,20210125,220000,26.86,27.2,26.71,27,374173,0
WOOF.US,60,20210126,160000,26.67,27.43,26.55,27.38,138923,0
WOOF.US,60,20210126,170000,27.4,28,27.1,27.4675,521366,0
WOOF.US,60,20210126,180000,27.495,27.5,27.13,27.23,109275,0
WOOF.US,60,20210126,190000,27.255,27.4799,27.2208,27.35,99489,0
WOOF.US,60,20210126,200000,27.35,27.8,27.345,27.6627,197729,0
WOOF.US,60,20210126,210000,27.67,27.75,27,27.1955,294967,0
WOOF.US,60,20210126,220000,27.285,27.65,27.17,27.6,209228,0
WOOF.US,60,20210127,160000,26.5,26.65,26.0102,26.65,201320,0
WOOF.US,60,20210127,170000,26.67,28.3963,26.612,27.87,998729,0
WOOF.US,60,20210127,180000,27.8993,28.08,27.13,27.13,496793,0
WOOF.US,60,20210127,190000,27.15,27.49,27.1,27.41,255029,0
WOOF.US,60,20210127,200000,27.43,27.46,26.81,26.98,544074,0
WOOF.US,60,20210127,210000,26.96,27.5,26.96,27.2394,172868,0
WOOF.US,60,20210127,220000,27.26,27.3,26.85,26.99,307299,0
WOOF.US,60,20210128,160000,26.56,27,26.4,26.7,67126,0
WOOF.US,60,20210128,170000,26.71,27.07,26.38,26.5,147511,0
