<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIZD.US,60,20200914,160000,11.707,11.783,11.622,11.783,11762,0
BIZD.US,60,20200914,170000,11.747,11.773,11.735,11.773,2699,0
BIZD.US,60,20200914,180000,11.783,11.792,11.735,11.771,26293,0
BIZD.US,60,20200914,190000,11.764,11.773,11.735,11.773,3778,0
BIZD.US,60,20200914,200000,11.773,11.773,11.725,11.725,3954,0
BIZD.US,60,20200914,210000,11.697,11.745,11.697,11.717,3336,0
BIZD.US,60,20200914,220000,11.717,11.745,11.688,11.688,8797,0
BIZD.US,60,20200915,160000,11.745,11.762,11.735,11.735,8231,0
BIZD.US,60,20200915,170000,11.735,11.821,11.735,11.788,13344,0
BIZD.US,60,20200915,180000,11.808,11.84,11.764,11.767,18175,0
BIZD.US,60,20200915,190000,11.764,11.765,11.754,11.754,1576,0
BIZD.US,60,20200915,200000,11.767,11.767,11.715,11.73,8565,0
BIZD.US,60,20200915,210000,11.707,11.73,11.707,11.726,12067,0
BIZD.US,60,20200915,220000,11.755,11.755,11.669,11.669,2863,0
BIZD.US,60,20200916,160000,11.745,11.773,11.742,11.773,8007,0
BIZD.US,60,20200916,170000,11.75,11.802,11.75,11.792,12875,0
BIZD.US,60,20200916,180000,11.786,11.821,11.783,11.802,14165,0
BIZD.US,60,20200916,190000,11.788,11.802,11.773,11.773,19542,0
BIZD.US,60,20200916,200000,11.747,11.755,11.73,11.73,5583,0
BIZD.US,60,20200916,210000,11.735,11.773,11.735,11.735,14418,0
BIZD.US,60,20200916,220000,11.735,11.735,11.697,11.717,13851,0
BIZD.US,60,20200917,160000,11.66,11.66,11.594,11.611,2106,0
BIZD.US,60,20200917,170000,11.66,11.669,11.65,11.66,2772,0
BIZD.US,60,20200917,180000,11.687,11.687,11.66,11.66,1901,0
BIZD.US,60,20200917,190000,11.66,11.667,11.65,11.66,11667,0
BIZD.US,60,20200917,200000,11.65,11.65,11.631,11.648,4124,0
BIZD.US,60,20200917,210000,11.667,11.667,11.631,11.631,8239,0
BIZD.US,60,20200917,220000,11.622,11.631,11.594,11.622,23111,0
BIZD.US,60,20200918,160000,11.66,11.669,11.594,11.594,1464,0
BIZD.US,60,20200918,170000,11.612,11.655,11.612,11.64,1593,0
BIZD.US,60,20200918,180000,11.641,11.641,11.631,11.631,1797,0
BIZD.US,60,20200918,190000,11.617,11.622,11.593,11.593,8733,0
BIZD.US,60,20200918,200000,11.616,11.622,11.584,11.594,6524,0
BIZD.US,60,20200918,210000,11.603,11.622,11.597,11.607,5885,0
BIZD.US,60,20200918,220000,11.631,11.636,11.565,11.565,6438,0
BIZD.US,60,20200921,160000,11.47,11.494,11.451,11.494,7544,0
BIZD.US,60,20200921,170000,11.527,11.527,11.441,11.489,17392,0
BIZD.US,60,20200921,180000,11.499,11.499,11.461,11.474,11003,0
BIZD.US,60,20200921,190000,11.479,11.488,11.451,11.451,9687,0
BIZD.US,60,20200921,200000,11.441,11.489,11.441,11.458,4711,0
BIZD.US,60,20200921,210000,11.446,11.461,11.423,11.451,21012,0
BIZD.US,60,20200921,220000,11.446,11.479,11.425,11.451,58376,0
BIZD.US,60,20200922,160000,11.555,11.602,11.555,11.565,6871,0
BIZD.US,60,20200922,170000,11.555,11.569,11.499,11.499,14457,0
BIZD.US,60,20200922,180000,11.47,11.515,11.461,11.489,49088,0
BIZD.US,60,20200922,190000,11.496,11.499,11.474,11.484,11326,0
BIZD.US,60,20200922,200000,11.479,11.489,11.461,11.468,15456,0
BIZD.US,60,20200922,210000,11.461,11.476,11.457,11.474,5681,0
BIZD.US,60,20200922,220000,11.474,11.499,11.47,11.479,2317,0
BIZD.US,60,20200923,160000,11.499,11.565,11.499,11.546,7299,0
BIZD.US,60,20200923,170000,11.546,11.546,11.508,11.508,9377,0
BIZD.US,60,20200923,180000,11.517,11.517,11.494,11.494,566,0
BIZD.US,60,20200923,190000,11.46,11.461,11.442,11.445,13429,0
BIZD.US,60,20200923,200000,11.437,11.437,11.376,11.376,10144,0
BIZD.US,60,20200923,210000,11.375,11.375,11.27,11.27,15408,0
BIZD.US,60,20200923,220000,11.259,11.271,11.205,11.205,17589,0
BIZD.US,60,20200924,160000,11.185,11.185,11.091,11.091,9770,0
BIZD.US,60,20200924,170000,11.129,11.195,11.091,11.138,10581,0
BIZD.US,60,20200924,180000,11.127,11.157,11.105,11.157,6408,0
BIZD.US,60,20200924,190000,11.181,11.215,11.176,11.215,58659,0
BIZD.US,60,20200924,200000,11.271,11.3,11.252,11.252,1167,0
BIZD.US,60,20200924,210000,11.243,11.252,11.185,11.185,15070,0
BIZD.US,60,20200924,220000,11.185,11.185,11.138,11.138,10365,0
BIZD.US,60,20200925,160000,11.044,11.252,11.044,11.252,10062,0
BIZD.US,60,20200925,170000,11.285,11.328,11.28,11.302,11002,0
