<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKAG.US,60,20200914,170000,50.568,50.568,50.568,50.568,158,0
BKAG.US,60,20200914,220000,50.549,50.549,50.549,50.549,1299,0
BKAG.US,60,20200915,180000,50.544,50.558,50.539,50.549,1704,0
BKAG.US,60,20200915,190000,50.549,50.668,50.549,50.608,29779,0
BKAG.US,60,20200915,200000,50.608,50.638,50.608,50.617,4814,0
BKAG.US,60,20200916,180000,50.628,50.638,50.628,50.638,2632,0
BKAG.US,60,20200916,190000,50.648,50.648,50.648,50.648,100,0
BKAG.US,60,20200916,210000,50.628,50.628,50.628,50.628,200,0
BKAG.US,60,20200917,180000,50.643,50.643,50.638,50.638,200,0
BKAG.US,60,20200917,220000,50.628,50.628,50.614,50.614,1023,0
BKAG.US,60,20200918,210000,50.578,50.588,50.578,50.588,5014,0
BKAG.US,60,20200918,220000,50.588,50.588,50.588,50.588,19729,0
BKAG.US,60,20200921,160000,50.628,50.628,50.628,50.628,802,0
BKAG.US,60,20200921,170000,50.628,50.628,50.628,50.628,157,0
BKAG.US,60,20200921,180000,50.608,50.618,50.608,50.613,802,0
BKAG.US,60,20200921,200000,50.598,50.598,50.598,50.598,105,0
BKAG.US,60,20200921,210000,50.598,50.608,50.598,50.608,1404,0
BKAG.US,60,20200921,220000,50.578,50.578,50.578,50.578,100,0
BKAG.US,60,20200922,160000,50.588,50.608,50.588,50.608,502,0
BKAG.US,60,20200922,170000,50.608,50.608,50.588,50.598,600,0
BKAG.US,60,20200922,180000,50.588,50.588,50.578,50.578,300,0
BKAG.US,60,20200922,190000,50.588,50.598,50.588,50.598,400,0
BKAG.US,60,20200922,200000,50.598,50.598,50.598,50.598,400,0
BKAG.US,60,20200923,160000,50.578,50.578,50.578,50.578,100,0
BKAG.US,60,20200923,170000,50.568,50.588,50.568,50.588,2608,0
BKAG.US,60,20200923,180000,50.549,50.608,50.549,50.578,24971,0
BKAG.US,60,20200923,200000,50.578,50.578,50.578,50.578,2406,0
BKAG.US,60,20200923,210000,50.583,50.588,50.583,50.588,3868,0
BKAG.US,60,20200923,220000,50.568,50.568,50.539,50.539,2106,0
BKAG.US,60,20200924,160000,50.529,50.529,50.529,50.529,200,0
BKAG.US,60,20200924,190000,50.518,50.518,50.518,50.518,452,0
BKAG.US,60,20200924,210000,50.51,50.539,50.51,50.519,28280,0
BKAG.US,60,20200924,220000,50.519,50.529,50.519,50.529,11332,0
BKAG.US,60,20200925,170000,50.5,50.51,50.5,50.51,3206,0
BKAG.US,60,20200925,180000,50.5,50.5,50.493,50.493,300,0
BKAG.US,60,20200925,200000,50.5,50.5,50.5,50.5,155,0
BKAG.US,60,20200930,160000,50.5,50.5,50.5,50.5,3008,0
BKAG.US,60,20200930,170000,50.5,50.5,50.5,50.5,5736,0
BKAG.US,60,20200930,180000,50.5,50.5,50.5,50.5,2871,0
BKAG.US,60,20200930,190000,50.495,50.5,50.495,50.5,20054,0
BKAG.US,60,20200930,220000,50.519,50.524,50.51,50.524,3661,0
BKAG.US,60,20201001,160000,50.41,50.41,50.39,50.39,753,0
BKAG.US,60,20201001,190000,50.43,50.43,50.43,50.43,200,0
BKAG.US,60,20201001,220000,50.45,50.49,50.45,50.49,9898,0
BKAG.US,60,20201002,180000,50.51,50.519,50.51,50.51,702,0
BKAG.US,60,20201002,200000,50.5,50.5,50.5,50.5,200,0
BKAG.US,60,20201002,220000,50.51,50.51,50.51,50.51,2006,0
BKAG.US,60,20201005,160000,50.41,50.41,50.39,50.4,18652,0
BKAG.US,60,20201005,170000,50.395,50.395,50.395,50.395,200,0
BKAG.US,60,20201005,190000,50.38,50.38,50.38,50.38,1204,0
BKAG.US,60,20201005,200000,50.38,50.38,50.38,50.38,1104,0
BKAG.US,60,20201005,220000,50.34,50.34,50.34,50.34,1806,0
BKAG.US,60,20201007,210000,50.32,50.33,50.32,50.33,13751,0
BKAG.US,60,20201007,220000,50.33,50.33,50.317,50.32,7922,0
BKAG.US,60,20201009,180000,50.334,50.34,50.334,50.34,1714,0
BKAG.US,60,20201009,190000,50.3,50.34,50.3,50.34,5217,0
BKAG.US,60,20201009,220000,50.35,50.36,50.35,50.36,1232,0
BKAG.US,60,20201012,160000,50.35,50.35,50.35,50.35,101,0
BKAG.US,60,20201012,190000,50.34,50.34,50.34,50.34,200,0
BKAG.US,60,20201012,220000,50.35,50.35,50.35,50.35,1206,0
BKAG.US,60,20201013,170000,50.44,50.44,50.44,50.44,350,0
BKAG.US,60,20201013,210000,50.45,50.45,50.45,50.45,476,0
BKAG.US,60,20201014,170000,50.47,50.49,50.47,50.49,3440,0
BKAG.US,60,20201014,180000,50.48,50.48,50.466,50.466,784,0
BKAG.US,60,20201014,200000,50.475,50.475,50.475,50.475,200,0
BKAG.US,60,20201014,210000,50.47,50.47,50.47,50.47,100,0
BKAG.US,60,20201015,170000,50.5,50.51,50.5,50.5,3710,0
BKAG.US,60,20201015,220000,50.46,50.539,50.46,50.519,36602,0
BKAG.US,60,20201016,160000,50.45,50.45,50.45,50.45,1096,0
BKAG.US,60,20201016,200000,50.45,50.45,50.435,50.435,1009,0
BKAG.US,60,20201016,210000,50.449,50.449,50.449,50.449,2608,0
BKAG.US,60,20201019,160000,50.41,50.41,50.4,50.4,448,0
BKAG.US,60,20201019,170000,50.41,50.41,50.39,50.39,500,0
BKAG.US,60,20201019,180000,50.39,50.4,50.39,50.4,802,0
BKAG.US,60,20201019,210000,50.41,50.42,50.41,50.42,12438,0
BKAG.US,60,20201019,220000,50.405,50.405,50.39,50.39,1102,0
BKAG.US,60,20201020,170000,50.35,50.36,50.34,50.35,5716,0
BKAG.US,60,20201020,180000,50.35,50.36,50.35,50.36,702,0
BKAG.US,60,20201020,210000,50.35,50.35,50.35,50.35,200,0
BKAG.US,60,20201020,220000,50.32,50.32,50.32,50.32,1204,0
