<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BZQ.US,60,20200914,160000,28.8,29.14,28.662,28.98,54361,0
BZQ.US,60,20200914,170000,28.92,29.12,28.6,28.7,101964,0
BZQ.US,60,20200914,180000,28.7,28.76,28.42,28.56,61647,0
BZQ.US,60,20200914,190000,28.56,28.56,28.26,28.4,41316,0
BZQ.US,60,20200914,200000,28.4,28.46,27.82,27.88,62312,0
BZQ.US,60,20200914,210000,27.9,27.98,27.6,27.76,37737,0
BZQ.US,60,20200914,220000,27.78,27.94,27.64,27.76,48661,0
BZQ.US,60,20200915,160000,27.62,28.4,27.5,28.24,48142,0
BZQ.US,60,20200915,170000,28.26,28.36,27.58,27.8,49105,0
BZQ.US,60,20200915,180000,27.82,28.2,27.66,27.9,34557,0
BZQ.US,60,20200915,190000,27.92,28.06,27.82,27.86,25805,0
BZQ.US,60,20200915,200000,27.86,27.94,27.68,27.94,23411,0
BZQ.US,60,20200915,210000,27.98,28.12,27.72,27.72,33832,0
BZQ.US,60,20200915,220000,27.74,28.16,27.74,28,42638,0
BZQ.US,60,20200916,160000,27.78,28.04,27.68,28,31747,0
BZQ.US,60,20200916,170000,27.98,28.14,27.641,27.7,42459,0
BZQ.US,60,20200916,180000,27.74,27.78,27.3,27.64,42633,0
BZQ.US,60,20200916,190000,27.64,27.72,27.46,27.6,31780,0
BZQ.US,60,20200916,200000,27.64,27.86,27.56,27.74,21977,0
BZQ.US,60,20200916,210000,27.72,27.8,27.122,27.68,41134,0
BZQ.US,60,20200916,220000,27.68,27.96,27.48,27.9,98981,0
BZQ.US,60,20200917,160000,28.859,28.94,28.4,28.58,37496,0
BZQ.US,60,20200917,170000,28.58,28.62,28.16,28.3,44816,0
BZQ.US,60,20200917,180000,28.26,28.3,28.04,28.26,23060,0
BZQ.US,60,20200917,190000,28.26,28.34,27.96,28,70818,0
BZQ.US,60,20200917,200000,27.96,27.96,27.48,27.58,50374,0
BZQ.US,60,20200917,210000,27.54,27.7,27.38,27.6,49475,0
BZQ.US,60,20200917,220000,27.6,27.78,27.44,27.44,65314,0
BZQ.US,60,20200918,160000,28,28.48,27.98,28.34,28971,0
BZQ.US,60,20200918,170000,28.32,28.38,28.14,28.3,24422,0
BZQ.US,60,20200918,180000,28.3,28.9,28.16,28.84,61692,0
BZQ.US,60,20200918,190000,28.86,29.16,28.82,29.1,49253,0
BZQ.US,60,20200918,200000,29.12,29.92,29.12,29.68,106292,0
BZQ.US,60,20200918,210000,29.7,29.76,29.38,29.7,62391,0
BZQ.US,60,20200918,220000,29.6,29.98,29.6,29.92,133569,0
BZQ.US,60,20200921,160000,31.7,31.94,31.36,31.42,66414,0
BZQ.US,60,20200921,170000,31.46,32.4,31.34,32.1,99761,0
BZQ.US,60,20200921,180000,32.12,32.14,31.74,31.8,51695,0
BZQ.US,60,20200921,190000,31.82,31.82,31.2,31.42,53011,0
BZQ.US,60,20200921,200000,31.36,31.5,30.62,30.8,35687,0
BZQ.US,60,20200921,210000,30.78,31.18,30.7,31.18,69560,0
BZQ.US,60,20200921,220000,31.16,31.16,30.82,30.82,84161,0
BZQ.US,60,20200922,160000,30.6,31.16,30.36,31.1,38128,0
BZQ.US,60,20200922,170000,31.102,31.6,30.64,31.58,70163,0
BZQ.US,60,20200922,180000,31.6,31.94,31.16,31.72,60917,0
BZQ.US,60,20200922,190000,31.74,32.04,31.6,31.94,49328,0
