<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBEF.US,60,20200914,160000,30.718,30.738,30.669,30.728,68353,0
DBEF.US,60,20200914,170000,30.738,30.752,30.698,30.708,64979,0
DBEF.US,60,20200914,180000,30.698,30.739,30.688,30.708,61421,0
DBEF.US,60,20200914,190000,30.698,30.718,30.683,30.698,37208,0
DBEF.US,60,20200914,200000,30.708,30.708,30.649,30.683,37319,0
DBEF.US,60,20200914,210000,30.678,30.703,30.654,30.679,32176,0
DBEF.US,60,20200914,220000,30.678,30.718,30.649,30.659,120891,0
DBEF.US,60,20200915,160000,30.915,30.925,30.856,30.876,86059,0
DBEF.US,60,20200915,170000,30.876,30.905,30.836,30.896,49140,0
DBEF.US,60,20200915,180000,30.905,30.914,30.856,30.866,58308,0
DBEF.US,60,20200915,190000,30.876,30.886,30.856,30.872,21971,0
DBEF.US,60,20200915,200000,30.876,30.886,30.858,30.861,36235,0
DBEF.US,60,20200915,210000,30.866,30.866,30.817,30.846,102289,0
DBEF.US,60,20200915,220000,30.846,30.851,30.777,30.826,175175,0
DBEF.US,60,20200916,160000,30.856,30.856,30.817,30.836,35692,0
DBEF.US,60,20200916,170000,30.846,30.866,30.836,30.846,62565,0
DBEF.US,60,20200916,180000,30.846,30.945,30.846,30.915,92643,0
DBEF.US,60,20200916,190000,30.915,30.921,30.876,30.876,223103,0
DBEF.US,60,20200916,200000,30.876,30.905,30.856,30.9,199905,0
DBEF.US,60,20200916,210000,30.896,30.975,30.886,30.93,133230,0
DBEF.US,60,20200916,220000,30.93,30.945,30.817,30.836,137136,0
DBEF.US,60,20200917,160000,30.629,30.738,30.629,30.718,50554,0
DBEF.US,60,20200917,170000,30.728,30.807,30.728,30.787,43092,0
DBEF.US,60,20200917,180000,30.787,30.831,30.728,30.728,31417,0
DBEF.US,60,20200917,190000,30.738,30.747,30.659,30.738,48176,0
DBEF.US,60,20200917,200000,30.747,30.777,30.728,30.757,27953,0
DBEF.US,60,20200917,210000,30.767,30.797,30.72,30.757,25724,0
DBEF.US,60,20200917,220000,30.757,30.797,30.718,30.787,79201,0
DBEF.US,60,20200918,160000,30.718,30.728,30.639,30.678,25703,0
DBEF.US,60,20200918,170000,30.698,30.728,30.639,30.65,36398,0
DBEF.US,60,20200918,180000,30.641,30.688,30.614,30.669,49915,0
DBEF.US,60,20200918,190000,30.673,30.678,30.58,30.59,70588,0
DBEF.US,60,20200918,200000,30.586,30.59,30.471,30.56,34704,0
DBEF.US,60,20200918,210000,30.555,30.609,30.55,30.609,50087,0
DBEF.US,60,20200918,220000,30.619,30.639,30.57,30.58,115127,0
DBEF.US,60,20200921,160000,29.899,29.938,29.82,29.928,98543,0
DBEF.US,60,20200921,170000,29.928,29.937,29.701,29.78,183099,0
DBEF.US,60,20200921,180000,29.77,29.859,29.726,29.849,194129,0
DBEF.US,60,20200921,190000,29.854,29.92,29.834,29.839,118769,0
DBEF.US,60,20200921,200000,29.849,29.938,29.822,29.928,97566,0
DBEF.US,60,20200921,210000,29.928,29.928,29.869,29.928,135437,0
DBEF.US,60,20200921,220000,29.928,30.027,29.928,30.007,191438,0
DBEF.US,60,20200922,160000,29.978,30.027,29.928,29.933,76887,0
DBEF.US,60,20200922,170000,29.938,30.066,29.918,29.918,151017,0
DBEF.US,60,20200922,180000,29.928,29.987,29.869,29.938,63453,0
DBEF.US,60,20200922,190000,29.943,29.97,29.869,29.889,59627,0
DBEF.US,60,20200922,200000,29.889,29.997,29.889,29.992,65415,0
DBEF.US,60,20200922,210000,29.997,30.047,29.997,30.007,304111,0
DBEF.US,60,20200922,220000,29.997,30.126,29.997,30.106,257988,0
DBEF.US,60,20200923,160000,30.372,30.372,30.284,30.284,22396,0
DBEF.US,60,20200923,170000,30.303,30.303,30.205,30.274,37266,0
DBEF.US,60,20200923,180000,30.244,30.284,30.135,30.14,43424,0
DBEF.US,60,20200923,190000,30.135,30.234,30.131,30.229,47047,0
DBEF.US,60,20200923,200000,30.234,30.234,30.135,30.155,33942,0
DBEF.US,60,20200923,210000,30.135,30.14,30.027,30.037,31336,0
DBEF.US,60,20200923,220000,30.047,30.057,29.968,29.987,156159,0
DBEF.US,60,20200924,160000,29.928,29.987,29.857,29.978,34355,0
DBEF.US,60,20200924,170000,29.978,30.047,29.849,29.923,20826,0
DBEF.US,60,20200924,180000,29.913,30.007,29.87,30.007,51920,0
DBEF.US,60,20200924,190000,30.009,30.037,29.968,30.037,88229,0
