<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNOV.US,60,20200914,160000,31.94,31.94,31.94,31.94,510,0
DNOV.US,60,20200914,170000,31.8283,31.8553,31.8283,31.8553,440,0
DNOV.US,60,20200914,180000,31.895,31.895,31.855,31.855,282,0
DNOV.US,60,20200914,190000,31.9591,31.9591,31.9591,31.9591,2177,0
DNOV.US,60,20200914,210000,31.82,31.935,31.79,31.79,8434,0
DNOV.US,60,20200914,220000,31.791,31.86,31.72,31.76,50757,0
DNOV.US,60,20200915,160000,31.97,31.98,31.97,31.98,4600,0
DNOV.US,60,20200915,170000,31.97,31.97,31.97,31.97,100,0
DNOV.US,60,20200915,180000,31.97,31.97,31.97,31.97,108,0
DNOV.US,60,20200915,190000,31.89,31.97,31.89,31.96,1429,0
DNOV.US,60,20200915,200000,31.9685,31.9685,31.9685,31.9685,1500,0
DNOV.US,60,20200915,220000,31.855,31.855,31.7375,31.8497,748,0
DNOV.US,60,20200916,210000,31.86,31.86,31.86,31.86,813,0
DNOV.US,60,20200916,220000,31.825,31.88,31.8,31.8,950,0
DNOV.US,60,20200917,160000,31.57,31.7105,31.57,31.7105,300,0
DNOV.US,60,20200917,180000,31.71,31.8583,31.6909,31.85,3771,0
DNOV.US,60,20200917,190000,31.72,31.72,31.6,31.6,5662,0
DNOV.US,60,20200917,210000,31.621,31.621,31.621,31.621,100,0
DNOV.US,60,20200917,220000,31.565,31.8576,31.565,31.8576,1010,0
DNOV.US,60,20200918,190000,31.7784,31.7784,31.65,31.7592,3600,0
DNOV.US,60,20200918,210000,31.6483,31.6483,31.5546,31.5546,1123,0
DNOV.US,60,20200918,220000,31.606,31.606,31.606,31.606,1000,0
DNOV.US,60,20200921,160000,31.3001,31.3001,31.3001,31.3001,1005,0
DNOV.US,60,20200921,180000,31.2469,31.4,31.2469,31.38,5400,0
DNOV.US,60,20200921,190000,31.448,31.448,31.2402,31.26,3604,0
DNOV.US,60,20200921,210000,31.28,31.3271,31.275,31.3271,521,0
