<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRSK.US,60,20200914,160000,30.954,30.954,30.874,30.874,4387,0
DRSK.US,60,20200914,170000,30.959,30.993,30.941,30.964,12886,0
DRSK.US,60,20200914,180000,30.969,30.969,30.914,30.934,47758,0
DRSK.US,60,20200914,200000,30.916,30.924,30.824,30.824,15390,0
DRSK.US,60,20200914,210000,30.842,30.954,30.842,30.914,8909,0
DRSK.US,60,20200914,220000,30.894,30.934,30.874,30.874,19956,0
DRSK.US,60,20200915,160000,31.034,31.054,31.004,31.004,4058,0
DRSK.US,60,20200915,170000,31.023,31.028,31.014,31.014,1055,0
DRSK.US,60,20200915,180000,31.028,31.028,31.014,31.024,38197,0
DRSK.US,60,20200915,190000,31.009,31.009,31.004,31.004,941,0
DRSK.US,60,20200915,200000,30.994,31.034,30.99,30.99,13347,0
DRSK.US,60,20200915,210000,30.993,31.004,30.993,31.004,6400,0
DRSK.US,60,20200915,220000,30.984,31.004,30.954,31.004,19515,0
DRSK.US,60,20200916,160000,31.113,31.113,30.96,30.994,2926,0
DRSK.US,60,20200916,170000,30.969,30.987,30.934,30.978,1004,0
DRSK.US,60,20200916,180000,30.976,31.034,30.976,30.999,6449,0
DRSK.US,60,20200916,190000,30.994,30.994,30.984,30.984,452,0
DRSK.US,60,20200916,200000,30.973,30.984,30.968,30.983,3455,0
DRSK.US,60,20200916,210000,31.014,31.024,30.994,31.004,4944,0
DRSK.US,60,20200916,220000,31.004,31.004,30.954,30.964,9497,0
DRSK.US,60,20200917,160000,30.924,30.924,30.914,30.914,1405,0
DRSK.US,60,20200917,170000,30.914,30.934,30.914,30.914,6140,0
DRSK.US,60,20200917,180000,30.924,30.929,30.889,30.889,7295,0
DRSK.US,60,20200917,190000,30.904,30.904,30.824,30.87,3932,0
DRSK.US,60,20200917,200000,30.894,30.894,30.854,30.864,49901,0
DRSK.US,60,20200917,210000,30.864,30.874,30.854,30.864,4230,0
DRSK.US,60,20200917,220000,30.843,30.904,30.843,30.864,13638,0
DRSK.US,60,20200918,160000,30.994,30.994,30.829,30.864,2673,0
DRSK.US,60,20200918,170000,30.888,30.888,30.834,30.834,2811,0
DRSK.US,60,20200918,180000,30.809,30.824,30.806,30.81,1370,0
DRSK.US,60,20200918,190000,30.825,30.854,30.804,30.816,1868,0
DRSK.US,60,20200918,200000,30.814,30.814,30.798,30.798,1520,0
DRSK.US,60,20200918,210000,30.795,30.804,30.793,30.804,9649,0
DRSK.US,60,20200918,220000,30.803,30.834,30.797,30.834,8187,0
DRSK.US,60,20200921,160000,30.884,30.884,30.53,30.53,2905,0
DRSK.US,60,20200921,170000,30.496,30.605,30.496,30.531,6352,0
DRSK.US,60,20200921,180000,30.486,30.565,30.486,30.516,10376,0
DRSK.US,60,20200921,190000,30.481,30.565,30.455,30.471,2917,0
DRSK.US,60,20200921,200000,30.496,30.525,30.471,30.491,9231,0
DRSK.US,60,20200921,210000,30.516,30.526,30.446,30.498,7974,0
DRSK.US,60,20200921,220000,30.516,30.595,30.446,30.595,68324,0
DRSK.US,60,20200922,160000,30.695,30.844,30.55,30.625,4575,0
DRSK.US,60,20200922,170000,30.595,30.605,30.56,30.56,1370,0
DRSK.US,60,20200922,180000,30.56,30.565,30.436,30.565,6514,0
DRSK.US,60,20200922,190000,30.55,30.565,30.545,30.545,4197,0
DRSK.US,60,20200922,200000,30.504,30.565,30.489,30.565,1459,0
DRSK.US,60,20200922,210000,30.516,30.575,30.466,30.56,11283,0
DRSK.US,60,20200922,220000,30.55,30.635,30.506,30.635,49102,0
DRSK.US,60,20200923,160000,30.426,30.647,30.426,30.611,5922,0
DRSK.US,60,20200923,170000,30.573,30.585,30.545,30.545,4866,0
DRSK.US,60,20200923,180000,30.575,30.575,30.539,30.545,12646,0
DRSK.US,60,20200923,190000,30.54,30.555,30.526,30.555,5099,0
DRSK.US,60,20200923,200000,30.56,30.585,30.54,30.54,13966,0
DRSK.US,60,20200923,210000,30.54,30.545,30.471,30.471,3196,0
DRSK.US,60,20200923,220000,30.466,30.506,30.416,30.506,11213,0
DRSK.US,60,20200924,160000,30.306,30.306,30.306,30.306,1264,0
DRSK.US,60,20200924,170000,30.516,30.516,30.411,30.446,2562,0
DRSK.US,60,20200924,180000,30.446,30.505,30.416,30.486,5468,0
DRSK.US,60,20200924,190000,30.496,30.501,30.496,30.501,895,0
DRSK.US,60,20200924,200000,30.555,30.555,30.521,30.521,3853,0
DRSK.US,60,20200924,210000,30.516,30.521,30.486,30.496,2924,0
DRSK.US,60,20200924,220000,30.491,30.516,30.426,30.516,70428,0
DRSK.US,60,20200925,160000,30.605,30.605,30.476,30.476,10579,0
DRSK.US,60,20200925,170000,30.476,30.501,30.453,30.453,9971,0
DRSK.US,60,20200925,180000,30.451,30.496,30.437,30.437,6651,0
DRSK.US,60,20200925,190000,30.451,30.491,30.451,30.491,3215,0
DRSK.US,60,20200925,200000,30.491,30.525,30.478,30.478,3483,0
DRSK.US,60,20200925,210000,30.479,30.544,30.466,30.511,11994,0
DRSK.US,60,20200925,220000,30.477,30.575,30.477,30.575,10688,0
DRSK.US,60,20200928,160000,30.655,30.655,30.6,30.635,5572,0
DRSK.US,60,20200928,170000,30.675,30.675,30.585,30.615,10924,0
DRSK.US,60,20200928,180000,30.6,30.615,30.6,30.615,4892,0
DRSK.US,60,20200928,190000,30.625,30.625,30.588,30.612,6918,0
DRSK.US,60,20200928,200000,30.61,30.61,30.61,30.61,1180,0
DRSK.US,60,20200928,210000,30.605,30.625,30.605,30.609,8465,0
DRSK.US,60,20200928,220000,30.645,30.645,30.585,30.585,11459,0
DRSK.US,60,20200929,160000,30.725,30.725,30.605,30.605,6142,0
DRSK.US,60,20200929,170000,30.675,30.675,30.617,30.617,2114,0
DRSK.US,60,20200929,180000,30.605,30.62,30.605,30.605,5486,0
DRSK.US,60,20200929,190000,30.61,30.625,30.61,30.625,2166,0
DRSK.US,60,20200929,200000,30.615,30.665,30.61,30.665,7535,0
DRSK.US,60,20200929,210000,30.708,30.708,30.635,30.665,38389,0
DRSK.US,60,20200929,220000,30.665,30.665,30.605,30.635,8636,0
DRSK.US,60,20200930,160000,30.715,30.735,30.609,30.645,7193,0
DRSK.US,60,20200930,170000,30.645,30.655,30.645,30.645,4948,0
DRSK.US,60,20200930,180000,30.647,30.709,30.645,30.705,14511,0
DRSK.US,60,20200930,190000,30.705,30.71,30.685,30.695,3390,0
DRSK.US,60,20200930,200000,30.685,30.685,30.645,30.645,4367,0
