<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DSI.US,60,20200914,160000,63.868,64.132,63.714,64.132,2632,0
DSI.US,60,20200914,170000,64.132,64.456,64.127,64.282,25874,0
DSI.US,60,20200914,180000,64.322,64.407,64.217,64.367,4638,0
DSI.US,60,20200914,190000,64.382,64.387,64.262,64.302,3020,0
DSI.US,60,20200914,200000,64.257,64.257,64.102,64.177,2630,0
DSI.US,60,20200914,210000,64.207,64.242,64.137,64.152,6254,0
DSI.US,60,20200914,220000,64.097,64.262,63.953,64.102,13153,0
DSI.US,60,20200915,160000,64.681,64.77,64.666,64.77,51582,0
DSI.US,60,20200915,170000,64.73,64.785,64.651,64.785,3447,0
DSI.US,60,20200915,180000,64.805,64.835,64.706,64.706,11157,0
DSI.US,60,20200915,190000,64.76,64.78,64.725,64.755,8042,0
DSI.US,60,20200915,200000,64.785,64.845,64.755,64.755,2284,0
DSI.US,60,20200915,210000,64.721,64.75,64.686,64.75,6649,0
DSI.US,60,20200915,220000,64.681,64.681,64.416,64.596,85985,0
DSI.US,60,20200916,160000,64.86,64.86,64.686,64.686,5746,0
DSI.US,60,20200916,170000,64.86,64.905,64.596,64.75,24355,0
DSI.US,60,20200916,180000,64.855,64.97,64.845,64.92,3451,0
DSI.US,60,20200916,190000,64.93,64.93,64.765,64.82,3364,0
DSI.US,60,20200916,200000,64.765,64.765,64.616,64.716,6396,0
DSI.US,60,20200916,210000,64.765,65.104,64.765,64.8,32506,0
DSI.US,60,20200916,220000,64.491,64.616,64.262,64.272,9490,0
DSI.US,60,20200917,160000,63.21,63.574,63.21,63.574,2923,0
DSI.US,60,20200917,170000,63.654,63.923,63.624,63.749,9464,0
DSI.US,60,20200917,180000,63.983,64.073,63.549,63.559,18021,0
DSI.US,60,20200917,190000,63.385,63.385,63.21,63.225,3449,0
DSI.US,60,20200917,200000,63.39,63.514,63.295,63.484,2646,0
DSI.US,60,20200917,210000,63.459,63.634,63.32,63.405,26466,0
DSI.US,60,20200917,220000,63.325,63.759,63.195,63.759,38110,0
DSI.US,60,20200918,160000,64.018,64.018,63.589,63.589,5475,0
DSI.US,60,20200918,170000,63.818,63.833,63.484,63.484,19397,0
DSI.US,60,20200918,180000,63.559,63.559,63.435,63.435,1007,0
DSI.US,60,20200918,190000,63.529,63.569,63.17,63.175,18462,0
DSI.US,60,20200918,200000,63.101,63.101,62.537,62.906,10625,0
DSI.US,60,20200918,210000,62.822,62.956,62.792,62.956,7282,0
DSI.US,60,20200918,220000,63.031,63.24,63.031,63.131,67659,0
DSI.US,60,20200921,160000,62.164,62.164,61.994,62.084,4296,0
DSI.US,60,20200921,170000,62.124,62.129,61.441,61.655,10449,0
DSI.US,60,20200921,180000,61.765,61.83,61.556,61.83,4625,0
DSI.US,60,20200921,190000,61.954,61.969,61.77,61.8,5670,0
DSI.US,60,20200921,200000,61.71,62.054,61.695,61.899,36599,0
DSI.US,60,20200921,210000,61.825,61.825,61.595,61.795,7104,0
DSI.US,60,20200921,220000,61.894,62.393,61.894,62.393,22190,0
DSI.US,60,20200922,160000,62.662,62.662,62.243,62.288,14520,0
DSI.US,60,20200922,170000,62.333,62.592,62.283,62.318,12668,0
DSI.US,60,20200922,180000,62.124,62.453,62.109,62.453,5970,0
DSI.US,60,20200922,190000,62.537,62.552,62.318,62.318,11310,0
DSI.US,60,20200922,200000,62.348,62.707,62.348,62.707,6128,0
DSI.US,60,20200922,210000,62.826,62.826,62.727,62.772,6412,0
DSI.US,60,20200922,220000,62.697,62.996,62.692,62.941,58609,0
DSI.US,60,20200923,160000,63.076,63.076,62.916,62.951,18051,0
DSI.US,60,20200923,170000,62.812,62.825,62.567,62.627,5365,0
DSI.US,60,20200923,180000,62.617,62.727,62.492,62.529,14509,0
DSI.US,60,20200923,190000,62.378,62.513,62.278,62.508,3421,0
DSI.US,60,20200923,200000,62.557,62.557,62.335,62.335,3892,0
