<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAPR.US,60,20210420,160000,29.99,29.99,29.97,29.97,2015,0
FAPR.US,60,20210420,170000,29.98,30.009,29.86,29.88,18120,0
FAPR.US,60,20210420,180000,29.88,29.9084,29.81,29.87,84945,0
FAPR.US,60,20210420,190000,29.82,29.895,29.82,29.865,2262,0
FAPR.US,60,20210420,200000,29.84,29.89,29.84,29.86,18140,0
FAPR.US,60,20210420,210000,29.8601,29.9,29.83,29.85,19368,0
FAPR.US,60,20210420,220000,29.8317,29.929,29.83,29.9,48369,0
FAPR.US,60,20210421,160000,29.88,29.91,29.85,29.91,5087,0
FAPR.US,60,20210421,170000,29.92,29.97,29.92,29.95,5650,0
FAPR.US,60,20210421,180000,29.95,30.03,29.9457,30.03,19480,0
FAPR.US,60,20210421,190000,29.98,30.02,29.98,30.01,6499,0
FAPR.US,60,20210421,200000,30.0066,30.029,30.0066,30.0158,9042,0
FAPR.US,60,20210421,210000,30.03,30.05,30.0121,30.03,56341,0
FAPR.US,60,20210421,220000,30.02,30.07,30.02,30.04,10460,0
FAPR.US,60,20210422,160000,30.08,30.08,30.03,30.03,2565,0
FAPR.US,60,20210422,170000,30.0401,30.09,30.02,30.062,5166,0
FAPR.US,60,20210422,180000,30.07,30.095,30.0573,30.095,13886,0
FAPR.US,60,20210422,190000,30.08,30.11,30.0471,30.11,8265,0
FAPR.US,60,20210422,200000,30.12,30.12,29.889,29.91,20634,0
FAPR.US,60,20210422,210000,29.86,29.9695,29.86,29.95,15425,0
FAPR.US,60,20210422,220000,29.95,29.95,29.9,29.93,29128,0
FAPR.US,60,20210423,160000,29.95,29.9512,29.9334,29.95,6764,0
FAPR.US,60,20210423,170000,29.99,30.03,29.98,30.02,26677,0
FAPR.US,60,20210423,180000,30.08,30.08,30.0746,30.08,11856,0
FAPR.US,60,20210423,190000,30.089,30.12,30.0469,30.12,9468,0
FAPR.US,60,20210423,200000,30.11,30.12,30.109,30.11,11900,0
FAPR.US,60,20210423,210000,30.12,30.12,30.0992,30.11,7471,0
FAPR.US,60,20210423,220000,30.12,30.16,30.1,30.1,196813,0
FAPR.US,60,20210426,160000,30.12,30.15,30.0941,30.14,11901,0
FAPR.US,60,20210426,170000,30.15,30.16,30.0913,30.15,107432,0
FAPR.US,60,20210426,180000,30.149,30.16,30.0999,30.14,17210,0
FAPR.US,60,20210426,190000,30.14,30.15,30.1192,30.12,10028,0
FAPR.US,60,20210426,200000,30.139,30.14,30.1081,30.14,6080,0
FAPR.US,60,20210426,210000,30.15,30.16,30.1021,30.16,145732,0
FAPR.US,60,20210426,220000,30.159,30.16,30.1158,30.13,46832,0
FAPR.US,60,20210427,160000,30.16,30.16,30.104,30.104,1732,0
FAPR.US,60,20210427,170000,30.1,30.1099,30.0681,30.105,20930,0
FAPR.US,60,20210427,180000,30.12,30.12,30.11,30.12,12992,0
FAPR.US,60,20210427,190000,30.12,30.13,30.12,30.13,9670,0
FAPR.US,60,20210427,200000,30.11,30.139,30.11,30.125,9908,0
FAPR.US,60,20210427,210000,30.11,30.147,30.11,30.145,72644,0
FAPR.US,60,20210427,220000,30.135,30.15,30.09,30.09,24598,0
FAPR.US,60,20210428,160000,30.13,30.17,30.13,30.17,19690,0
FAPR.US,60,20210428,170000,30.17,30.179,30.14,30.1441,70294,0
FAPR.US,60,20210428,180000,30.15,30.158,30.13,30.13,22626,0
FAPR.US,60,20210428,190000,30.129,30.136,30.129,30.136,5500,0
FAPR.US,60,20210428,200000,30.155,30.159,30.12,30.13,8716,0
FAPR.US,60,20210428,210000,30.11,30.18,30.11,30.1747,3020,0
FAPR.US,60,20210428,220000,30.161,30.161,30.12,30.12,17902,0
FAPR.US,60,20210429,160000,30.24,30.24,30.24,30.24,11960,0
FAPR.US,60,20210429,170000,30.21,30.21,30.16,30.16,20950,0
FAPR.US,60,20210429,180000,30.1786,30.199,30.13,30.14,29118,0
FAPR.US,60,20210429,190000,30.12,30.13,30.08,30.13,10390,0
FAPR.US,60,20210429,200000,30.15,30.18,30.11,30.11,48992,0
FAPR.US,60,20210429,210000,30.2199,30.26,30.1921,30.25,10220,0
FAPR.US,60,20210429,220000,30.25,30.25,30.1921,30.21,9838,0
FAPR.US,60,20210430,160000,30.13,30.19,30.13,30.16,43000,0
FAPR.US,60,20210430,170000,30.145,30.15,30.125,30.125,8050,0
FAPR.US,60,20210430,180000,30.1,30.14,30.1,30.13,5602,0
FAPR.US,60,20210430,190000,30.13,30.14,30.13,30.14,4446,0
FAPR.US,60,20210430,200000,30.14,30.14,30.0601,30.0601,8772,0
FAPR.US,60,20210430,210000,30.0601,30.13,30.0601,30.12,13950,0
FAPR.US,60,20210430,220000,30.11,30.126,30.0881,30.0934,11918,0
FAPR.US,60,20210503,160000,30.19,30.195,30.19,30.19,1761,0
FAPR.US,60,20210503,170000,30.2,30.22,30.1641,30.1641,10503,0
FAPR.US,60,20210503,180000,30.19,30.19,30.17,30.17,2190,0
FAPR.US,60,20210503,190000,30.2,30.2,30.17,30.1898,2425,0
FAPR.US,60,20210503,200000,30.182,30.19,30.17,30.18,2906,0
FAPR.US,60,20210503,210000,30.19,30.22,30.18,30.22,1805,0
FAPR.US,60,20210503,220000,30.19,30.2,30.11,30.11,19167,0
FAPR.US,60,20210504,160000,30.1,30.1,30,30,12650,0
FAPR.US,60,20210504,170000,29.95,29.97,29.95,29.96,933,0
FAPR.US,60,20210504,180000,29.92,29.98,29.88,29.93,51166,0
FAPR.US,60,20210504,190000,29.93,29.98,29.91,29.94,100161,0
FAPR.US,60,20210504,200000,29.95,29.98,29.95,29.96,1645,0
FAPR.US,60,20210504,210000,30.01,30.01,29.97,29.992,6433,0
FAPR.US,60,20210504,220000,29.9613,30.02,29.96,29.99,10780,0
FAPR.US,60,20210505,160000,30.12,30.13,30.09,30.11,4770,0
FAPR.US,60,20210505,170000,30.055,30.1,30.055,30.09,5300,0
FAPR.US,60,20210505,180000,30.1,30.125,30.085,30.125,7947,0
FAPR.US,60,20210505,190000,30.12,30.15,30.1,30.1,1380,0
FAPR.US,60,20210505,200000,30.09,30.14,30.09,30.13,3750,0
FAPR.US,60,20210505,210000,30.13,30.15,30.1,30.12,48651,0
FAPR.US,60,20210505,220000,30.0821,30.115,30,30.03,32879,0
FAPR.US,60,20210506,160000,30.08,30.1,30.05,30.0593,12467,0
FAPR.US,60,20210506,170000,30,30.036,30,30.036,1590,0
FAPR.US,60,20210506,190000,30.1,30.14,30.1,30.12,8842,0
FAPR.US,60,20210506,200000,30.0929,30.1486,30.0929,30.1486,30242,0
FAPR.US,60,20210506,210000,30.1,30.11,30.0621,30.09,5013,0
FAPR.US,60,20210506,220000,30.13,30.19,30.1261,30.19,30875,0
FAPR.US,60,20210507,160000,30.26,30.26,30.22,30.26,3145,0
FAPR.US,60,20210507,170000,30.31,30.35,30.31,30.34,6577,0
FAPR.US,60,20210507,180000,30.32,30.3892,30.32,30.37,10849,0
FAPR.US,60,20210507,190000,30.34,30.38,30.32,30.33,77330,0
FAPR.US,60,20210507,200000,30.33,30.35,30.31,30.3477,45211,0
FAPR.US,60,20210507,210000,30.345,30.359,30.32,30.33,2200,0
FAPR.US,60,20210507,220000,30.34,30.3799,30.3199,30.35,6389,0
FAPR.US,60,20210510,160000,30.4,30.4,30.4,30.4,1825,0
FAPR.US,60,20210510,170000,30.37,30.37,30.31,30.31,30854,0
FAPR.US,60,20210510,180000,30.3181,30.37,30.3181,30.34,9860,0
FAPR.US,60,20210510,190000,30.38,30.39,30.35,30.35,8397,0
FAPR.US,60,20210510,200000,30.3273,30.34,30.32,30.32,3616,0
FAPR.US,60,20210510,210000,30.32,30.32,30.22,30.23,17716,0
FAPR.US,60,20210510,220000,30.24,30.24,30.18,30.18,4845,0
FAPR.US,60,20210511,160000,30,30.05,29.94,30.05,23210,0
FAPR.US,60,20210511,170000,30.02,30.02,29.85,29.87,52500,0
FAPR.US,60,20210511,180000,29.85,29.97,29.85,29.97,5850,0
FAPR.US,60,20210511,190000,29.979,30.03,29.9,29.91,23406,0
FAPR.US,60,20210511,200000,29.93,30.0493,29.93,29.9761,4129,0
FAPR.US,60,20210511,210000,30,30.046,29.9441,29.995,20764,0
FAPR.US,60,20210511,220000,29.99,30.04,29.95,29.96,15344,0
FAPR.US,60,20210512,160000,29.87,29.89,29.8469,29.86,6427,0
FAPR.US,60,20210512,170000,29.83,29.87,29.78,29.8096,7657,0
FAPR.US,60,20210512,180000,29.78,29.78,29.68,29.74,17102,0
FAPR.US,60,20210512,190000,29.67,29.69,29.655,29.69,2666,0
FAPR.US,60,20210512,200000,29.72,29.72,29.6121,29.623,14509,0
FAPR.US,60,20210512,210000,29.6989,29.6989,29.6021,29.69,24819,0
FAPR.US,60,20210512,220000,29.64,29.67,29.545,29.595,21264,0
FAPR.US,60,20210513,160000,29.69,29.74,29.67,29.74,10048,0
FAPR.US,60,20210513,170000,29.82,29.8998,29.795,29.85,43613,0
FAPR.US,60,20210513,190000,29.819,29.824,29.819,29.82,2982,0
FAPR.US,60,20210513,200000,29.8299,29.84,29.71,29.71,5802,0
FAPR.US,60,20210513,210000,29.81,29.8695,29.81,29.8695,1650,0
FAPR.US,60,20210513,220000,29.9,29.91,29.89,29.91,660,0
FAPR.US,60,20210514,160000,29.98,30.04,29.94,30.04,2684,0
FAPR.US,60,20210514,170000,30.039,30.08,30.01,30.08,12510,0
FAPR.US,60,20210514,180000,30.064,30.09,30.05,30.06,2537,0
FAPR.US,60,20210514,190000,30.1,30.12,30.07,30.085,4505,0
FAPR.US,60,20210514,200000,30.1,30.13,30.1,30.13,8764,0
FAPR.US,60,20210514,210000,30.11,30.16,30.11,30.16,2354,0
FAPR.US,60,20210514,220000,30.17,30.17,30.11,30.11,1190,0
FAPR.US,60,20210517,160000,30.06,30.06,30.03,30.03,1965,0
FAPR.US,60,20210517,170000,30.03,30.04,30.02,30.02,1933,0
FAPR.US,60,20210517,180000,30.0698,30.0698,29.99,30.016,31082,0
FAPR.US,60,20210517,190000,30.01,30.05,29.98,30.05,8539,0
FAPR.US,60,20210517,200000,29.99,30.01,29.99,29.99,3400,0
FAPR.US,60,20210517,210000,30,30.049,30,30.02,6303,0
FAPR.US,60,20210517,220000,30.07,30.07,30.02,30.07,6891,0
FAPR.US,60,20210518,160000,30.1,30.1,30.05,30.05,1609,0
FAPR.US,60,20210518,170000,30.0241,30.0646,30.0241,30.06,3682,0
FAPR.US,60,20210518,180000,30.06,30.085,30.05,30.05,1995,0
FAPR.US,60,20210518,190000,30.031,30.109,30.031,30.06,8237,0
FAPR.US,60,20210518,200000,30.05,30.11,30.03,30.04,4211,0
FAPR.US,60,20210518,210000,30.0899,30.0899,29.99,29.99,5215,0
FAPR.US,60,20210518,220000,30.0399,30.0399,29.91,29.91,8633,0
FAPR.US,60,20210519,160000,29.69,29.69,29.61,29.65,3726,0
FAPR.US,60,20210519,170000,29.59,29.634,29.59,29.634,115906,0
FAPR.US,60,20210519,180000,29.693,29.693,29.66,29.68,1735,0
FAPR.US,60,20210519,190000,29.746,29.77,29.746,29.77,940,0
FAPR.US,60,20210519,200000,29.8,29.8,29.7241,29.7241,5099,0
FAPR.US,60,20210519,210000,29.745,29.745,29.6641,29.6641,3821,0
FAPR.US,60,20210519,220000,29.74,29.83,29.7241,29.81,7998,0
FAPR.US,60,20210520,160000,29.9,29.95,29.895,29.9409,2600,0
FAPR.US,60,20210520,170000,29.9567,29.99,29.95,29.97,9329,0
